,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:39.0,L. Aldridge misses 2-pt layup from 1 ft,,0,0
1,1,11:36.0,Offensive rebound by L. Aldridge,,0,0
2,1,11:36.0,L. Aldridge misses 2-pt layup from 1 ft,,0,0
3,1,11:35.0,,Defensive rebound by T. Warren,0,0
4,1,11:31.0,,D. Ayton makes 2-pt hook shot from 3 ft (assist by D. Booker),0,2
5,1,11:13.0,L. Aldridge misses 2-pt jump shot from 21 ft,,0,2
6,1,11:09.0,,Defensive rebound by D. Ayton,0,2
7,1,10:52.0,,I. Canaan makes 3-pt jump shot from 28 ft (assist by T. Warren),0,5
8,1,10:36.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. Cunningham),,3,5
9,1,10:15.0,,Shooting foul by D. DeRozan (drawn by T. Warren),3,5
10,1,10:15.0,,T. Warren makes free throw 1 of 2,3,6
11,1,10:15.0,,T. Warren makes free throw 2 of 2,3,7
12,1,9:54.0,B. Forbes misses 2-pt jump shot from 21 ft,,3,7
13,1,9:52.0,Offensive rebound by L. Aldridge,,3,7
14,1,9:49.0,L. Aldridge misses 2-pt jump shot from 9 ft,,3,7
15,1,9:47.0,,Defensive rebound by M. Bridges,3,7
16,1,9:33.0,,M. Bridges misses 3-pt jump shot from 22 ft,3,7
17,1,9:30.0,Defensive rebound by L. Aldridge,,3,7
18,1,9:19.0,Turnover by D. Cunningham (bad pass; steal by D. Ayton),,3,7
19,1,9:09.0,,Turnover by I. Canaan (bad pass; steal by D. Cunningham),3,7
20,1,9:03.0,D. Cunningham makes 2-pt layup at rim (assist by B. Forbes),,5,7
21,1,8:46.0,,T. Warren makes 2-pt jump shot from 7 ft (assist by D. Ayton),5,9
22,1,8:46.0,,Shooting foul by D. Cunningham (drawn by T. Warren),5,9
23,1,8:46.0,,T. Warren makes free throw 1 of 1,5,10
24,1,8:34.0,Personal foul by D. Ayton (drawn by D. DeRozan),,5,10
25,1,8:24.0,D. White misses 3-pt jump shot from 24 ft,,5,10
26,1,8:22.0,,Defensive rebound by T. Warren,5,10
27,1,8:00.0,,D. Ayton misses 3-pt jump shot from 29 ft,5,10
28,1,7:56.0,Defensive rebound by D. White,,5,10
29,1,7:45.0,D. DeRozan misses 2-pt jump shot from 18 ft,,5,10
30,1,7:43.0,,Defensive rebound by D. Ayton,5,10
31,1,7:23.0,,I. Canaan makes 3-pt jump shot from 26 ft,5,13
32,1,7:18.0,San Antonio full timeout,,5,13
33,1,7:09.0,Personal foul by D. Booker (drawn by B. Forbes),,5,13
34,1,7:02.0,D. DeRozan misses 2-pt hook shot from 6 ft,,5,13
35,1,7:00.0,,Defensive rebound by D. Booker,5,13
36,1,6:56.0,,T. Warren makes 3-pt jump shot from 24 ft (assist by D. Booker),5,16
37,1,6:43.0,B. Forbes misses 2-pt jump shot from 16 ft,,5,16
38,1,6:41.0,,Defensive rebound by I. Canaan,5,16
39,1,6:34.0,,Turnover by I. Canaan (bad pass; steal by D. Cunningham),5,16
40,1,6:28.0,Turnover by B. Forbes (bad pass; steal by D. Booker),,5,16
41,1,6:19.0,,T. Warren misses 3-pt jump shot from 25 ft,5,16
42,1,6:17.0,Defensive rebound by D. DeRozan,,5,16
43,1,6:13.0,Turnover by D. White (traveling),,5,16
44,1,6:13.0,P. Mills enters the game for D. White,,5,16
45,1,5:54.0,,D. Ayton makes 2-pt hook shot from 1 ft (assist by D. Booker),5,18
46,1,5:40.0,Shooting foul by D. Ayton (drawn by D. DeRozan),,5,18
47,1,5:40.0,D. DeRozan makes free throw 1 of 2,,6,18
48,1,5:40.0,M. Belinelli enters the game for B. Forbes,,6,18
49,1,5:40.0,,R. Holmes enters the game for D. Ayton,6,18
50,1,5:40.0,D. DeRozan makes free throw 2 of 2,,7,18
51,1,5:28.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Holmes),7,21
52,1,5:17.0,Shooting foul by R. Holmes (drawn by D. DeRozan),,7,21
53,1,5:17.0,D. DeRozan makes free throw 1 of 2,,8,21
54,1,5:17.0,D. Bertāns enters the game for D. Cunningham,,8,21
55,1,5:17.0,D. DeRozan makes free throw 2 of 2,,9,21
56,1,4:58.0,,Turnover by D. Booker (bad pass; steal by M. Belinelli),9,21
57,1,4:52.0,Shooting foul by T. Warren (drawn by D. DeRozan),,9,21
58,1,4:52.0,D. DeRozan makes free throw 1 of 2,,10,21
59,1,4:52.0,J. Poeltl enters the game for L. Aldridge,,10,21
60,1,4:52.0,,J. Jackson enters the game for M. Bridges,10,21
61,1,4:52.0,D. DeRozan makes free throw 2 of 2,,11,21
62,1,4:37.0,,T. Warren makes 2-pt jump shot from 13 ft,11,23
63,1,4:28.0,D. DeRozan misses 2-pt jump shot from 12 ft,,11,23
64,1,4:24.0,,Defensive rebound by I. Canaan,11,23
65,1,4:19.0,,J. Jackson makes 2-pt layup from 3 ft,11,25
66,1,4:05.0,Turnover by P. Mills (bad pass; steal by R. Holmes),,11,25
67,1,3:57.0,,J. Jackson makes 2-pt layup from 10 ft,11,27
68,1,3:34.0,P. Mills makes 2-pt jump shot from 23 ft,,13,27
69,1,3:21.0,,Phoenix full timeout,13,27
70,1,3:11.0,,D. Booker misses 2-pt jump shot from 11 ft,13,27
71,1,3:08.0,Defensive rebound by D. DeRozan,,13,27
72,1,3:03.0,D. DeRozan misses 2-pt layup from 4 ft,,13,27
73,1,3:02.0,,Defensive rebound by D. Booker,13,27
74,1,2:59.0,,Turnover by D. Booker (bad pass),13,27
75,1,2:44.0,M. Belinelli misses 2-pt jump shot from 4 ft,,13,27
76,1,2:41.0,,Defensive rebound by R. Holmes,13,27
77,1,2:31.0,,T. Warren makes 2-pt layup from 1 ft (assist by J. Jackson),13,29
78,1,2:18.0,Turnover by D. DeRozan (bad pass; steal by T. Warren),,13,29
79,1,2:18.0,,Personal take foul by D. Bertāns (drawn by D. Booker),13,29
80,1,2:06.0,,I. Canaan makes 3-pt jump shot from 25 ft (assist by D. Booker),13,32
81,1,1:54.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. Bertāns),,15,32
82,1,1:39.0,,Turnover by D. Booker (bad pass),15,32
83,1,1:20.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by J. Poeltl),,17,32
84,1,1:06.0,,Personal foul by D. DeRozan (drawn by T. Warren),17,32
85,1,1:06.0,B. Forbes enters the game for D. DeRozan,,17,32
86,1,0:54.0,,T. Warren misses 2-pt layup from 5 ft (block by M. Belinelli),17,32
87,1,0:54.0,Defensive rebound by Team,,17,32
88,1,0:46.0,Turnover by D. Bertāns (out of bounds lost ball),,17,32
89,1,0:33.0,,T. Warren misses 2-pt jump shot from 15 ft,17,32
90,1,0:30.0,Defensive rebound by J. Poeltl,,17,32
91,1,0:11.0,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Mills),,19,32
92,1,0:00.0,,I. Canaan makes 2-pt jump shot from 19 ft (assist by D. Booker),19,34
93,2,11:42.0,,J. Jackson misses 3-pt jump shot from 25 ft,19,34
94,2,11:38.0,Defensive rebound by J. Poeltl,,19,34
95,2,11:31.0,Shooting foul by D. Melton (drawn by B. Forbes),,19,34
96,2,11:31.0,B. Forbes makes free throw 1 of 2,,20,34
97,2,11:31.0,B. Forbes makes free throw 2 of 2,,21,34
98,2,11:22.0,,Turnover by J. Crawford (traveling),21,34
99,2,11:22.0,D. White enters the game for P. Mills,,21,34
100,2,10:59.0,D. White misses 3-pt jump shot from 28 ft,,21,34
101,2,10:55.0,Offensive rebound by J. Poeltl,,21,34
102,2,10:47.0,Turnover by D. White (traveling),,21,34
103,2,10:34.0,,J. Jackson misses 2-pt jump shot from 17 ft,21,34
104,2,10:32.0,Defensive rebound by B. Forbes,,21,34
105,2,10:24.0,M. Belinelli misses 2-pt layup from 1 ft (block by J. Jackson),,21,34
106,2,10:24.0,Offensive rebound by Team,,21,34
107,2,10:13.0,M. Belinelli misses 3-pt jump shot from 26 ft,,21,34
108,2,10:12.0,Offensive rebound by J. Poeltl,,21,34
109,2,10:11.0,J. Poeltl misses 2-pt layup from 2 ft (block by R. Anderson),,21,34
110,2,10:10.0,,Defensive rebound by D. Melton,21,34
111,2,10:06.0,,Offensive foul by R. Holmes (drawn by M. Belinelli),21,34
112,2,10:06.0,,Turnover by R. Holmes (offensive foul),21,34
113,2,10:06.0,L. Aldridge enters the game for J. Poeltl,,21,34
114,2,10:06.0,,D. Ayton enters the game for R. Holmes,21,34
115,2,9:53.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. White),,24,34
116,2,9:33.0,,J. Jackson makes 2-pt layup from 5 ft,24,36
117,2,9:19.0,M. Belinelli misses 2-pt jump shot from 18 ft,,24,36
118,2,9:16.0,,Defensive rebound by R. Anderson,24,36
119,2,9:07.0,,D. Ayton makes 2-pt jump shot from 19 ft (assist by J. Crawford),24,38
120,2,8:52.0,B. Forbes makes 2-pt jump shot from 5 ft,,26,38
121,2,8:30.0,,J. Crawford misses 3-pt jump shot from 25 ft,26,38
122,2,8:28.0,Defensive rebound by L. Aldridge,,26,38
123,2,8:19.0,L. Aldridge misses 2-pt jump shot from 20 ft,,26,38
124,2,8:15.0,Offensive rebound by D. Cunningham,,26,38
125,2,8:10.0,L. Aldridge misses 2-pt hook shot from 5 ft,,26,38
126,2,8:09.0,,Defensive rebound by D. Ayton,26,38
127,2,7:59.0,,J. Jackson misses 2-pt hook shot from 4 ft,26,38
128,2,7:58.0,Defensive rebound by L. Aldridge,,26,38
129,2,7:58.0,Personal foul by J. Jackson (drawn by L. Aldridge),,26,38
130,2,7:58.0,D. DeRozan enters the game for M. Belinelli,,26,38
131,2,7:45.0,L. Aldridge misses 2-pt hook shot from 5 ft,,26,38
132,2,7:44.0,,Defensive rebound by D. Ayton,26,38
133,2,7:33.0,,D. Ayton misses 2-pt layup at rim (block by D. Cunningham),26,38
134,2,7:30.0,Defensive rebound by D. White,,26,38
