,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA CLIPPERS_ACTION,ATLANTA_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,Personal foul by J. Collins (drawn by S. Gilgeous-Alexander),0,0
1,1,11:35.0,,Turnover by T. Harris (bad pass; steal by D. Bembry),0,0
2,1,11:30.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Bembry),,2,0
3,1,11:14.0,,M. Gortat makes 2-pt layup from 1 ft (assist by P. Beverley),2,2
4,1,10:52.0,D. Dedmon makes 2-pt jump shot from 10 ft (assist by T. Young),,4,2
5,1,10:34.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,4,2
6,1,10:30.0,Defensive rebound by D. Dedmon,,4,2
7,1,10:21.0,J. Collins misses 3-pt jump shot from 23 ft,,4,2
8,1,10:18.0,,Defensive rebound by P. Beverley,4,2
9,1,10:09.0,,T. Harris makes 2-pt jump shot from 16 ft,4,4
10,1,9:49.0,D. Bembry misses 3-pt jump shot from 26 ft,,4,4
11,1,9:46.0,,Defensive rebound by T. Harris,4,4
12,1,9:37.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by P. Beverley),4,7
13,1,9:22.0,J. Collins makes 3-pt jump shot from 26 ft (assist by T. Young),,7,7
14,1,9:08.0,,Personal foul by D. Dedmon (drawn by P. Beverley),7,7
15,1,8:54.0,,P. Beverley misses 2-pt jump shot from 9 ft,7,7
16,1,8:52.0,,Offensive rebound by M. Gortat,7,7
17,1,8:48.0,,Turnover by M. Gortat (lost ball; steal by J. Collins),7,7
18,1,8:41.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),,9,7
19,1,8:41.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Collins),,9,7
20,1,8:41.0,J. Collins makes free throw 1 of 1,,10,7
21,1,8:24.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,10,7
22,1,8:21.0,,Offensive rebound by P. Beverley,10,7
23,1,8:19.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by T. Harris),10,10
24,1,8:07.0,T. Young misses 3-pt jump shot from 26 ft,,10,10
25,1,8:04.0,Offensive rebound by J. Collins,,10,10
26,1,7:53.0,J. Collins misses 3-pt jump shot from 23 ft,,10,10
27,1,7:51.0,,Defensive rebound by T. Harris,10,10
28,1,7:48.0,,Offensive foul by T. Harris (drawn by J. Collins),10,10
29,1,7:48.0,,Turnover by T. Harris (offensive foul),10,10
30,1,7:48.0,J. Lin enters the game for D. Bembry,,10,10
31,1,7:48.0,T. Prince enters the game for K. Huerter,,10,10
32,1,7:24.0,T. Prince misses 2-pt jump shot from 12 ft,,10,10
33,1,7:24.0,Offensive rebound by Team,,10,10
34,1,7:24.0,Turnover by Team (shot clock),,10,10
35,1,7:11.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,10,12
36,1,7:00.0,T. Young makes 2-pt jump shot from 12 ft,,12,12
37,1,6:40.0,,T. Harris misses 3-pt jump shot from 25 ft,12,12
38,1,6:36.0,Defensive rebound by D. Dedmon,,12,12
39,1,6:30.0,J. Lin makes 3-pt jump shot from 25 ft,,15,12
40,1,6:18.0,,M. Gortat misses 2-pt jump shot from 11 ft,15,12
41,1,6:16.0,Defensive rebound by T. Prince,,15,12
42,1,6:07.0,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),,18,12
43,1,5:56.0,,LA Clippers full timeout,18,12
44,1,5:56.0,D. Bembry enters the game for D. Dedmon,,18,12
45,1,5:56.0,A. Len enters the game for T. Young,,18,12
46,1,5:56.0,,M. Harrell enters the game for M. Gortat,18,12
47,1,5:45.0,,T. Harris makes 2-pt jump shot from 16 ft,18,14
48,1,5:32.0,Personal foul by M. Harrell (drawn by J. Lin),,18,14
49,1,5:24.0,T. Prince misses 2-pt jump shot from 17 ft,,18,14
50,1,5:22.0,,Defensive rebound by P. Beverley,18,14
51,1,5:14.0,,Personal foul by T. Prince (drawn by S. Gilgeous-Alexander),18,14
52,1,5:14.0,O. Spellman enters the game for J. Collins,,18,14
53,1,5:13.0,,Personal foul by D. Bembry (drawn by A. Bradley),18,14
54,1,5:09.0,,Turnover by M. Harrell (bad pass; steal by D. Bembry),18,14
55,1,5:02.0,J. Lin misses 3-pt jump shot from 23 ft,,18,14
