,QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
0,1,11:47.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),,2,0
1,1,11:47.0,Shooting foul by C. Sexton (drawn by D. Favors),,2,0
2,1,11:47.0,D. Favors makes free throw 1 of 1,,3,0
3,1,11:22.0,,T. Thompson misses 2-pt hook shot from 13 ft,3,0
4,1,11:20.0,Defensive rebound by R. Rubio,,3,0
5,1,11:13.0,J. Ingles misses 2-pt layup from 2 ft,,3,0
6,1,11:10.0,,Defensive rebound by L. Nance,3,0
7,1,10:54.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),3,2
8,1,10:43.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,5,2
9,1,10:18.0,,R. Hood makes 3-pt jump shot from 26 ft,5,5
10,1,10:05.0,J. Ingles makes 2-pt layup at rim (assist by R. Gobert),,7,5
11,1,10:05.0,Shooting foul by C. Osman (drawn by J. Ingles),,7,5
12,1,10:05.0,J. Ingles makes free throw 1 of 1,,8,5
13,1,9:49.0,,R. Hood misses 2-pt jump shot from 14 ft,8,5
14,1,9:47.0,,Offensive rebound by L. Nance,8,5
15,1,9:34.0,,R. Hood misses 2-pt jump shot from 20 ft,8,5
16,1,9:32.0,Defensive rebound by J. Ingles,,8,5
17,1,9:27.0,R. Rubio misses 2-pt layup from 1 ft,,8,5
18,1,9:25.0,Offensive rebound by D. Favors,,8,5
19,1,9:19.0,J. Ingles misses 3-pt jump shot from 26 ft,,8,5
20,1,9:16.0,,Defensive rebound by R. Hood,8,5
21,1,9:11.0,,C. Osman misses 2-pt layup from 1 ft (block by D. Favors),8,5
22,1,9:11.0,,Offensive rebound by Team,8,5
23,1,9:07.0,,T. Thompson misses 2-pt hook shot from 12 ft (block by R. Gobert),8,5
24,1,9:04.0,Defensive rebound by R. Gobert,,8,5
25,1,8:55.0,Turnover by R. Gobert (traveling),,8,5
26,1,8:32.0,,C. Sexton misses 2-pt jump shot from 17 ft,8,5
27,1,8:30.0,Defensive rebound by D. Mitchell,,8,5
28,1,8:28.0,R. Rubio misses 3-pt jump shot from 26 ft,,8,5
29,1,8:28.0,,Defensive rebound by T. Thompson,8,5
30,1,8:18.0,,Def 3 sec tech foul by Team,8,5
31,1,8:18.0,,R. Hood makes technical free throw,8,6
32,1,8:10.0,,Turnover by C. Sexton (palming),8,6
33,1,7:47.0,J. Ingles misses 3-pt jump shot from 24 ft,,8,6
34,1,7:45.0,,Defensive rebound by R. Hood,8,6
35,1,7:30.0,,C. Osman misses 2-pt jump shot from 20 ft,8,6
36,1,7:26.0,Defensive rebound by D. Favors,,8,6
37,1,7:20.0,R. Rubio misses 2-pt layup from 2 ft,,8,6
38,1,7:16.0,,Defensive rebound by T. Thompson,8,6
39,1,7:06.0,,L. Nance makes 2-pt jump shot from 13 ft (assist by C. Sexton),8,8
40,1,7:03.0,Utah full timeout,,8,8
41,1,7:03.0,J. Crowder enters the game for D. Favors,,8,8
42,1,7:03.0,K. Korver enters the game for J. Ingles,,8,8
