,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,,Turnover by D. DeRozan (bad pass; steal by M. Gasol),0,0
1,1,11:36.0,G. Temple makes 2-pt layup from 2 ft,,2,0
2,1,11:21.0,,B. Forbes misses 3-pt jump shot from 23 ft,2,0
3,1,11:21.0,Defensive rebound by M. Gasol,,2,0
4,1,11:00.0,Turnover by M. Gasol (bad pass),,2,0
5,1,10:46.0,,Turnover by D. White (out of bounds lost ball),2,0
6,1,10:33.0,M. Conley misses 2-pt jump shot from 14 ft,,2,0
7,1,10:31.0,,Defensive rebound by D. White,2,0
8,1,10:19.0,,D. DeRozan misses 2-pt jump shot from 20 ft,2,0
9,1,10:18.0,Defensive rebound by M. Gasol,,2,0
10,1,10:06.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Gasol),,5,0
11,1,9:50.0,,L. Aldridge makes 2-pt jump shot from 14 ft,5,2
12,1,9:50.0,,Shooting foul by M. Gasol (drawn by L. Aldridge),5,2
13,1,9:50.0,,L. Aldridge makes free throw 1 of 1,5,3
14,1,9:35.0,M. Conley misses 2-pt jump shot from 12 ft,,5,3
15,1,9:35.0,Offensive rebound by J. Jackson,,5,3
16,1,9:35.0,Shooting foul by D. White (drawn by J. Jackson),,5,3
17,1,9:35.0,J. Jackson makes free throw 1 of 2,,6,3
18,1,9:35.0,J. Jackson makes free throw 2 of 2,,7,3
19,1,9:15.0,,R. Gay misses 2-pt jump shot from 17 ft,7,3
20,1,9:12.0,Defensive rebound by K. Anderson,,7,3
21,1,9:08.0,Personal foul by R. Gay (drawn by J. Jackson),,7,3
22,1,9:02.0,G. Temple misses 2-pt jump shot from 9 ft,,7,3
23,1,8:58.0,Offensive rebound by M. Gasol,,7,3
24,1,8:57.0,M. Gasol misses 2-pt layup at rim,,7,3
25,1,8:56.0,Offensive rebound by M. Gasol,,7,3
26,1,8:56.0,M. Gasol misses 2-pt layup at rim,,7,3
27,1,8:55.0,,Defensive rebound by B. Forbes,7,3
28,1,8:50.0,,L. Aldridge misses 2-pt jump shot from 17 ft,7,3
29,1,8:48.0,,Offensive rebound by D. White,7,3
30,1,8:45.0,,D. White misses 2-pt layup from 10 ft,7,3
31,1,8:45.0,Defensive rebound by M. Gasol,,7,3
32,1,8:39.0,M. Conley makes 2-pt layup from 3 ft,,9,3
33,1,8:39.0,,San Antonio full timeout,9,3
34,1,8:24.0,,D. White makes 2-pt jump shot from 11 ft (assist by R. Gay),9,5
35,1,8:00.0,M. Conley makes 3-pt jump shot from 23 ft (assist by K. Anderson),,12,5
36,1,7:38.0,,D. White makes 3-pt jump shot from 26 ft (assist by L. Aldridge),12,8
37,1,7:18.0,G. Temple misses 2-pt jump shot from 23 ft,,12,8
38,1,7:14.0,,Defensive rebound by D. White,12,8
39,1,7:08.0,,Turnover by D. White (bad pass; steal by J. Jackson),12,8
40,1,7:03.0,K. Anderson misses 2-pt jump shot from 4 ft,,12,8
41,1,7:00.0,,Defensive rebound by D. DeRozan,12,8
42,1,6:52.0,,R. Gay misses 3-pt jump shot from 24 ft,12,8
43,1,6:49.0,Defensive rebound by K. Anderson,,12,8
44,1,6:41.0,M. Conley makes 3-pt jump shot from 26 ft (assist by G. Temple),,15,8
45,1,6:33.0,,San Antonio full timeout,15,8
46,1,6:33.0,J. Green enters the game for J. Jackson,,15,8
47,1,6:33.0,,M. Belinelli enters the game for B. Forbes,15,8
48,1,6:33.0,,D. Bertāns enters the game for R. Gay,15,8
49,1,6:22.0,,D. White makes 2-pt layup from 3 ft (assist by D. DeRozan),15,10
50,1,5:56.0,M. Gasol misses 2-pt jump shot from 9 ft,,15,10
51,1,5:53.0,,Defensive rebound by M. Belinelli,15,10
52,1,5:46.0,,Turnover by D. DeRozan (bad pass; steal by G. Temple),15,10
53,1,5:43.0,Turnover by M. Gasol (bad pass),,15,10
54,1,5:34.0,,M. Belinelli misses 3-pt jump shot from 28 ft,15,10
55,1,5:32.0,Defensive rebound by M. Gasol,,15,10
56,1,5:15.0,M. Conley misses 3-pt jump shot from 26 ft,,15,10
57,1,5:13.0,,Defensive rebound by D. DeRozan,15,10
58,1,5:00.0,,D. DeRozan misses 2-pt jump shot from 19 ft,15,10
59,1,4:50.0,Defensive rebound by J. Green,,15,10
60,1,4:49.0,Turnover by G. Temple (lost ball; steal by D. Bertāns),,15,10
61,1,4:45.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Bertāns),15,12
62,1,4:33.0,Personal foul by L. Aldridge (drawn by M. Gasol),,15,12
63,1,4:33.0,D. Brooks enters the game for M. Conley,,15,12
64,1,4:33.0,J. Carter enters the game for G. Temple,,15,12
65,1,4:33.0,,B. Forbes enters the game for L. Aldridge,15,12
66,1,4:33.0,,J. Poeltl enters the game for D. DeRozan,15,12
67,1,4:24.0,Turnover by J. Carter (bad pass; steal by B. Forbes),,15,12
68,1,4:18.0,,Turnover by B. Forbes (lost ball; steal by J. Carter),15,12
69,1,4:09.0,D. Brooks makes 2-pt layup from 4 ft (assist by M. Gasol),,17,12
70,1,3:55.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by B. Forbes),17,15
71,1,3:30.0,M. Gasol makes 2-pt jump shot from 13 ft,,19,15
72,1,3:17.0,,D. White makes 2-pt layup from 2 ft,19,17
73,1,3:07.0,K. Anderson misses 2-pt layup from 2 ft (block by D. White),,19,17
74,1,3:02.0,,Defensive rebound by M. Belinelli,19,17
75,1,2:59.0,,Turnover by M. Belinelli (lost ball; steal by K. Anderson),19,17
76,1,2:56.0,Memphis full timeout,,19,17
77,1,2:56.0,J. Holiday enters the game for K. Anderson,,19,17
78,1,2:56.0,J. Noah enters the game for M. Gasol,,19,17
79,1,2:56.0,,P. Mills enters the game for D. White,19,17
80,1,2:37.0,J. Green misses 2-pt jump shot from 9 ft,,19,17
81,1,2:37.0,Offensive rebound by Team,,19,17
82,1,2:37.0,,Loose ball foul by D. Bertāns (drawn by J. Noah),19,17
83,1,2:32.0,J. Holiday misses 2-pt jump shot from 15 ft,,19,17
84,1,2:30.0,,Defensive rebound by D. Bertāns,19,17
85,1,2:19.0,,Shooting foul by J. Carter (drawn by B. Forbes),19,17
86,1,2:19.0,,B. Forbes makes free throw 1 of 2,19,18
87,1,2:19.0,,B. Forbes makes free throw 2 of 2,19,19
88,1,2:09.0,J. Green misses 2-pt layup from 4 ft (block by D. Bertāns),,19,19
89,1,2:05.0,Offensive rebound by J. Green,,19,19
90,1,2:02.0,D. Brooks misses 3-pt jump shot from 26 ft,,19,19
91,1,1:59.0,,Defensive rebound by M. Belinelli,19,19
92,1,1:58.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by J. Poeltl),19,21
93,1,1:58.0,,Shooting foul by D. Brooks (drawn by M. Belinelli),19,21
94,1,1:58.0,,M. Belinelli makes free throw 1 of 1,19,22
95,1,1:42.0,J. Carter makes 3-pt jump shot from 28 ft (assist by D. Brooks),,22,22
96,1,1:30.0,,J. Poeltl makes 2-pt layup from 3 ft (assist by P. Mills),22,24
97,1,1:19.0,J. Holiday misses 2-pt jump shot from 18 ft,,22,24
98,1,1:19.0,,Defensive rebound by J. Poeltl,22,24
99,1,1:14.0,,Personal foul by J. Carter (drawn by M. Belinelli),22,24
100,1,1:14.0,,M. Belinelli makes free throw 1 of 2,22,25
101,1,1:14.0,,M. Belinelli makes free throw 2 of 2,22,26
102,1,1:03.0,Def 3 sec tech foul by Team,,22,26
103,1,1:03.0,D. Brooks misses technical free throw,,22,26
104,1,1:03.0,Offensive rebound by Team,,22,26
105,1,0:53.0,Shooting foul by B. Forbes (drawn by J. Noah),,22,26
106,1,0:53.0,J. Noah misses free throw 1 of 2,,22,26
107,1,0:53.0,Offensive rebound by Team,,22,26
108,1,0:53.0,J. Noah makes free throw 2 of 2,,23,26
109,1,0:42.0,,Turnover by P. Mills (bad pass; steal by J. Carter),23,26
110,1,0:33.0,J. Carter misses 2-pt jump shot from 17 ft,,23,26
111,1,0:29.0,,Defensive rebound by D. Bertāns,23,26
112,1,0:11.0,,Personal foul by D. Brooks (drawn by J. Poeltl),23,26
113,1,0:11.0,,J. Poeltl misses free throw 1 of 2,23,26
114,1,0:11.0,,Offensive rebound by Team,23,26
115,1,0:11.0,M. Conley enters the game for J. Carter,,23,26
116,1,0:11.0,,D. White enters the game for P. Mills,23,26
117,1,0:11.0,,J. Poeltl makes free throw 2 of 2,23,27
118,1,0:01.0,M. Conley makes 2-pt jump shot from 12 ft,,25,27
119,1,0:01.0,,D. Bertāns misses 3-pt jump shot from 62 ft,25,27
120,1,0:01.0,,Offensive rebound by Team,25,27
121,2,11:36.0,M. Conley misses 2-pt jump shot from 16 ft,,25,27
122,2,11:33.0,Offensive rebound by M. Conley,,25,27
123,2,11:30.0,D. Brooks misses 2-pt jump shot from 15 ft,,25,27
124,2,11:30.0,Offensive rebound by Team,,25,27
125,2,11:29.0,,Loose ball foul by J. Poeltl (drawn by J. Noah),25,27
126,2,11:22.0,J. Noah misses 2-pt hook shot from 6 ft,,25,27
127,2,11:22.0,,Defensive rebound by D. Bertāns,25,27
128,2,11:22.0,Technical foul by J. Noah,,25,27
129,2,11:22.0,,D. DeRozan makes technical free throw,25,28
130,2,11:12.0,,Personal foul by J. Holiday (drawn by D. DeRozan),25,28
131,2,11:00.0,,Turnover by D. DeRozan (bad pass; steal by J. Green),25,28
132,2,10:52.0,J. Green makes 2-pt layup from 2 ft (assist by M. Conley),,27,28
133,2,10:52.0,Shooting foul by M. Belinelli (drawn by J. Green),,27,28
134,2,10:52.0,J. Green makes free throw 1 of 1,,28,28
135,2,10:42.0,,Personal foul by D. Brooks (drawn by D. Bertāns),28,28
136,2,10:42.0,K. Anderson enters the game for D. Brooks,,28,28
137,2,10:42.0,,R. Gay enters the game for D. Bertāns,28,28
138,2,10:33.0,,D. DeRozan makes 2-pt jump shot from 12 ft,28,30
139,2,10:18.0,J. Noah misses 2-pt jump shot from 12 ft,,28,30
140,2,10:12.0,Offensive rebound by J. Green,,28,30
141,2,10:12.0,J. Green misses 2-pt layup at rim,,28,30
142,2,10:11.0,,Defensive rebound by D. DeRozan,28,30
143,2,10:05.0,,Shooting foul by M. Conley (drawn by P. Mills),28,30
144,2,10:05.0,,P. Mills makes free throw 1 of 3,28,31
145,2,10:05.0,,P. Mills misses free throw 2 of 3,28,31
146,2,10:05.0,,Offensive rebound by Team,28,31
147,2,10:05.0,,B. Forbes enters the game for M. Belinelli,28,31
148,2,10:05.0,,P. Mills makes free throw 3 of 3,28,32
149,2,9:54.0,J. Holiday misses 2-pt jump shot from 8 ft,,28,32
150,2,9:51.0,,Defensive rebound by J. Poeltl,28,32
151,2,9:30.0,,B. Forbes misses 3-pt jump shot from 26 ft,28,32
152,2,9:28.0,Defensive rebound by J. Noah,,28,32
153,2,9:20.0,Turnover by J. Noah (bad pass; steal by P. Mills),,28,32
154,2,9:16.0,,P. Mills makes 2-pt layup from 2 ft,28,34
155,2,9:10.0,Memphis full timeout,,28,34
156,2,9:10.0,M. Gasol enters the game for J. Green,,28,34
157,2,9:10.0,J. Jackson enters the game for J. Holiday,,28,34
158,2,9:10.0,G. Temple enters the game for J. Noah,,28,34
159,2,9:10.0,,L. Aldridge enters the game for J. Poeltl,28,34
160,2,9:02.0,M. Conley makes 3-pt jump shot from 26 ft (assist by K. Anderson),,31,34
161,2,8:46.0,,D. DeRozan makes 2-pt dunk at rim (assist by P. Mills),31,36
162,2,8:26.0,G. Temple misses 3-pt jump shot from 25 ft,,31,36
163,2,8:23.0,,Defensive rebound by R. Gay,31,36
164,2,8:18.0,,R. Gay misses 2-pt layup from 3 ft,31,36
165,2,8:17.0,Defensive rebound by M. Gasol,,31,36
166,2,8:14.0,G. Temple misses 2-pt layup from 2 ft,,31,36
167,2,8:11.0,,Defensive rebound by L. Aldridge,31,36
168,2,7:52.0,,R. Gay makes 2-pt jump shot from 8 ft (assist by L. Aldridge),31,38
169,2,7:35.0,M. Conley misses 3-pt jump shot from 27 ft,,31,38
170,2,7:35.0,,Defensive rebound by P. Mills,31,38
171,2,7:15.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by L. Aldridge),31,41
172,2,6:52.0,Turnover by K. Anderson (bad pass; steal by R. Gay),,31,41
173,2,6:49.0,,P. Mills makes 2-pt layup from 3 ft (assist by R. Gay),31,43
174,2,6:49.0,Memphis full timeout,,31,43
175,2,6:49.0,,D. White enters the game for P. Mills,31,43
