,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DETROIT_ACTION,PHOENIX_SCORE,DETROIT_SCORE
0,1,11:49.0,,Personal foul by T. Warren (drawn by G. Robinson),0,0
1,1,11:33.0,,A. Drummond misses 2-pt jump shot from 13 ft,0,0
2,1,11:33.0,,Offensive rebound by Team,0,0
3,1,11:33.0,,Turnover by Team (shot clock),0,0
4,1,11:16.0,T. Warren misses 3-pt jump shot from 29 ft,,0,0
5,1,11:12.0,,Defensive rebound by B. Griffin,0,0
6,1,11:07.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by R. Jackson),0,2
7,1,10:56.0,T. Warren misses 2-pt jump shot from 9 ft,,0,2
8,1,10:52.0,,Defensive rebound by G. Robinson,0,2
9,1,10:42.0,,Personal foul by T. Ariza (drawn by R. Jackson),0,2
10,1,10:36.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),0,5
11,1,10:21.0,D. Booker makes 2-pt jump shot from 12 ft,,2,5
12,1,10:11.0,,R. Jackson misses 3-pt jump shot from 28 ft,2,5
13,1,10:07.0,,Offensive rebound by A. Drummond,2,5
14,1,10:06.0,,Turnover by A. Drummond (bad pass; steal by T. Ariza),2,5
15,1,9:48.0,D. Booker makes 2-pt layup from 2 ft (assist by T. Ariza),,4,5
16,1,9:30.0,,A. Drummond makes 2-pt layup from 5 ft (assist by B. Griffin),4,7
17,1,9:14.0,M. Bridges misses 3-pt jump shot from 26 ft,,4,7
18,1,9:12.0,,Defensive rebound by A. Drummond,4,7
19,1,8:55.0,,Turnover by B. Griffin (traveling),4,7
20,1,8:36.0,D. Ayton makes 2-pt layup from 5 ft (assist by D. Booker),,6,7
21,1,8:18.0,,R. Jackson misses 2-pt layup from 9 ft (block by D. Ayton),6,7
22,1,8:14.0,Defensive rebound by D. Ayton,,6,7
23,1,8:11.0,T. Warren misses 3-pt jump shot from 22 ft,,6,7
24,1,8:08.0,,Defensive rebound by A. Drummond,6,7
25,1,7:50.0,,R. Bullock makes 2-pt layup from 3 ft (assist by B. Griffin),6,9
26,1,7:38.0,D. Booker makes 2-pt layup from 3 ft (assist by D. Ayton),,8,9
27,1,7:21.0,,B. Griffin makes 2-pt hook shot from 4 ft,8,11
28,1,7:08.0,D. Booker makes 2-pt jump shot from 17 ft,,10,11
29,1,6:54.0,,Turnover by B. Griffin (bad pass; steal by T. Warren),10,11
30,1,6:48.0,T. Warren misses 2-pt layup from 4 ft,,10,11
31,1,6:43.0,Offensive rebound by D. Ayton,,10,11
32,1,6:43.0,D. Ayton makes 2-pt layup at rim,,12,11
33,1,6:43.0,,Detroit full timeout,12,11
34,1,6:27.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by R. Bullock),12,13
35,1,6:17.0,Turnover by D. Booker (bad pass; steal by A. Drummond),,12,13
36,1,6:16.0,,Shooting foul by D. Booker (drawn by A. Drummond),12,13
37,1,6:16.0,,A. Drummond misses free throw 1 of 2,12,13
38,1,6:16.0,,Offensive rebound by Team,12,13
39,1,6:16.0,,A. Drummond misses free throw 2 of 2,12,13
40,1,6:10.0,Defensive rebound by M. Bridges,,12,13
41,1,6:04.0,M. Bridges makes 2-pt layup from 5 ft (assist by D. Booker),,14,13
42,1,5:57.0,,R. Jackson misses 3-pt jump shot from 28 ft,14,13
43,1,5:40.0,Defensive rebound by T. Warren,,14,13
44,1,5:31.0,D. Booker misses 3-pt jump shot from 27 ft,,14,13
45,1,5:28.0,,Defensive rebound by A. Drummond,14,13
46,1,5:25.0,,Turnover by R. Bullock (bad pass; steal by T. Warren),14,13
47,1,5:13.0,D. Ayton misses 2-pt hook shot from 8 ft,,14,13
48,1,5:13.0,Offensive rebound by Team,,14,13
49,1,5:13.0,Personal foul by R. Jackson (drawn by T. Warren),,14,13
50,1,5:13.0,J. Jackson enters the game for T. Ariza,,14,13
51,1,5:01.0,D. Booker misses 2-pt jump shot from 12 ft,,14,13
52,1,5:00.0,Offensive rebound by D. Ayton,,14,13
53,1,5:00.0,D. Ayton makes 2-pt layup from 8 ft,,16,13
54,1,5:00.0,,Violation by Team (def goaltending),16,13
55,1,4:42.0,,B. Griffin misses 3-pt jump shot from 28 ft,16,13
56,1,4:41.0,,Offensive rebound by Team,16,13
57,1,4:31.0,,G. Robinson makes 2-pt layup from 7 ft (assist by A. Drummond),16,15
58,1,4:09.0,T. Warren makes 2-pt layup from 5 ft,,18,15
59,1,4:01.0,,B. Griffin misses 2-pt layup from 5 ft,18,15
60,1,4:01.0,Defensive rebound by M. Bridges,,18,15
61,1,3:52.0,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Booker),,20,15
62,1,3:34.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),20,18
63,1,3:26.0,Phoenix full timeout,,20,18
64,1,3:26.0,,L. Galloway enters the game for R. Jackson,20,18
65,1,3:26.0,,I. Smith enters the game for G. Robinson,20,18
66,1,3:13.0,J. Jackson makes 2-pt jump shot from 18 ft,,22,18
67,1,2:52.0,,Shooting foul by J. Jackson (drawn by L. Galloway),22,18
68,1,2:52.0,,L. Galloway makes free throw 1 of 3,22,19
69,1,2:52.0,,L. Galloway makes free throw 2 of 3,22,20
70,1,2:52.0,I. Canaan enters the game for D. Ayton,,22,20
71,1,2:52.0,R. Holmes enters the game for M. Bridges,,22,20
72,1,2:52.0,,L. Galloway makes free throw 3 of 3,22,21
73,1,2:40.0,J. Jackson makes 2-pt layup from 7 ft,,24,21
74,1,2:30.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by B. Griffin),24,24
75,1,2:14.0,Shooting foul by L. Galloway (drawn by J. Jackson),,24,24
76,1,2:14.0,J. Jackson makes free throw 1 of 2,,25,24
77,1,2:14.0,,S. Johnson enters the game for B. Griffin,25,24
78,1,2:14.0,J. Jackson misses free throw 2 of 2,,25,24
79,1,2:13.0,,Defensive rebound by A. Drummond,25,24
80,1,1:58.0,,I. Smith misses 2-pt jump shot from 19 ft,25,24
