,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,A. Davis misses 2-pt dunk from 1 ft,0,0
1,1,11:42.0,,Offensive rebound by J. Randle,0,0
2,1,11:39.0,,J. Randle misses 2-pt layup from 2 ft,0,0
3,1,11:37.0,Defensive rebound by J. Bolden,,0,0
4,1,11:36.0,Turnover by J. Bolden (bad pass; steal by A. Davis),,0,0
5,1,11:25.0,,A. Davis makes 2-pt hook shot from 4 ft (assist by E. Payton),0,2
6,1,11:11.0,J. Bolden misses 3-pt jump shot from 26 ft,,0,2
7,1,11:11.0,,Defensive rebound by K. Williams,0,2
8,1,11:03.0,,A. Davis makes 2-pt dunk from 2 ft (assist by E. Payton),0,4
9,1,10:57.0,Personal foul by E. Payton (drawn by B. Simmons),,0,4
10,1,10:53.0,B. Simmons misses 3-pt jump shot from 25 ft,,0,4
11,1,10:48.0,Offensive rebound by B. Simmons,,0,4
12,1,10:45.0,B. Simmons misses 2-pt layup from 4 ft,,0,4
13,1,10:45.0,Offensive rebound by B. Simmons,,0,4
14,1,10:40.0,B. Simmons makes 2-pt layup from 2 ft,,2,4
15,1,10:35.0,,E. Payton misses 2-pt layup from 1 ft,2,4
16,1,10:33.0,Defensive rebound by J. Bolden,,2,4
17,1,10:30.0,Turnover by J. Bolden (bad pass; steal by J. Holiday),,2,4
18,1,10:27.0,,E. Payton misses 2-pt layup from 2 ft (block by J. Bolden),2,4
19,1,10:22.0,,Offensive rebound by E. Payton,2,4
20,1,10:21.0,,E. Payton misses 2-pt layup from 4 ft,2,4
21,1,10:19.0,Defensive rebound by J. Bolden,,2,4
22,1,10:16.0,J. Redick misses 3-pt jump shot from 25 ft,,2,4
23,1,10:14.0,,Defensive rebound by J. Holiday,2,4
24,1,10:09.0,,J. Holiday misses 2-pt layup from 8 ft (block by J. Bolden),2,4
25,1,10:09.0,,Offensive rebound by Team,2,4
26,1,10:04.0,,Turnover by J. Holiday (lost ball; steal by J. Butler),2,4
27,1,9:57.0,B. Simmons misses 2-pt layup from 3 ft,,2,4
28,1,9:53.0,Offensive rebound by J. Butler,,2,4
29,1,9:49.0,T. Harris misses 3-pt jump shot from 24 ft,,2,4
30,1,9:49.0,Offensive rebound by B. Simmons,,2,4
31,1,9:42.0,B. Simmons makes 2-pt layup from 2 ft,,4,4
32,1,9:31.0,,J. Randle makes 2-pt dunk from 1 ft,4,6
33,1,9:18.0,J. Bolden makes 2-pt layup from 2 ft (assist by J. Butler),,6,6
34,1,9:06.0,,J. Randle misses 3-pt jump shot from 26 ft,6,6
35,1,9:03.0,Defensive rebound by J. Bolden,,6,6
36,1,8:51.0,B. Simmons misses 2-pt hook shot from 3 ft (block by A. Davis),,6,6
37,1,8:48.0,,Defensive rebound by E. Payton,6,6
38,1,8:46.0,,K. Williams misses 3-pt jump shot from 23 ft,6,6
39,1,8:43.0,,Offensive rebound by J. Randle,6,6
40,1,8:43.0,,Shooting foul by J. Redick (drawn by J. Randle),6,6
41,1,8:43.0,,J. Randle makes free throw 1 of 2,6,7
42,1,8:43.0,,J. Randle makes free throw 2 of 2,6,8
43,1,8:31.0,J. Butler misses 3-pt jump shot from 23 ft,,6,8
44,1,8:25.0,Offensive rebound by B. Simmons,,6,8
45,1,8:20.0,J. Butler misses 2-pt jump shot from 18 ft (block by A. Davis),,6,8
46,1,8:20.0,Offensive rebound by Team,,6,8
47,1,8:19.0,Turnover by Team (shot clock),,6,8
48,1,8:10.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by E. Payton),6,11
49,1,8:00.0,J. Redick misses 3-pt jump shot from 25 ft,,6,11
50,1,8:00.0,,Defensive rebound by J. Randle,6,11
51,1,7:51.0,,Turnover by E. Payton (lost ball; steal by J. Bolden),6,11
52,1,7:46.0,J. Redick misses 2-pt layup from 2 ft,,6,11
53,1,7:43.0,,Defensive rebound by K. Williams,6,11
54,1,7:36.0,,J. Randle misses 2-pt layup from 4 ft,6,11
55,1,7:34.0,Defensive rebound by B. Simmons,,6,11
56,1,7:31.0,Personal foul by J. Randle (drawn by J. Butler),,6,11
57,1,7:29.0,Shooting foul by E. Payton (drawn by J. Redick),,6,11
58,1,7:29.0,J. Redick misses free throw 1 of 2,,6,11
59,1,7:29.0,Offensive rebound by Team,,6,11
60,1,7:29.0,,E. Moore enters the game for E. Payton,6,11
61,1,7:29.0,J. Redick misses free throw 2 of 2,,6,11
62,1,7:26.0,,Defensive rebound by J. Randle,6,11
63,1,7:19.0,,E. Moore makes 2-pt jump shot from 23 ft (assist by J. Holiday),6,13
64,1,7:06.0,J. Bolden makes 3-pt jump shot from 26 ft (assist by J. Redick),,9,13
65,1,6:52.0,,E. Moore misses 2-pt layup from 3 ft,9,13
66,1,6:52.0,Defensive rebound by B. Simmons,,9,13
67,1,6:33.0,J. Redick makes 3-pt jump shot from 26 ft,,12,13
68,1,6:23.0,,Shooting foul by B. Simmons (drawn by J. Randle),12,13
69,1,6:23.0,,New Orleans full timeout,12,13
70,1,6:23.0,M. Scott enters the game for J. Butler,,12,13
71,1,6:23.0,J. Simmons enters the game for J. Redick,,12,13
72,1,6:23.0,,J. Randle makes free throw 1 of 2,12,14
73,1,6:23.0,,J. Randle makes free throw 2 of 2,12,15
74,1,6:04.0,J. Bolden misses 2-pt layup from 2 ft (block by J. Randle),,12,15
75,1,5:57.0,Offensive rebound by J. Bolden,,12,15
76,1,5:57.0,J. Bolden makes 2-pt layup at rim,,14,15
77,1,5:47.0,,A. Davis makes 2-pt layup from 1 ft,14,17
78,1,5:39.0,B. Simmons makes 2-pt layup from 2 ft,,16,17
79,1,5:29.0,,Personal foul by J. Bolden (drawn by J. Holiday),16,17
80,1,5:29.0,,C. Diallo enters the game for A. Davis,16,17
81,1,5:21.0,,E. Moore misses 3-pt jump shot from 23 ft,16,17
82,1,5:17.0,Defensive rebound by J. Simmons,,16,17
83,1,5:12.0,J. Bolden misses 3-pt jump shot from 23 ft,,16,17
84,1,5:07.0,Offensive rebound by M. Scott,,16,17
85,1,5:05.0,T. Harris makes 2-pt dunk from 1 ft (assist by M. Scott),,18,17
86,1,4:56.0,,Personal foul by J. Bolden (drawn by J. Randle),18,17
87,1,4:56.0,B. Marjanović enters the game for J. Bolden,,18,17
88,1,4:51.0,,Turnover by K. Williams (bad pass; steal by B. Simmons),18,17
89,1,4:47.0,B. Simmons makes 2-pt layup from 2 ft,,20,17
90,1,4:31.0,,J. Holiday misses 3-pt jump shot from 27 ft,20,17
91,1,4:31.0,Defensive rebound by B. Marjanović,,20,17
92,1,4:19.0,T. Harris makes 2-pt jump shot from 6 ft,,22,17
93,1,4:14.0,,J. Holiday makes 2-pt layup from 1 ft,22,19
94,1,4:13.0,Philadelphia full timeout,,22,19
95,1,4:13.0,,S. Johnson enters the game for K. Williams,22,19
96,1,4:05.0,Personal foul by C. Diallo (drawn by B. Marjanović),,22,19
97,1,3:59.0,Turnover by B. Simmons (lost ball; steal by E. Moore),,22,19
98,1,3:53.0,,J. Holiday misses 3-pt jump shot from 26 ft,22,19
99,1,3:49.0,Defensive rebound by J. Simmons,,22,19
100,1,3:43.0,Shooting foul by C. Diallo (drawn by J. Simmons),,22,19
101,1,3:43.0,J. Simmons makes free throw 1 of 2,,23,19
102,1,3:43.0,,F. Jackson enters the game for C. Diallo,23,19
103,1,3:43.0,,J. Okafor enters the game for J. Holiday,23,19
104,1,3:43.0,J. Simmons makes free throw 2 of 2,,24,19
105,1,3:31.0,,J. Okafor misses 2-pt jump shot from 11 ft,24,19
106,1,3:27.0,,Offensive rebound by S. Johnson,24,19
107,1,3:14.0,,F. Jackson misses 2-pt layup from 7 ft (block by B. Marjanović),24,19
108,1,3:14.0,Defensive rebound by T. Harris,,24,19
109,1,3:08.0,J. Simmons misses 3-pt jump shot from 25 ft,,24,19
110,1,3:04.0,,Defensive rebound by J. Randle,24,19
111,1,3:04.0,J. Butler enters the game for T. Harris,,24,19
112,1,3:04.0,T. McConnell enters the game for B. Simmons,,24,19
113,1,3:04.0,J. Redick enters the game for J. Simmons,,24,19
114,1,2:55.0,,F. Jackson misses 2-pt jump shot from 14 ft,24,19
115,1,2:53.0,Defensive rebound by J. Butler,,24,19
116,1,2:45.0,J. Butler misses 2-pt layup from 2 ft,,24,19
117,1,2:43.0,Offensive rebound by B. Marjanović,,24,19
118,1,2:33.0,T. McConnell makes 2-pt layup from 3 ft (assist by J. Butler),,26,19
119,1,2:26.0,,Shooting foul by B. Marjanović (drawn by J. Okafor),26,19
120,1,2:26.0,,J. Okafor misses free throw 1 of 2,26,19
121,1,2:26.0,,Offensive rebound by Team,26,19
122,1,2:26.0,,J. Okafor misses free throw 2 of 2,26,19
123,1,2:24.0,Defensive rebound by J. Butler,,26,19
124,1,2:13.0,Shooting foul by S. Johnson (drawn by J. Butler),,26,19
125,1,2:13.0,J. Butler makes free throw 1 of 2,,27,19
126,1,2:13.0,,I. Clark enters the game for J. Randle,27,19
127,1,2:13.0,J. Butler misses free throw 2 of 2,,27,19
128,1,2:11.0,,Defensive rebound by J. Okafor,27,19
129,1,2:01.0,,J. Okafor makes 2-pt layup from 3 ft,27,21
130,1,1:47.0,M. Scott misses 2-pt jump shot from 7 ft,,27,21
131,1,1:45.0,,Defensive rebound by S. Johnson,27,21
132,1,1:25.0,,J. Okafor misses 2-pt jump shot from 11 ft,27,21
133,1,1:22.0,Defensive rebound by T. McConnell,,27,21
134,1,1:13.0,B. Marjanović makes 2-pt jump shot from 6 ft (assist by J. Butler),,29,21
135,1,1:06.0,,E. Moore misses 3-pt jump shot from 26 ft (block by J. Butler),29,21
136,1,1:05.0,,Offensive rebound by E. Moore,29,21
137,1,0:58.0,,I. Clark makes 3-pt jump shot from 24 ft (assist by E. Moore),29,24
138,1,0:46.0,T. McConnell misses 2-pt jump shot from 15 ft,,29,24
139,1,0:46.0,,Defensive rebound by J. Okafor,29,24
140,1,0:36.0,,F. Jackson misses 2-pt layup from 2 ft,29,24
141,1,0:32.0,Defensive rebound by B. Marjanović,,29,24
142,1,0:27.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by M. Scott),,31,24
143,1,0:09.0,,E. Moore misses 2-pt layup from 3 ft,31,24
144,1,0:06.0,Defensive rebound by J. Butler,,31,24
145,1,0:04.0,J. Redick misses 3-pt jump shot from 28 ft,,31,24
146,1,0:00.0,,Defensive rebound by S. Johnson,31,24
147,2,11:45.0,J. Butler makes 2-pt layup from 2 ft,,33,24
148,2,11:31.0,,Turnover by S. Johnson (traveling),33,24
149,2,11:23.0,Turnover by J. Butler (traveling),,33,24
150,2,11:10.0,,S. Johnson makes 2-pt layup from 2 ft (assist by K. Williams),33,26
151,2,10:56.0,Personal foul by I. Clark (drawn by T. Harris),,33,26
152,2,10:45.0,B. Marjanović makes 2-pt layup from 2 ft (assist by T. McConnell),,35,26
153,2,10:34.0,,S. Johnson misses 2-pt jump shot from 17 ft,35,26
154,2,10:30.0,Defensive rebound by T. Harris,,35,26
155,2,10:28.0,J. Butler misses 2-pt layup from 3 ft (block by K. Williams),,35,26
