,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),0,3
1,1,11:30.0,D. DeRozan misses 2-pt jump shot from 14 ft,,0,3
2,1,11:27.0,,Defensive rebound by K. Middleton,0,3
3,1,11:17.0,,M. Brogdon makes 2-pt layup from 2 ft,0,5
4,1,11:05.0,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. DeRozan),,2,5
5,1,10:55.0,,M. Brogdon makes 2-pt layup from 2 ft,2,7
6,1,10:39.0,R. Gay misses 2-pt layup from 3 ft,,2,7
7,1,10:37.0,,Defensive rebound by K. Middleton,2,7
8,1,10:27.0,,Personal foul by D. Cunningham (drawn by K. Middleton),2,7
9,1,10:14.0,,E. Bledsoe makes 2-pt jump shot from 19 ft (assist by B. Lopez),2,9
10,1,9:53.0,L. Aldridge misses 2-pt jump shot from 10 ft,,2,9
11,1,9:48.0,,Defensive rebound by K. Middleton,2,9
12,1,9:46.0,,K. Middleton makes 2-pt layup from 1 ft,2,11
13,1,9:46.0,San Antonio full timeout,,2,11
14,1,9:26.0,D. DeRozan makes 2-pt layup from 1 ft (assist by B. Forbes),,4,11
15,1,9:17.0,,K. Middleton misses 3-pt jump shot from 23 ft,4,11
16,1,9:15.0,Defensive rebound by L. Aldridge,,4,11
17,1,9:09.0,D. DeRozan misses 2-pt jump shot from 14 ft (block by B. Lopez),,4,11
18,1,9:05.0,Offensive rebound by D. DeRozan,,4,11
19,1,9:03.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,7,11
20,1,8:46.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),7,13
21,1,8:33.0,Turnover by R. Gay (bad pass; steal by K. Middleton),,7,13
22,1,8:28.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),7,15
23,1,8:09.0,L. Aldridge misses 2-pt jump shot from 18 ft,,7,15
24,1,8:05.0,,Defensive rebound by E. Bledsoe,7,15
25,1,7:56.0,,E. Bledsoe makes 2-pt jump shot from 12 ft,7,17
26,1,7:37.0,D. DeRozan misses 2-pt jump shot from 20 ft,,7,17
27,1,7:35.0,,Defensive rebound by B. Lopez,7,17
28,1,7:28.0,,G. Antetokounmpo makes 2-pt layup at rim,7,19
29,1,7:17.0,B. Forbes makes 2-pt jump shot from 12 ft (assist by L. Aldridge),,9,19
30,1,7:02.0,,Turnover by E. Bledsoe (bad pass; steal by D. Cunningham),9,19
31,1,6:53.0,D. DeRozan makes 2-pt jump shot from 15 ft,,11,19
32,1,6:38.0,,Turnover by K. Middleton (bad pass; steal by D. DeRozan),11,19
33,1,6:32.0,Personal foul by M. Brogdon (drawn by D. DeRozan),,11,19
34,1,6:32.0,,T. Maker enters the game for B. Lopez,11,19
35,1,6:25.0,Turnover by B. Forbes (bad pass; steal by G. Antetokounmpo),,11,19
36,1,6:21.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,11,21
37,1,5:58.0,D. DeRozan misses 2-pt jump shot from 8 ft,,11,21
38,1,5:58.0,,Defensive rebound by Team,11,21
39,1,5:41.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),11,24
40,1,5:24.0,Turnover by L. Aldridge (bad pass; steal by E. Bledsoe),,11,24
