,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:46.0,D. Howard makes 2-pt layup from 3 ft (assist by J. Wall),,2,0
1,1,11:34.0,,N. Vučević makes 2-pt jump shot from 21 ft,2,2
2,1,11:16.0,B. Beal makes 2-pt layup from 3 ft,,4,2
3,1,10:57.0,,D. Augustin misses 3-pt jump shot from 25 ft,4,2
4,1,10:55.0,Defensive rebound by M. Morris,,4,2
5,1,10:49.0,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Wall),,7,2
6,1,10:30.0,,A. Gordon misses 2-pt jump shot from 5 ft,7,2
7,1,10:28.0,Defensive rebound by J. Wall,,7,2
8,1,10:23.0,O. Porter misses 3-pt jump shot from 26 ft,,7,2
9,1,10:21.0,Offensive rebound by D. Howard,,7,2
10,1,10:18.0,Turnover by D. Howard (out of bounds lost ball),,7,2
11,1,10:09.0,,Personal foul by M. Morris (drawn by A. Gordon),7,2
12,1,9:58.0,,A. Gordon misses 2-pt jump shot from 12 ft,7,2
13,1,9:55.0,Defensive rebound by D. Howard,,7,2
14,1,9:48.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Wall),,9,2
15,1,9:36.0,,Turnover by N. Vučević (bad pass),9,2
16,1,9:24.0,D. Howard makes 2-pt layup from 3 ft,,11,2
17,1,9:19.0,,Orlando full timeout,11,2
18,1,9:07.0,,Turnover by W. Iwundu (bad pass; steal by J. Wall),11,2
19,1,9:03.0,J. Wall makes 2-pt dunk from 1 ft,,13,2
20,1,8:43.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),13,5
21,1,8:25.0,O. Porter misses 2-pt jump shot from 15 ft,,13,5
22,1,8:23.0,Offensive rebound by D. Howard,,13,5
23,1,8:23.0,Shooting foul by N. Vučević (drawn by D. Howard),,13,5
24,1,8:23.0,D. Howard misses free throw 1 of 2,,13,5
25,1,8:23.0,Offensive rebound by Team,,13,5
26,1,8:23.0,D. Howard misses free throw 2 of 2,,13,5
27,1,8:20.0,,Defensive rebound by D. Augustin,13,5
28,1,8:13.0,,Shooting foul by B. Beal (drawn by A. Gordon),13,5
29,1,8:13.0,,A. Gordon makes free throw 1 of 2,13,6
30,1,8:13.0,,A. Gordon makes free throw 2 of 2,13,7
31,1,7:57.0,B. Beal makes 3-pt jump shot from 26 ft (assist by O. Porter),,16,7
32,1,7:42.0,,W. Iwundu misses 2-pt layup from 2 ft,16,7
33,1,7:33.0,,Offensive rebound by W. Iwundu,16,7
34,1,7:33.0,,W. Iwundu makes 2-pt layup at rim,16,9
35,1,7:31.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Wall),,18,9
36,1,7:15.0,,E. Fournier misses 3-pt jump shot from 23 ft,18,9
37,1,7:15.0,Defensive rebound by D. Howard,,18,9
38,1,7:08.0,J. Wall misses 3-pt jump shot from 24 ft,,18,9
39,1,7:08.0,,Defensive rebound by Team,18,9
40,1,6:55.0,,E. Fournier misses 2-pt jump shot from 22 ft,18,9
41,1,6:52.0,Defensive rebound by B. Beal,,18,9
42,1,6:30.0,J. Wall misses 2-pt layup from 3 ft (block by N. Vučević),,18,9
43,1,6:30.0,Offensive rebound by Team,,18,9
44,1,6:30.0,Turnover by Team (shot clock),,18,9
45,1,6:13.0,,A. Gordon misses 2-pt jump shot from 9 ft,18,9
46,1,6:09.0,,Offensive rebound by A. Gordon,18,9
47,1,6:06.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by A. Gordon),18,12
48,1,5:59.0,M. Morris misses 2-pt layup from 3 ft,,18,12
49,1,5:56.0,,Defensive rebound by N. Vučević,18,12
50,1,5:42.0,,N. Vučević makes 2-pt jump shot from 11 ft (assist by A. Gordon),18,14
51,1,5:27.0,Turnover by B. Beal (out of bounds lost ball),,18,14
52,1,5:27.0,J. Green enters the game for M. Morris,,18,14
53,1,5:16.0,,E. Fournier makes 2-pt layup from 2 ft,18,16
54,1,4:59.0,B. Beal misses 2-pt jump shot from 20 ft,,18,16
55,1,4:57.0,,Defensive rebound by N. Vučević,18,16
56,1,4:51.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),18,18
57,1,4:51.0,Washington full timeout,,18,18
58,1,4:51.0,T. Satoranský enters the game for O. Porter,,18,18
59,1,4:51.0,,J. Grant enters the game for D. Augustin,18,18
60,1,4:51.0,,T. Ross enters the game for W. Iwundu,18,18
61,1,4:32.0,D. Howard misses 2-pt jump shot from 16 ft,,18,18
62,1,4:28.0,,Defensive rebound by T. Ross,18,18
63,1,4:19.0,,E. Fournier misses 3-pt jump shot from 25 ft,18,18
64,1,4:16.0,Defensive rebound by D. Howard,,18,18
65,1,4:10.0,J. Wall misses 3-pt jump shot from 26 ft,,18,18
66,1,4:06.0,,Defensive rebound by T. Ross,18,18
67,1,3:52.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Fournier),18,21
68,1,3:35.0,J. Wall misses 2-pt jump shot from 3 ft,,18,21
69,1,3:33.0,,Defensive rebound by T. Ross,18,21
70,1,3:31.0,,Turnover by T. Ross (bad pass),18,21
71,1,3:31.0,A. Rivers enters the game for B. Beal,,18,21
72,1,3:08.0,J. Wall makes 2-pt layup from 2 ft,,20,21
73,1,2:50.0,,E. Fournier makes 2-pt hook shot from 2 ft,20,23
74,1,2:36.0,J. Green makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,23,23
75,1,2:18.0,,A. Gordon misses 2-pt dunk from 2 ft,23,23
76,1,2:15.0,,Offensive rebound by J. Grant,23,23
77,1,2:10.0,,T. Ross misses 2-pt jump shot from 8 ft,23,23
78,1,2:10.0,Defensive rebound by D. Howard,,23,23
79,1,1:54.0,Turnover by A. Rivers (step out of bounds),,23,23
80,1,1:54.0,K. Oubre enters the game for J. Wall,,23,23
81,1,1:54.0,,M. Bamba enters the game for E. Fournier,23,23
82,1,1:54.0,,J. Martin enters the game for A. Gordon,23,23
