,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
0,1,11:41.0,,J. Isaac makes 2-pt jump shot from 22 ft,0,2
1,1,11:25.0,K. Thompson misses 2-pt jump shot from 12 ft,,0,2
2,1,11:25.0,,Defensive rebound by A. Gordon,0,2
3,1,11:18.0,,A. Gordon misses 2-pt jump shot from 14 ft,0,2
4,1,11:15.0,Defensive rebound by A. McKinnie,,0,2
5,1,11:06.0,D. Cousins misses 3-pt jump shot from 26 ft,,0,2
6,1,11:01.0,,Defensive rebound by A. Gordon,0,2
7,1,10:56.0,,A. Gordon makes 2-pt layup from 1 ft,0,4
8,1,10:41.0,S. Curry misses 2-pt layup from 2 ft,,0,4
9,1,10:37.0,,Defensive rebound by N. Vučević,0,4
10,1,10:35.0,,J. Isaac makes 2-pt dunk from 2 ft (assist by D. Augustin),0,6
11,1,10:21.0,D. Cousins makes 2-pt layup at rim (assist by S. Curry),,2,6
12,1,10:05.0,,Turnover by N. Vučević (off goaltending),2,6
13,1,9:54.0,K. Thompson misses 3-pt jump shot from 26 ft,,2,6
14,1,9:49.0,,Defensive rebound by A. Gordon,2,6
15,1,9:43.0,,Turnover by A. Gordon (bad pass),2,6
16,1,9:32.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,5,6
17,1,9:19.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by N. Vučević),5,9
18,1,9:09.0,D. Cousins makes 2-pt jump shot from 8 ft,,7,9
19,1,8:51.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),7,11
20,1,8:32.0,K. Thompson misses 3-pt jump shot from 26 ft,,7,11
21,1,8:29.0,,Defensive rebound by J. Isaac,7,11
22,1,8:13.0,,N. Vučević misses 2-pt layup from 1 ft,7,11
23,1,8:10.0,Defensive rebound by A. McKinnie,,7,11
24,1,7:59.0,D. Cousins misses 3-pt jump shot from 26 ft,,7,11
25,1,7:55.0,,Defensive rebound by A. Gordon,7,11
26,1,7:48.0,,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),7,13
27,1,7:48.0,Golden State full timeout,,7,13
28,1,7:42.0,S. Curry misses 3-pt jump shot from 25 ft,,7,13
29,1,7:38.0,,Defensive rebound by A. Gordon,7,13
30,1,7:25.0,,N. Vučević misses 2-pt jump shot from 12 ft,7,13
31,1,7:21.0,Defensive rebound by D. Cousins,,7,13
32,1,7:05.0,A. McKinnie misses 2-pt jump shot from 23 ft,,7,13
33,1,7:03.0,,Defensive rebound by A. Gordon,7,13
34,1,6:53.0,,Personal foul by D. Green (drawn by A. Gordon),7,13
35,1,6:42.0,,Shooting foul by D. Cousins (drawn by N. Vučević),7,13
36,1,6:42.0,,N. Vučević makes free throw 1 of 2,7,14
37,1,6:42.0,,N. Vučević makes free throw 2 of 2,7,15
38,1,6:32.0,S. Curry makes 2-pt jump shot from 14 ft,,9,15
39,1,6:08.0,,D. Augustin makes 2-pt layup from 2 ft,9,17
40,1,6:04.0,Personal foul by E. Fournier (drawn by K. Thompson),,9,17
41,1,6:04.0,J. Jerebko enters the game for A. McKinnie,,9,17
42,1,6:04.0,,W. Iwundu enters the game for A. Gordon,9,17
43,1,5:56.0,S. Curry misses 3-pt jump shot from 26 ft,,9,17
44,1,5:55.0,Offensive rebound by J. Jerebko,,9,17
45,1,5:49.0,Shooting foul by D. Augustin (drawn by S. Curry),,9,17
46,1,5:49.0,S. Curry makes free throw 1 of 3,,10,17
47,1,5:49.0,S. Curry makes free throw 2 of 3,,11,17
48,1,5:49.0,J. Bell enters the game for D. Green,,11,17
49,1,5:49.0,S. Curry makes free throw 3 of 3,,12,17
50,1,5:32.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by N. Vučević),12,20
51,1,5:20.0,K. Thompson misses 2-pt jump shot from 8 ft,,12,20
52,1,5:20.0,,Defensive rebound by Team,12,20
53,1,5:03.0,,E. Fournier misses 2-pt jump shot from 13 ft,12,20
54,1,5:00.0,Defensive rebound by J. Bell,,12,20
55,1,4:54.0,D. Cousins misses 2-pt layup from 7 ft,,12,20
56,1,4:50.0,,Defensive rebound by W. Iwundu,12,20
57,1,4:46.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by W. Iwundu),12,23
58,1,4:33.0,S. Curry makes 3-pt jump shot from 25 ft,,15,23
59,1,4:12.0,,N. Vučević misses 2-pt jump shot from 10 ft,15,23
60,1,4:09.0,Defensive rebound by D. Cousins,,15,23
61,1,4:06.0,Offensive foul by S. Curry (drawn by D. Augustin),,15,23
62,1,4:06.0,Turnover by S. Curry (offensive foul),,15,23
63,1,4:06.0,S. Livingston enters the game for D. Cousins,,15,23
64,1,4:06.0,,I. Briscoe enters the game for D. Augustin,15,23
65,1,4:06.0,,T. Ross enters the game for E. Fournier,15,23
66,1,4:01.0,,Offensive foul by J. Isaac (drawn by S. Curry),15,23
67,1,4:01.0,,Turnover by J. Isaac (offensive foul),15,23
68,1,4:01.0,D. Lee enters the game for K. Thompson,,15,23
69,1,3:51.0,S. Curry makes 3-pt jump shot from 26 ft,,18,23
70,1,3:42.0,,Orlando full timeout,18,23
71,1,3:34.0,,Turnover by T. Ross (out of bounds lost ball),18,23
72,1,3:21.0,Turnover by J. Bell (bad pass),,18,23
73,1,3:10.0,,W. Iwundu misses 3-pt jump shot from 24 ft,18,23
74,1,3:05.0,Defensive rebound by Team,,18,23
75,1,3:05.0,,K. Birch enters the game for J. Isaac,18,23
76,1,3:05.0,,A. Gordon enters the game for N. Vučević,18,23
77,1,3:01.0,S. Curry misses 3-pt jump shot from 26 ft,,18,23
78,1,2:57.0,,Defensive rebound by T. Ross,18,23
79,1,2:38.0,,I. Briscoe misses 2-pt hook shot from 4 ft,18,23
80,1,2:36.0,Defensive rebound by S. Curry,,18,23
81,1,2:29.0,Personal foul by T. Ross (drawn by J. Jerebko),,18,23
82,1,2:24.0,D. Lee misses 3-pt jump shot from 27 ft,,18,23
83,1,2:21.0,,Defensive rebound by A. Gordon,18,23
84,1,2:12.0,,Shooting foul by J. Bell (drawn by K. Birch),18,23
85,1,2:12.0,,K. Birch misses free throw 1 of 2,18,23
86,1,2:12.0,,Offensive rebound by Team,18,23
87,1,2:12.0,,K. Birch makes free throw 2 of 2,18,24
88,1,1:53.0,Turnover by S. Livingston (bad pass; steal by T. Ross),,18,24
89,1,1:49.0,,W. Iwundu makes 2-pt jump shot from 5 ft (assist by T. Ross),18,26
90,1,1:35.0,J. Jerebko misses 3-pt jump shot from 27 ft,,18,26
91,1,1:31.0,,Defensive rebound by W. Iwundu,18,26
92,1,1:28.0,,Turnover by W. Iwundu (out of bounds lost ball),18,26
93,1,1:12.0,S. Curry makes 2-pt layup from 3 ft,,20,26
94,1,0:50.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by T. Ross),20,28
95,1,0:42.0,S. Curry makes 2-pt layup from 2 ft,,22,28
96,1,0:24.0,,T. Ross misses 3-pt jump shot from 27 ft,22,28
97,1,0:22.0,Defensive rebound by J. Bell,,22,28
98,1,0:05.0,S. Curry misses 3-pt jump shot from 27 ft,,22,28
99,1,0:02.0,,Defensive rebound by A. Gordon,22,28
100,2,11:37.0,D. Cousins makes 2-pt layup from 2 ft,,24,28
101,2,11:20.0,,Offensive foul by T. Ross (drawn by S. Livingston),24,28
102,2,11:20.0,,Turnover by T. Ross (offensive foul),24,28
103,2,11:12.0,Offensive foul by D. Cousins (drawn by K. Birch),,24,28
104,2,11:12.0,Turnover by D. Cousins (offensive foul),,24,28
105,2,11:02.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by K. Birch),24,31
106,2,10:48.0,K. Thompson misses 3-pt jump shot from 25 ft,,24,31
107,2,10:45.0,,Defensive rebound by I. Briscoe,24,31
108,2,10:42.0,,E. Fournier misses 2-pt jump shot from 12 ft,24,31
109,2,10:39.0,Defensive rebound by D. Cousins,,24,31
110,2,10:35.0,Shooting foul by K. Birch (drawn by D. Cousins),,24,31
111,2,10:35.0,D. Cousins makes free throw 1 of 2,,25,31
112,2,10:35.0,D. Cousins makes free throw 2 of 2,,26,31
113,2,10:25.0,,K. Birch makes 2-pt layup from 2 ft (assist by T. Ross),26,33
114,2,10:09.0,D. Green misses 3-pt jump shot from 27 ft,,26,33
115,2,10:06.0,,Defensive rebound by I. Briscoe,26,33
116,2,10:03.0,,A. Gordon makes 2-pt layup from 2 ft (assist by E. Fournier),26,35
117,2,9:47.0,K. Thompson misses 2-pt jump shot from 19 ft,,26,35
118,2,9:45.0,,Defensive rebound by E. Fournier,26,35
119,2,9:39.0,,E. Fournier misses 2-pt jump shot from 19 ft,26,35
120,2,9:36.0,Defensive rebound by Q. Cook,,26,35
121,2,9:31.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by Q. Cook),,29,35
122,2,9:13.0,,K. Birch makes 2-pt dunk from 1 ft (assist by T. Ross),29,37
123,2,9:13.0,Golden State full timeout,,29,37
124,2,8:58.0,D. Cousins makes 2-pt layup from 2 ft,,31,37
125,2,8:41.0,,E. Fournier misses 2-pt layup from 1 ft,31,37
126,2,8:41.0,Defensive rebound by D. Cousins,,31,37
127,2,8:31.0,D. Cousins misses 3-pt jump shot from 25 ft,,31,37
128,2,8:26.0,,Defensive rebound by I. Briscoe,31,37
129,2,8:20.0,,Shooting foul by K. Thompson (drawn by I. Briscoe),31,37
130,2,8:20.0,,I. Briscoe makes free throw 1 of 2,31,38
131,2,8:20.0,A. McKinnie enters the game for S. Livingston,,31,38
132,2,8:20.0,,I. Briscoe makes free throw 2 of 2,31,39
133,2,8:07.0,K. Thompson misses 3-pt jump shot from 27 ft,,31,39
134,2,8:05.0,,Defensive rebound by I. Briscoe,31,39
135,2,8:00.0,,T. Ross misses 3-pt jump shot from 25 ft,31,39
136,2,7:56.0,Defensive rebound by D. Cousins,,31,39
137,2,7:50.0,Personal foul by I. Briscoe (drawn by K. Thompson),,31,39
138,2,7:50.0,K. Looney enters the game for D. Cousins,,31,39
139,2,7:50.0,,J. Isaac enters the game for E. Fournier,31,39
140,2,7:50.0,,W. Iwundu enters the game for A. Gordon,31,39
