,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
0,1,11:44.0,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),,3,0
1,1,11:17.0,,G. Temple misses 2-pt jump shot from 19 ft,3,0
2,1,11:16.0,,Offensive rebound by Team,3,0
3,1,11:10.0,,Turnover by K. Anderson (lost ball; steal by J. Tatum),3,0
4,1,10:55.0,J. Tatum misses 2-pt jump shot from 19 ft,,3,0
5,1,10:52.0,Offensive rebound by A. Horford,,3,0
6,1,10:51.0,M. Morris misses 3-pt jump shot from 25 ft,,3,0
7,1,10:47.0,,Defensive rebound by K. Anderson,3,0
8,1,10:41.0,,K. Anderson makes 2-pt jump shot from 7 ft,3,2
9,1,10:15.0,M. Morris misses 3-pt jump shot from 25 ft,,3,2
10,1,10:12.0,,Defensive rebound by M. Gasol,3,2
11,1,10:01.0,,Personal foul by M. Smart (drawn by M. Gasol),3,2
12,1,9:55.0,,M. Conley makes 2-pt jump shot from 8 ft (assist by G. Temple),3,4
13,1,9:36.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by K. Irving),,6,4
14,1,9:24.0,,Turnover by M. Gasol (lost ball; steal by J. Tatum),6,4
15,1,9:17.0,Turnover by J. Tatum (bad pass; steal by J. Jackson),,6,4
16,1,9:11.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),6,6
17,1,8:57.0,,Loose ball foul by J. Jackson (drawn by K. Irving),6,6
18,1,8:51.0,A. Horford misses 2-pt jump shot from 20 ft,,6,6
19,1,8:48.0,,Defensive rebound by K. Anderson,6,6
20,1,8:29.0,,M. Conley misses 3-pt jump shot from 25 ft,6,6
21,1,8:24.0,Defensive rebound by M. Morris,,6,6
22,1,8:19.0,Turnover by A. Horford (lost ball; steal by K. Anderson),,6,6
23,1,8:13.0,,G. Temple misses 3-pt jump shot from 25 ft,6,6
24,1,8:08.0,Defensive rebound by J. Tatum,,6,6
25,1,8:03.0,K. Irving misses 3-pt jump shot from 26 ft,,6,6
26,1,8:03.0,Offensive rebound by A. Horford,,6,6
27,1,7:59.0,M. Smart misses 3-pt jump shot from 25 ft,,6,6
28,1,7:56.0,,Defensive rebound by J. Jackson,6,6
29,1,7:45.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by K. Anderson),6,8
30,1,7:29.0,A. Horford misses 3-pt jump shot from 25 ft,,6,8
31,1,7:26.0,Offensive rebound by J. Tatum,,6,8
32,1,7:26.0,J. Tatum makes 2-pt dunk at rim,,8,8
33,1,7:26.0,,Memphis full timeout,8,8
34,1,7:08.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),8,10
35,1,6:51.0,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),,11,10
36,1,6:34.0,,J. Jackson makes 2-pt jump shot from 3 ft (assist by M. Conley),11,12
37,1,6:18.0,K. Irving makes 2-pt jump shot from 9 ft,,13,12
38,1,6:04.0,,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),13,14
39,1,5:43.0,M. Morris misses 2-pt jump shot from 17 ft,,13,14
40,1,5:41.0,,Defensive rebound by K. Anderson,13,14
41,1,5:26.0,,M. Gasol misses 3-pt jump shot from 26 ft,13,14
42,1,5:23.0,Defensive rebound by J. Tatum,,13,14
43,1,5:17.0,J. Tatum makes 2-pt layup at rim (assist by A. Horford),,15,14
44,1,4:56.0,,M. Conley misses 3-pt jump shot from 27 ft,15,14
45,1,4:53.0,Defensive rebound by J. Tatum,,15,14
46,1,4:45.0,Turnover by A. Horford (bad pass; steal by G. Temple),,15,14
47,1,4:38.0,,K. Anderson misses 3-pt jump shot from 26 ft,15,14
48,1,4:35.0,Defensive rebound by M. Morris,,15,14
49,1,4:25.0,Shooting foul by M. Conley (drawn by M. Morris),,15,14
50,1,4:25.0,M. Morris makes free throw 1 of 2,,16,14
51,1,4:25.0,G. Hayward enters the game for A. Horford,,16,14
52,1,4:25.0,D. Theis enters the game for M. Smart,,16,14
