,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:37.0,,J. Tatum makes 2-pt jump shot from 12 ft,0,2
1,1,11:18.0,Turnover by D. Collison (bad pass; steal by M. Smart),,0,2
2,1,11:13.0,,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),0,4
3,1,10:56.0,D. Sabonis misses 2-pt jump shot from 22 ft,,0,4
4,1,10:54.0,,Defensive rebound by M. Morris,0,4
5,1,10:43.0,,M. Morris misses 2-pt jump shot from 13 ft,0,4
6,1,10:41.0,Defensive rebound by D. Sabonis,,0,4
7,1,10:33.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,3,4
8,1,10:18.0,,K. Irving makes 2-pt layup from 2 ft,3,6
9,1,10:07.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,6,6
10,1,9:51.0,,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),6,8
11,1,9:46.0,V. Oladipo misses 3-pt jump shot from 25 ft,,6,8
12,1,9:44.0,,Defensive rebound by A. Horford,6,8
13,1,9:32.0,,J. Tatum makes 3-pt jump shot from 26 ft,6,11
14,1,9:11.0,Shooting foul by M. Morris (drawn by D. Sabonis),,6,11
15,1,9:11.0,D. Sabonis makes free throw 1 of 2,,7,11
16,1,9:11.0,D. Sabonis makes free throw 2 of 2,,8,11
17,1,8:57.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by M. Smart),8,13
18,1,8:45.0,B. Bogdanović misses 2-pt hook shot from 8 ft,,8,13
19,1,8:43.0,,Defensive rebound by A. Horford,8,13
20,1,8:43.0,Technical foul by B. Bogdanović,,8,13
21,1,8:43.0,,K. Irving makes technical free throw,8,14
22,1,8:27.0,,A. Horford makes 2-pt hook shot from 7 ft,8,16
23,1,8:06.0,T. Young misses 2-pt hook shot from 3 ft (block by M. Smart),,8,16
24,1,8:00.0,,Defensive rebound by M. Smart,8,16
25,1,7:58.0,,M. Smart misses 3-pt jump shot from 27 ft,8,16
26,1,7:58.0,Defensive rebound by T. Young,,8,16
27,1,7:46.0,D. Collison misses 2-pt layup from 3 ft,,8,16
28,1,7:45.0,,Defensive rebound by J. Tatum,8,16
29,1,7:37.0,,J. Tatum makes 2-pt jump shot from 10 ft (assist by A. Horford),8,18
30,1,7:36.0,Indiana full timeout,,8,18
31,1,7:26.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,8,18
32,1,7:24.0,,Defensive rebound by A. Horford,8,18
33,1,7:13.0,,K. Irving misses 2-pt jump shot from 19 ft,8,18
34,1,7:12.0,Defensive rebound by B. Bogdanović,,8,18
35,1,6:50.0,D. Collison misses 3-pt jump shot from 24 ft,,8,18
36,1,6:48.0,,Defensive rebound by J. Tatum,8,18
37,1,6:34.0,,K. Irving misses 2-pt jump shot from 15 ft,8,18
38,1,6:30.0,Defensive rebound by V. Oladipo,,8,18
39,1,6:19.0,D. Collison makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,11,18
40,1,5:58.0,,Personal foul by V. Oladipo (drawn by A. Horford),11,18
41,1,5:52.0,,A. Horford misses 2-pt jump shot from 16 ft,11,18
42,1,5:48.0,,Offensive rebound by M. Morris,11,18
43,1,5:46.0,,M. Morris makes 3-pt jump shot from 26 ft,11,21
44,1,5:34.0,,Violation by Team (kicked ball),11,21
45,1,5:34.0,,G. Hayward enters the game for J. Tatum,11,21
46,1,5:30.0,V. Oladipo misses 3-pt jump shot from 26 ft,,11,21
47,1,5:26.0,Offensive rebound by B. Bogdanović,,11,21
48,1,5:21.0,T. Young makes 2-pt hook shot from 3 ft (assist by B. Bogdanović),,13,21
49,1,5:06.0,,A. Horford misses 2-pt hook shot from 6 ft,13,21
50,1,5:04.0,,Offensive rebound by M. Morris,13,21
51,1,5:02.0,,M. Smart misses 3-pt jump shot from 23 ft,13,21
52,1,5:01.0,Defensive rebound by Team,,13,21
53,1,5:01.0,,Loose ball foul by A. Horford (drawn by V. Oladipo),13,21
54,1,5:01.0,,D. Theis enters the game for A. Horford,13,21
55,1,4:50.0,T. Young makes 2-pt layup from 2 ft (assist by D. Sabonis),,15,21
56,1,4:28.0,,Turnover by G. Hayward (out of bounds lost ball),15,21
57,1,4:16.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,18,21
58,1,4:16.0,C. Joseph enters the game for D. Collison,,18,21
59,1,4:16.0,,J. Brown enters the game for M. Morris,18,21
60,1,4:16.0,,T. Rozier enters the game for M. Smart,18,21
61,1,3:53.0,,G. Hayward misses 2-pt layup from 3 ft,18,21
62,1,3:52.0,,Offensive rebound by D. Theis,18,21
63,1,3:52.0,,Shooting foul by D. Sabonis (drawn by D. Theis),18,21
