,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,Turnover by G. Temple (bad pass),0,0
1,1,11:24.0,D. Gallinari misses 3-pt jump shot from 24 ft,,0,0
2,1,11:21.0,,Defensive rebound by K. Anderson,0,0
3,1,11:18.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),0,2
4,1,11:04.0,M. Gortat misses 2-pt layup from 1 ft,,0,2
5,1,11:02.0,,Defensive rebound by M. Conley,0,2
6,1,10:57.0,,J. Jackson makes 2-pt hook shot from 6 ft (assist by G. Temple),0,4
7,1,10:44.0,Turnover by M. Gortat (lost ball; steal by J. Jackson),,0,4
8,1,10:34.0,,J. Jackson misses 3-pt jump shot from 26 ft,0,4
9,1,10:31.0,Defensive rebound by T. Harris,,0,4
10,1,10:26.0,T. Harris misses 2-pt jump shot from 19 ft,,0,4
11,1,10:23.0,,Defensive rebound by M. Conley,0,4
12,1,10:17.0,,M. Gasol misses 2-pt hook shot from 7 ft,0,4
13,1,10:13.0,Defensive rebound by D. Gallinari,,0,4
14,1,10:00.0,D. Gallinari misses 2-pt jump shot from 23 ft,,0,4
15,1,9:59.0,,Defensive rebound by K. Anderson,0,4
16,1,9:55.0,,M. Conley makes 2-pt layup from 2 ft (assist by K. Anderson),0,6
17,1,9:40.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by M. Conley),,0,6
18,1,9:34.0,,K. Anderson misses 2-pt layup at rim (block by M. Gortat),0,6
19,1,9:33.0,,Offensive rebound by K. Anderson,0,6
20,1,9:33.0,,K. Anderson makes 2-pt jump shot from 4 ft,0,8
21,1,9:33.0,LA Clippers full timeout,,0,8
22,1,9:11.0,D. Gallinari misses 2-pt layup at rim (block by J. Jackson),,0,8
23,1,9:11.0,Offensive rebound by Team,,0,8
24,1,9:09.0,T. Harris misses 2-pt jump shot from 20 ft,,0,8
25,1,9:06.0,,Defensive rebound by J. Jackson,0,8
26,1,8:56.0,,J. Jackson misses 2-pt layup from 2 ft (block by M. Gortat),0,8
27,1,8:56.0,,Offensive rebound by Team,0,8
28,1,8:47.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by K. Anderson),0,10
29,1,8:33.0,A. Bradley misses 2-pt jump shot from 16 ft (block by M. Conley),,0,10
30,1,8:31.0,,Defensive rebound by M. Conley,0,10
31,1,8:22.0,,M. Gasol misses 2-pt jump shot from 12 ft,0,10
32,1,8:18.0,Defensive rebound by A. Bradley,,0,10
33,1,8:12.0,A. Bradley misses 2-pt jump shot from 17 ft,,0,10
34,1,8:09.0,,Defensive rebound by M. Gasol,0,10
35,1,8:00.0,,G. Temple misses 3-pt jump shot from 26 ft,0,10
36,1,7:58.0,Defensive rebound by M. Gortat,,0,10
37,1,7:38.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by T. Harris),,3,10
38,1,7:12.0,,J. Jackson misses 3-pt jump shot from 25 ft,3,10
39,1,7:10.0,Defensive rebound by T. Harris,,3,10
40,1,7:00.0,Personal foul by J. Jackson (drawn by D. Gallinari),,3,10
41,1,6:46.0,T. Harris misses 2-pt jump shot from 20 ft,,3,10
42,1,6:44.0,,Defensive rebound by M. Conley,3,10
43,1,6:30.0,,Personal foul by D. Gallinari (drawn by J. Jackson),3,10
44,1,6:22.0,,G. Temple misses 2-pt layup at rim (block by S. Gilgeous-Alexander),3,10
45,1,6:19.0,Defensive rebound by T. Harris,,3,10
46,1,6:09.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,5,10
47,1,5:58.0,,Turnover by K. Anderson (lost ball; steal by S. Gilgeous-Alexander),5,10
48,1,5:55.0,,Memphis full timeout,5,10
49,1,5:55.0,,J. Green enters the game for M. Conley,5,10
50,1,5:55.0,,S. Mack enters the game for J. Jackson,5,10
51,1,5:48.0,Turnover by M. Gortat (traveling),,5,10
52,1,5:33.0,,Turnover by M. Gasol (bad pass),5,10
53,1,5:33.0,L. Williams enters the game for A. Bradley,,5,10
54,1,5:14.0,Personal foul by J. Green (drawn by D. Gallinari),,5,10
55,1,5:14.0,,M. Brooks enters the game for G. Temple,5,10
56,1,5:05.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,8,10
57,1,4:45.0,,J. Green makes 2-pt hook shot from 7 ft (assist by K. Anderson),8,12
58,1,4:32.0,D. Gallinari misses 3-pt jump shot from 25 ft,,8,12
59,1,4:29.0,Offensive rebound by S. Gilgeous-Alexander,,8,12
60,1,4:20.0,S. Gilgeous-Alexander misses 2-pt jump shot from 7 ft,,8,12
61,1,4:16.0,Offensive rebound by M. Gortat,,8,12
62,1,4:09.0,M. Gortat makes 2-pt layup from 1 ft (assist by D. Gallinari),,10,12
63,1,3:53.0,,M. Brooks makes 3-pt jump shot from 23 ft (assist by K. Anderson),10,15
64,1,3:39.0,T. Harris misses 2-pt layup from 1 ft,,10,15
65,1,3:37.0,,Defensive rebound by M. Gasol,10,15
66,1,3:22.0,,S. Mack misses 2-pt layup from 1 ft (block by M. Gortat),10,15
67,1,3:22.0,,Offensive rebound by Team,10,15
68,1,3:22.0,P. Beverley enters the game for S. Gilgeous-Alexander,,10,15
69,1,3:22.0,M. Harrell enters the game for M. Gortat,,10,15
70,1,3:22.0,M. Scott enters the game for T. Harris,,10,15
71,1,3:22.0,,O. Casspi enters the game for K. Anderson,10,15
72,1,3:22.0,,J. Jackson enters the game for M. Gasol,10,15
73,1,3:17.0,,S. Mack misses 2-pt jump shot from 18 ft,10,15
74,1,3:14.0,,Offensive rebound by J. Jackson,10,15
75,1,3:11.0,,M. Brooks misses 2-pt jump shot from 15 ft,10,15
76,1,3:05.0,,Offensive rebound by J. Green,10,15
77,1,3:05.0,,J. Green makes 2-pt layup at rim,10,17
78,1,2:49.0,L. Williams misses 2-pt jump shot from 18 ft,,10,17
79,1,2:47.0,Offensive rebound by M. Scott,,10,17
80,1,2:40.0,Personal foul by O. Casspi (drawn by D. Gallinari),,10,17
81,1,2:40.0,T. Wallace enters the game for D. Gallinari,,10,17
82,1,2:33.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,12,17
83,1,2:15.0,,J. Jackson makes 2-pt jump shot from 10 ft (assist by S. Mack),12,19
84,1,2:05.0,Shooting foul by S. Mack (drawn by P. Beverley),,12,19
85,1,2:05.0,P. Beverley makes free throw 1 of 2,,13,19
86,1,2:05.0,,M. Conley enters the game for S. Mack,13,19
87,1,2:05.0,P. Beverley misses free throw 2 of 2,,13,19
88,1,2:02.0,Offensive rebound by M. Scott,,13,19
89,1,1:58.0,M. Harrell makes 2-pt layup at rim (assist by L. Williams),,15,19
90,1,1:42.0,,M. Conley makes 2-pt layup from 2 ft,15,21
91,1,1:28.0,M. Scott misses 3-pt jump shot from 25 ft,,15,21
92,1,1:26.0,,Defensive rebound by O. Casspi,15,21
93,1,1:20.0,,O. Casspi makes 2-pt layup from 1 ft (assist by M. Brooks),15,23
94,1,1:08.0,Turnover by L. Williams (lost ball; steal by J. Green),,15,23
95,1,1:04.0,,J. Green makes 2-pt dunk at rim,15,25
96,1,0:49.0,Turnover by M. Scott (traveling),,15,25
97,1,0:33.0,,M. Conley makes 2-pt jump shot from 17 ft,15,27
98,1,0:12.0,M. Scott misses 3-pt jump shot from 26 ft,,15,27
