,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,A. Bradley makes 2-pt jump shot from 4 ft (assist by T. Harris),0,2
1,1,11:29.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,2
2,1,11:17.0,,T. Harris misses 3-pt jump shot from 27 ft,3,2
3,1,11:17.0,,Offensive rebound by M. Gortat,3,2
4,1,11:09.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Bradley),3,5
5,1,10:53.0,J. Murray makes 2-pt jump shot from 14 ft,,5,5
6,1,10:33.0,,T. Harris misses 2-pt jump shot from 13 ft,5,5
7,1,10:30.0,Defensive rebound by M. Plumlee,,5,5
8,1,10:29.0,Personal foul by M. Gortat (drawn by N. Jokić),,5,5
9,1,10:22.0,J. Murray misses 2-pt jump shot from 13 ft,,5,5
10,1,10:18.0,,Defensive rebound by M. Gortat,5,5
11,1,10:16.0,,Turnover by M. Gortat (bad pass; steal by J. Murray),5,5
12,1,10:12.0,J. Hernangómez misses 3-pt jump shot from 28 ft,,5,5
13,1,10:10.0,,Defensive rebound by M. Gortat,5,5
14,1,10:07.0,,D. Gallinari makes 2-pt dunk at rim (assist by A. Bradley),5,7
15,1,9:44.0,Turnover by M. Plumlee (lost ball; steal by D. Gallinari),,5,7
16,1,9:36.0,,M. Gortat makes 2-pt layup from 1 ft (assist by D. Gallinari),5,9
17,1,9:24.0,J. Murray makes 3-pt jump shot from 26 ft,,8,9
18,1,9:05.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,8,9
19,1,8:58.0,,Offensive rebound by T. Harris,8,9
20,1,8:58.0,,T. Harris makes 2-pt dunk from 1 ft,8,11
21,1,8:51.0,M. Plumlee misses 2-pt layup from 1 ft,,8,11
22,1,8:49.0,,Defensive rebound by M. Gortat,8,11
23,1,8:41.0,,M. Gortat misses 2-pt dunk from 1 ft,8,11
24,1,8:38.0,Defensive rebound by J. Murray,,8,11
25,1,8:36.0,J. Murray makes 2-pt jump shot from 20 ft,,10,11
26,1,8:16.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),10,13
27,1,8:08.0,Denver full timeout,,10,13
28,1,8:08.0,M. Beasley enters the game for M. Plumlee,,10,13
29,1,7:54.0,J. Murray misses 2-pt jump shot from 7 ft,,10,13
30,1,7:51.0,,Defensive rebound by T. Harris,10,13
31,1,7:45.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,10,13
32,1,7:45.0,Defensive rebound by N. Jokić,,10,13
33,1,7:23.0,N. Jokić makes 2-pt jump shot from 12 ft,,12,13
34,1,6:58.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by D. Gallinari),12,16
35,1,6:43.0,N. Jokić misses 2-pt jump shot from 7 ft,,12,16
36,1,6:43.0,,Defensive rebound by D. Gallinari,12,16
37,1,6:43.0,,Personal foul by N. Jokić (drawn by D. Gallinari),12,16
38,1,6:33.0,,A. Bradley misses 2-pt layup from 1 ft,12,16
39,1,6:32.0,Defensive rebound by J. Murray,,12,16
40,1,6:18.0,M. Beasley misses 3-pt jump shot from 25 ft,,12,16
41,1,6:15.0,,Defensive rebound by M. Gortat,12,16
42,1,6:05.0,,T. Harris makes 2-pt jump shot from 5 ft,12,18
43,1,5:49.0,N. Jokić makes 2-pt layup from 2 ft,,14,18
44,1,5:35.0,,Personal foul by J. Hernangómez (drawn by D. Gallinari),14,18
45,1,5:35.0,M. Morris enters the game for J. Murray,,14,18
46,1,5:24.0,,D. Gallinari misses 2-pt layup from 2 ft (block by J. Hernangómez),14,18
47,1,5:21.0,Defensive rebound by J. Hernangómez,,14,18
48,1,5:09.0,Turnover by N. Jokić (lost ball; steal by A. Bradley),,14,18
49,1,5:03.0,,Shooting foul by J. Hernangómez (drawn by D. Gallinari),14,18
50,1,5:03.0,,D. Gallinari makes free throw 1 of 2,14,19
51,1,5:03.0,T. Lyles enters the game for J. Hernangómez,,14,19
52,1,5:03.0,,M. Harrell enters the game for M. Gortat,14,19
53,1,5:03.0,,D. Gallinari makes free throw 2 of 2,14,20
54,1,4:43.0,M. Beasley misses 2-pt jump shot from 19 ft,,14,20
55,1,4:39.0,,Defensive rebound by M. Harrell,14,20
