,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,T. Harris makes 2-pt jump shot from 3 ft,0,2
1,1,11:26.0,J. Johnson makes 2-pt layup at rim (assist by J. Winslow),,2,2
2,1,11:16.0,,Turnover by T. Harris (lost ball; steal by J. Winslow),2,2
3,1,11:06.0,R. McGruder misses 3-pt jump shot from 26 ft,,2,2
4,1,11:02.0,,Defensive rebound by T. Harris,2,2
5,1,10:55.0,,T. Harris misses 2-pt jump shot from 14 ft,2,2
6,1,10:52.0,Defensive rebound by J. Johnson,,2,2
7,1,10:43.0,Personal foul by S. Gilgeous-Alexander (drawn by J. Johnson),,2,2
8,1,10:39.0,T. Johnson misses 3-pt jump shot from 25 ft,,2,2
9,1,10:35.0,,Defensive rebound by D. Gallinari,2,2
10,1,10:27.0,,D. Gallinari misses 2-pt layup from 3 ft,2,2
11,1,10:27.0,,Offensive rebound by B. Marjanović,2,2
12,1,10:27.0,,Shooting foul by B. Adebayo (drawn by B. Marjanović),2,2
13,1,10:27.0,,B. Marjanović makes free throw 1 of 2,2,3
14,1,10:27.0,,B. Marjanović makes free throw 2 of 2,2,4
15,1,10:14.0,J. Winslow misses 2-pt jump shot from 18 ft,,2,4
16,1,10:12.0,,Defensive rebound by A. Bradley,2,4
17,1,10:07.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,2,6
18,1,9:53.0,Turnover by T. Johnson (lost ball; steal by T. Harris),,2,6
19,1,9:46.0,,T. Harris misses 3-pt jump shot from 24 ft,2,6
20,1,9:43.0,Defensive rebound by R. McGruder,,2,6
21,1,9:29.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,5,6
22,1,9:06.0,,T. Harris misses 3-pt jump shot from 27 ft,5,6
23,1,9:03.0,Defensive rebound by T. Johnson,,5,6
24,1,8:59.0,J. Johnson makes 2-pt layup from 1 ft,,7,6
25,1,8:59.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Johnson),,7,6
26,1,8:59.0,J. Johnson makes free throw 1 of 1,,8,6
27,1,8:50.0,,Shooting foul by T. Johnson (drawn by S. Gilgeous-Alexander),8,6
28,1,8:50.0,,S. Gilgeous-Alexander makes free throw 1 of 2,8,7
29,1,8:50.0,,S. Gilgeous-Alexander makes free throw 2 of 2,8,8
30,1,8:37.0,J. Winslow makes 2-pt hook shot from 8 ft,,10,8
31,1,8:24.0,,B. Marjanović makes 2-pt layup at rim (assist by S. Gilgeous-Alexander),10,10
32,1,8:07.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,13,10
33,1,7:56.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,13,10
34,1,7:52.0,Defensive rebound by J. Johnson,,13,10
35,1,7:42.0,J. Winslow misses 3-pt jump shot from 28 ft,,13,10
36,1,7:39.0,,Defensive rebound by B. Marjanović,13,10
37,1,7:26.0,,Turnover by B. Marjanović (3 sec),13,10
38,1,7:26.0,K. Olynyk enters the game for B. Adebayo,,13,10
39,1,7:26.0,,P. Beverley enters the game for S. Gilgeous-Alexander,13,10
40,1,7:12.0,Shooting foul by P. Beverley (drawn by K. Olynyk),,13,10
41,1,7:12.0,K. Olynyk makes free throw 1 of 2,,14,10
42,1,7:12.0,K. Olynyk makes free throw 2 of 2,,15,10
43,1,6:57.0,,D. Gallinari makes 3-pt jump shot from 27 ft,15,13
44,1,6:32.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,18,13
45,1,6:18.0,,D. Gallinari makes 2-pt layup from 2 ft,18,15
46,1,6:04.0,J. Winslow misses 3-pt jump shot from 25 ft,,18,15
47,1,6:02.0,,Defensive rebound by Team,18,15
48,1,6:02.0,,LA Clippers full timeout,18,15
49,1,6:02.0,D. Wade enters the game for J. Winslow,,18,15
50,1,6:02.0,,M. Harrell enters the game for B. Marjanović,18,15
51,1,5:47.0,,A. Bradley misses 2-pt jump shot from 19 ft,18,15
52,1,5:44.0,Defensive rebound by J. Johnson,,18,15
53,1,5:32.0,Shooting foul by T. Harris (drawn by T. Johnson),,18,15
54,1,5:32.0,T. Johnson makes free throw 1 of 2,,19,15
55,1,5:32.0,T. Johnson makes free throw 2 of 2,,20,15
56,1,5:16.0,,M. Harrell makes 2-pt hook shot from 6 ft (assist by A. Bradley),20,17
57,1,5:11.0,Personal foul by M. Harrell (drawn by K. Olynyk),,20,17
58,1,5:11.0,K. Olynyk makes free throw 1 of 2,,21,17
59,1,5:11.0,D. Jones enters the game for T. Johnson,,21,17
60,1,5:11.0,,L. Williams enters the game for D. Gallinari,21,17
61,1,5:11.0,K. Olynyk makes free throw 2 of 2,,22,17
62,1,4:48.0,,M. Harrell makes 2-pt hook shot from 4 ft,22,19
63,1,4:36.0,K. Olynyk misses 3-pt jump shot from 28 ft,,22,19
64,1,4:34.0,,Defensive rebound by A. Bradley,22,19
65,1,4:20.0,,T. Harris misses 2-pt layup from 2 ft,22,19
66,1,4:18.0,,Offensive rebound by M. Harrell,22,19
67,1,4:17.0,,M. Harrell misses 2-pt layup from 2 ft,22,19
68,1,4:15.0,Defensive rebound by J. Johnson,,22,19
69,1,4:07.0,D. Wade misses 3-pt jump shot from 26 ft,,22,19
70,1,4:05.0,,Defensive rebound by T. Harris,22,19
71,1,3:56.0,,A. Bradley misses 3-pt jump shot from 23 ft,22,19
72,1,3:55.0,Defensive rebound by K. Olynyk,,22,19
73,1,3:35.0,K. Olynyk misses 2-pt hook shot from 4 ft,,22,19
74,1,3:32.0,,Defensive rebound by P. Beverley,22,19
75,1,3:29.0,,P. Beverley misses 2-pt layup from 2 ft,22,19
76,1,3:23.0,Defensive rebound by D. Jones,,22,19
77,1,3:14.0,D. Wade makes 3-pt jump shot from 25 ft (assist by D. Jones),,25,19
78,1,3:04.0,,L. Williams makes 2-pt jump shot from 12 ft,25,21
79,1,3:00.0,Miami full timeout,,25,21
80,1,3:00.0,B. Adebayo enters the game for J. Johnson,,25,21
81,1,3:00.0,J. Winslow enters the game for R. McGruder,,25,21
82,1,3:00.0,,M. Scott enters the game for T. Harris,25,21
83,1,2:57.0,Personal foul by A. Bradley (drawn by J. Winslow),,25,21
84,1,2:57.0,J. Winslow makes free throw 1 of 2,,26,21
85,1,2:57.0,J. Winslow makes free throw 2 of 2,,27,21
86,1,2:43.0,,L. Williams makes 2-pt jump shot from 20 ft (assist by P. Beverley),27,23
87,1,2:27.0,D. Wade makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,30,23
88,1,2:15.0,,Shooting foul by B. Adebayo (drawn by M. Harrell),30,23
89,1,2:15.0,,M. Harrell misses free throw 1 of 2,30,23
90,1,2:15.0,,Offensive rebound by Team,30,23
91,1,2:15.0,U. Haslem enters the game for B. Adebayo,,30,23
92,1,2:15.0,,T. Wallace enters the game for A. Bradley,30,23
93,1,2:15.0,,M. Harrell makes free throw 2 of 2,30,24
