,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
42,1,6:22.0,J. Valančiūnas misses 2-pt layup from 2 ft,,3,10
43,1,6:20.0,,Defensive rebound by D. Gallinari,3,10
44,1,6:17.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by D. Gallinari),3,13
45,1,6:15.0,Memphis full timeout,,3,13
46,1,6:15.0,C. Parsons enters the game for T. Dorsey,,3,13
47,1,5:54.0,Shooting foul by I. Zubac (drawn by J. Valančiūnas),,3,13
48,1,5:54.0,J. Valančiūnas makes free throw 1 of 2,,4,13
49,1,5:54.0,J. Valančiūnas makes free throw 2 of 2,,5,13
50,1,5:38.0,,D. Gallinari misses 3-pt jump shot from 26 ft,5,13
51,1,5:36.0,Defensive rebound by J. Valančiūnas,,5,13
52,1,5:25.0,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by J. Washburn),,7,13
53,1,5:13.0,,P. Beverley misses 3-pt jump shot from 25 ft,7,13
54,1,5:10.0,Defensive rebound by J. Washburn,,7,13
55,1,4:59.0,D. Wright makes 2-pt jump shot from 4 ft (assist by J. Valančiūnas),,9,13
56,1,4:43.0,,Turnover by D. Gallinari (traveling),9,13
57,1,4:28.0,C. Parsons misses 2-pt jump shot from 12 ft,,9,13
58,1,4:26.0,,Defensive rebound by I. Zubac,9,13
59,1,4:15.0,,Shooting foul by J. Valančiūnas (drawn by I. Zubac),9,13
60,1,4:15.0,,I. Zubac makes free throw 1 of 2,9,14
61,1,4:15.0,J. Carter enters the game for J. Holiday,,9,14
62,1,4:15.0,Y. Watanabe enters the game for D. Wright,,9,14
63,1,4:15.0,,I. Zubac misses free throw 2 of 2,9,14
64,1,4:13.0,Defensive rebound by J. Valančiūnas,,9,14
65,1,4:01.0,J. Washburn makes 2-pt jump shot from 16 ft,,11,14
66,1,3:36.0,,Shooting foul by J. Washburn (drawn by D. Gallinari),11,14
67,1,3:36.0,,D. Gallinari misses free throw 1 of 2,11,14
68,1,3:36.0,,Offensive rebound by Team,11,14
69,1,3:36.0,I. Rabb enters the game for J. Valančiūnas,,11,14
70,1,3:36.0,,M. Harrell enters the game for L. Shamet,11,14
71,1,3:36.0,,L. Williams enters the game for I. Zubac,11,14
72,1,3:36.0,,D. Gallinari makes free throw 2 of 2,11,15
73,1,3:22.0,J. Washburn makes 2-pt jump shot from 7 ft (assist by J. Carter),,13,15
74,1,3:12.0,,L. Williams misses 3-pt jump shot from 25 ft,13,15
75,1,3:12.0,Defensive rebound by Team,,13,15
76,1,2:51.0,J. Carter misses 2-pt jump shot from 17 ft,,13,15
77,1,2:48.0,,Defensive rebound by D. Gallinari,13,15
78,1,2:41.0,,Turnover by P. Beverley (bad pass; steal by J. Washburn),13,15
79,1,2:33.0,J. Washburn misses 3-pt jump shot from 23 ft,,13,15
80,1,2:26.0,,Defensive rebound by P. Beverley,13,15
81,1,2:08.0,,Personal foul by J. Carter (drawn by D. Gallinari),13,15
82,1,2:08.0,,LA Clippers full timeout,13,15
83,1,2:08.0,,D. Gallinari misses free throw 1 of 2,13,15
84,1,2:08.0,,Offensive rebound by Team,13,15
85,1,2:08.0,,D. Gallinari makes free throw 2 of 2,13,16
86,1,1:49.0,Y. Watanabe misses 2-pt jump shot from 14 ft,,13,16
87,1,1:42.0,,Defensive rebound by D. Gallinari,13,16
88,1,1:42.0,,Shooting foul by J. Washburn (drawn by L. Williams),13,16
89,1,1:42.0,,L. Williams makes free throw 1 of 2,13,17
90,1,1:42.0,D. Hannahs enters the game for J. Washburn,,13,17
91,1,1:42.0,,J. Green enters the game for P. Beverley,13,17
92,1,1:42.0,,G. Temple enters the game for D. Gallinari,13,17
93,1,1:42.0,,L. Williams makes free throw 2 of 2,13,18
94,1,1:33.0,Shooting foul by G. Temple (drawn by C. Parsons),,13,18
95,1,1:33.0,C. Parsons makes free throw 1 of 2,,14,18
96,1,1:33.0,,W. Chandler enters the game for S. Gilgeous-Alexander,14,18
97,1,1:33.0,C. Parsons makes free throw 2 of 2,,15,18
98,1,1:20.0,,J. Green misses 2-pt layup from 5 ft (block by I. Rabb),15,18
99,1,1:20.0,,Offensive rebound by Team,15,18
100,1,1:12.0,,M. Harrell makes 2-pt layup from 1 ft,15,20
101,1,0:59.0,Personal foul by W. Chandler (drawn by C. Parsons),,15,20
102,1,0:59.0,C. Parsons makes free throw 1 of 2,,16,20
103,1,0:59.0,C. Parsons makes free throw 2 of 2,,17,20
104,1,0:45.0,,L. Williams makes 3-pt jump shot from 24 ft,17,23
105,1,0:35.0,C. Parsons misses 3-pt jump shot from 26 ft,,17,23
106,1,0:32.0,,Defensive rebound by W. Chandler,17,23
107,1,0:24.0,,L. Williams makes 2-pt layup from 2 ft (assist by M. Harrell),17,25
108,1,0:03.0,J. Carter makes 2-pt layup from 2 ft,,19,25
109,1,0:00.0,,M. Harrell misses 3-pt jump shot from 24 ft,19,25
110,1,0:00.0,,Offensive rebound by Team,19,25
111,2,11:37.0,Turnover by J. Carter (lost ball; steal by G. Temple),,19,25
112,2,11:31.0,,G. Temple makes 2-pt layup from 1 ft,19,27
113,2,11:16.0,Y. Watanabe misses 3-pt jump shot from 26 ft,,19,27
114,2,11:13.0,,Defensive rebound by W. Chandler,19,27
115,2,11:09.0,,W. Chandler makes 2-pt layup from 2 ft,19,29
116,2,11:09.0,,Shooting foul by I. Rabb (drawn by W. Chandler),19,29
117,2,11:09.0,B. Caboclo enters the game for D. Hannahs,,19,29
118,2,11:09.0,T. Dorsey enters the game for I. Rabb,,19,29
119,2,11:09.0,J. Valančiūnas enters the game for Y. Watanabe,,19,29
120,2,11:09.0,,W. Chandler makes free throw 1 of 1,19,30
121,2,10:46.0,B. Caboclo misses 3-pt jump shot from 23 ft,,19,30
122,2,10:44.0,,Defensive rebound by J. Green,19,30
123,2,10:42.0,,Shooting foul by B. Caboclo (drawn by M. Harrell),19,30
124,2,10:42.0,,M. Harrell makes free throw 1 of 2,19,31
125,2,10:42.0,J. Holiday enters the game for B. Caboclo,,19,31
126,2,10:42.0,,M. Harrell misses free throw 2 of 2,19,31
127,2,10:40.0,Defensive rebound by J. Valančiūnas,,19,31
128,2,10:26.0,Turnover by J. Valančiūnas (bad pass; steal by L. Williams),,19,31
129,2,10:23.0,,J. Green makes 2-pt dunk from 1 ft (assist by L. Williams),19,33
130,2,10:23.0,Memphis full timeout,,19,33
131,2,10:23.0,D. Wright enters the game for J. Carter,,19,33
132,2,10:01.0,D. Wright misses 2-pt layup from 3 ft (block by G. Temple),,19,33
133,2,10:01.0,Offensive rebound by Team,,19,33
134,2,9:59.0,D. Wright misses 3-pt jump shot from 26 ft,,19,33
135,2,9:56.0,,Defensive rebound by J. Green,19,33
136,2,9:50.0,,Turnover by L. Williams (bad pass; steal by D. Wright),19,33
137,2,9:41.0,T. Dorsey makes 3-pt jump shot from 26 ft (assist by C. Parsons),,22,33
138,2,9:26.0,,Personal foul by C. Parsons (drawn by J. Green),22,33
139,2,9:21.0,,J. Green makes 3-pt jump shot from 23 ft (assist by L. Williams),22,36
140,2,9:07.0,D. Wright makes 3-pt jump shot from 22 ft (assist by T. Dorsey),,25,36
141,2,8:58.0,,L. Williams makes 2-pt jump shot from 5 ft,25,38
142,2,8:45.0,J. Holiday misses 3-pt jump shot from 26 ft,,25,38
143,2,8:40.0,,Defensive rebound by G. Temple,25,38
144,2,8:36.0,,G. Temple misses 2-pt jump shot from 6 ft,25,38
145,2,8:34.0,Defensive rebound by C. Parsons,,25,38
146,2,8:30.0,Turnover by C. Parsons (lost ball; steal by G. Temple),,25,38
147,2,8:30.0,Violation by Team (kicked ball),,25,38
148,2,8:14.0,,M. Harrell makes 2-pt layup from 3 ft,25,40
149,2,8:14.0,,Shooting foul by J. Valančiūnas (drawn by M. Harrell),25,40
150,2,8:14.0,,M. Harrell makes free throw 1 of 1,25,41
151,2,7:58.0,Shooting foul by M. Harrell (drawn by J. Valančiūnas),,25,41
152,2,7:58.0,J. Valančiūnas misses free throw 1 of 2,,25,41
153,2,7:58.0,Offensive rebound by Team,,25,41
154,2,7:58.0,J. Valančiūnas makes free throw 2 of 2,,26,41
155,2,7:47.0,,L. Williams makes 2-pt layup from 2 ft,26,43
156,2,7:36.0,T. Dorsey misses 3-pt jump shot from 26 ft,,26,43
157,2,7:34.0,Offensive rebound by J. Valančiūnas,,26,43
158,2,7:30.0,C. Parsons misses 2-pt jump shot from 20 ft,,26,43
159,2,7:27.0,,Defensive rebound by W. Chandler,26,43
160,2,7:23.0,,M. Harrell makes 2-pt layup from 2 ft (assist by W. Chandler),26,45
161,2,7:10.0,T. Dorsey makes 3-pt jump shot from 23 ft (assist by C. Parsons),,29,45
162,2,6:59.0,,M. Harrell misses 2-pt dunk from 1 ft (block by J. Valančiūnas),29,45
163,2,6:57.0,,Offensive rebound by G. Temple,29,45
164,2,6:57.0,,Personal foul by D. Wright (drawn by M. Harrell),29,45
165,2,6:57.0,,M. Harrell makes free throw 1 of 2,29,46
166,2,6:57.0,Y. Watanabe enters the game for C. Parsons,,29,46
167,2,6:57.0,,M. Harrell makes free throw 2 of 2,29,47
168,2,6:41.0,T. Dorsey misses 2-pt jump shot from 16 ft,,29,47
169,2,6:38.0,Offensive rebound by Team,,29,47
170,2,6:38.0,,S. Gilgeous-Alexander enters the game for M. Harrell,29,47
171,2,6:38.0,,L. Shamet enters the game for G. Temple,29,47
172,2,6:38.0,,I. Zubac enters the game for L. Williams,29,47
173,2,6:28.0,Shooting foul by W. Chandler (drawn by J. Valančiūnas),,29,47
174,2,6:28.0,J. Valančiūnas makes free throw 1 of 2,,30,47
175,2,6:28.0,,D. Gallinari enters the game for J. Green,30,47
176,2,6:28.0,J. Valančiūnas makes free throw 2 of 2,,31,47
177,2,6:19.0,,Shooting foul by T. Dorsey (drawn by S. Gilgeous-Alexander),31,47
178,2,6:19.0,,S. Gilgeous-Alexander makes free throw 1 of 2,31,48
179,2,6:19.0,,P. Beverley enters the game for W. Chandler,31,48
180,2,6:19.0,,S. Gilgeous-Alexander makes free throw 2 of 2,31,49
181,2,6:07.0,T. Dorsey makes 2-pt layup from 2 ft (assist by D. Wright),,33,49
182,2,5:50.0,,I. Zubac misses 2-pt layup from 3 ft,33,49
183,2,5:48.0,Defensive rebound by Y. Watanabe,,33,49
184,2,5:40.0,J. Holiday misses 3-pt jump shot from 24 ft,,33,49
185,2,5:37.0,Offensive rebound by J. Valančiūnas,,33,49
186,2,5:35.0,J. Valančiūnas misses 2-pt hook shot from 1 ft,,33,49
187,2,5:32.0,,Defensive rebound by P. Beverley,33,49
188,2,5:29.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),33,51
189,2,5:29.0,I. Rabb enters the game for J. Valančiūnas,,33,51
190,2,5:08.0,D. Wright misses 2-pt layup from 2 ft,,33,51
191,2,5:07.0,,Defensive rebound by I. Zubac,33,51
192,2,5:01.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by I. Rabb),33,51
193,2,4:55.0,Turnover by J. Holiday (lost ball; steal by S. Gilgeous-Alexander),,33,51
194,2,4:49.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by L. Shamet),33,53
195,2,4:31.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Wright),,36,53
196,2,4:21.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by Y. Watanabe),36,53
197,2,4:16.0,J. Holiday makes 2-pt layup from 1 ft (assist by Y. Watanabe),,38,53
198,2,3:54.0,,L. Shamet misses 3-pt jump shot from 25 ft,38,53
199,2,3:52.0,Defensive rebound by Y. Watanabe,,38,53
200,2,3:44.0,Turnover by Y. Watanabe (out of bounds lost ball),,38,53
201,2,3:44.0,,LA Clippers full timeout,38,53
202,2,3:28.0,,P. Beverley misses 3-pt jump shot from 25 ft,38,53
203,2,3:23.0,Defensive rebound by D. Wright,,38,53
204,2,3:06.0,J. Holiday misses 3-pt jump shot from 23 ft,,38,53
205,2,3:04.0,Offensive rebound by I. Rabb,,38,53
206,2,3:04.0,Personal foul by S. Gilgeous-Alexander (drawn by I. Rabb),,38,53
207,2,2:57.0,I. Rabb makes 2-pt layup from 5 ft (assist by D. Wright),,40,53
208,2,2:57.0,Shooting foul by I. Zubac (drawn by I. Rabb),,40,53
209,2,2:57.0,I. Rabb makes free throw 1 of 1,,41,53
210,2,2:40.0,,L. Shamet misses 3-pt jump shot from 23 ft,41,53
211,2,2:37.0,Defensive rebound by D. Wright,,41,53
212,2,2:18.0,T. Dorsey makes 2-pt jump shot from 7 ft,,43,53
213,2,2:10.0,,Personal foul by Y. Watanabe (drawn by D. Gallinari),43,53
214,2,2:10.0,,M. Harrell enters the game for S. Gilgeous-Alexander,43,53
215,2,2:10.0,,L. Williams enters the game for I. Zubac,43,53
216,2,2:10.0,,D. Gallinari makes free throw 1 of 2,43,54
217,2,2:10.0,,D. Gallinari makes free throw 2 of 2,43,55
218,2,1:56.0,T. Dorsey makes 2-pt jump shot from 20 ft,,45,55
219,2,1:47.0,,Shooting foul by Y. Watanabe (drawn by D. Gallinari),45,55
220,2,1:47.0,,D. Gallinari makes free throw 1 of 2,45,56
221,2,1:47.0,J. Washburn enters the game for Y. Watanabe,,45,56
222,2,1:47.0,,D. Gallinari makes free throw 2 of 2,45,57
223,2,1:37.0,I. Rabb misses 2-pt jump shot from 17 ft,,45,57
224,2,1:33.0,,Defensive rebound by D. Gallinari,45,57
225,2,1:13.0,,M. Harrell makes 2-pt layup from 1 ft (assist by D. Gallinari),45,59
226,2,1:05.0,Personal foul by P. Beverley (drawn by D. Wright),,45,59
227,2,1:05.0,D. Wright makes free throw 1 of 2,,46,59
228,2,1:05.0,D. Wright misses free throw 2 of 2,,46,59
229,2,1:00.0,,Defensive rebound by L. Shamet,46,59
230,2,0:55.0,,L. Shamet misses 2-pt layup from 3 ft (block by J. Washburn),46,59
231,2,0:51.0,Defensive rebound by I. Rabb,,46,59
232,2,0:50.0,J. Holiday misses 3-pt jump shot from 23 ft,,46,59
233,2,0:46.0,,Defensive rebound by D. Gallinari,46,59
234,2,0:37.0,,Shooting foul by I. Rabb (drawn by M. Harrell),46,59
235,2,0:37.0,,M. Harrell makes free throw 1 of 2,46,60
236,2,0:37.0,J. Valančiūnas enters the game for I. Rabb,,46,60
237,2,0:37.0,,M. Harrell makes free throw 2 of 2,46,61
238,2,0:30.0,T. Dorsey misses 3-pt jump shot from 25 ft,,46,61
239,2,0:27.0,,Defensive rebound by M. Harrell,46,61
240,2,0:07.0,,Turnover by D. Gallinari (bad pass; steal by J. Holiday),46,61
241,2,0:02.0,D. Wright misses 2-pt layup from 2 ft,,46,61
242,2,0:01.0,,Defensive rebound by D. Gallinari,46,61
243,3,11:46.0,Turnover by B. Caboclo (lost ball; steal by S. Gilgeous-Alexander),,46,61
244,3,11:42.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),46,63
245,3,11:19.0,Turnover by J. Holiday (bad pass; steal by I. Zubac),,46,63
246,3,11:14.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Shamet),46,65
247,3,10:53.0,Turnover by J. Valančiūnas (bad pass; steal by S. Gilgeous-Alexander),,46,65
248,3,10:48.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. Gallinari),46,68
249,3,10:47.0,Memphis full timeout,,46,68
250,3,10:24.0,J. Valančiūnas misses 2-pt hook shot from 2 ft,,46,68
251,3,10:22.0,,Defensive rebound by D. Gallinari,46,68
252,3,10:16.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by D. Wright),46,68
253,3,10:13.0,,Offensive rebound by S. Gilgeous-Alexander,46,68
254,3,10:06.0,,P. Beverley misses 3-pt jump shot from 26 ft,46,68
255,3,10:00.0,,Offensive rebound by D. Gallinari,46,68
256,3,10:00.0,,D. Gallinari makes 2-pt layup at rim,46,70
257,3,9:41.0,T. Dorsey misses 2-pt jump shot from 14 ft (block by S. Gilgeous-Alexander),,46,70
258,3,9:39.0,,Defensive rebound by P. Beverley,46,70
259,3,9:31.0,,L. Shamet misses 3-pt jump shot from 25 ft,46,70
260,3,9:29.0,,Offensive rebound by Team,46,70
261,3,9:27.0,,L. Shamet misses 3-pt jump shot from 25 ft,46,70
262,3,9:25.0,Defensive rebound by D. Wright,,46,70
263,3,9:20.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,46,70
264,3,9:16.0,,Defensive rebound by D. Gallinari,46,70
265,3,9:12.0,,Offensive foul by D. Gallinari (drawn by B. Caboclo),46,70
266,3,9:12.0,,Turnover by D. Gallinari (offensive foul),46,70
267,3,8:55.0,D. Wright makes 3-pt jump shot from 25 ft (assist by B. Caboclo),,49,70
268,3,8:29.0,,D. Gallinari makes 3-pt jump shot from 25 ft,49,73
269,3,8:13.0,D. Wright makes 2-pt jump shot from 12 ft,,51,73
270,3,7:56.0,,I. Zubac makes 2-pt jump shot from 6 ft (assist by P. Beverley),51,75
271,3,7:46.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Wright),,51,75
272,3,7:46.0,D. Wright makes free throw 1 of 2,,52,75
273,3,7:46.0,J. Washburn enters the game for B. Caboclo,,52,75
274,3,7:46.0,D. Wright makes free throw 2 of 2,,53,75
275,3,7:33.0,,Turnover by P. Beverley (bad pass),53,75
276,3,7:17.0,Turnover by J. Valančiūnas (lost ball; steal by L. Shamet),,53,75
277,3,7:10.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,53,75
278,3,7:07.0,Defensive rebound by J. Valančiūnas,,53,75
279,3,6:59.0,Offensive foul by J. Valančiūnas (drawn by I. Zubac),,53,75
280,3,6:59.0,Turnover by J. Valančiūnas (offensive foul),,53,75
281,3,6:46.0,,Offensive foul by I. Zubac (drawn by J. Washburn),53,75
282,3,6:46.0,,Turnover by I. Zubac (offensive foul),53,75
283,3,6:22.0,J. Holiday misses 3-pt jump shot from 23 ft,,53,75
284,3,6:17.0,,Defensive rebound by L. Shamet,53,75
285,3,6:16.0,,LA Clippers full timeout,53,75
286,3,6:16.0,I. Rabb enters the game for J. Valančiūnas,,53,75
287,3,5:59.0,,Turnover by I. Zubac (lost ball; steal by J. Washburn),53,75
288,3,5:55.0,J. Holiday misses 3-pt jump shot from 26 ft,,53,75
289,3,5:51.0,,Defensive rebound by I. Zubac,53,75
290,3,5:49.0,,Personal foul by J. Washburn (drawn by P. Beverley),53,75
291,3,5:49.0,J. Carter enters the game for J. Holiday,,53,75
292,3,5:49.0,C. Parsons enters the game for D. Wright,,53,75
293,3,5:33.0,,I. Zubac makes 2-pt layup from 1 ft (assist by D. Gallinari),53,77
294,3,5:18.0,J. Carter misses 2-pt jump shot from 11 ft,,53,77
295,3,5:11.0,,Defensive rebound by D. Gallinari,53,77
296,3,4:53.0,,D. Gallinari misses 2-pt jump shot from 19 ft,53,77
297,3,4:48.0,Defensive rebound by J. Washburn,,53,77
298,3,4:43.0,T. Dorsey makes 2-pt layup from 2 ft (assist by J. Washburn),,55,77
299,3,4:21.0,,I. Zubac makes 2-pt layup from 2 ft (assist by D. Gallinari),55,79
300,3,4:09.0,J. Washburn misses 3-pt jump shot from 25 ft,,55,79
301,3,4:06.0,,Defensive rebound by S. Gilgeous-Alexander,55,79
302,3,3:50.0,,Shooting foul by C. Parsons (drawn by D. Gallinari),55,79
303,3,3:50.0,,D. Gallinari makes free throw 1 of 2,55,80
304,3,3:50.0,Y. Watanabe enters the game for T. Dorsey,,55,80
305,3,3:50.0,,M. Harrell enters the game for P. Beverley,55,80
306,3,3:50.0,,G. Temple enters the game for S. Gilgeous-Alexander,55,80
307,3,3:50.0,,L. Williams enters the game for I. Zubac,55,80
308,3,3:50.0,,D. Gallinari makes free throw 2 of 2,55,81
309,3,3:28.0,C. Parsons makes 3-pt jump shot from 25 ft,,58,81
310,3,3:13.0,,G. Temple misses 3-pt jump shot from 23 ft,58,81
311,3,3:10.0,Defensive rebound by I. Rabb,,58,81
312,3,3:03.0,J. Washburn makes 2-pt jump shot from 16 ft (assist by I. Rabb),,60,81
313,3,2:39.0,,Shooting foul by I. Rabb (drawn by M. Harrell),60,81
314,3,2:39.0,,M. Harrell makes free throw 1 of 2,60,82
315,3,2:39.0,,J. Green enters the game for D. Gallinari,60,82
316,3,2:39.0,,M. Harrell makes free throw 2 of 2,60,83
317,3,2:16.0,C. Parsons makes 2-pt layup from 1 ft,,62,83
318,3,2:15.0,Violation by Team (delay of game),,62,83
319,3,1:55.0,,L. Williams misses 2-pt jump shot from 16 ft,62,83
320,3,1:52.0,Defensive rebound by J. Carter,,62,83
321,3,1:49.0,J. Washburn misses 3-pt jump shot from 26 ft,,62,83
322,3,1:46.0,,Defensive rebound by G. Temple,62,83
323,3,1:42.0,,M. Harrell makes 2-pt dunk at rim (assist by G. Temple),62,85
324,3,1:28.0,Shooting foul by G. Temple (drawn by J. Carter),,62,85
325,3,1:28.0,J. Carter makes free throw 1 of 2,,63,85
326,3,1:28.0,,W. Chandler enters the game for L. Shamet,63,85
327,3,1:28.0,J. Carter makes free throw 2 of 2,,64,85
328,3,1:17.0,,J. Green misses 3-pt jump shot from 25 ft,64,85
329,3,1:16.0,,Offensive rebound by Team,64,85
330,3,1:16.0,Loose ball foul by C. Parsons (drawn by M. Harrell),,64,85
331,3,1:12.0,,Shooting foul by I. Rabb (drawn by M. Harrell),64,85
332,3,1:12.0,,M. Harrell makes free throw 1 of 2,64,86
333,3,1:12.0,,M. Harrell makes free throw 2 of 2,64,87
334,3,0:59.0,C. Parsons makes 2-pt layup from 1 ft (assist by J. Carter),,66,87
335,3,0:53.0,,Turnover by G. Temple (lost ball; steal by C. Parsons),66,87
336,3,0:44.0,Personal foul by G. Temple (drawn by J. Carter),,66,87
337,3,0:44.0,J. Carter makes free throw 1 of 2,,67,87
338,3,0:44.0,J. Carter makes free throw 2 of 2,,68,87
339,3,0:34.0,,G. Temple misses 3-pt jump shot from 27 ft,68,87
340,3,0:30.0,Defensive rebound by C. Parsons,,68,87
341,3,0:12.0,J. Carter misses 2-pt jump shot from 12 ft,,68,87
342,3,0:08.0,Offensive rebound by J. Carter,,68,87
343,3,0:00.0,J. Carter misses 2-pt jump shot from 16 ft,,68,87
344,3,0:00.0,Offensive rebound by Team,,68,87
345,4,11:44.0,,Shooting foul by I. Rabb (drawn by J. Green),68,87
346,4,11:44.0,,J. Green makes free throw 1 of 2,68,88
347,4,11:44.0,B. Caboclo enters the game for I. Rabb,,68,88
348,4,11:44.0,,J. Green makes free throw 2 of 2,68,89
349,4,11:28.0,C. Parsons misses 3-pt jump shot from 25 ft,,68,89
350,4,11:23.0,,Defensive rebound by L. Williams,68,89
351,4,11:20.0,,J. Green makes 2-pt layup from 1 ft (assist by W. Chandler),68,91
352,4,11:06.0,Shooting foul by J. Green (drawn by C. Parsons),,68,91
353,4,11:06.0,C. Parsons makes free throw 1 of 2,,69,91
354,4,11:06.0,D. Hannahs enters the game for J. Carter,,69,91
355,4,11:06.0,D. Wright enters the game for J. Washburn,,69,91
356,4,11:06.0,C. Parsons makes free throw 2 of 2,,70,91
357,4,10:53.0,,M. Harrell misses 2-pt dunk from 2 ft,70,91
358,4,10:51.0,Defensive rebound by C. Parsons,,70,91
359,4,10:51.0,Personal foul by J. Green (drawn by C. Parsons),,70,91
360,4,10:38.0,B. Caboclo misses 2-pt layup from 2 ft (block by M. Harrell),,70,91
361,4,10:35.0,,Defensive rebound by J. Green,70,91
362,4,10:31.0,,J. Green makes 3-pt jump shot from 25 ft (assist by W. Chandler),70,94
363,4,10:17.0,C. Parsons misses 3-pt jump shot from 25 ft,,70,94
364,4,10:16.0,,Defensive rebound by Team,70,94
365,4,10:08.0,,L. Williams misses 2-pt jump shot from 18 ft,70,94
366,4,10:03.0,Defensive rebound by B. Caboclo,,70,94
367,4,9:45.0,C. Parsons makes 2-pt layup from 1 ft (assist by D. Hannahs),,72,94
368,4,9:28.0,,W. Chandler misses 3-pt jump shot from 27 ft,72,94
369,4,9:26.0,Defensive rebound by Y. Watanabe,,72,94
370,4,9:17.0,Y. Watanabe misses 2-pt jump shot from 14 ft,,72,94
371,4,9:14.0,,Defensive rebound by W. Chandler,72,94
