,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:43.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Murray),,3,0
1,1,11:22.0,,C. McCollum misses 3-pt jump shot from 27 ft,3,0
2,1,11:18.0,Defensive rebound by G. Harris,,3,0
3,1,11:03.0,,Violation by Team (kicked ball),3,0
4,1,10:55.0,Turnover by J. Murray (lost ball; steal by C. McCollum),,3,0
5,1,10:53.0,,C. McCollum makes 2-pt dunk from 1 ft (assist by J. Nurkić),3,2
6,1,10:27.0,Turnover by J. Hernangómez (lost ball; steal by M. Harkless),,3,2
7,1,10:03.0,,J. Nurkić makes 2-pt layup from 1 ft,3,4
8,1,9:50.0,J. Murray misses 2-pt jump shot from 5 ft,,3,4
9,1,9:48.0,Offensive rebound by N. Jokić,,3,4
10,1,9:45.0,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by N. Jokić),,6,4
11,1,9:28.0,,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard),6,6
12,1,9:08.0,J. Hernangómez makes 3-pt jump shot from 27 ft (assist by J. Murray),,9,6
13,1,8:51.0,,J. Nurkić makes 2-pt jump shot from 18 ft,9,8
14,1,8:37.0,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić),,11,8
15,1,8:24.0,,Turnover by A. Aminu (lost ball; steal by P. Millsap),11,8
16,1,8:22.0,J. Murray misses 2-pt layup from 1 ft,,11,8
17,1,8:21.0,Offensive rebound by J. Hernangómez,,11,8
18,1,8:21.0,J. Hernangómez misses 2-pt layup from 6 ft,,11,8
19,1,8:19.0,,Defensive rebound by A. Aminu,11,8
20,1,8:10.0,,C. McCollum makes 2-pt layup from 1 ft,11,10
21,1,7:51.0,N. Jokić makes 2-pt layup from 2 ft,,13,10
22,1,7:38.0,,C. McCollum makes 2-pt layup from 3 ft,13,12
23,1,7:22.0,Shooting foul by C. McCollum (drawn by J. Hernangómez),,13,12
24,1,7:22.0,J. Hernangómez makes free throw 1 of 2,,14,12
25,1,7:22.0,J. Hernangómez misses free throw 2 of 2,,14,12
26,1,7:20.0,,Defensive rebound by M. Harkless,14,12
