,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,J. Holiday misses 2-pt layup from 2 ft,0,0
1,1,11:42.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:35.0,Personal foul by W. Johnson (drawn by D. DeRozan),,0,0
3,1,11:28.0,B. Forbes makes 2-pt jump shot from 2 ft,,2,0
4,1,11:16.0,,Shooting foul by L. Aldridge (drawn by A. Davis),2,0
5,1,11:16.0,,A. Davis makes free throw 1 of 2,2,1
6,1,11:16.0,,A. Davis makes free throw 2 of 2,2,2
7,1,10:53.0,R. Gay misses 3-pt jump shot from 28 ft,,2,2
8,1,10:50.0,Offensive rebound by D. Cunningham,,2,2
9,1,10:45.0,D. DeRozan misses 2-pt jump shot from 11 ft,,2,2
10,1,10:42.0,,Defensive rebound by A. Davis,2,2
11,1,10:33.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Holiday),2,5
12,1,10:12.0,R. Gay makes 2-pt layup from 3 ft (assist by D. DeRozan),,4,5
13,1,10:12.0,Shooting foul by A. Davis (drawn by R. Gay),,4,5
14,1,10:12.0,R. Gay makes free throw 1 of 1,,5,5
15,1,9:58.0,,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),5,7
16,1,9:36.0,L. Aldridge misses 2-pt jump shot from 5 ft,,5,7
17,1,9:33.0,Offensive rebound by D. Cunningham,,5,7
18,1,9:32.0,D. Cunningham makes 2-pt layup from 3 ft,,7,7
19,1,9:28.0,,A. Davis misses 2-pt jump shot from 15 ft,7,7
20,1,9:25.0,Defensive rebound by D. Cunningham,,7,7
21,1,9:16.0,D. Cunningham makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,10,7
22,1,9:04.0,,Turnover by J. Holiday (bad pass; steal by D. DeRozan),10,7
23,1,8:59.0,Turnover by D. DeRozan (bad pass; steal by J. Holiday),,10,7
24,1,8:48.0,,E. Moore misses 2-pt layup from 2 ft,10,7
25,1,8:42.0,,Offensive rebound by E. Moore,10,7
26,1,8:42.0,,E. Moore makes 2-pt layup at rim,10,9
27,1,8:30.0,D. DeRozan misses 2-pt jump shot from 18 ft,,10,9
28,1,8:26.0,,Defensive rebound by W. Johnson,10,9
29,1,8:18.0,,A. Davis misses 2-pt dunk from 3 ft,10,9
30,1,8:15.0,,Offensive rebound by A. Davis,10,9
31,1,8:15.0,,A. Davis misses 2-pt layup from 2 ft,10,9
32,1,8:15.0,,Offensive rebound by Team,10,9
33,1,8:12.0,,E. Moore makes 2-pt jump shot from 12 ft (assist by J. Holiday),10,11
34,1,7:47.0,R. Gay misses 2-pt jump shot from 21 ft,,10,11
35,1,7:42.0,,Defensive rebound by N. Mirotić,10,11
36,1,7:28.0,,J. Holiday makes 2-pt layup from 2 ft,10,13
37,1,7:28.0,San Antonio full timeout,,10,13
38,1,7:13.0,R. Gay makes 2-pt jump shot from 16 ft,,12,13
39,1,6:56.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),12,15
40,1,6:40.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,15,15
41,1,6:24.0,,E. Moore misses 2-pt jump shot from 3 ft,15,15
42,1,6:22.0,Defensive rebound by L. Aldridge,,15,15
43,1,6:22.0,Personal foul by J. Holiday (drawn by D. DeRozan),,15,15
44,1,6:22.0,,I. Clark enters the game for J. Holiday,15,15
45,1,6:22.0,,J. Randle enters the game for N. Mirotić,15,15
46,1,6:11.0,D. Cunningham makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,18,15
47,1,5:57.0,,W. Johnson makes 2-pt jump shot from 17 ft,18,17
48,1,5:47.0,R. Gay misses 3-pt jump shot from 25 ft,,18,17
