,QUARTER,TIME_REMAINING,NEW YORK_ACTION,NEW ORLEANS_ACTION,NEW YORK_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,K. Knox misses 3-pt jump shot from 25 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Davis,0,0
2,1,11:26.0,,Turnover by A. Davis (lost ball; steal by M. Robinson),0,0
3,1,11:20.0,T. Hardaway misses 3-pt jump shot from 23 ft,,0,0
4,1,11:17.0,,Defensive rebound by N. Mirotić,0,0
5,1,11:08.0,,A. Davis misses 2-pt jump shot from 8 ft,0,0
6,1,11:05.0,Defensive rebound by E. Mudiay,,0,0
7,1,10:52.0,Turnover by T. Hardaway (bad pass; steal by E. Payton),,0,0
8,1,10:48.0,,E. Moore misses 2-pt dunk from 2 ft (block by A. Trier),0,0
9,1,10:47.0,Defensive rebound by Team,,0,0
10,1,10:26.0,A. Trier misses 2-pt layup from 3 ft,,0,0
11,1,10:24.0,,Defensive rebound by A. Davis,0,0
12,1,10:19.0,,E. Payton misses 2-pt layup from 2 ft,0,0
13,1,10:13.0,Defensive rebound by E. Mudiay,,0,0
14,1,10:08.0,E. Mudiay makes 2-pt layup from 2 ft,,2,0
15,1,10:02.0,,N. Mirotić misses 3-pt jump shot from 27 ft,2,0
16,1,9:59.0,Defensive rebound by T. Hardaway,,2,0
17,1,9:52.0,T. Hardaway makes 2-pt jump shot from 10 ft,,4,0
18,1,9:44.0,,Personal foul by K. Knox (drawn by N. Mirotić),4,0
19,1,9:38.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),4,2
20,1,9:30.0,Personal foul by E. Payton (drawn by E. Mudiay),,4,2
21,1,9:24.0,A. Trier makes 2-pt jump shot from 16 ft (assist by M. Robinson),,6,2
22,1,9:15.0,,J. Holiday misses 2-pt jump shot from 23 ft,6,2
23,1,9:15.0,Defensive rebound by K. Knox,,6,2
24,1,9:04.0,E. Mudiay misses 2-pt jump shot from 19 ft,,6,2
25,1,9:01.0,,Defensive rebound by E. Payton,6,2
26,1,8:48.0,,N. Mirotić makes 2-pt hook shot from 7 ft (assist by A. Davis),6,4
27,1,8:44.0,Turnover by E. Mudiay (back court),,6,4
28,1,8:33.0,,N. Mirotić misses 2-pt jump shot from 21 ft,6,4
29,1,8:29.0,Defensive rebound by T. Hardaway,,6,4
30,1,8:24.0,Personal foul by E. Payton (drawn by T. Hardaway),,6,4
31,1,8:18.0,Turnover by K. Knox (bad pass),,6,4
32,1,8:13.0,,Turnover by A. Davis (discontinued dribble),6,4
33,1,8:01.0,E. Mudiay makes 3-pt jump shot from 24 ft (assist by K. Knox),,9,4
34,1,7:51.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by A. Davis),9,7
35,1,7:32.0,E. Mudiay makes 2-pt layup from 2 ft (assist by A. Trier),,11,7
36,1,7:25.0,,E. Payton misses 2-pt layup from 1 ft (block by E. Mudiay),11,7
37,1,7:24.0,Defensive rebound by E. Mudiay,,11,7
38,1,7:24.0,A. Trier misses 3-pt jump shot from 26 ft,,11,7
39,1,7:21.0,Offensive rebound by K. Knox,,11,7
40,1,7:10.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Knox),,14,7
41,1,7:04.0,,New Orleans full timeout,14,7
42,1,7:04.0,,W. Johnson enters the game for J. Holiday,14,7
43,1,7:04.0,,J. Randle enters the game for N. Mirotić,14,7
44,1,6:53.0,,W. Johnson makes 3-pt jump shot from 26 ft (assist by A. Davis),14,10
45,1,6:32.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by A. Trier),,17,10
46,1,6:11.0,,J. Randle makes 2-pt jump shot from 10 ft,17,12
47,1,6:01.0,E. Mudiay misses 2-pt jump shot from 11 ft,,17,12
48,1,6:01.0,Offensive rebound by M. Robinson,,17,12
49,1,5:58.0,M. Robinson misses 2-pt layup from 4 ft,,17,12
50,1,5:58.0,,Defensive rebound by Team,17,12
51,1,5:50.0,,E. Moore misses 3-pt jump shot from 26 ft,17,12
52,1,5:45.0,Defensive rebound by K. Knox,,17,12
53,1,5:38.0,K. Knox misses 3-pt jump shot from 26 ft,,17,12
54,1,5:35.0,,Defensive rebound by E. Moore,17,12
55,1,5:30.0,,W. Johnson misses 3-pt jump shot from 24 ft,17,12
56,1,5:27.0,Defensive rebound by E. Mudiay,,17,12
57,1,5:22.0,K. Knox makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,20,12
58,1,5:10.0,,Turnover by E. Payton (bad pass; steal by T. Hardaway),20,12
59,1,5:05.0,T. Hardaway misses 2-pt layup from 2 ft,,20,12
60,1,5:00.0,Offensive rebound by A. Trier,,20,12
61,1,5:00.0,A. Trier makes 2-pt layup at rim,,22,12
62,1,4:55.0,,Turnover by W. Johnson (bad pass; steal by K. Knox),22,12
63,1,4:55.0,Personal foul by W. Johnson (drawn by K. Knox),,22,12
64,1,4:55.0,D. Dotson enters the game for A. Trier,,22,12
65,1,4:45.0,E. Mudiay misses 2-pt jump shot from 14 ft,,22,12
66,1,4:42.0,,Defensive rebound by A. Davis,22,12
67,1,4:27.0,,E. Payton misses 2-pt layup from 2 ft,22,12
68,1,4:27.0,Defensive rebound by T. Hardaway,,22,12
69,1,4:21.0,K. Knox misses 2-pt layup from 1 ft (block by W. Johnson),,22,12
70,1,4:17.0,,Defensive rebound by E. Moore,22,12
71,1,4:14.0,,A. Davis misses 2-pt dunk from 1 ft,22,12
72,1,4:12.0,Defensive rebound by M. Robinson,,22,12
73,1,4:02.0,T. Hardaway misses 3-pt jump shot from 29 ft,,22,12
74,1,3:58.0,Offensive rebound by M. Robinson,,22,12
75,1,3:56.0,M. Robinson makes 2-pt layup from 1 ft,,24,12
76,1,3:53.0,,New Orleans full timeout,24,12
77,1,3:53.0,T. Burke enters the game for E. Mudiay,,24,12
78,1,3:53.0,,J. Holiday enters the game for A. Davis,24,12
79,1,3:53.0,,N. Mirotić enters the game for E. Payton,24,12
80,1,3:37.0,,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),24,14
81,1,3:12.0,T. Hardaway misses 3-pt jump shot from 26 ft,,24,14
82,1,3:09.0,,Defensive rebound by J. Holiday,24,14
