,QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
0,1,11:44.0,,B. Brown makes 2-pt layup from 3 ft,0,2
1,1,11:22.0,D. Favors misses 3-pt jump shot from 24 ft,,0,2
2,1,11:19.0,,Defensive rebound by R. Jackson,0,2
3,1,11:11.0,,A. Drummond misses 2-pt layup from 1 ft,0,2
4,1,11:08.0,Defensive rebound by J. Ingles,,0,2
5,1,11:00.0,J. Ingles misses 2-pt layup from 5 ft,,0,2
6,1,10:58.0,Offensive rebound by R. Gobert,,0,2
7,1,10:58.0,R. Gobert misses 2-pt layup from 1 ft,,0,2
8,1,10:58.0,Offensive rebound by R. Gobert,,0,2
9,1,10:58.0,Shooting foul by R. Jackson (drawn by R. Gobert),,0,2
10,1,10:58.0,R. Gobert misses free throw 1 of 2,,0,2
11,1,10:58.0,Offensive rebound by Team,,0,2
12,1,10:58.0,R. Gobert misses free throw 2 of 2,,0,2
13,1,10:56.0,,Defensive rebound by A. Drummond,0,2
14,1,10:45.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Brown),0,4
15,1,10:32.0,J. Ingles misses 3-pt jump shot from 28 ft,,0,4
16,1,10:30.0,,Defensive rebound by B. Griffin,0,4
17,1,10:26.0,,B. Griffin misses 3-pt jump shot from 26 ft,0,4
18,1,10:22.0,Defensive rebound by D. Mitchell,,0,4
19,1,10:13.0,R. Rubio misses 3-pt jump shot from 27 ft,,0,4
20,1,10:11.0,,Defensive rebound by A. Drummond,0,4
21,1,9:52.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,7
22,1,9:50.0,Utah full timeout,,0,7
23,1,9:40.0,Offensive foul by R. Gobert (drawn by R. Jackson),,0,7
24,1,9:40.0,Turnover by R. Gobert (offensive foul),,0,7
25,1,9:32.0,,Personal foul by D. Mitchell (drawn by B. Brown),0,7
26,1,9:29.0,,Turnover by R. Bullock (bad pass),0,7
27,1,9:13.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Gobert),,3,7
28,1,8:55.0,,R. Bullock misses 2-pt layup from 7 ft,3,7
29,1,8:55.0,Defensive rebound by Team,,3,7
30,1,8:55.0,,Loose ball foul by A. Drummond (drawn by R. Gobert),3,7
31,1,8:40.0,D. Favors misses 2-pt jump shot from 8 ft,,3,7
32,1,8:40.0,,Defensive rebound by A. Drummond,3,7
33,1,8:40.0,,Personal foul by R. Gobert (drawn by B. Griffin),3,7
34,1,8:40.0,E. Udoh enters the game for R. Gobert,,3,7
35,1,8:24.0,,R. Jackson misses 2-pt layup from 4 ft,3,7
36,1,8:21.0,Defensive rebound by E. Udoh,,3,7
37,1,8:01.0,D. Mitchell misses 2-pt jump shot from 11 ft,,3,7
38,1,7:58.0,,Defensive rebound by A. Drummond,3,7
39,1,7:47.0,,Shooting foul by E. Udoh (drawn by B. Brown),3,7
40,1,7:47.0,Shooting foul by B. Griffin (drawn by D. Favors),,3,7
41,1,7:47.0,,B. Brown makes free throw 1 of 2,3,8
42,1,7:47.0,,B. Brown makes free throw 2 of 2,3,9
43,1,7:39.0,D. Favors makes free throw 1 of 2,,4,9
44,1,7:39.0,D. Favors makes free throw 2 of 2,,5,9
45,1,7:26.0,,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),5,12
46,1,7:10.0,D. Mitchell misses 2-pt jump shot from 6 ft,,5,12
47,1,7:08.0,,Defensive rebound by A. Drummond,5,12
48,1,6:55.0,,R. Jackson misses 3-pt jump shot from 23 ft,5,12
49,1,6:52.0,Defensive rebound by J. Ingles,,5,12
50,1,6:44.0,D. Favors misses 2-pt layup from 6 ft (block by A. Drummond),,5,12
51,1,6:41.0,,Defensive rebound by A. Drummond,5,12
52,1,6:29.0,,R. Bullock makes 2-pt jump shot from 12 ft,5,14
53,1,6:13.0,Turnover by J. Ingles (out of bounds lost ball),,5,14
54,1,6:13.0,J. Crowder enters the game for D. Favors,,5,14
55,1,6:13.0,K. Korver enters the game for J. Ingles,,5,14
56,1,5:54.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Brown),5,17
57,1,5:36.0,R. Rubio misses 2-pt layup from 2 ft,,5,17
58,1,5:32.0,Offensive rebound by R. Rubio,,5,17
59,1,5:31.0,E. Udoh makes 2-pt layup from 5 ft (assist by R. Rubio),,7,17
60,1,5:14.0,,R. Bullock makes 3-pt jump shot from 23 ft,7,20
61,1,5:00.0,J. Crowder misses 2-pt layup from 3 ft,,7,20
62,1,4:55.0,Violation by Team (def goaltending),,7,20
63,1,4:57.0,,Defensive rebound by B. Brown,7,20
64,1,4:55.0,,B. Brown makes 2-pt layup from 7 ft,7,22
65,1,4:55.0,,Shooting foul by K. Korver (drawn by B. Brown),7,22
66,1,4:55.0,,B. Brown makes free throw 1 of 1,7,23
67,1,4:55.0,D. Exum enters the game for R. Rubio,,7,23
68,1,4:45.0,Shooting foul by R. Jackson (drawn by D. Exum),,7,23
69,1,4:45.0,D. Exum makes free throw 1 of 2,,8,23
70,1,4:45.0,,J. Calderón enters the game for R. Jackson,8,23
71,1,4:45.0,D. Exum makes free throw 2 of 2,,9,23
72,1,4:24.0,,A. Drummond makes 2-pt layup from 4 ft (assist by B. Brown),9,25
73,1,4:07.0,E. Udoh misses 2-pt hook shot from 6 ft,,9,25
74,1,4:05.0,,Defensive rebound by A. Drummond,9,25
75,1,3:57.0,,B. Griffin misses 3-pt jump shot from 27 ft,9,25
76,1,3:54.0,Defensive rebound by D. Exum,,9,25
77,1,3:47.0,K. Korver makes 2-pt jump shot from 17 ft (assist by D. Exum),,11,25
78,1,3:29.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Brown),11,28
79,1,3:16.0,D. Mitchell makes 2-pt jump shot from 16 ft (assist by D. Exum),,13,28
80,1,2:55.0,,B. Griffin misses 2-pt layup from 5 ft,13,28
81,1,2:50.0,,Offensive rebound by A. Drummond,13,28
82,1,2:50.0,,A. Drummond misses 2-pt layup at rim,13,28
83,1,2:49.0,Defensive rebound by J. Crowder,,13,28
84,1,2:47.0,Turnover by J. Crowder (bad pass; steal by B. Griffin),,13,28
85,1,2:42.0,,B. Griffin makes 2-pt layup from 5 ft,13,30
86,1,2:21.0,D. Mitchell misses 2-pt jump shot from 9 ft,,13,30
87,1,2:19.0,,Defensive rebound by B. Brown,13,30
88,1,2:19.0,,Detroit full timeout,13,30
89,1,2:19.0,D. Favors enters the game for D. Exum,,13,30
90,1,2:19.0,J. Ingles enters the game for D. Mitchell,,13,30
91,1,2:19.0,R. Neto enters the game for E. Udoh,,13,30
92,1,2:19.0,,S. Johnson enters the game for B. Brown,13,30
93,1,2:19.0,,L. Kennard enters the game for B. Griffin,13,30
94,1,2:01.0,,L. Kennard misses 3-pt jump shot from 26 ft,13,30
95,1,1:58.0,Defensive rebound by J. Crowder,,13,30
96,1,1:45.0,J. Crowder misses 2-pt jump shot from 7 ft,,13,30
97,1,1:42.0,Offensive rebound by J. Crowder,,13,30
98,1,1:36.0,R. Neto misses 2-pt jump shot from 23 ft,,13,30
99,1,1:36.0,,Defensive rebound by A. Drummond,13,30
100,1,1:10.0,,A. Drummond misses 2-pt hook shot from 3 ft,13,30
101,1,1:08.0,Defensive rebound by J. Crowder,,13,30
102,1,0:52.0,J. Crowder misses 3-pt jump shot from 28 ft,,13,30
103,1,0:50.0,,Defensive rebound by A. Drummond,13,30
104,1,0:32.0,,S. Johnson misses 3-pt jump shot from 24 ft,13,30
105,1,0:29.0,Defensive rebound by D. Favors,,13,30
106,1,0:15.0,Turnover by J. Ingles (bad pass; steal by A. Drummond),,13,30
107,1,0:11.0,,Personal foul by K. Korver (drawn by A. Drummond),13,30
108,1,0:11.0,,A. Drummond makes free throw 1 of 2,13,31
109,1,0:11.0,D. Exum enters the game for R. Neto,,13,31
110,1,0:11.0,,A. Drummond misses free throw 2 of 2,13,31
111,1,0:09.0,Defensive rebound by K. Korver,,13,31
112,1,0:03.0,D. Favors misses 2-pt layup from 3 ft (block by S. Johnson),,13,31
113,1,0:03.0,,Defensive rebound by S. Johnson,13,31
114,1,0:00.0,,S. Johnson misses 3-pt jump shot from 40 ft,13,31
115,1,0:00.0,,Offensive rebound by Team,13,31
116,2,11:44.0,J. Ingles misses 2-pt jump shot from 10 ft,,13,31
117,2,11:40.0,,Defensive rebound by J. Calderón,13,31
118,2,11:22.0,,B. Griffin misses 2-pt jump shot from 12 ft,13,31
119,2,11:20.0,Defensive rebound by R. Gobert,,13,31
120,2,11:15.0,J. Ingles makes 2-pt layup from 4 ft,,15,31
121,2,11:15.0,Shooting foul by J. Leuer (drawn by J. Ingles),,15,31
122,2,11:15.0,J. Ingles makes free throw 1 of 1,,16,31
123,2,10:57.0,,S. Johnson misses 3-pt jump shot from 23 ft,16,31
124,2,10:54.0,Defensive rebound by D. Exum,,16,31
125,2,10:44.0,D. Exum makes 2-pt dunk from 1 ft (assist by R. Gobert),,18,31
126,2,10:31.0,,J. Calderón misses 2-pt jump shot from 17 ft,18,31
127,2,10:29.0,Defensive rebound by K. Korver,,18,31
128,2,10:27.0,Turnover by K. Korver (bad pass; steal by S. Johnson),,18,31
129,2,10:19.0,,J. Leuer misses 2-pt jump shot from 11 ft,18,31
130,2,10:14.0,,Offensive rebound by B. Griffin,18,31
131,2,10:14.0,,B. Griffin makes 2-pt layup at rim,18,33
132,2,10:06.0,K. Korver misses 3-pt jump shot from 28 ft,,18,33
133,2,10:03.0,,Defensive rebound by S. Johnson,18,33
134,2,9:56.0,,Turnover by S. Johnson (bad pass; steal by J. Ingles),18,33
135,2,9:43.0,R. Gobert makes 2-pt layup from 4 ft (assist by D. Exum),,20,33
136,2,9:28.0,,J. Calderón makes 3-pt jump shot from 27 ft (assist by B. Griffin),20,36
137,2,9:10.0,J. Crowder misses 3-pt jump shot from 28 ft,,20,36
138,2,9:06.0,,Defensive rebound by S. Johnson,20,36
139,2,8:53.0,,S. Johnson makes 2-pt jump shot from 10 ft,20,38
140,2,8:51.0,Utah full timeout,,20,38
141,2,8:51.0,D. Favors enters the game for J. Crowder,,20,38
142,2,8:51.0,R. Rubio enters the game for R. Gobert,,20,38
143,2,8:51.0,T. Sefolosha enters the game for K. Korver,,20,38
144,2,8:38.0,D. Favors makes 2-pt layup from 1 ft (assist by D. Exum),,22,38
145,2,8:38.0,Shooting foul by B. Griffin (drawn by D. Favors),,22,38
146,2,8:38.0,D. Favors makes free throw 1 of 1,,23,38
147,2,8:25.0,,L. Kennard misses 2-pt hook shot from 4 ft,23,38
148,2,8:22.0,Defensive rebound by T. Sefolosha,,23,38
149,2,8:10.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,23,38
150,2,8:08.0,,Defensive rebound by B. Griffin,23,38
151,2,7:59.0,,Turnover by B. Griffin (lost ball; steal by T. Sefolosha),23,38
152,2,7:54.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by D. Exum),,26,38
153,2,7:32.0,,L. Kennard misses 2-pt jump shot from 12 ft,26,38
154,2,7:32.0,Defensive rebound by D. Favors,,26,38
155,2,7:22.0,D. Favors makes 2-pt dunk from 9 ft (assist by R. Rubio),,28,38
156,2,7:22.0,,Detroit full timeout,28,38
157,2,7:22.0,,R. Bullock enters the game for J. Calderón,28,38
158,2,7:22.0,,L. Galloway enters the game for B. Griffin,28,38
159,2,7:22.0,,R. Jackson enters the game for L. Kennard,28,38
160,2,7:10.0,,J. Leuer misses 2-pt layup from 3 ft,28,38
161,2,7:07.0,Defensive rebound by T. Sefolosha,,28,38
162,2,6:59.0,J. Ingles makes 2-pt jump shot from 5 ft,,30,38
163,2,6:41.0,,L. Galloway misses 2-pt jump shot from 13 ft,30,38
164,2,6:39.0,Defensive rebound by Team,,30,38
165,2,6:39.0,D. Mitchell enters the game for D. Exum,,30,38
166,2,6:39.0,,A. Drummond enters the game for J. Leuer,30,38
167,2,6:19.0,J. Ingles makes 2-pt layup from 2 ft,,32,38
168,2,5:58.0,,R. Jackson misses 2-pt jump shot from 15 ft,32,38
169,2,5:55.0,Defensive rebound by T. Sefolosha,,32,38
170,2,5:52.0,Personal foul by S. Johnson (drawn by J. Ingles),,32,38
171,2,5:40.0,J. Ingles misses 3-pt jump shot from 28 ft,,32,38
172,2,5:35.0,Offensive rebound by D. Favors,,32,38
173,2,5:29.0,T. Sefolosha makes 2-pt layup from 4 ft (assist by R. Rubio),,34,38
174,2,5:05.0,,A. Drummond makes 2-pt hook shot from 8 ft,34,40
175,2,4:49.0,T. Sefolosha makes 2-pt hook shot from 6 ft (assist by D. Mitchell),,36,40
176,2,4:28.0,,R. Jackson makes 2-pt layup from 3 ft,36,42
177,2,4:18.0,R. Rubio makes 2-pt layup from 3 ft (assist by D. Favors),,38,42
