,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:50.0,S. Adams misses 2-pt jump shot from 9 ft,,0,0
1,1,11:47.0,,Defensive rebound by J. Holiday,0,0
2,1,11:34.0,,D. Wright makes 2-pt layup from 1 ft (assist by J. Holiday),0,2
3,1,11:34.0,Violation by Team (def goaltending),,0,2
4,1,11:30.0,R. Westbrook misses 2-pt layup from 2 ft,,0,2
5,1,11:26.0,,Defensive rebound by J. Holiday,0,2
6,1,11:22.0,,B. Caboclo makes 3-pt jump shot from 24 ft (assist by T. Dorsey),0,5
7,1,11:02.0,P. George misses 2-pt jump shot from 19 ft,,0,5
8,1,10:59.0,,Defensive rebound by B. Caboclo,0,5
9,1,10:49.0,,B. Caboclo makes 2-pt jump shot from 7 ft (assist by D. Wright),0,7
10,1,10:40.0,S. Adams misses 2-pt layup from 1 ft,,0,7
11,1,10:40.0,Offensive rebound by S. Adams,,0,7
12,1,10:40.0,S. Adams misses 2-pt layup from 1 ft,,0,7
13,1,10:40.0,,Defensive rebound by B. Caboclo,0,7
14,1,10:28.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by T. Dorsey),0,9
15,1,10:28.0,Oklahoma City full timeout,,0,9
16,1,10:20.0,P. George misses 3-pt jump shot from 26 ft,,0,9
17,1,10:15.0,,Defensive rebound by J. Valančiūnas,0,9
18,1,10:13.0,,Offensive foul by B. Caboclo (drawn by J. Grant),0,9
19,1,10:13.0,,Turnover by B. Caboclo (offensive foul),0,9
20,1,10:04.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,2,9
21,1,9:38.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by D. Wright),2,11
22,1,9:12.0,J. Grant misses 3-pt jump shot from 27 ft,,2,11
23,1,9:09.0,,Defensive rebound by J. Valančiūnas,2,11
24,1,8:58.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft,2,13
25,1,8:38.0,P. George misses 3-pt jump shot from 26 ft,,2,13
26,1,8:36.0,Offensive rebound by S. Adams,,2,13
27,1,8:32.0,Turnover by S. Adams (bad pass; steal by D. Wright),,2,13
28,1,8:15.0,,T. Dorsey makes 3-pt jump shot from 25 ft (assist by J. Holiday),2,16
29,1,8:00.0,P. George makes 2-pt jump shot from 1 ft,,4,16
30,1,8:00.0,Shooting foul by J. Valančiūnas (drawn by P. George),,4,16
31,1,8:00.0,P. George makes free throw 1 of 1,,5,16
32,1,7:46.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,5,16
33,1,7:43.0,Defensive rebound by P. George,,5,16
34,1,7:33.0,P. George misses 3-pt jump shot from 27 ft,,5,16
35,1,7:29.0,,Defensive rebound by J. Holiday,5,16
36,1,7:26.0,,D. Wright makes 2-pt layup from 5 ft (assist by J. Holiday),5,18
37,1,7:05.0,R. Westbrook makes 3-pt jump shot from 28 ft,,8,18
38,1,6:51.0,,J. Holiday misses 3-pt jump shot from 24 ft,8,18
39,1,6:49.0,Defensive rebound by Team,,8,18
40,1,6:36.0,S. Adams makes 2-pt hook shot from 6 ft,,10,18
41,1,6:18.0,,Turnover by J. Valančiūnas (bad pass; steal by S. Adams),10,18
42,1,6:10.0,P. George misses 3-pt jump shot from 26 ft,,10,18
43,1,6:06.0,,Defensive rebound by J. Valančiūnas,10,18
44,1,6:03.0,,Memphis full timeout,10,18
45,1,6:03.0,D. Schröder enters the game for P. George,,10,18
46,1,6:03.0,,J. Carter enters the game for T. Dorsey,10,18
47,1,6:03.0,,C. Parsons enters the game for J. Holiday,10,18
48,1,5:45.0,,J. Carter misses 3-pt jump shot from 24 ft,10,18
49,1,5:45.0,,Offensive rebound by Team,10,18
50,1,5:45.0,,Turnover by Team (shot clock),10,18
51,1,5:34.0,J. Grant misses 2-pt jump shot from 20 ft,,10,18
52,1,5:30.0,,Defensive rebound by J. Carter,10,18
53,1,5:25.0,,C. Parsons misses 3-pt jump shot from 26 ft,10,18
54,1,5:20.0,Defensive rebound by D. Schröder,,10,18
55,1,5:14.0,D. Schröder makes 2-pt jump shot from 12 ft,,12,18
56,1,4:59.0,,D. Wright makes 2-pt layup at rim,12,20
57,1,4:59.0,,Shooting foul by D. Schröder (drawn by D. Wright),12,20
58,1,4:59.0,,D. Wright makes free throw 1 of 1,12,21
59,1,4:49.0,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,15,21
60,1,4:31.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,15,21
61,1,4:29.0,Defensive rebound by J. Grant,,15,21
62,1,4:23.0,Turnover by D. Schröder (lost ball; steal by D. Wright),,15,21
63,1,4:20.0,,D. Wright makes 2-pt dunk at rim (assist by J. Carter),15,23
64,1,4:06.0,Def 3 sec tech foul by Team,,15,23
65,1,4:06.0,R. Westbrook misses technical free throw,,15,23
66,1,4:06.0,Offensive rebound by Team,,15,23
67,1,4:06.0,M. Morris enters the game for S. Adams,,15,23
68,1,4:06.0,,T. Dorsey enters the game for B. Caboclo,15,23
69,1,4:06.0,,J. Holiday enters the game for D. Wright,15,23
70,1,4:00.0,Shooting foul by J. Holiday (drawn by R. Westbrook),,15,23
71,1,4:00.0,R. Westbrook misses free throw 1 of 2,,15,23
72,1,4:00.0,Offensive rebound by Team,,15,23
73,1,4:00.0,,I. Rabb enters the game for J. Valančiūnas,15,23
74,1,4:00.0,R. Westbrook makes free throw 2 of 2,,16,23
75,1,3:46.0,,I. Rabb makes 2-pt layup at rim (assist by T. Dorsey),16,25
76,1,3:34.0,R. Westbrook misses 2-pt hook shot from 8 ft,,16,25
77,1,3:31.0,,Defensive rebound by C. Parsons,16,25
78,1,3:20.0,,T. Dorsey misses 3-pt jump shot from 26 ft,16,25
79,1,3:16.0,Defensive rebound by T. Ferguson,,16,25
80,1,3:04.0,R. Westbrook misses 3-pt jump shot from 23 ft,,16,25
