,QUARTER,TIME_REMAINING,DETROIT_ACTION,OKLAHOMA CITY_ACTION,DETROIT_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,Turnover by A. Drummond (off goaltending),,0,0
1,1,11:32.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),0,2
2,1,11:12.0,B. Griffin misses 3-pt jump shot from 25 ft,,0,2
3,1,11:09.0,Offensive rebound by A. Drummond,,0,2
4,1,11:06.0,W. Ellington misses 3-pt jump shot from 23 ft,,0,2
5,1,11:03.0,,Defensive rebound by R. Westbrook,0,2
6,1,10:59.0,,P. George misses 2-pt layup from 2 ft,0,2
7,1,10:59.0,,Offensive rebound by Team,0,2
8,1,10:54.0,,P. George makes 2-pt jump shot from 20 ft (assist by R. Westbrook),0,4
9,1,10:33.0,Turnover by A. Drummond (lost ball; steal by R. Westbrook),,0,4
10,1,10:27.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),0,6
11,1,10:16.0,B. Griffin makes 3-pt jump shot from 25 ft,,3,6
12,1,10:07.0,,Turnover by R. Westbrook (bad pass; steal by A. Drummond),3,6
13,1,10:00.0,B. Griffin misses 3-pt jump shot from 25 ft,,3,6
14,1,9:57.0,,Defensive rebound by P. George,3,6
15,1,9:54.0,,Turnover by P. George (bad pass; steal by B. Brown),3,6
16,1,9:54.0,B. Brown makes 2-pt layup from 1 ft,,5,6
17,1,9:54.0,Shooting foul by P. George (drawn by B. Brown),,5,6
18,1,9:54.0,B. Brown makes free throw 1 of 1,,6,6
19,1,9:47.0,,P. George makes 2-pt jump shot from 17 ft (assist by R. Westbrook),6,8
20,1,9:35.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),,9,8
21,1,9:18.0,,Turnover by S. Adams (3 sec),9,8
22,1,9:04.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Brown),,12,8
23,1,8:53.0,,P. George misses 3-pt jump shot from 25 ft,12,8
24,1,8:50.0,Defensive rebound by A. Drummond,,12,8
25,1,8:42.0,Shooting foul by S. Adams (drawn by A. Drummond),,12,8
26,1,8:42.0,A. Drummond misses free throw 1 of 2,,12,8
27,1,8:42.0,Offensive rebound by Team,,12,8
28,1,8:42.0,A. Drummond misses free throw 2 of 2,,12,8
29,1,8:39.0,,Defensive rebound by R. Westbrook,12,8
30,1,8:31.0,,J. Grant misses 2-pt jump shot from 17 ft,12,8
31,1,8:28.0,Defensive rebound by A. Drummond,,12,8
32,1,8:20.0,Shooting foul by S. Adams (drawn by B. Griffin),,12,8
33,1,8:20.0,B. Griffin makes free throw 1 of 2,,13,8
34,1,8:20.0,B. Griffin makes free throw 2 of 2,,14,8
35,1,8:03.0,,P. George misses 2-pt layup from 2 ft (block by A. Drummond),14,8
36,1,8:02.0,,Offensive rebound by P. George,14,8
37,1,8:01.0,,P. George makes 2-pt layup from 2 ft,14,10
38,1,8:01.0,,Shooting foul by A. Drummond (drawn by P. George),14,10
39,1,8:01.0,,P. George makes free throw 1 of 1,14,11
40,1,7:47.0,W. Ellington misses 3-pt jump shot from 25 ft,,14,11
41,1,7:43.0,,Defensive rebound by R. Westbrook,14,11
42,1,7:34.0,,J. Grant makes 2-pt hook shot from 3 ft (assist by R. Westbrook),14,13
43,1,7:24.0,B. Griffin makes 3-pt jump shot from 24 ft,,17,13
44,1,7:13.0,,R. Westbrook misses 2-pt jump shot from 12 ft,17,13
45,1,7:11.0,Defensive rebound by B. Griffin,,17,13
46,1,6:52.0,B. Griffin makes 2-pt jump shot from 7 ft,,19,13
47,1,6:38.0,,R. Westbrook misses 2-pt layup from 2 ft,19,13
48,1,6:33.0,,Offensive rebound by S. Adams,19,13
49,1,6:33.0,,S. Adams misses 2-pt layup at rim,19,13
50,1,6:32.0,Defensive rebound by W. Ellington,,19,13
51,1,6:20.0,R. Jackson misses 2-pt layup from 4 ft (block by S. Adams),,19,13
52,1,6:18.0,,Defensive rebound by P. George,19,13
53,1,6:15.0,,J. Grant makes 2-pt layup from 2 ft (assist by P. George),19,15
54,1,6:07.0,Detroit full timeout,,19,15
55,1,5:58.0,Shooting foul by S. Adams (drawn by B. Griffin),,19,15
56,1,5:58.0,B. Griffin makes free throw 1 of 2,,20,15
57,1,5:58.0,,N. Noel enters the game for S. Adams,20,15
58,1,5:58.0,B. Griffin makes free throw 2 of 2,,21,15
59,1,5:47.0,,P. George misses 2-pt layup from 2 ft (block by A. Drummond),21,15
60,1,5:44.0,,Offensive rebound by P. George,21,15
61,1,5:42.0,,P. George misses 2-pt jump shot from 12 ft,21,15
62,1,5:42.0,Defensive rebound by B. Griffin,,21,15
63,1,5:31.0,R. Jackson misses 2-pt jump shot from 8 ft,,21,15
64,1,5:28.0,Offensive rebound by W. Ellington,,21,15
65,1,5:26.0,B. Griffin misses 3-pt jump shot from 25 ft,,21,15
66,1,5:23.0,Offensive rebound by A. Drummond,,21,15
67,1,5:21.0,Offensive foul by A. Drummond (drawn by J. Grant),,21,15
68,1,5:21.0,Turnover by A. Drummond (offensive foul),,21,15
