,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:44.0,J. Allen misses 2-pt layup at rim,,0,0
1,1,11:42.0,,Defensive rebound by T. Thompson,0,0
2,1,11:28.0,,C. Osman makes 2-pt jump shot from 16 ft,0,2
3,1,11:14.0,C. LeVert misses 2-pt layup from 3 ft,,0,2
4,1,11:11.0,,Defensive rebound by K. Love,0,2
5,1,11:01.0,,T. Thompson misses 2-pt layup from 2 ft,0,2
6,1,10:59.0,Defensive rebound by J. Dudley,,0,2
7,1,10:47.0,D. Russell misses 3-pt jump shot from 23 ft,,0,2
8,1,10:44.0,,Defensive rebound by R. Hood,0,2
9,1,10:35.0,,R. Hood misses 2-pt jump shot from 11 ft,0,2
10,1,10:32.0,Defensive rebound by J. Harris,,0,2
11,1,10:20.0,J. Dudley makes 3-pt jump shot from 23 ft (assist by C. LeVert),,3,2
12,1,10:00.0,,T. Thompson misses 2-pt jump shot from 13 ft,3,2
13,1,9:58.0,,Offensive rebound by T. Thompson,3,2
14,1,9:53.0,,G. Hill makes 2-pt jump shot from 17 ft,3,4
15,1,9:39.0,D. Russell makes 2-pt jump shot from 15 ft,,5,4
16,1,9:39.0,Shooting foul by C. Osman (drawn by D. Russell),,5,4
17,1,9:39.0,D. Russell makes free throw 1 of 1,,6,4
18,1,9:25.0,,R. Hood makes 2-pt jump shot from 9 ft (assist by T. Thompson),6,6
19,1,9:15.0,J. Harris makes 3-pt jump shot from 27 ft (assist by J. Allen),,9,6
20,1,9:03.0,,C. Osman misses 2-pt layup from 1 ft,9,6
21,1,9:02.0,,Offensive rebound by T. Thompson,9,6
22,1,9:00.0,,K. Love makes 3-pt jump shot from 26 ft (assist by T. Thompson),9,9
23,1,8:58.0,Brooklyn full timeout,,9,9
24,1,8:38.0,D. Russell misses 2-pt jump shot from 20 ft,,9,9
25,1,8:35.0,,Defensive rebound by T. Thompson,9,9
26,1,8:24.0,,T. Thompson misses 2-pt layup from 2 ft (block by J. Allen),9,9
27,1,8:21.0,Defensive rebound by J. Allen,,9,9
28,1,8:16.0,,Violation by Team (kicked ball),9,9
29,1,8:08.0,J. Allen makes 2-pt dunk from 2 ft (assist by C. LeVert),,11,9
30,1,7:52.0,,Turnover by C. Osman (bad pass; steal by J. Allen),11,9
31,1,7:44.0,D. Russell misses 2-pt jump shot from 6 ft,,11,9
32,1,7:42.0,,Defensive rebound by K. Love,11,9
33,1,7:33.0,,G. Hill makes 2-pt jump shot from 15 ft,11,11
34,1,7:15.0,J. Harris misses 2-pt jump shot from 13 ft,,11,11
35,1,7:12.0,,Defensive rebound by T. Thompson,11,11
36,1,7:05.0,,C. Osman misses 3-pt jump shot from 26 ft,11,11
37,1,7:03.0,Defensive rebound by C. LeVert,,11,11
38,1,6:56.0,C. LeVert misses 2-pt jump shot from 11 ft,,11,11
39,1,6:54.0,,Defensive rebound by C. Osman,11,11
40,1,6:54.0,,Personal foul by J. Dudley (drawn by C. Osman),11,11
41,1,6:52.0,,Personal foul by J. Harris (drawn by R. Hood),11,11
42,1,6:49.0,,K. Love misses 2-pt jump shot from 17 ft,11,11
43,1,6:44.0,,Offensive rebound by T. Thompson,11,11
44,1,6:44.0,,T. Thompson misses 2-pt layup at rim,11,11
45,1,6:43.0,Defensive rebound by J. Allen,,11,11
46,1,6:33.0,D. Russell makes 2-pt jump shot from 12 ft,,13,11
47,1,6:18.0,,R. Hood misses 2-pt jump shot from 9 ft,13,11
48,1,6:13.0,,Offensive rebound by R. Hood,13,11
49,1,6:13.0,,R. Hood misses 2-pt dunk at rim,13,11
50,1,6:12.0,Defensive rebound by J. Allen,,13,11
51,1,6:06.0,J. Dudley misses 3-pt jump shot from 25 ft,,13,11
52,1,6:04.0,,Defensive rebound by K. Love,13,11
53,1,5:56.0,,K. Love misses 3-pt jump shot from 26 ft,13,11
54,1,5:53.0,Defensive rebound by J. Allen,,13,11
55,1,5:46.0,C. LeVert misses 3-pt jump shot from 26 ft,,13,11
56,1,5:43.0,,Defensive rebound by K. Love,13,11
57,1,5:40.0,,Turnover by K. Love (bad pass; steal by C. LeVert),13,11
58,1,5:33.0,J. Allen makes 2-pt layup at rim (assist by J. Dudley),,15,11
59,1,5:33.0,Shooting foul by T. Thompson (drawn by J. Allen),,15,11
60,1,5:33.0,A. Crabbe enters the game for J. Dudley,,15,11
61,1,5:33.0,R. Hollis-Jefferson enters the game for J. Harris,,15,11
62,1,5:33.0,J. Allen misses free throw 1 of 1,,15,11
63,1,5:20.0,,Defensive rebound by C. Osman,15,11
64,1,5:16.0,,T. Thompson misses 2-pt dunk from 1 ft,15,11
65,1,5:13.0,,Offensive rebound by G. Hill,15,11
66,1,5:13.0,,G. Hill misses 2-pt layup at rim,15,11
67,1,5:12.0,,Offensive rebound by G. Hill,15,11
68,1,5:06.0,,Shooting foul by J. Allen (drawn by R. Hood),15,11
69,1,5:06.0,,R. Hood makes free throw 1 of 2,15,12
70,1,5:06.0,E. Davis enters the game for J. Allen,,15,12
71,1,5:06.0,S. Dinwiddie enters the game for D. Russell,,15,12
72,1,5:06.0,,R. Hood makes free throw 2 of 2,15,13
73,1,4:48.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft (block by K. Love),,15,13
