,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by B. Forbes),,0,0
1,1,11:26.0,,B. Forbes misses 3-pt jump shot from 27 ft,0,0
2,1,11:23.0,Defensive rebound by M. Gortat,,0,0
3,1,11:15.0,T. Harris makes 2-pt jump shot from 15 ft (assist by A. Bradley),,2,0
4,1,10:52.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by D. DeRozan),2,2
5,1,10:37.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,5,2
6,1,10:23.0,,D. DeRozan misses 2-pt jump shot from 15 ft,5,2
7,1,10:21.0,Defensive rebound by M. Gortat,,5,2
8,1,10:15.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by R. Gay),,5,2
9,1,10:15.0,,Personal foul by S. Gilgeous-Alexander (drawn by R. Gay),5,2
10,1,9:53.0,,R. Gay makes 3-pt jump shot from 26 ft,5,5
11,1,9:40.0,T. Harris makes 2-pt jump shot from 10 ft,,7,5
12,1,9:25.0,,D. DeRozan makes 2-pt jump shot from 8 ft,7,7
13,1,9:25.0,,Shooting foul by A. Bradley (drawn by D. DeRozan),7,7
14,1,9:25.0,,D. DeRozan makes free throw 1 of 1,7,8
15,1,9:08.0,A. Bradley misses 2-pt jump shot from 17 ft,,7,8
16,1,9:08.0,,Defensive rebound by Team,7,8
17,1,8:53.0,,D. DeRozan makes 2-pt jump shot from 10 ft (assist by R. Gay),7,10
18,1,8:37.0,Shooting foul by R. Gay (drawn by T. Harris),,7,10
19,1,8:37.0,T. Harris makes free throw 1 of 2,,8,10
20,1,8:37.0,T. Harris makes free throw 2 of 2,,9,10
21,1,8:15.0,,D. DeRozan misses 2-pt jump shot from 13 ft,9,10
22,1,8:12.0,Defensive rebound by T. Harris,,9,10
23,1,7:59.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft (assist by A. Bradley),,11,10
24,1,7:47.0,,B. Forbes makes 2-pt jump shot from 15 ft,11,12
25,1,7:36.0,M. Gortat misses 2-pt jump shot from 9 ft,,11,12
26,1,7:36.0,,Defensive rebound by D. White,11,12
27,1,7:27.0,,D. White misses 2-pt layup from 3 ft,11,12
28,1,7:24.0,Defensive rebound by M. Gortat,,11,12
29,1,7:21.0,T. Harris misses 2-pt layup from 1 ft,,11,12
30,1,7:17.0,,Defensive rebound by R. Gay,11,12
31,1,7:09.0,,L. Aldridge makes 2-pt jump shot from 10 ft,11,14
32,1,6:50.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by M. Gortat),,13,14
33,1,6:36.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),13,16
34,1,6:36.0,LA Clippers full timeout,,13,16
35,1,6:19.0,M. Gortat misses 2-pt layup from 2 ft (block by R. Gay),,13,16
36,1,6:13.0,Offensive rebound by M. Gortat,,13,16
37,1,6:10.0,M. Gortat makes 2-pt layup from 3 ft,,15,16
38,1,6:05.0,,L. Aldridge misses 2-pt jump shot from 14 ft,15,16
39,1,6:05.0,Defensive rebound by T. Harris,,15,16
40,1,5:55.0,D. Gallinari misses 3-pt jump shot from 26 ft,,15,16
41,1,5:51.0,,Defensive rebound by R. Gay,15,16
42,1,5:41.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),15,19
43,1,5:19.0,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by M. Gortat),,18,19
44,1,5:18.0,,San Antonio full timeout,18,19
45,1,5:18.0,,M. Belinelli enters the game for B. Forbes,18,19
46,1,5:18.0,,D. Bertāns enters the game for R. Gay,18,19
47,1,5:18.0,,P. Mills enters the game for D. White,18,19
48,1,4:59.0,,D. Bertāns misses 3-pt jump shot from 27 ft,18,19
49,1,4:56.0,,Offensive rebound by P. Mills,18,19
50,1,4:56.0,,Personal foul by T. Harris (drawn by M. Belinelli),18,19
51,1,4:48.0,,D. DeRozan makes 2-pt jump shot from 13 ft,18,21
52,1,4:25.0,T. Harris misses 3-pt jump shot from 27 ft,,18,21
53,1,4:23.0,,Defensive rebound by M. Belinelli,18,21
54,1,4:17.0,,M. Belinelli makes 2-pt jump shot from 14 ft,18,23
55,1,4:00.0,T. Harris misses 2-pt layup from 3 ft,,18,23
56,1,3:54.0,Offensive rebound by M. Gortat,,18,23
57,1,3:54.0,M. Gortat misses 2-pt layup at rim,,18,23
58,1,3:53.0,,Defensive rebound by P. Mills,18,23
59,1,3:53.0,,Offensive foul by L. Aldridge (drawn by M. Gortat),18,23
60,1,3:53.0,,Turnover by L. Aldridge (offensive foul),18,23
61,1,3:53.0,P. Beverley enters the game for D. Gallinari,,18,23
62,1,3:53.0,,J. Poeltl enters the game for L. Aldridge,18,23
63,1,3:41.0,A. Bradley makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),,20,23
64,1,3:28.0,,D. DeRozan misses 3-pt jump shot from 24 ft,20,23
65,1,3:26.0,,Offensive rebound by Team,20,23
66,1,3:13.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by D. DeRozan),20,26
67,1,2:57.0,P. Beverley makes 3-pt jump shot from 27 ft (assist by A. Bradley),,23,26
68,1,2:45.0,,D. DeRozan misses 2-pt jump shot from 13 ft,23,26
69,1,2:42.0,Defensive rebound by M. Gortat,,23,26
70,1,2:35.0,A. Bradley misses 2-pt layup from 3 ft,,23,26
71,1,2:32.0,,Defensive rebound by D. DeRozan,23,26
72,1,2:19.0,,D. Bertāns makes 2-pt hook shot from 7 ft (assist by P. Mills),23,28
73,1,2:02.0,P. Beverley misses 2-pt layup from 4 ft,,23,28
74,1,2:00.0,,Defensive rebound by J. Poeltl,23,28
