,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:43.0,L. Kornet makes 2-pt jump shot from 13 ft,,2,0
1,1,11:24.0,,R. Arcidiacono misses 2-pt jump shot from 16 ft,2,0
2,1,11:21.0,Defensive rebound by L. Kornet,,2,0
3,1,11:16.0,D. Smith makes 2-pt jump shot from 1 ft,,4,0
4,1,10:56.0,,T. Luwawu-Cabarrot makes 2-pt layup from 3 ft,4,2
5,1,10:49.0,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Smith),,7,2
6,1,10:29.0,,W. Selden misses 2-pt jump shot from 15 ft,7,2
7,1,10:25.0,Defensive rebound by L. Kornet,,7,2
8,1,10:07.0,D. Smith misses 2-pt jump shot from 20 ft,,7,2
9,1,10:04.0,,Defensive rebound by S. Harrison,7,2
10,1,9:50.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,7,2
11,1,9:45.0,Defensive rebound by K. Knox,,7,2
12,1,9:39.0,M. Robinson makes 2-pt layup from 1 ft (assist by K. Knox),,9,2
13,1,9:25.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,9,2
14,1,9:22.0,Defensive rebound by D. Dotson,,9,2
15,1,9:15.0,D. Dotson makes 2-pt jump shot from 14 ft,,11,2
16,1,9:13.0,,Chicago full timeout,11,2
17,1,8:59.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 7 ft,11,2
18,1,8:57.0,Defensive rebound by M. Robinson,,11,2
19,1,8:50.0,L. Kornet misses 2-pt hook shot from 5 ft,,11,2
20,1,8:49.0,,Defensive rebound by W. Selden,11,2
21,1,8:44.0,,W. Selden misses 3-pt jump shot from 26 ft,11,2
22,1,8:40.0,Defensive rebound by D. Smith,,11,2
23,1,8:30.0,L. Kornet misses 2-pt hook shot from 2 ft (block by S. Harrison),,11,2
24,1,8:26.0,Offensive rebound by L. Kornet,,11,2
25,1,8:26.0,L. Kornet makes 2-pt layup from 1 ft,,13,2
26,1,8:15.0,,S. Harrison makes 2-pt layup from 2 ft (assist by W. Selden),13,4
27,1,7:56.0,K. Knox misses 2-pt layup from 2 ft,,13,4
28,1,7:54.0,,Defensive rebound by S. Harrison,13,4
29,1,7:52.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by S. Harrison),13,7
30,1,7:37.0,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Smith),,13,7
31,1,7:37.0,D. Smith makes free throw 1 of 2,,14,7
32,1,7:37.0,D. Smith misses free throw 2 of 2,,14,7
33,1,7:34.0,,Defensive rebound by R. Arcidiacono,14,7
34,1,7:30.0,,Shooting foul by L. Kornet (drawn by R. Arcidiacono),14,7
35,1,7:30.0,,R. Arcidiacono makes free throw 1 of 2,14,8
36,1,7:30.0,,R. Arcidiacono makes free throw 2 of 2,14,9
37,1,7:21.0,D. Smith makes 3-pt jump shot from 26 ft,,17,9
38,1,7:02.0,,R. Lopez makes 2-pt hook shot from 3 ft,17,11
39,1,6:45.0,K. Knox makes 2-pt jump shot from 21 ft,,19,11
40,1,6:25.0,,W. Selden misses 2-pt jump shot from 2 ft (block by L. Kornet),19,11
41,1,6:21.0,Defensive rebound by M. Robinson,,19,11
42,1,6:17.0,K. Knox makes 3-pt jump shot from 23 ft (assist by D. Smith),,22,11
43,1,6:01.0,,R. Arcidiacono misses 2-pt jump shot from 9 ft,22,11
44,1,5:59.0,Defensive rebound by M. Robinson,,22,11
45,1,5:51.0,Turnover by D. Smith (bad pass; steal by S. Harrison),,22,11
46,1,5:49.0,,Shooting foul by D. Dotson (drawn by W. Selden),22,11
47,1,5:49.0,,W. Selden misses free throw 1 of 2,22,11
48,1,5:49.0,,Offensive rebound by Team,22,11
49,1,5:49.0,,W. Selden misses free throw 2 of 2,22,11
50,1,5:45.0,Defensive rebound by L. Kornet,,22,11
51,1,5:30.0,M. Robinson misses 2-pt dunk from 2 ft,,22,11
52,1,5:25.0,Offensive rebound by M. Robinson,,22,11
53,1,5:25.0,M. Robinson makes 2-pt layup from 1 ft,,24,11
54,1,5:18.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,24,11
55,1,5:15.0,Defensive rebound by L. Kornet,,24,11
56,1,5:02.0,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Dotson),,27,11
57,1,5:00.0,,Chicago full timeout,27,11
