,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:45.0,J. Allen misses 2-pt jump shot from 7 ft,,0,0
1,1,11:43.0,,Defensive rebound by S. Ibaka,0,0
2,1,11:26.0,,K. Leonard misses 2-pt jump shot from 16 ft,0,0
3,1,11:23.0,Defensive rebound by D. Russell,,0,0
4,1,11:18.0,D. Russell misses 3-pt jump shot from 26 ft,,0,0
5,1,11:16.0,,Defensive rebound by S. Ibaka,0,0
6,1,11:02.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by P. Siakam),0,3
7,1,10:51.0,D. Russell misses 2-pt layup from 1 ft,,0,3
8,1,10:48.0,,Defensive rebound by P. Siakam,0,3
9,1,10:40.0,,Shooting foul by T. Graham (drawn by P. Siakam),0,3
10,1,10:40.0,,P. Siakam makes free throw 1 of 2,0,4
11,1,10:40.0,,P. Siakam makes free throw 2 of 2,0,5
12,1,10:30.0,J. Allen misses 2-pt dunk from 1 ft,,0,5
13,1,10:29.0,Offensive rebound by D. Russell,,0,5
14,1,10:27.0,D. Russell makes 3-pt jump shot from 27 ft,,3,5
15,1,10:09.0,,P. Siakam misses 2-pt jump shot from 2 ft,3,5
16,1,10:06.0,,Offensive rebound by P. Siakam,3,5
17,1,10:06.0,,P. Siakam misses 2-pt layup at rim,3,5
18,1,10:06.0,Defensive rebound by R. Kurucs,,3,5
19,1,10:01.0,D. Russell misses 2-pt jump shot from 13 ft,,3,5
20,1,9:57.0,,Defensive rebound by K. Leonard,3,5
21,1,9:52.0,,K. Leonard misses 2-pt jump shot from 19 ft,3,5
22,1,9:52.0,Defensive rebound by J. Allen,,3,5
23,1,9:42.0,J. Harris misses 2-pt jump shot from 19 ft,,3,5
24,1,9:37.0,Offensive rebound by R. Kurucs,,3,5
25,1,9:37.0,R. Kurucs makes 2-pt layup from 1 ft,,5,5
26,1,9:25.0,,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),5,7
27,1,9:06.0,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Harris),,8,7
28,1,8:55.0,,K. Lowry misses 3-pt jump shot from 27 ft,8,7
29,1,8:52.0,Defensive rebound by J. Allen,,8,7
30,1,8:44.0,D. Russell makes 2-pt jump shot from 10 ft,,10,7
31,1,8:26.0,,D. Green misses 2-pt jump shot from 11 ft,10,7
32,1,8:23.0,Defensive rebound by J. Allen,,10,7
33,1,8:12.0,D. Russell misses 2-pt jump shot from 16 ft,,10,7
34,1,8:10.0,,Defensive rebound by K. Lowry,10,7
35,1,8:03.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by K. Lowry),10,9
36,1,7:53.0,J. Harris misses 3-pt jump shot from 27 ft,,10,9
37,1,7:53.0,,Defensive rebound by Team,10,9
38,1,7:40.0,,S. Ibaka misses 3-pt jump shot from 26 ft,10,9
39,1,7:37.0,Defensive rebound by D. Russell,,10,9
40,1,7:25.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,12,9
41,1,7:16.0,,K. Leonard makes 2-pt layup from 1 ft (assist by K. Lowry),12,11
42,1,7:06.0,T. Graham misses 3-pt jump shot from 25 ft,,12,11
43,1,7:04.0,,Defensive rebound by S. Ibaka,12,11
44,1,6:54.0,,K. Leonard makes 2-pt jump shot from 16 ft,12,13
45,1,6:42.0,D. Russell makes 2-pt layup at rim,,14,13
46,1,6:25.0,,K. Leonard makes 2-pt jump shot from 13 ft,14,15
47,1,6:25.0,Brooklyn full timeout,,14,15
48,1,6:13.0,T. Graham misses 3-pt jump shot from 26 ft,,14,15
49,1,6:11.0,,Defensive rebound by D. Green,14,15
50,1,6:04.0,,K. Leonard misses 3-pt jump shot from 27 ft,14,15
51,1,6:02.0,Defensive rebound by D. Russell,,14,15
52,1,5:57.0,T. Graham makes 2-pt layup from 1 ft (assist by D. Russell),,16,15
53,1,5:34.0,,K. Leonard misses 2-pt jump shot from 11 ft,16,15
54,1,5:32.0,Defensive rebound by J. Harris,,16,15
55,1,5:27.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,19,15
56,1,5:11.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. Green),19,17
