,QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
0,1,11:41.0,D. Ayton misses 2-pt jump shot from 16 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Ariza,0,0
2,1,11:31.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),0,2
3,1,11:09.0,M. Bridges makes 3-pt jump shot from 24 ft (assist by T. Warren),,3,2
4,1,10:56.0,,T. Bryant makes 2-pt layup from 2 ft (assist by T. Satoranský),3,4
5,1,10:56.0,,Shooting foul by D. Melton (drawn by T. Bryant),3,4
6,1,10:56.0,,T. Bryant makes free throw 1 of 1,3,5
7,1,10:43.0,Personal foul by T. Bryant (drawn by D. Ayton),,3,5
8,1,10:38.0,Turnover by D. Ayton (traveling),,3,5
9,1,10:26.0,,T. Ariza makes 2-pt hook shot from 3 ft,3,7
10,1,10:09.0,Turnover by D. Booker (bad pass; steal by T. Ariza),,3,7
11,1,9:52.0,,Turnover by T. Satoranský (lost ball; steal by D. Melton),3,7
12,1,9:48.0,D. Melton makes 2-pt dunk from 2 ft (assist by D. Booker),,5,7
13,1,9:43.0,,J. Green misses 2-pt dunk from 1 ft,5,7
14,1,9:41.0,Defensive rebound by Team,,5,7
15,1,9:25.0,Turnover by D. Melton (bad pass; steal by J. Green),,5,7
16,1,9:13.0,,T. Ariza misses 2-pt layup from 3 ft,5,7
17,1,9:12.0,,Offensive rebound by T. Ariza,5,7
18,1,9:12.0,,T. Ariza makes 2-pt layup at rim,5,9
19,1,8:50.0,D. Melton makes 3-pt jump shot from 28 ft (assist by D. Booker),,8,9
20,1,8:26.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),8,12
21,1,8:18.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,10,12
22,1,7:57.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Ariza),10,14
23,1,7:45.0,Turnover by D. Booker (bad pass),,10,14
24,1,7:28.0,,Turnover by T. Ariza (lost ball; steal by T. Warren),10,14
25,1,7:23.0,T. Warren makes 2-pt layup from 1 ft,,12,14
26,1,7:09.0,,B. Beal misses 2-pt jump shot from 21 ft,12,14
27,1,7:07.0,,Offensive rebound by B. Beal,12,14
28,1,7:06.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),12,16
29,1,6:48.0,T. Warren misses 2-pt jump shot from 15 ft,,12,16
30,1,6:45.0,Offensive rebound by D. Ayton,,12,16
31,1,6:42.0,T. Warren misses 3-pt jump shot from 24 ft,,12,16
32,1,6:39.0,,Defensive rebound by T. Bryant,12,16
33,1,6:33.0,,B. Beal makes 2-pt layup from 2 ft,12,18
34,1,6:32.0,Phoenix full timeout,,12,18
35,1,6:15.0,D. Melton makes 2-pt layup from 3 ft (assist by M. Bridges),,14,18
36,1,5:57.0,,T. Ariza misses 2-pt layup from 2 ft,14,18
37,1,5:54.0,Defensive rebound by D. Booker,,14,18
38,1,5:48.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker),,16,18
39,1,5:39.0,,Turnover by B. Beal (lost ball; steal by M. Bridges),16,18
40,1,5:35.0,T. Warren misses 2-pt jump shot from 4 ft,,16,18
41,1,5:31.0,,Defensive rebound by J. Green,16,18
42,1,5:28.0,,J. Green makes 2-pt dunk from 2 ft,16,20
43,1,5:16.0,T. Warren makes 3-pt jump shot from 26 ft (assist by D. Booker),,19,20
44,1,5:02.0,,Personal foul by D. Melton (drawn by B. Beal),19,20
45,1,5:02.0,J. Jackson enters the game for M. Bridges,,19,20
46,1,5:02.0,K. Oubre enters the game for D. Melton,,19,20
47,1,5:02.0,,M. Morris enters the game for T. Bryant,19,20
48,1,4:56.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),19,23
49,1,4:36.0,D. Booker misses 2-pt layup from 4 ft (block by M. Morris),,19,23
50,1,4:36.0,Offensive rebound by Team,,19,23
51,1,4:36.0,,C. Randle enters the game for T. Satoranský,19,23
52,1,4:27.0,D. Ayton makes 2-pt dunk from 2 ft,,21,23
53,1,4:14.0,,C. Randle misses 2-pt layup from 2 ft,21,23
54,1,4:11.0,Defensive rebound by D. Ayton,,21,23
55,1,4:08.0,D. Booker misses 3-pt jump shot from 26 ft,,21,23
56,1,4:04.0,,Defensive rebound by J. Green,21,23
57,1,4:01.0,,C. Randle misses 3-pt jump shot from 26 ft,21,23
58,1,3:57.0,Defensive rebound by K. Oubre,,21,23
59,1,3:50.0,K. Oubre misses 3-pt jump shot from 27 ft,,21,23
60,1,3:46.0,,Defensive rebound by B. Beal,21,23
61,1,3:41.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),21,26
62,1,3:18.0,J. Jackson misses 2-pt jump shot from 17 ft,,21,26
63,1,3:14.0,Offensive rebound by D. Ayton,,21,26
64,1,3:11.0,T. Warren misses 3-pt jump shot from 27 ft,,21,26
65,1,3:08.0,,Defensive rebound by B. Beal,21,26
66,1,3:01.0,,T. Ariza misses 3-pt jump shot from 25 ft,21,26
67,1,2:59.0,Defensive rebound by D. Ayton,,21,26
68,1,2:46.0,T. Warren misses 3-pt jump shot from 28 ft,,21,26
69,1,2:40.0,Offensive rebound by J. Jackson,,21,26
70,1,2:37.0,J. Jackson misses 2-pt layup from 3 ft,,21,26
71,1,2:37.0,Offensive rebound by D. Ayton,,21,26
72,1,2:37.0,D. Ayton makes 2-pt dunk from 1 ft,,23,26
73,1,2:37.0,,Washington full timeout,23,26
74,1,2:37.0,R. Holmes enters the game for D. Ayton,,23,26
75,1,2:37.0,,R. Baker enters the game for T. Ariza,23,26
76,1,2:37.0,,S. Dekker enters the game for J. Green,23,26
77,1,2:25.0,,B. Beal misses 2-pt layup from 4 ft,23,26
78,1,2:20.0,,Offensive rebound by M. Morris,23,26
79,1,2:20.0,,M. Morris misses 2-pt layup at rim,23,26
80,1,2:20.0,Defensive rebound by K. Oubre,,23,26
81,1,2:18.0,K. Oubre misses 2-pt layup from 2 ft (block by S. Dekker),,23,26
82,1,2:18.0,,Defensive rebound by Team,23,26
83,1,2:05.0,,B. Beal makes 2-pt jump shot from 18 ft (assist by M. Morris),23,28
84,1,1:47.0,K. Oubre makes 2-pt jump shot from 14 ft (assist by D. Booker),,25,28
85,1,1:38.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by B. Beal),25,31
86,1,1:18.0,D. Booker makes 2-pt jump shot from 17 ft,,27,31
87,1,1:07.0,,B. Beal makes 2-pt layup from 2 ft (assist by C. Randle),27,33
88,1,0:47.0,D. Booker misses 3-pt jump shot from 28 ft,,27,33
89,1,0:43.0,Offensive rebound by T. Warren,,27,33
90,1,0:37.0,K. Oubre misses 3-pt jump shot from 27 ft,,27,33
91,1,0:34.0,,Defensive rebound by C. Randle,27,33
92,1,0:20.0,,S. Dekker misses 2-pt layup from 2 ft,27,33
93,1,0:17.0,Defensive rebound by R. Holmes,,27,33
94,1,0:15.0,Shooting foul by R. Baker (drawn by T. Warren),,27,33
95,1,0:15.0,T. Warren makes free throw 1 of 2,,28,33
96,1,0:15.0,M. Bridges enters the game for D. Booker,,28,33
97,1,0:15.0,T. Warren makes free throw 2 of 2,,29,33
98,1,0:07.0,,Personal foul by K. Oubre (drawn by B. Beal),29,33
99,1,0:00.0,,M. Morris misses 3-pt jump shot from 26 ft (block by R. Holmes),29,33
100,1,0:00.0,Defensive rebound by J. Jackson,,29,33
101,2,11:49.0,,Personal foul by K. Oubre (drawn by T. Satoranský),29,33
102,2,11:43.0,,M. Morris makes 2-pt layup from 1 ft (assist by C. Randle),29,35
103,2,11:27.0,Turnover by J. Crawford (bad pass),,29,35
104,2,11:16.0,,T. Satoranský makes 2-pt layup from 3 ft (assist by M. Morris),29,37
105,2,10:58.0,J. Jackson misses 3-pt jump shot from 27 ft,,29,37
106,2,10:54.0,,Defensive rebound by S. Dekker,29,37
107,2,10:47.0,,C. Randle misses 2-pt layup from 3 ft (block by J. Crawford),29,37
108,2,10:47.0,,Offensive rebound by Team,29,37
109,2,10:43.0,,Turnover by M. Morris (lost ball; steal by R. Holmes),29,37
110,2,10:37.0,R. Holmes makes 2-pt layup from 2 ft (assist by J. Crawford),,31,37
111,2,10:21.0,,Turnover by T. Satoranský (bad pass; steal by J. Jackson),31,37
112,2,10:17.0,K. Oubre misses 2-pt layup from 2 ft (block by R. Baker),,31,37
113,2,10:14.0,,Defensive rebound by T. Satoranský,31,37
114,2,10:14.0,,Turnover by T. Satoranský (lost ball; steal by J. Jackson),31,37
115,2,10:08.0,M. Bridges makes 2-pt layup from 4 ft (assist by J. Crawford),,33,37
116,2,9:49.0,,S. Dekker makes 2-pt layup from 2 ft (assist by M. Morris),33,39
117,2,9:32.0,J. Jackson misses 2-pt jump shot from 20 ft,,33,39
118,2,9:30.0,,Defensive rebound by S. Dekker,33,39
119,2,9:07.0,,M. Morris misses 3-pt jump shot from 26 ft,33,39
120,2,9:03.0,Defensive rebound by J. Jackson,,33,39
121,2,8:58.0,J. Crawford makes 2-pt jump shot from 19 ft,,35,39
122,2,8:41.0,,Turnover by M. Morris (bad pass),35,39
123,2,8:29.0,J. Crawford makes 2-pt jump shot from 18 ft,,37,39
124,2,8:07.0,,M. Morris misses 2-pt jump shot from 15 ft,37,39
125,2,8:04.0,Defensive rebound by K. Oubre,,37,39
126,2,8:01.0,Turnover by J. Crawford (bad pass; steal by S. Dekker),,37,39
127,2,7:57.0,,Personal take foul by J. Crawford (drawn by T. Satoranský),37,39
128,2,7:57.0,D. Ayton enters the game for R. Holmes,,37,39
129,2,7:57.0,D. Booker enters the game for K. Oubre,,37,39
130,2,7:57.0,,T. Ariza enters the game for C. Randle,37,39
131,2,7:36.0,,M. Morris misses 2-pt jump shot from 12 ft,37,39
132,2,7:34.0,Defensive rebound by J. Crawford,,37,39
133,2,7:31.0,Shooting foul by M. Morris (drawn by D. Ayton),,37,39
134,2,7:31.0,D. Ayton makes free throw 1 of 2,,38,39
135,2,7:31.0,D. Ayton makes free throw 2 of 2,,39,39
136,2,7:18.0,,T. Satoranský makes 2-pt layup from 3 ft (assist by T. Ariza),39,41
137,2,7:06.0,Shooting foul by T. Satoranský (drawn by D. Booker),,39,41
138,2,7:06.0,D. Booker makes free throw 1 of 2,,40,41
139,2,7:06.0,,B. Beal enters the game for R. Baker,40,41
140,2,7:06.0,D. Booker makes free throw 2 of 2,,41,41
141,2,6:54.0,,T. Ariza misses 2-pt jump shot from 16 ft,41,41
142,2,6:52.0,Defensive rebound by D. Ayton,,41,41
143,2,6:44.0,Turnover by J. Crawford (bad pass; steal by T. Satoranský),,41,41
144,2,6:40.0,,Shooting foul by J. Crawford (drawn by T. Ariza),41,41
145,2,6:40.0,,Washington full timeout,41,41
146,2,6:40.0,T. Warren enters the game for J. Jackson,,41,41
147,2,6:40.0,,J. Green enters the game for S. Dekker,41,41
148,2,6:40.0,,T. Ariza misses free throw 1 of 2,41,41
149,2,6:40.0,,Offensive rebound by Team,41,41
150,2,6:40.0,,T. Ariza makes free throw 2 of 2,41,42
151,2,6:27.0,D. Booker makes 2-pt jump shot from 15 ft,,43,42
152,2,6:13.0,,B. Beal misses 2-pt layup from 2 ft,43,42
153,2,6:11.0,,Offensive rebound by J. Green,43,42
154,2,6:09.0,,T. Ariza misses 3-pt jump shot from 27 ft,43,42
155,2,6:05.0,Defensive rebound by D. Ayton,,43,42
156,2,5:48.0,D. Ayton misses 2-pt jump shot from 16 ft,,43,42
157,2,5:39.0,,Defensive rebound by T. Ariza,43,42
