,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:43.0,M. Smart makes 3-pt jump shot from 30 ft (assist by A. Baynes),,3,0
1,1,11:27.0,,J. Wall misses 3-pt jump shot from 26 ft,3,0
2,1,11:23.0,Defensive rebound by M. Smart,,3,0
3,1,11:14.0,Turnover by K. Irving (bad pass; steal by J. Wall),,3,0
4,1,11:07.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Green),3,2
5,1,10:52.0,K. Irving makes 2-pt jump shot from 13 ft,,5,2
6,1,10:38.0,,T. Satoranský misses 3-pt jump shot from 24 ft,5,2
7,1,10:35.0,Defensive rebound by A. Baynes,,5,2
8,1,10:27.0,J. Tatum misses 3-pt jump shot from 26 ft,,5,2
9,1,10:24.0,Offensive rebound by A. Baynes,,5,2
10,1,10:18.0,M. Smart misses 3-pt jump shot from 24 ft,,5,2
11,1,10:15.0,,Defensive rebound by J. Green,5,2
12,1,9:57.0,,Turnover by J. Wall (bad pass; steal by M. Smart),5,2
13,1,9:53.0,K. Irving misses 2-pt layup from 1 ft (block by J. Green),,5,2
14,1,9:49.0,Offensive rebound by M. Morris,,5,2
15,1,9:49.0,M. Morris makes 2-pt layup from 2 ft,,7,2
16,1,9:27.0,,T. Satoranský makes 2-pt layup from 3 ft,7,4
17,1,9:08.0,M. Morris misses 3-pt jump shot from 27 ft,,7,4
18,1,9:05.0,,Defensive rebound by J. Wall,7,4
19,1,8:58.0,,T. Bryant makes 2-pt jump shot from 4 ft (assist by J. Wall),7,6
20,1,8:37.0,M. Morris makes 2-pt dunk from 1 ft (assist by M. Smart),,9,6
21,1,8:21.0,,B. Beal makes 2-pt layup from 5 ft (assist by J. Wall),9,8
22,1,8:10.0,Personal foul by T. Satoranský (drawn by K. Irving),,9,8
23,1,8:02.0,J. Tatum misses 2-pt jump shot from 13 ft,,9,8
24,1,7:59.0,,Defensive rebound by J. Wall,9,8
25,1,7:55.0,,J. Green misses 3-pt jump shot from 26 ft,9,8
26,1,7:52.0,Defensive rebound by A. Baynes,,9,8
27,1,7:41.0,M. Morris misses 2-pt jump shot from 11 ft,,9,8
28,1,7:36.0,,Defensive rebound by T. Bryant,9,8
29,1,7:29.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),9,11
30,1,7:09.0,J. Tatum makes 2-pt jump shot from 17 ft,,11,11
31,1,6:58.0,,Washington full timeout,11,11
32,1,6:58.0,D. Theis enters the game for A. Baynes,,11,11
33,1,6:42.0,,J. Wall makes 2-pt jump shot from 19 ft,11,13
34,1,6:21.0,D. Theis misses 2-pt jump shot from 12 ft,,11,13
35,1,6:19.0,,Defensive rebound by J. Green,11,13
36,1,6:10.0,,Turnover by B. Beal (bad pass; steal by M. Smart),11,13
37,1,6:02.0,K. Irving misses 3-pt jump shot from 26 ft,,11,13
38,1,5:58.0,,Defensive rebound by J. Green,11,13
39,1,5:47.0,,J. Wall misses 3-pt jump shot from 27 ft,11,13
40,1,5:45.0,Defensive rebound by J. Tatum,,11,13
41,1,5:40.0,M. Smart misses 3-pt jump shot from 24 ft,,11,13
42,1,5:35.0,,Defensive rebound by J. Green,11,13
43,1,5:32.0,,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),11,15
44,1,5:20.0,Personal foul by T. Bryant (drawn by D. Theis),,11,15
45,1,5:20.0,T. Rozier enters the game for J. Tatum,,11,15
46,1,5:20.0,,M. Morris enters the game for T. Bryant,11,15
47,1,5:20.0,,K. Oubre enters the game for T. Satoranský,11,15
48,1,5:12.0,M. Morris makes 2-pt layup from 2 ft,,13,15
49,1,4:48.0,,J. Green makes 2-pt jump shot from 12 ft (assist by J. Wall),13,17
50,1,4:24.0,K. Irving misses 2-pt layup from 2 ft,,13,17
51,1,4:22.0,Offensive rebound by D. Theis,,13,17
52,1,4:22.0,D. Theis makes 2-pt layup from 1 ft,,15,17
53,1,4:10.0,,K. Oubre misses 2-pt dunk from 2 ft,15,17
