,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,Violation by Team (kicked ball),0,0
1,1,11:37.0,C. McCollum makes 2-pt jump shot from 8 ft (assist by J. Nurkić),,2,0
2,1,11:08.0,,D. DeRozan makes 2-pt jump shot from 16 ft,2,2
3,1,10:53.0,M. Harkless misses 2-pt jump shot from 8 ft,,2,2
4,1,10:51.0,Offensive rebound by M. Harkless,,2,2
5,1,10:49.0,M. Harkless misses 2-pt layup from 2 ft,,2,2
6,1,10:47.0,,Defensive rebound by L. Aldridge,2,2
7,1,10:42.0,,Turnover by L. Aldridge (bad pass),2,2
8,1,10:34.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,2
9,1,10:30.0,,Defensive rebound by B. Forbes,2,2
10,1,10:18.0,,D. Bertāns misses 2-pt jump shot from 8 ft (block by M. Harkless),2,2
11,1,10:18.0,Defensive rebound by M. Harkless,,2,2
12,1,10:03.0,D. Lillard misses 2-pt jump shot from 21 ft,,2,2
13,1,9:59.0,,Defensive rebound by D. DeRozan,2,2
14,1,9:50.0,,D. DeRozan misses 2-pt jump shot from 10 ft (block by M. Harkless),2,2
15,1,9:47.0,Defensive rebound by A. Aminu,,2,2
16,1,9:45.0,Turnover by C. McCollum (bad pass),,2,2
17,1,9:27.0,,Turnover by L. Aldridge (lost ball; steal by J. Nurkić),2,2
18,1,9:20.0,C. McCollum makes 2-pt jump shot from 8 ft,,4,2
19,1,9:03.0,,L. Aldridge misses 2-pt jump shot from 12 ft,4,2
20,1,9:01.0,Defensive rebound by M. Harkless,,4,2
21,1,8:57.0,Personal foul by B. Forbes (drawn by J. Nurkić),,4,2
22,1,8:49.0,D. Lillard makes 2-pt jump shot from 20 ft,,6,2
23,1,8:35.0,,D. DeRozan misses 2-pt jump shot from 20 ft,6,2
24,1,8:33.0,,Offensive rebound by L. Aldridge,6,2
25,1,8:30.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by B. Forbes),6,4
26,1,8:11.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,9,4
27,1,8:05.0,,Personal foul by C. McCollum (drawn by D. DeRozan),9,4
28,1,7:58.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),9,6
29,1,7:41.0,D. Lillard makes 2-pt jump shot from 17 ft,,11,6
30,1,7:23.0,,R. Gay makes 2-pt jump shot from 16 ft,11,8
31,1,7:09.0,J. Nurkić misses 2-pt jump shot from 22 ft,,11,8
32,1,7:06.0,,Defensive rebound by L. Aldridge,11,8
33,1,6:56.0,,D. Bertāns misses 3-pt jump shot from 26 ft,11,8
34,1,6:54.0,Defensive rebound by J. Nurkić,,11,8
35,1,6:51.0,Turnover by D. Lillard (discontinued dribble),,11,8
36,1,6:51.0,,San Antonio full timeout,11,8
37,1,6:37.0,,D. DeRozan misses 2-pt jump shot from 14 ft,11,8
38,1,6:35.0,Defensive rebound by A. Aminu,,11,8
39,1,6:28.0,Turnover by C. McCollum (bad pass; steal by L. Aldridge),,11,8
40,1,6:22.0,,R. Gay makes 2-pt layup from 3 ft (assist by B. Forbes),11,10
41,1,6:05.0,C. McCollum makes 2-pt jump shot from 18 ft (assist by D. Lillard),,13,10
42,1,5:49.0,,Shooting foul by J. Nurkić (drawn by L. Aldridge),13,10
43,1,5:49.0,,L. Aldridge makes free throw 1 of 2,13,11
44,1,5:49.0,,P. Mills enters the game for D. Bertāns,13,11
45,1,5:49.0,,D. White enters the game for B. Forbes,13,11
46,1,5:49.0,,L. Aldridge makes free throw 2 of 2,13,12
47,1,5:35.0,C. McCollum misses 2-pt jump shot from 14 ft,,13,12
48,1,5:32.0,,Defensive rebound by D. White,13,12
49,1,5:27.0,,Personal foul by A. Aminu (drawn by L. Aldridge),13,12
50,1,5:17.0,,D. DeRozan misses 2-pt jump shot from 10 ft,13,12
51,1,5:16.0,,Offensive rebound by D. White,13,12
52,1,5:07.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by D. White),13,15
53,1,4:51.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),,16,15
54,1,4:31.0,,L. Aldridge makes 2-pt jump shot from 10 ft,16,17
55,1,4:21.0,D. Lillard misses 3-pt jump shot from 26 ft,,16,17
56,1,4:21.0,Offensive rebound by A. Aminu,,16,17
57,1,4:08.0,A. Aminu makes 2-pt layup from 1 ft,,18,17
58,1,4:00.0,,P. Mills makes 2-pt jump shot from 17 ft,18,19
59,1,3:37.0,C. McCollum misses 2-pt jump shot from 8 ft,,18,19
60,1,3:35.0,,Defensive rebound by D. White,18,19
61,1,3:33.0,,P. Mills misses 3-pt jump shot from 25 ft,18,19
62,1,3:30.0,Defensive rebound by A. Aminu,,18,19
63,1,3:16.0,J. Nurkić makes 2-pt layup from 5 ft,,20,19
64,1,3:02.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),20,21
65,1,3:02.0,Portland full timeout,,20,21
66,1,3:02.0,S. Curry enters the game for M. Harkless,,20,21
67,1,3:02.0,M. Leonard enters the game for C. McCollum,,20,21
68,1,3:02.0,N. Stauskas enters the game for J. Nurkić,,20,21
69,1,3:02.0,,D. Bertāns enters the game for D. DeRozan,20,21
70,1,3:02.0,,D. Cunningham enters the game for R. Gay,20,21
71,1,2:39.0,A. Aminu makes 2-pt layup from 5 ft,,22,21
72,1,2:28.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by P. Mills),22,23
73,1,2:08.0,D. Lillard makes 2-pt jump shot from 18 ft,,24,23
74,1,1:58.0,,P. Mills makes 3-pt jump shot from 25 ft,24,26
75,1,1:37.0,D. Lillard makes 2-pt jump shot from 20 ft,,26,26
76,1,1:33.0,,Shooting foul by D. Lillard (drawn by P. Mills),26,26
77,1,1:33.0,,P. Mills makes free throw 1 of 2,26,27
78,1,1:33.0,Z. Collins enters the game for A. Aminu,,26,27
79,1,1:33.0,,J. Poeltl enters the game for L. Aldridge,26,27
80,1,1:33.0,,P. Mills makes free throw 2 of 2,26,28
81,1,1:24.0,Shooting foul by D. White (drawn by D. Lillard),,26,28
82,1,1:24.0,D. Lillard makes free throw 1 of 2,,27,28
83,1,1:24.0,D. Lillard makes free throw 2 of 2,,28,28
84,1,1:07.0,,P. Mills misses 2-pt jump shot from 20 ft,28,28
85,1,1:05.0,Defensive rebound by M. Leonard,,28,28
86,1,0:56.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Lillard),,30,28
87,1,0:45.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Mills),30,30
88,1,0:34.0,D. Lillard makes 3-pt jump shot from 26 ft,,33,30
89,1,0:14.0,,P. Mills makes 2-pt layup from 2 ft,33,32
90,1,0:00.0,D. Lillard misses 3-pt jump shot from 27 ft,,33,32
91,1,0:00.0,Offensive rebound by Team,,33,32
92,2,11:52.0,,Personal foul by S. Curry (drawn by P. Mills),33,32
93,2,11:47.0,,P. Mills misses 3-pt jump shot from 26 ft,33,32
94,2,11:45.0,Defensive rebound by Z. Collins,,33,32
95,2,11:23.0,D. Lillard makes 2-pt jump shot from 20 ft,,35,32
96,2,11:08.0,,J. Poeltl makes 2-pt hook shot from 5 ft (assist by D. White),35,34
97,2,10:51.0,Turnover by N. Stauskas (bad pass; steal by D. Cunningham),,35,34
98,2,10:47.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by P. Mills),35,37
99,2,10:25.0,D. Lillard misses 3-pt jump shot from 27 ft,,35,37
100,2,10:21.0,,Defensive rebound by P. Mills,35,37
101,2,10:12.0,,D. White misses 2-pt jump shot from 17 ft,35,37
102,2,10:10.0,Defensive rebound by D. Lillard,,35,37
103,2,10:03.0,D. Lillard misses 2-pt layup from 1 ft (block by J. Poeltl),,35,37
104,2,10:00.0,,Defensive rebound by D. Cunningham,35,37
