,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,M. Gortat misses 2-pt hook shot from 6 ft,0,0
1,1,11:41.0,Defensive rebound by J. Embiid,,0,0
2,1,11:36.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),,3,0
3,1,11:20.0,,T. Harris misses 2-pt jump shot from 14 ft,3,0
4,1,11:17.0,Defensive rebound by Team,,3,0
5,1,11:00.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Butler),,3,0
6,1,11:00.0,J. Butler makes free throw 1 of 2,,4,0
7,1,11:00.0,J. Butler misses free throw 2 of 2,,4,0
8,1,10:58.0,,Defensive rebound by M. Gortat,4,0
9,1,10:48.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,4,0
10,1,10:43.0,Defensive rebound by B. Simmons,,4,0
11,1,10:40.0,Turnover by B. Simmons (lost ball; steal by T. Harris),,4,0
12,1,10:35.0,,T. Harris makes 2-pt layup from 1 ft,4,2
13,1,10:17.0,J. Butler misses 2-pt jump shot from 4 ft,,4,2
14,1,10:12.0,Offensive rebound by J. Embiid,,4,2
15,1,10:12.0,J. Embiid makes 2-pt layup at rim,,6,2
16,1,9:59.0,,A. Bradley misses 2-pt jump shot from 18 ft,6,2
17,1,9:59.0,Defensive rebound by B. Simmons,,6,2
18,1,9:49.0,J. Butler misses 2-pt layup from 2 ft,,6,2
19,1,9:44.0,Offensive rebound by J. Butler,,6,2
20,1,9:44.0,J. Butler makes 2-pt layup at rim,,8,2
21,1,9:31.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,8,4
22,1,9:21.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,11,4
23,1,9:09.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by M. Gortat),11,6
24,1,8:58.0,B. Simmons makes 2-pt dunk at rim (assist by J. Redick),,13,6
25,1,8:43.0,,T. Harris makes 2-pt jump shot from 7 ft,13,8
26,1,8:37.0,W. Chandler makes 2-pt layup at rim (assist by B. Simmons),,15,8
27,1,8:26.0,,T. Harris misses 2-pt jump shot from 12 ft,15,8
28,1,8:24.0,Defensive rebound by J. Butler,,15,8
29,1,8:18.0,J. Embiid misses 3-pt jump shot from 26 ft,,15,8
30,1,8:14.0,,Defensive rebound by D. Gallinari,15,8
31,1,8:06.0,,D. Gallinari makes 2-pt jump shot from 19 ft,15,10
32,1,8:06.0,,Shooting foul by W. Chandler (drawn by D. Gallinari),15,10
33,1,8:06.0,,D. Gallinari makes free throw 1 of 1,15,11
34,1,7:51.0,Turnover by J. Butler (lost ball; steal by S. Gilgeous-Alexander),,15,11
35,1,7:47.0,,A. Bradley misses 2-pt layup from 2 ft (block by J. Embiid),15,11
36,1,7:47.0,Defensive rebound by Team,,15,11
37,1,7:33.0,Personal foul by M. Gortat (drawn by J. Embiid),,15,11
38,1,7:22.0,J. Embiid misses 2-pt jump shot from 8 ft,,15,11
39,1,7:20.0,,Defensive rebound by T. Harris,15,11
40,1,7:12.0,,T. Harris makes 3-pt jump shot from 24 ft,15,14
41,1,6:55.0,Personal foul by T. Harris (drawn by B. Simmons),,15,14
42,1,6:55.0,,LA Clippers full timeout,15,14
43,1,6:55.0,T. McConnell enters the game for W. Chandler,,15,14
44,1,6:55.0,M. Muscala enters the game for J. Embiid,,15,14
45,1,6:55.0,L. Shamet enters the game for J. Redick,,15,14
46,1,6:41.0,B. Simmons misses 2-pt jump shot from 12 ft,,15,14
47,1,6:41.0,Offensive rebound by M. Muscala,,15,14
48,1,6:41.0,Turnover by Team (shot clock),,15,14
49,1,6:30.0,,D. Gallinari misses 3-pt jump shot from 25 ft,15,14
50,1,6:28.0,Defensive rebound by B. Simmons,,15,14
51,1,6:23.0,Flagrant foul type 1 by D. Gallinari (drawn by J. Butler),,15,14
52,1,6:23.0,J. Butler makes flagrant free throw 1 of 2,,16,14
53,1,6:23.0,J. Butler makes flagrant free throw 2 of 2,,17,14
54,1,6:13.0,B. Simmons misses 2-pt jump shot from 16 ft,,17,14
55,1,6:10.0,,Defensive rebound by D. Gallinari,17,14
56,1,6:01.0,,T. Harris misses 3-pt jump shot from 29 ft,17,14
57,1,5:58.0,Defensive rebound by L. Shamet,,17,14
58,1,5:50.0,B. Simmons makes 2-pt dunk at rim (assist by M. Muscala),,19,14
59,1,5:37.0,,Turnover by M. Gortat (bad pass; steal by B. Simmons),19,14
60,1,5:29.0,M. Muscala misses 3-pt jump shot from 25 ft,,19,14
61,1,5:26.0,Offensive rebound by B. Simmons,,19,14
62,1,5:15.0,T. McConnell misses 2-pt jump shot from 11 ft,,19,14
63,1,5:12.0,Offensive rebound by M. Muscala,,19,14
64,1,5:12.0,M. Muscala makes 2-pt layup at rim,,21,14
65,1,5:12.0,,LA Clippers full timeout,21,14
66,1,5:12.0,,P. Beverley enters the game for A. Bradley,21,14
67,1,5:12.0,,M. Harrell enters the game for S. Gilgeous-Alexander,21,14
68,1,5:12.0,,L. Williams enters the game for M. Gortat,21,14
69,1,4:53.0,,Personal foul by L. Shamet (drawn by D. Gallinari),21,14
70,1,4:42.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by D. Gallinari),21,16
71,1,4:24.0,J. Butler makes 2-pt jump shot from 15 ft,,23,16
72,1,4:16.0,,Personal foul by B. Simmons (drawn by L. Williams),23,16
73,1,4:00.0,,Shooting foul by B. Simmons (drawn by D. Gallinari),23,16
74,1,4:00.0,,D. Gallinari makes free throw 1 of 2,23,17
75,1,4:00.0,J. Bolden enters the game for B. Simmons,,23,17
76,1,4:00.0,,D. Gallinari makes free throw 2 of 2,23,18
77,1,3:51.0,T. McConnell makes 2-pt jump shot from 13 ft (assist by M. Muscala),,25,18
78,1,3:36.0,,M. Harrell misses 2-pt layup from 4 ft (block by J. Butler),25,18
79,1,3:36.0,Defensive rebound by M. Muscala,,25,18
80,1,3:30.0,M. Muscala misses 3-pt jump shot from 25 ft,,25,18
81,1,3:26.0,,Defensive rebound by P. Beverley,25,18
82,1,3:17.0,,Shooting foul by M. Muscala (drawn by T. Harris),25,18
83,1,3:17.0,,T. Harris makes free throw 1 of 2,25,19
84,1,3:17.0,J. Embiid enters the game for J. Butler,,25,19
85,1,3:17.0,F. Korkmaz enters the game for M. Muscala,,25,19
86,1,3:17.0,J. Redick enters the game for L. Shamet,,25,19
87,1,3:17.0,,T. Harris makes free throw 2 of 2,25,20
88,1,3:08.0,J. Embiid makes 2-pt layup from 2 ft (assist by F. Korkmaz),,27,20
89,1,3:01.0,,Personal foul by F. Korkmaz (drawn by T. Harris),27,20
90,1,3:01.0,,T. Harris makes free throw 1 of 2,27,21
91,1,3:01.0,,A. Bradley enters the game for D. Gallinari,27,21
92,1,3:01.0,,T. Harris makes free throw 2 of 2,27,22
93,1,2:54.0,Personal foul by M. Harrell (drawn by J. Embiid),,27,22
94,1,2:54.0,J. Embiid makes free throw 1 of 2,,28,22
95,1,2:54.0,J. Embiid makes free throw 2 of 2,,29,22
96,1,2:41.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),29,24
97,1,2:27.0,Personal foul by M. Harrell (drawn by J. Embiid),,29,24
98,1,2:27.0,J. Embiid makes free throw 1 of 2,,30,24
99,1,2:27.0,,B. Marjanović enters the game for M. Harrell,30,24
100,1,2:27.0,J. Embiid misses free throw 2 of 2,,30,24
101,1,2:23.0,Offensive rebound by T. McConnell,,30,24
102,1,2:20.0,J. Redick makes 3-pt jump shot from 27 ft (assist by T. McConnell),,33,24
103,1,2:10.0,,Personal foul by T. McConnell (drawn by P. Beverley),33,24
104,1,2:10.0,,P. Beverley misses free throw 1 of 2,33,24
105,1,2:10.0,,Offensive rebound by Team,33,24
106,1,2:10.0,,P. Beverley makes free throw 2 of 2,33,25
107,1,2:02.0,J. Embiid misses 3-pt jump shot from 25 ft,,33,25
108,1,1:57.0,Offensive rebound by J. Bolden,,33,25
109,1,1:55.0,Personal foul by T. Harris (drawn by J. Embiid),,33,25
110,1,1:55.0,J. Embiid misses free throw 1 of 2,,33,25
111,1,1:55.0,Offensive rebound by Team,,33,25
112,1,1:55.0,,M. Scott enters the game for T. Harris,33,25
113,1,1:55.0,J. Embiid makes free throw 2 of 2,,34,25
114,1,1:50.0,,Turnover by B. Marjanović (bad pass; steal by T. McConnell),34,25
115,1,1:42.0,F. Korkmaz misses 2-pt jump shot from 12 ft,,34,25
116,1,1:39.0,Offensive rebound by J. Embiid,,34,25
117,1,1:37.0,J. Embiid makes 2-pt layup from 2 ft,,36,25
118,1,1:19.0,,Turnover by L. Williams (bad pass; steal by J. Embiid),36,25
119,1,1:11.0,Turnover by J. Redick (out of bounds lost ball),,36,25
120,1,1:03.0,,L. Williams makes 2-pt jump shot from 14 ft,36,27
121,1,0:44.0,J. Embiid makes 2-pt jump shot from 15 ft,,38,27
122,1,0:33.0,,Personal foul by T. McConnell (drawn by L. Williams),38,27
