,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
0,1,11:42.0,D. Jordan misses 2-pt dunk at rim,,0,0
1,1,11:40.0,,Defensive rebound by R. Arcidiacono,0,0
2,1,11:26.0,,W. Carter makes 2-pt dunk at rim (assist by Z. LaVine),0,2
3,1,11:09.0,Offensive foul by D. Jordan (drawn by J. Holiday),,0,2
4,1,11:09.0,Turnover by D. Jordan (offensive foul),,0,2
5,1,10:54.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by Z. LaVine),0,5
6,1,10:34.0,H. Barnes misses 3-pt jump shot from 25 ft,,0,5
7,1,10:32.0,,Defensive rebound by J. Holiday,0,5
8,1,10:26.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,0,5
9,1,10:22.0,Defensive rebound by L. Dončić,,0,5
10,1,10:18.0,Personal foul by W. Carter (drawn by D. Jordan),,0,5
11,1,10:11.0,L. Dončić misses 3-pt jump shot from 25 ft,,0,5
12,1,10:08.0,,Defensive rebound by J. Parker,0,5
13,1,9:59.0,,W. Carter misses 2-pt jump shot from 11 ft,0,5
14,1,9:57.0,Defensive rebound by D. Jordan,,0,5
15,1,9:47.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by D. Jordan),,2,5
16,1,9:29.0,,R. Arcidiacono makes 2-pt jump shot from 14 ft (assist by J. Parker),2,7
17,1,9:10.0,L. Dončić misses 3-pt jump shot from 25 ft,,2,7
18,1,9:08.0,Offensive rebound by L. Dončić,,2,7
19,1,9:02.0,Turnover by L. Dončić (bad pass),,2,7
20,1,8:50.0,,J. Parker misses 2-pt jump shot from 20 ft,2,7
21,1,8:48.0,Defensive rebound by D. Finney-Smith,,2,7
22,1,8:36.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,2,7
23,1,8:31.0,,Defensive rebound by R. Arcidiacono,2,7
24,1,8:26.0,,J. Parker misses 2-pt jump shot from 13 ft,2,7
25,1,8:24.0,Defensive rebound by D. Jordan,,2,7
26,1,8:07.0,H. Barnes makes 2-pt jump shot from 15 ft (assist by D. Smith),,4,7
27,1,7:58.0,,Z. LaVine misses 2-pt dunk from 2 ft,4,7
28,1,7:56.0,Defensive rebound by H. Barnes,,4,7
29,1,7:43.0,Turnover by L. Dončić (bad pass; steal by Z. LaVine),,4,7
30,1,7:39.0,,Turnover by Z. LaVine (bad pass; steal by L. Dončić),4,7
31,1,7:35.0,Shooting foul by J. Parker (drawn by D. Finney-Smith),,4,7
32,1,7:35.0,D. Finney-Smith makes free throw 1 of 2,,5,7
33,1,7:35.0,D. Finney-Smith makes free throw 2 of 2,,6,7
34,1,7:24.0,,W. Carter misses 3-pt jump shot from 25 ft,6,7
35,1,7:21.0,Defensive rebound by D. Smith,,6,7
36,1,7:11.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,8,7
37,1,6:58.0,,J. Parker makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),8,9
38,1,6:45.0,Personal foul by J. Parker (drawn by H. Barnes),,8,9
39,1,6:45.0,,Chicago full timeout,8,9
40,1,6:45.0,,C. Hutchison enters the game for J. Parker,8,9
41,1,6:31.0,Turnover by Team (shot clock),,8,9
42,1,6:17.0,,W. Carter misses 2-pt hook shot from 5 ft,8,9
43,1,6:15.0,Defensive rebound by D. Smith,,8,9
44,1,6:09.0,D. Smith misses 2-pt jump shot from 10 ft,,8,9
45,1,6:05.0,,Defensive rebound by W. Carter,8,9
46,1,6:00.0,,C. Hutchison makes 2-pt layup from 1 ft,8,11
47,1,5:46.0,D. Smith misses 3-pt jump shot from 23 ft,,8,11
48,1,5:44.0,,Defensive rebound by C. Hutchison,8,11
49,1,5:37.0,,Shooting foul by D. Finney-Smith (drawn by Z. LaVine),8,11
50,1,5:37.0,,Z. LaVine makes free throw 1 of 3,8,12
51,1,5:37.0,,Z. LaVine makes free throw 2 of 3,8,13
52,1,5:37.0,,R. Lopez enters the game for W. Carter,8,13
