,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
0,1,11:44.0,,Turnover by T. Young (bad pass; steal by M. Conley),0,0
1,1,11:31.0,C. Parsons misses 3-pt jump shot from 25 ft,,0,0
2,1,11:28.0,,Defensive rebound by T. Young,0,0
3,1,11:19.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,0,2
4,1,10:58.0,G. Temple misses 2-pt layup from 1 ft,,0,2
5,1,10:56.0,,Defensive rebound by M. Turner,0,2
6,1,10:54.0,,Offensive foul by D. Collison (drawn by C. Parsons),0,2
7,1,10:54.0,,Turnover by D. Collison (offensive foul),0,2
8,1,10:34.0,M. Gasol misses 2-pt jump shot from 15 ft,,0,2
9,1,10:30.0,,Defensive rebound by V. Oladipo,0,2
10,1,10:21.0,,T. Young misses 3-pt jump shot from 23 ft,0,2
11,1,10:18.0,,Offensive rebound by M. Turner,0,2
12,1,10:14.0,,Personal foul by C. Parsons (drawn by D. Collison),0,2
13,1,10:10.0,,Turnover by M. Turner (bad pass),0,2
14,1,9:56.0,J. Green makes 2-pt jump shot from 20 ft (assist by G. Temple),,2,2
15,1,9:41.0,,V. Oladipo misses 2-pt jump shot from 20 ft (block by G. Temple),2,2
16,1,9:40.0,,Offensive rebound by Team,2,2
17,1,9:35.0,,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by D. Collison),2,4
18,1,9:13.0,G. Temple misses 3-pt jump shot from 26 ft,,2,4
19,1,9:09.0,,Defensive rebound by M. Turner,2,4
20,1,8:59.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),2,6
21,1,8:52.0,Personal foul by V. Oladipo (drawn by G. Temple),,2,6
22,1,8:47.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,4,6
23,1,8:42.0,,Personal foul by G. Temple (drawn by V. Oladipo),4,6
24,1,8:33.0,,Turnover by V. Oladipo (lost ball; steal by M. Gasol),4,6
25,1,8:26.0,M. Conley misses 2-pt jump shot from 13 ft,,4,6
26,1,8:24.0,,Defensive rebound by V. Oladipo,4,6
27,1,8:19.0,,V. Oladipo misses 3-pt jump shot from 26 ft,4,6
28,1,8:16.0,Defensive rebound by J. Green,,4,6
29,1,8:06.0,M. Gasol misses 2-pt hook shot from 5 ft,,4,6
30,1,8:04.0,,Defensive rebound by V. Oladipo,4,6
31,1,7:57.0,,Turnover by V. Oladipo (bad pass; steal by J. Green),4,6
32,1,7:45.0,Memphis full timeout,,4,6
33,1,7:38.0,G. Temple misses 3-pt jump shot from 27 ft,,4,6
34,1,7:34.0,,Defensive rebound by T. Young,4,6
35,1,7:18.0,,M. Turner misses 2-pt jump shot from 20 ft,4,6
36,1,7:16.0,Defensive rebound by J. Green,,4,6
37,1,7:05.0,C. Parsons makes 2-pt jump shot from 18 ft (assist by J. Green),,6,6
38,1,6:50.0,,M. Turner makes 2-pt jump shot from 22 ft (assist by V. Oladipo),6,8
39,1,6:34.0,C. Parsons makes 2-pt layup from 2 ft,,8,8
40,1,6:24.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),8,10
41,1,5:56.0,M. Gasol misses 2-pt jump shot from 5 ft (block by M. Turner),,8,10
42,1,5:54.0,Offensive rebound by M. Gasol,,8,10
43,1,5:49.0,M. Gasol misses 2-pt jump shot from 12 ft,,8,10
44,1,5:49.0,,Defensive rebound by T. Young,8,10
45,1,5:34.0,,D. Collison misses 2-pt layup from 1 ft,8,10
