,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
0,1,11:47.0,D. Gallinari misses 3-pt jump shot from 25 ft,,0,0
1,1,11:46.0,,Defensive rebound by A. Žižić,0,0
2,1,11:26.0,,K. Love makes 2-pt jump shot from 18 ft,0,2
3,1,10:59.0,Turnover by Team (shot clock),,0,2
4,1,10:37.0,,B. Knight makes 2-pt jump shot from 18 ft (assist by C. Sexton),0,4
5,1,10:22.0,P. Beverley misses 2-pt layup from 1 ft,,0,4
6,1,10:20.0,,Defensive rebound by K. Love,0,4
7,1,10:10.0,,C. Sexton makes 2-pt jump shot from 15 ft,0,6
8,1,9:58.0,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,,0,6
9,1,9:56.0,,Defensive rebound by A. Žižić,0,6
10,1,9:43.0,,Turnover by K. Love (lost ball; steal by S. Gilgeous-Alexander),0,6
11,1,9:39.0,L. Shamet makes 2-pt layup from 1 ft,,2,6
12,1,9:15.0,,A. Žižić misses 2-pt jump shot from 18 ft,2,6
13,1,9:13.0,Defensive rebound by L. Shamet,,2,6
14,1,9:08.0,P. Beverley misses 3-pt jump shot from 26 ft,,2,6
15,1,9:05.0,,Defensive rebound by C. Sexton,2,6
16,1,9:00.0,,C. Sexton misses 2-pt layup at rim,2,6
17,1,8:56.0,Defensive rebound by I. Zubac,,2,6
18,1,8:53.0,D. Gallinari makes 2-pt layup from 2 ft,,4,6
19,1,8:31.0,,C. Sexton makes 3-pt jump shot from 25 ft,4,9
20,1,8:13.0,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),,6,9
21,1,8:02.0,,K. Love misses 3-pt jump shot from 26 ft,6,9
22,1,7:59.0,Defensive rebound by I. Zubac,,6,9
23,1,7:53.0,D. Gallinari misses 2-pt jump shot from 20 ft,,6,9
24,1,7:51.0,,Defensive rebound by K. Love,6,9
25,1,7:44.0,,C. Sexton makes 2-pt jump shot from 11 ft,6,11
26,1,7:32.0,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by I. Zubac),,9,11
27,1,7:15.0,,K. Love makes 3-pt jump shot from 23 ft,9,14
28,1,7:01.0,Shooting foul by A. Žižić (drawn by D. Gallinari),,9,14
29,1,7:01.0,D. Gallinari makes free throw 1 of 2,,10,14
30,1,7:01.0,D. Gallinari makes free throw 2 of 2,,11,14
31,1,6:49.0,,K. Love makes 2-pt layup from 1 ft,11,16
32,1,6:49.0,,Shooting foul by D. Gallinari (drawn by K. Love),11,16
33,1,6:49.0,,Cleveland full timeout,11,16
34,1,6:49.0,,J. Clarkson enters the game for B. Knight,11,16
35,1,6:49.0,,K. Love misses free throw 1 of 1,11,16
36,1,6:47.0,Defensive rebound by L. Shamet,,11,16
37,1,6:33.0,L. Shamet misses 3-pt jump shot from 26 ft,,11,16
38,1,6:31.0,,Defensive rebound by K. Love,11,16
39,1,6:30.0,,Shooting foul by L. Shamet (drawn by C. Osman),11,16
40,1,6:30.0,,C. Osman makes free throw 1 of 2,11,17
41,1,6:30.0,,C. Osman makes free throw 2 of 2,11,18
42,1,6:16.0,P. Beverley misses 3-pt jump shot from 25 ft,,11,18
43,1,6:13.0,,Defensive rebound by A. Žižić,11,18
44,1,6:02.0,,C. Sexton misses 3-pt jump shot from 25 ft,11,18
45,1,5:59.0,Defensive rebound by I. Zubac,,11,18
46,1,5:48.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,11,18
47,1,5:46.0,,Defensive rebound by K. Love,11,18
48,1,5:37.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by K. Love),11,21
49,1,5:26.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,14,21
50,1,5:04.0,,A. Žižić misses 2-pt hook shot from 9 ft,14,21
51,1,5:01.0,Defensive rebound by I. Zubac,,14,21
52,1,4:52.0,D. Gallinari makes 2-pt layup from 2 ft,,16,21
53,1,4:39.0,,J. Clarkson makes 2-pt layup from 1 ft,16,23
54,1,4:30.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,18,23
55,1,4:18.0,,Personal foul by P. Beverley (drawn by C. Osman),18,23
56,1,4:18.0,M. Harrell enters the game for P. Beverley,,18,23
57,1,4:18.0,G. Temple enters the game for L. Shamet,,18,23
58,1,4:18.0,L. Williams enters the game for I. Zubac,,18,23
59,1,4:18.0,,L. Nance enters the game for K. Love,18,23
60,1,4:18.0,,T. Thompson enters the game for A. Žižić,18,23
61,1,4:06.0,,T. Thompson misses 2-pt hook shot at rim,18,23
62,1,4:05.0,,Offensive rebound by L. Nance,18,23
63,1,4:05.0,,L. Nance makes 2-pt dunk from 1 ft,18,25
64,1,3:56.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,20,25
65,1,3:56.0,Shooting foul by L. Nance (drawn by M. Harrell),,20,25
66,1,3:56.0,J. Green enters the game for D. Gallinari,,20,25
67,1,3:56.0,M. Harrell makes free throw 1 of 1,,21,25
68,1,3:45.0,,C. Sexton makes 2-pt layup at rim,21,27
69,1,3:34.0,Personal foul by T. Thompson (drawn by L. Williams),,21,27
70,1,3:23.0,G. Temple misses 2-pt jump shot from 21 ft,,21,27
71,1,3:20.0,,Defensive rebound by T. Thompson,21,27
72,1,3:07.0,,Personal foul by L. Williams (drawn by C. Osman),21,27
73,1,2:57.0,,C. Osman misses 2-pt jump shot from 10 ft,21,27
74,1,2:55.0,Defensive rebound by J. Green,,21,27
75,1,2:53.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,23,27
76,1,2:35.0,,C. Osman misses 2-pt layup from 1 ft (block by M. Harrell),23,27
77,1,2:32.0,Defensive rebound by L. Williams,,23,27
78,1,2:29.0,Turnover by J. Green (lost ball; steal by L. Nance),,23,27
79,1,2:23.0,,Personal foul by M. Harrell (drawn by C. Osman),23,27
80,1,2:23.0,LA Clippers full timeout,,23,27
81,1,2:23.0,W. Chandler enters the game for S. Gilgeous-Alexander,,23,27
82,1,2:23.0,,B. Knight enters the game for C. Sexton,23,27
83,1,2:23.0,,C. Osman makes free throw 1 of 2,23,28
84,1,2:23.0,,C. Osman makes free throw 2 of 2,23,29
85,1,2:05.0,J. Green misses 3-pt jump shot from 24 ft,,23,29
86,1,2:02.0,,Defensive rebound by L. Nance,23,29
87,1,1:56.0,,B. Knight misses 3-pt jump shot from 28 ft,23,29
88,1,1:53.0,Defensive rebound by J. Green,,23,29
89,1,1:44.0,G. Temple misses 2-pt jump shot from 10 ft,,23,29
90,1,1:42.0,,Defensive rebound by L. Nance,23,29
91,1,1:27.0,,T. Thompson makes 2-pt layup from 1 ft,23,31
92,1,1:16.0,L. Williams makes 2-pt layup from 2 ft,,25,31
93,1,0:53.0,,B. Knight makes 3-pt jump shot from 27 ft (assist by J. Clarkson),25,34
94,1,0:46.0,Offensive foul by W. Chandler (drawn by C. Osman),,25,34
95,1,0:46.0,Turnover by W. Chandler (offensive foul),,25,34
96,1,0:46.0,,D. Nwaba enters the game for C. Osman,25,34
97,1,0:35.0,,J. Clarkson makes 3-pt jump shot from 26 ft,25,37
98,1,0:14.0,L. Williams misses 2-pt jump shot from 8 ft,,25,37
99,1,0:13.0,,Defensive rebound by Team,25,37
100,1,0:13.0,S. Thornwell enters the game for L. Williams,,25,37
101,1,0:01.0,,J. Clarkson makes 3-pt jump shot from 25 ft,25,40
102,2,11:44.0,,B. Knight misses 3-pt jump shot from 26 ft,25,40
103,2,11:40.0,Defensive rebound by G. Temple,,25,40
104,2,11:33.0,L. Williams makes 2-pt layup from 1 ft,,27,40
105,2,11:14.0,,T. Thompson misses 2-pt jump shot from 12 ft,27,40
106,2,11:11.0,Defensive rebound by M. Harrell,,27,40
107,2,11:03.0,J. Green misses 2-pt layup from 3 ft,,27,40
108,2,11:00.0,Offensive rebound by J. Green,,27,40
109,2,11:00.0,J. Green makes 2-pt layup at rim,,29,40
110,2,10:50.0,,Turnover by J. Clarkson (lost ball; steal by G. Temple),29,40
111,2,10:40.0,G. Temple makes 2-pt jump shot from 10 ft,,31,40
112,2,10:39.0,,Cleveland full timeout,31,40
113,2,10:39.0,,M. Chriss enters the game for T. Thompson,31,40
114,2,10:20.0,,D. Nwaba makes 2-pt jump shot from 8 ft,31,42
115,2,10:09.0,Turnover by J. Green (lost ball; steal by D. Nwaba),,31,42
116,2,9:54.0,,L. Nance makes 3-pt jump shot from 26 ft (assist by B. Knight),31,45
117,2,9:33.0,J. Green makes 2-pt hook shot from 12 ft (assist by M. Harrell),,33,45
118,2,9:14.0,,L. Nance misses 3-pt jump shot from 26 ft,33,45
119,2,9:11.0,Defensive rebound by J. Green,,33,45
120,2,9:02.0,L. Williams makes 2-pt layup from 2 ft,,35,45
121,2,8:51.0,,B. Knight misses 3-pt jump shot from 26 ft,35,45
122,2,8:49.0,Defensive rebound by W. Chandler,,35,45
123,2,8:43.0,W. Chandler misses 3-pt jump shot from 26 ft,,35,45
124,2,8:40.0,,Defensive rebound by M. Chriss,35,45
125,2,8:31.0,,J. Clarkson misses 3-pt jump shot from 23 ft,35,45
126,2,8:29.0,Defensive rebound by J. Green,,35,45
127,2,8:15.0,L. Williams misses 3-pt jump shot from 30 ft,,35,45
128,2,8:11.0,,Defensive rebound by B. Knight,35,45
129,2,8:03.0,,J. Clarkson makes 2-pt layup at rim,35,47
130,2,7:50.0,Offensive foul by M. Harrell (drawn by L. Nance),,35,47
131,2,7:50.0,Turnover by M. Harrell (offensive foul),,35,47
132,2,7:50.0,P. Beverley enters the game for W. Chandler,,35,47
133,2,7:50.0,D. Gallinari enters the game for M. Harrell,,35,47
