,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHARLOTTE_ACTION,CLEVELAND_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,R. Hood makes 2-pt jump shot from 15 ft (assist by C. Sexton),,2,0
1,1,11:30.0,,Personal foul by C. Osman (drawn by N. Batum),2,0
2,1,11:22.0,,K. Walker misses 3-pt jump shot from 24 ft,2,0
3,1,11:16.0,Defensive rebound by D. Nwaba,,2,0
4,1,11:12.0,C. Osman makes 2-pt jump shot from 20 ft,,4,0
5,1,10:58.0,,N. Batum makes 2-pt layup from 1 ft,4,2
6,1,10:48.0,C. Sexton makes 2-pt jump shot from 21 ft,,6,2
7,1,10:35.0,,Offensive foul by C. Zeller (drawn by L. Nance),6,2
8,1,10:35.0,,Turnover by C. Zeller (offensive foul),6,2
9,1,10:18.0,C. Osman misses 3-pt jump shot from 25 ft,,6,2
10,1,10:16.0,,Defensive rebound by C. Zeller,6,2
11,1,10:09.0,,C. Zeller misses 2-pt layup from 4 ft,6,2
12,1,10:09.0,,Offensive rebound by Team,6,2
13,1,10:09.0,Loose ball foul by L. Nance (drawn by C. Zeller),,6,2
14,1,9:55.0,,K. Walker misses 2-pt layup from 2 ft,6,2
15,1,9:52.0,Defensive rebound by C. Sexton,,6,2
16,1,9:49.0,R. Hood makes 3-pt jump shot from 24 ft (assist by C. Osman),,9,2
17,1,9:33.0,,J. Lamb makes 2-pt layup from 2 ft (assist by C. Zeller),9,4
18,1,9:22.0,C. Sexton makes 2-pt jump shot from 17 ft,,11,4
19,1,9:05.0,,N. Batum makes 2-pt layup from 1 ft (assist by J. Lamb),11,6
20,1,8:52.0,C. Osman misses 2-pt jump shot from 14 ft,,11,6
21,1,8:49.0,,Defensive rebound by J. Lamb,11,6
22,1,8:40.0,,J. Lamb misses 2-pt layup from 3 ft,11,6
23,1,8:39.0,Defensive rebound by L. Nance,,11,6
24,1,8:39.0,Personal foul by J. Lamb (drawn by L. Nance),,11,6
25,1,8:25.0,R. Hood misses 3-pt jump shot from 26 ft,,11,6
26,1,8:21.0,,Defensive rebound by C. Zeller,11,6
27,1,8:16.0,,K. Walker misses 3-pt jump shot from 26 ft,11,6
28,1,8:11.0,Defensive rebound by L. Nance,,11,6
29,1,8:02.0,L. Nance makes 2-pt dunk from 1 ft (assist by D. Nwaba),,13,6
30,1,7:37.0,,N. Batum misses 2-pt layup from 3 ft,13,6
31,1,7:35.0,Defensive rebound by D. Nwaba,,13,6
32,1,7:31.0,C. Osman misses 2-pt layup from 3 ft (block by C. Zeller),,13,6
33,1,7:31.0,Offensive rebound by Team,,13,6
34,1,7:19.0,C. Sexton misses 2-pt jump shot from 8 ft,,13,6
35,1,7:17.0,,Defensive rebound by J. Lamb,13,6
36,1,7:09.0,,J. Lamb misses 2-pt layup from 10 ft,13,6
37,1,7:07.0,,Offensive rebound by K. Walker,13,6
38,1,7:07.0,,Personal foul by C. Osman (drawn by K. Walker),13,6
39,1,7:07.0,A. Burks enters the game for L. Nance,,13,6
40,1,7:07.0,J. Clarkson enters the game for D. Nwaba,,13,6
41,1,7:07.0,A. Žižić enters the game for C. Osman,,13,6
42,1,7:00.0,,Personal foul by A. Burks (drawn by J. Lamb),13,6
43,1,7:00.0,,M. Kidd-Gilchrist enters the game for M. Williams,13,6
44,1,6:45.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 22 ft,13,6
45,1,6:43.0,Defensive rebound by R. Hood,,13,6
46,1,6:21.0,R. Hood misses 2-pt jump shot from 7 ft,,13,6
47,1,6:18.0,,Defensive rebound by C. Zeller,13,6
48,1,6:09.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),13,8
49,1,5:52.0,J. Clarkson misses 2-pt jump shot from 14 ft,,13,8
50,1,5:49.0,,Defensive rebound by C. Zeller,13,8
51,1,5:42.0,,J. Lamb makes 2-pt layup from 1 ft,13,10
52,1,5:25.0,R. Hood misses 2-pt layup from 4 ft,,13,10
53,1,5:23.0,,Defensive rebound by C. Zeller,13,10
54,1,5:23.0,J. Blossomgame enters the game for R. Hood,,13,10
55,1,5:23.0,,M. Williams enters the game for C. Zeller,13,10
56,1,5:15.0,,M. Williams misses 3-pt jump shot from 25 ft,13,10
57,1,5:12.0,Defensive rebound by A. Žižić,,13,10
58,1,4:51.0,C. Sexton misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),,13,10
59,1,4:47.0,,Defensive rebound by M. Williams,13,10
60,1,4:39.0,,M. Kidd-Gilchrist makes 2-pt layup from 3 ft,13,12
61,1,4:39.0,,Shooting foul by C. Sexton (drawn by M. Kidd-Gilchrist),13,12
