,QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,K. Lowry makes 2-pt jump shot from 18 ft,,2,0
1,1,11:25.0,,K. Thompson misses 3-pt jump shot from 26 ft,2,0
2,1,11:23.0,Defensive rebound by P. Siakam,,2,0
3,1,11:15.0,Turnover by P. Siakam (lost ball; steal by K. Looney),,2,0
4,1,11:10.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),2,3
5,1,10:46.0,K. Lowry makes 2-pt jump shot from 12 ft,,4,3
6,1,10:36.0,,Turnover by K. Durant (bad pass; steal by S. Ibaka),4,3
7,1,10:26.0,D. Green misses 2-pt layup from 4 ft,,4,3
8,1,10:25.0,,Defensive rebound by D. Green,4,3
9,1,10:18.0,,K. Durant makes 2-pt jump shot from 13 ft,4,5
10,1,9:55.0,Turnover by P. Siakam (out of bounds lost ball),,4,5
11,1,9:38.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),4,7
12,1,9:32.0,Personal foul by D. Green (drawn by K. Lowry),,4,7
13,1,9:24.0,Turnover by K. Lowry (offensive foul),,4,7
14,1,9:24.0,Offensive foul by K. Lowry (drawn by K. Thompson),,4,7
15,1,9:14.0,,Turnover by S. Curry (bad pass; steal by F. VanVleet),4,7
16,1,9:10.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,7,7
17,1,8:52.0,,K. Looney misses 2-pt jump shot from 13 ft,7,7
18,1,8:51.0,Defensive rebound by K. Lowry,,7,7
19,1,8:45.0,K. Lowry misses 2-pt jump shot from 14 ft,,7,7
20,1,8:44.0,,Defensive rebound by D. Green,7,7
21,1,8:37.0,,K. Thompson misses 2-pt layup from 3 ft (block by P. Siakam),7,7
22,1,8:36.0,Defensive rebound by D. Green,,7,7
23,1,8:25.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by P. Siakam),,9,7
24,1,8:15.0,,Offensive foul by D. Green (drawn by K. Lowry),9,7
25,1,8:15.0,,Turnover by D. Green (offensive foul),9,7
26,1,8:15.0,,Technical foul by D. Green,9,7
27,1,8:15.0,K. Lowry makes technical free throw,,10,7
28,1,8:15.0,,J. Bell enters the game for D. Green,10,7
29,1,8:15.0,,J. Jerebko enters the game for K. Looney,10,7
30,1,8:05.0,S. Ibaka misses 2-pt jump shot from 19 ft,,10,7
