,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Conley),0,3
1,1,11:18.0,K. Towns misses 2-pt hook shot from 4 ft,,0,3
2,1,11:15.0,,Defensive rebound by J. Jackson,0,3
3,1,11:02.0,,I. Rabb misses 2-pt jump shot from 19 ft,0,3
4,1,11:00.0,Defensive rebound by K. Towns,,0,3
5,1,10:52.0,A. Wiggins misses 2-pt jump shot from 11 ft,,0,3
6,1,10:48.0,,Defensive rebound by J. Holiday,0,3
7,1,10:44.0,,Shooting foul by A. Wiggins (drawn by J. Jackson),0,3
8,1,10:44.0,,J. Jackson makes free throw 1 of 2,0,4
9,1,10:44.0,,J. Jackson makes free throw 2 of 2,0,5
10,1,10:23.0,Turnover by A. Wiggins (bad pass; steal by I. Rabb),,0,5
11,1,10:17.0,,M. Conley makes 3-pt jump shot from 25 ft,0,8
12,1,10:16.0,Minnesota full timeout,,0,8
13,1,9:54.0,J. Okogie makes 2-pt jump shot from 4 ft (assist by K. Towns),,2,8
14,1,9:36.0,,I. Rabb makes 2-pt hook shot from 3 ft (assist by M. Conley),2,10
15,1,9:24.0,A. Wiggins misses 2-pt jump shot from 17 ft,,2,10
16,1,9:22.0,,Defensive rebound by J. Holiday,2,10
17,1,9:15.0,,J. Holiday makes 2-pt layup from 1 ft,2,12
18,1,8:59.0,Turnover by J. Okogie (lost ball; steal by I. Rabb),,2,12
19,1,8:54.0,,J. Washburn misses 2-pt jump shot from 17 ft,2,12
20,1,8:51.0,Defensive rebound by K. Towns,,2,12
21,1,8:45.0,Turnover by J. Okogie (bad pass; steal by J. Holiday),,2,12
22,1,8:41.0,,M. Conley misses 2-pt layup from 1 ft,2,12
23,1,8:38.0,,Offensive rebound by J. Washburn,2,12
24,1,8:36.0,,M. Conley misses 3-pt jump shot from 23 ft,2,12
25,1,8:32.0,,Offensive rebound by I. Rabb,2,12
26,1,8:31.0,,I. Rabb misses 2-pt hook shot from 1 ft,2,12
27,1,8:27.0,,I. Rabb makes 2-pt layup at rim,2,14
28,1,8:27.0,,Offensive rebound by I. Rabb,2,14
29,1,8:12.0,T. Gibson misses 2-pt layup from 1 ft,,2,14
30,1,8:11.0,,Defensive rebound by I. Rabb,2,14
31,1,7:58.0,,J. Washburn makes 2-pt jump shot from 12 ft,2,16
32,1,7:43.0,J. Bayless misses 2-pt jump shot from 1 ft,,2,16
33,1,7:40.0,,Defensive rebound by J. Jackson,2,16
34,1,7:34.0,,J. Jackson misses 2-pt layup from 2 ft (block by K. Towns),2,16
35,1,7:29.0,Defensive rebound by A. Wiggins,,2,16
36,1,7:28.0,J. Bayless misses 2-pt layup from 1 ft,,2,16
37,1,7:25.0,,Defensive rebound by J. Holiday,2,16
38,1,7:23.0,,M. Conley misses 2-pt layup from 1 ft,2,16
39,1,7:19.0,Defensive rebound by K. Towns,,2,16
40,1,7:12.0,T. Gibson misses 2-pt layup from 1 ft (block by J. Jackson),,2,16
41,1,7:12.0,Offensive rebound by Team,,2,16
42,1,7:12.0,,Memphis full timeout,2,16
43,1,7:12.0,L. Deng enters the game for J. Okogie,,2,16
44,1,7:01.0,K. Towns makes 2-pt hook shot from 6 ft,,4,16
45,1,6:41.0,,J. Holiday misses 2-pt jump shot from 10 ft,4,16
46,1,6:39.0,,Offensive rebound by I. Rabb,4,16
47,1,6:30.0,,J. Jackson makes 3-pt jump shot from 23 ft,4,19
48,1,6:15.0,Turnover by K. Towns (bad pass; steal by M. Conley),,4,19
49,1,6:06.0,,I. Rabb makes 2-pt dunk at rim (assist by J. Jackson),4,21
50,1,5:50.0,A. Wiggins misses 2-pt jump shot from 12 ft,,4,21
51,1,5:46.0,Offensive rebound by L. Deng,,4,21
52,1,5:40.0,Turnover by L. Deng (bad pass; steal by J. Washburn),,4,21
53,1,5:31.0,,J. Holiday makes 2-pt layup from 1 ft (assist by J. Washburn),4,23
54,1,5:31.0,D. Šarić enters the game for T. Gibson,,4,23
55,1,5:31.0,,B. Caboclo enters the game for M. Conley,4,23
56,1,5:31.0,,S. Mack enters the game for I. Rabb,4,23
57,1,5:09.0,D. Šarić makes 2-pt layup at rim (assist by J. Bayless),,6,23
58,1,4:54.0,,B. Caboclo misses 3-pt jump shot from 24 ft,6,23
59,1,4:51.0,Defensive rebound by A. Wiggins,,6,23
60,1,4:43.0,K. Towns misses 2-pt jump shot from 5 ft,,6,23
61,1,4:39.0,,Defensive rebound by J. Holiday,6,23
62,1,4:33.0,,J. Holiday makes 2-pt layup from 2 ft (assist by J. Jackson),6,25
63,1,4:33.0,,Shooting foul by K. Towns (drawn by J. Holiday),6,25
64,1,4:33.0,,J. Holiday misses free throw 1 of 1,6,25
65,1,4:30.0,Defensive rebound by J. Bayless,,6,25
66,1,4:14.0,Personal foul by J. Holiday (drawn by D. Šarić),,6,25
67,1,4:14.0,I. Canaan enters the game for J. Bayless,,6,25
68,1,4:14.0,,Y. Watanabe enters the game for J. Washburn,6,25
69,1,4:04.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by I. Canaan),,9,25
70,1,3:45.0,,Offensive foul by J. Jackson (drawn by D. Šarić),9,25
71,1,3:45.0,,Turnover by J. Jackson (offensive foul),9,25
72,1,3:33.0,Personal foul by B. Caboclo (drawn by K. Towns),,9,25
73,1,3:25.0,A. Wiggins misses 3-pt jump shot from 26 ft,,9,25
74,1,3:21.0,,Defensive rebound by J. Holiday,9,25
75,1,3:09.0,,S. Mack misses 3-pt jump shot from 25 ft,9,25
76,1,3:06.0,Defensive rebound by K. Towns,,9,25
77,1,2:53.0,D. Šarić makes 2-pt layup from 2 ft (assist by L. Deng),,11,25
78,1,2:27.0,,S. Mack misses 2-pt jump shot from 8 ft,11,25
79,1,2:23.0,Defensive rebound by K. Towns,,11,25
80,1,2:20.0,Shooting foul by S. Mack (drawn by I. Canaan),,11,25
81,1,2:20.0,I. Canaan makes free throw 1 of 2,,12,25
82,1,2:20.0,G. Dieng enters the game for K. Towns,,12,25
83,1,2:20.0,,I. Rabb enters the game for J. Jackson,12,25
84,1,2:20.0,I. Canaan makes free throw 2 of 2,,13,25
85,1,2:08.0,,S. Mack makes 3-pt jump shot from 26 ft (assist by J. Holiday),13,28
86,1,1:41.0,Turnover by Team (shot clock),,13,28
87,1,1:32.0,,Shooting foul by G. Dieng (drawn by I. Rabb),13,28
88,1,1:32.0,,I. Rabb makes free throw 1 of 2,13,29
89,1,1:32.0,,I. Rabb makes free throw 2 of 2,13,30
90,1,1:16.0,A. Wiggins misses 2-pt layup from 1 ft,,13,30
91,1,1:15.0,Offensive rebound by D. Šarić,,13,30
92,1,1:15.0,Shooting foul by Y. Watanabe (drawn by D. Šarić),,13,30
93,1,1:15.0,D. Šarić makes free throw 1 of 2,,14,30
94,1,1:15.0,A. Tolliver enters the game for A. Wiggins,,14,30
95,1,1:15.0,D. Šarić makes free throw 2 of 2,,15,30
96,1,0:58.0,,J. Holiday misses 3-pt jump shot from 25 ft,15,30
97,1,0:55.0,,Offensive rebound by Y. Watanabe,15,30
98,1,0:43.0,,B. Caboclo misses 2-pt jump shot from 10 ft,15,30
99,1,0:40.0,Defensive rebound by L. Deng,,15,30
100,1,0:31.0,L. Deng makes 2-pt jump shot from 10 ft (assist by I. Canaan),,17,30
101,1,0:07.0,,Shooting foul by I. Canaan (drawn by J. Holiday),17,30
102,1,0:07.0,J. Bayless enters the game for I. Canaan,,17,30
103,1,0:07.0,K. Towns enters the game for L. Deng,,17,30
104,1,0:07.0,A. Wiggins enters the game for G. Dieng,,17,30
105,1,0:07.0,,J. Washburn enters the game for S. Mack,17,30
106,1,0:07.0,,J. Holiday makes free throw 1 of 2,17,31
107,1,0:07.0,,J. Holiday makes free throw 2 of 2,17,32
108,1,0:01.0,A. Wiggins misses 2-pt jump shot from 5 ft,,17,32
109,1,0:00.0,Offensive rebound by A. Wiggins,,17,32
110,1,0:00.0,A. Wiggins makes 2-pt layup from 1 ft,,19,32
111,2,11:45.0,D. Šarić misses 3-pt jump shot from 26 ft,,19,32
112,2,11:41.0,Offensive rebound by G. Dieng,,19,32
113,2,11:31.0,I. Canaan misses 3-pt jump shot from 26 ft,,19,32
114,2,11:29.0,Offensive rebound by G. Dieng,,19,32
115,2,11:23.0,Shooting foul by B. Caboclo (drawn by D. Šarić),,19,32
116,2,11:23.0,D. Šarić makes free throw 1 of 2,,20,32
117,2,11:23.0,D. Šarić makes free throw 2 of 2,,21,32
118,2,11:11.0,Violation by Team (kicked ball),,21,32
119,2,10:57.0,,S. Mack misses 2-pt layup from 2 ft,21,32
120,2,10:57.0,,Offensive rebound by I. Rabb,21,32
121,2,10:57.0,,Shooting foul by G. Dieng (drawn by I. Rabb),21,32
122,2,10:57.0,,I. Rabb misses free throw 1 of 2,21,32
123,2,10:57.0,,Offensive rebound by Team,21,32
124,2,10:57.0,,I. Rabb misses free throw 2 of 2,21,32
125,2,10:55.0,Defensive rebound by G. Dieng,,21,32
126,2,10:48.0,I. Canaan misses 2-pt layup from 1 ft (block by B. Caboclo),,21,32
127,2,10:45.0,,Defensive rebound by B. Caboclo,21,32
128,2,10:40.0,,Turnover by J. Carter (bad pass; steal by A. Tolliver),21,32
129,2,10:27.0,G. Dieng makes 2-pt jump shot from 14 ft (assist by D. Šarić),,23,32
130,2,10:06.0,,I. Rabb makes 2-pt jump shot from 20 ft,23,34
131,2,9:49.0,J. Okogie makes 3-pt jump shot from 26 ft (assist by G. Dieng),,26,34
132,2,9:21.0,,B. Caboclo makes 3-pt jump shot from 23 ft,26,37
133,2,9:07.0,G. Dieng makes 2-pt jump shot from 21 ft (assist by I. Canaan),,28,37
134,2,8:41.0,,Offensive foul by S. Mack (drawn by J. Okogie),28,37
135,2,8:41.0,,Turnover by S. Mack (offensive foul),28,37
136,2,8:41.0,J. Bayless enters the game for I. Canaan,,28,37
137,2,8:41.0,,M. Conley enters the game for S. Mack,28,37
138,2,8:29.0,D. Šarić makes 2-pt jump shot from 3 ft (assist by J. Bayless),,30,37
139,2,8:19.0,,Personal foul by J. Okogie (drawn by M. Conley),30,37
140,2,8:12.0,Violation by Team (kicked ball),,30,37
141,2,8:04.0,,M. Conley misses 2-pt jump shot from 14 ft,30,37
142,2,8:02.0,,Offensive rebound by I. Rabb,30,37
143,2,8:00.0,,I. Rabb makes 2-pt layup at rim,30,39
144,2,7:49.0,Shooting foul by I. Rabb (drawn by J. Okogie),,30,39
145,2,7:49.0,J. Okogie makes free throw 1 of 2,,31,39
146,2,7:49.0,K. Towns enters the game for G. Dieng,,31,39
147,2,7:49.0,,J. Jackson enters the game for Y. Watanabe,31,39
148,2,7:49.0,J. Okogie makes free throw 2 of 2,,32,39
149,2,7:39.0,,B. Caboclo makes 2-pt layup from 1 ft (assist by I. Rabb),32,41
150,2,7:25.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Bayless),,35,41
151,2,7:10.0,,J. Jackson makes 2-pt layup from 1 ft,35,43
152,2,6:53.0,Personal foul by J. Carter (drawn by J. Bayless),,35,43
153,2,6:53.0,,Memphis full timeout,35,43
154,2,6:46.0,Turnover by J. Bayless (bad pass; steal by B. Caboclo),,35,43
155,2,6:32.0,,J. Carter misses 2-pt layup from 2 ft,35,43
156,2,6:30.0,Defensive rebound by J. Okogie,,35,43
157,2,6:14.0,J. Okogie makes 2-pt layup from 1 ft,,37,43
158,2,6:02.0,,M. Conley misses 3-pt jump shot from 26 ft,37,43
159,2,5:57.0,Defensive rebound by K. Towns,,37,43
160,2,5:46.0,Personal foul by M. Conley (drawn by D. Šarić),,37,43
161,2,5:46.0,A. Wiggins enters the game for A. Tolliver,,37,43
162,2,5:46.0,,J. Holiday enters the game for B. Caboclo,37,43
163,2,5:46.0,,J. Washburn enters the game for J. Carter,37,43
164,2,5:41.0,J. Bayless misses 2-pt jump shot from 12 ft,,37,43
165,2,5:38.0,,Defensive rebound by J. Jackson,37,43
166,2,5:38.0,,Turnover by J. Jackson (out of bounds lost ball),37,43
167,2,5:36.0,J. Okogie makes 2-pt layup from 1 ft (assist by J. Bayless),,39,43
168,2,5:26.0,,M. Conley misses 2-pt layup from 5 ft,39,43
169,2,5:26.0,Defensive rebound by Team,,39,43
170,2,5:15.0,K. Towns makes 2-pt dunk from 2 ft (assist by A. Wiggins),,41,43
171,2,5:15.0,Shooting foul by I. Rabb (drawn by K. Towns),,41,43
172,2,5:15.0,T. Gibson enters the game for D. Šarić,,41,43
173,2,5:15.0,K. Towns makes free throw 1 of 1,,42,43
174,2,4:53.0,,Personal foul by K. Towns (drawn by J. Jackson),42,43
175,2,4:48.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Conley),42,46
176,2,4:38.0,Personal foul by I. Rabb (drawn by K. Towns),,42,46
177,2,4:38.0,K. Towns makes free throw 1 of 2,,43,46
178,2,4:38.0,,B. Caboclo enters the game for I. Rabb,43,46
179,2,4:38.0,K. Towns makes free throw 2 of 2,,44,46
180,2,4:23.0,,Personal foul by J. Bayless (drawn by M. Conley),44,46
181,2,4:20.0,,M. Conley makes 3-pt jump shot from 25 ft,44,49
182,2,4:20.0,,Shooting foul by J. Bayless (drawn by M. Conley),44,49
183,2,4:20.0,,M. Conley makes free throw 1 of 1,44,50
184,2,4:02.0,J. Okogie misses 3-pt jump shot from 26 ft,,44,50
185,2,3:59.0,Offensive rebound by K. Towns,,44,50
186,2,3:59.0,Turnover by K. Towns (step out of bounds),,44,50
187,2,3:51.0,,M. Conley misses 2-pt jump shot from 13 ft,44,50
188,2,3:48.0,Defensive rebound by J. Okogie,,44,50
189,2,3:36.0,J. Bayless misses 2-pt jump shot from 20 ft,,44,50
190,2,3:30.0,,Defensive rebound by J. Jackson,44,50
191,2,3:18.0,,J. Jackson misses 3-pt jump shot from 26 ft,44,50
192,2,3:17.0,,Offensive rebound by Team,44,50
193,2,3:17.0,Loose ball foul by T. Gibson (drawn by B. Caboclo),,44,50
194,2,3:17.0,,B. Caboclo makes free throw 1 of 2,44,51
195,2,3:17.0,,B. Caboclo makes free throw 2 of 2,44,52
196,2,3:03.0,Personal foul by B. Caboclo (drawn by K. Towns),,44,52
197,2,3:03.0,K. Towns makes free throw 1 of 2,,45,52
198,2,3:03.0,K. Towns makes free throw 2 of 2,,46,52
199,2,2:43.0,,J. Washburn misses 3-pt jump shot from 26 ft,46,52
200,2,2:39.0,Defensive rebound by K. Towns,,46,52
