,QUARTER,TIME_REMAINING,UTAH_ACTION,BROOKLYN_ACTION,UTAH_SCORE,BROOKLYN_SCORE
0,1,11:35.0,Turnover by J. Ingles (bad pass; steal by J. Harris),,0,0
1,1,11:20.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,0,0
2,1,11:15.0,,Offensive rebound by J. Allen,0,0
3,1,11:15.0,,J. Allen misses 2-pt layup at rim,0,0
4,1,11:15.0,Defensive rebound by R. Rubio,,0,0
5,1,11:12.0,Offensive foul by J. Ingles (drawn by J. Harris),,0,0
6,1,11:12.0,Turnover by J. Ingles (offensive foul),,0,0
7,1,11:02.0,,Turnover by D. Russell (lost ball; steal by J. Ingles),0,0
8,1,10:57.0,J. Ingles misses 2-pt layup from 2 ft,,0,0
9,1,10:51.0,Offensive rebound by R. Gobert,,0,0
10,1,10:51.0,R. Gobert misses 2-pt layup from 1 ft,,0,0
11,1,10:50.0,,Defensive rebound by J. Harris,0,0
12,1,10:40.0,,A. Crabbe misses 3-pt jump shot from 23 ft,0,0
13,1,10:37.0,Defensive rebound by D. Favors,,0,0
14,1,10:25.0,D. Favors misses 2-pt layup from 1 ft,,0,0
15,1,10:23.0,,Defensive rebound by J. Allen,0,0
16,1,10:17.0,,J. Allen misses 2-pt layup from 3 ft (block by R. Gobert),0,0
17,1,10:13.0,,Offensive rebound by J. Allen,0,0
18,1,10:12.0,,D. Russell misses 2-pt jump shot from 12 ft,0,0
19,1,10:09.0,Defensive rebound by D. Favors,,0,0
20,1,10:00.0,D. Favors misses 2-pt hook shot from 5 ft,,0,0
21,1,9:58.0,,Defensive rebound by J. Allen,0,0
22,1,9:47.0,,R. Hollis-Jefferson misses 2-pt jump shot from 14 ft,0,0
23,1,9:44.0,Defensive rebound by J. Ingles,,0,0
24,1,9:36.0,D. Mitchell misses 2-pt layup from 2 ft,,0,0
25,1,9:32.0,Offensive rebound by R. Gobert,,0,0
26,1,9:32.0,R. Gobert makes 2-pt dunk from 1 ft,,2,0
27,1,9:18.0,,R. Hollis-Jefferson makes 2-pt layup from 3 ft,2,2
28,1,8:59.0,R. Gobert makes 2-pt dunk from 1 ft,,4,2
29,1,8:37.0,,J. Allen makes 2-pt layup from 3 ft (assist by D. Russell),4,4
30,1,8:13.0,R. Rubio misses 3-pt jump shot from 24 ft,,4,4
