,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,N. Vučević misses 2-pt hook shot from 3 ft,,0,0
1,1,11:41.0,Offensive rebound by N. Vučević,,0,0
2,1,11:36.0,A. Gordon misses 3-pt jump shot from 27 ft,,0,0
3,1,11:33.0,,Defensive rebound by M. Brogdon,0,0
4,1,11:28.0,,Offensive foul by G. Antetokounmpo (drawn by A. Gordon),0,0
5,1,11:28.0,,Turnover by G. Antetokounmpo (offensive foul),0,0
6,1,11:13.0,D. Augustin misses 3-pt jump shot from 26 ft,,0,0
7,1,11:11.0,,Defensive rebound by G. Antetokounmpo,0,0
8,1,10:58.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by N. Vučević),0,0
9,1,10:55.0,Defensive rebound by N. Vučević,,0,0
10,1,10:53.0,D. Augustin makes 3-pt jump shot from 27 ft,,3,0
11,1,10:33.0,,K. Middleton makes 2-pt jump shot from 4 ft (assist by E. Bledsoe),3,2
12,1,10:23.0,E. Fournier misses 2-pt layup from 7 ft (block by B. Lopez),,3,2
13,1,10:23.0,Offensive rebound by Team,,3,2
14,1,10:09.0,J. Isaac misses 2-pt jump shot from 16 ft,,3,2
15,1,10:06.0,,Defensive rebound by K. Middleton,3,2
16,1,10:02.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),3,4
17,1,9:46.0,J. Isaac misses 3-pt jump shot from 28 ft,,3,4
18,1,9:43.0,,Defensive rebound by G. Antetokounmpo,3,4
19,1,9:37.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by J. Isaac),3,4
20,1,9:34.0,Defensive rebound by A. Gordon,,3,4
21,1,9:30.0,Shooting foul by E. Bledsoe (drawn by A. Gordon),,3,4
22,1,9:30.0,A. Gordon makes free throw 1 of 2,,4,4
23,1,9:30.0,A. Gordon makes free throw 2 of 2,,5,4
24,1,9:16.0,,K. Middleton misses 3-pt jump shot from 26 ft,5,4
25,1,9:13.0,Defensive rebound by N. Vučević,,5,4
26,1,9:05.0,E. Fournier makes 2-pt layup from 7 ft (assist by N. Vučević),,7,4
27,1,8:46.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),7,6
28,1,8:22.0,A. Gordon misses 2-pt layup from 6 ft (block by B. Lopez),,7,6
29,1,8:18.0,Offensive rebound by A. Gordon,,7,6
30,1,8:18.0,A. Gordon makes 2-pt dunk from 2 ft,,9,6
31,1,8:18.0,,Milwaukee full timeout,9,6
32,1,7:55.0,,Turnover by G. Antetokounmpo (bad pass; steal by J. Isaac),9,6
33,1,7:52.0,A. Gordon makes 2-pt dunk from 1 ft (assist by J. Isaac),,11,6
34,1,7:29.0,,M. Brogdon makes 2-pt layup from 3 ft,11,8
35,1,7:14.0,N. Vučević misses 2-pt jump shot from 8 ft,,11,8
36,1,7:10.0,,Defensive rebound by K. Middleton,11,8
37,1,6:59.0,,M. Brogdon misses 2-pt layup from 2 ft,11,8
38,1,6:56.0,,Offensive rebound by M. Brogdon,11,8
39,1,6:55.0,,M. Brogdon makes 2-pt layup from 1 ft,11,10
40,1,6:42.0,D. Augustin makes 2-pt jump shot from 9 ft,,13,10
41,1,6:23.0,,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),13,12
42,1,6:23.0,,Shooting foul by J. Isaac (drawn by B. Lopez),13,12
43,1,6:23.0,,E. İlyasova enters the game for M. Brogdon,13,12
44,1,6:23.0,,B. Lopez makes free throw 1 of 1,13,13
45,1,6:05.0,A. Gordon misses 2-pt layup from 4 ft,,13,13
46,1,6:02.0,,Defensive rebound by G. Antetokounmpo,13,13
47,1,5:53.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by E. İlyasova),13,16
48,1,5:39.0,N. Vučević makes 2-pt hook shot from 9 ft (assist by D. Augustin),,15,16
49,1,5:20.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,15,18
50,1,5:00.0,E. Fournier misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,15,18
51,1,5:00.0,Offensive rebound by Team,,15,18
52,1,5:00.0,M. Bamba enters the game for A. Gordon,,15,18
53,1,5:00.0,T. Ross enters the game for J. Isaac,,15,18
54,1,5:00.0,,D. DiVincenzo enters the game for G. Antetokounmpo,15,18
55,1,5:00.0,,J. Henson enters the game for B. Lopez,15,18
56,1,4:52.0,D. Augustin makes 3-pt jump shot from 26 ft (assist by T. Ross),,18,18
57,1,4:38.0,,E. İlyasova misses 3-pt jump shot from 22 ft,18,18
58,1,4:35.0,Defensive rebound by N. Vučević,,18,18
59,1,4:27.0,M. Bamba misses 3-pt jump shot from 23 ft,,18,18
60,1,4:23.0,,Defensive rebound by D. DiVincenzo,18,18
61,1,4:17.0,,Turnover by K. Middleton (bad pass),18,18
