,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,J. Harris makes 3-pt jump shot from 26 ft (assist by C. LeVert),,3,0
1,1,11:34.0,,Personal foul by D. Russell (drawn by K. Walker),3,0
2,1,11:27.0,,C. Zeller misses 2-pt layup from 1 ft,3,0
3,1,11:22.0,,Offensive rebound by M. Bridges,3,0
4,1,11:22.0,,M. Bridges makes 2-pt layup at rim,3,2
5,1,11:01.0,Turnover by C. LeVert (bad pass),,3,2
6,1,10:49.0,,M. Bridges misses 2-pt jump shot from 13 ft,3,2
7,1,10:46.0,Defensive rebound by T. Graham,,3,2
8,1,10:37.0,J. Allen makes 2-pt layup from 2 ft (assist by J. Harris),,5,2
9,1,10:19.0,,N. Batum makes 3-pt jump shot from 25 ft,5,5
10,1,10:08.0,D. Russell makes 3-pt jump shot from 28 ft,,8,5
11,1,9:49.0,,C. Zeller makes 2-pt hook shot from 9 ft (assist by N. Batum),8,7
12,1,9:42.0,Personal foul by M. Bridges (drawn by D. Russell),,8,7
13,1,9:37.0,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Allen),,11,7
14,1,9:24.0,,Offensive foul by C. Zeller (drawn by D. Russell),11,7
15,1,9:24.0,,Turnover by C. Zeller (offensive foul),11,7
16,1,9:13.0,D. Russell misses 3-pt jump shot from 27 ft,,11,7
17,1,9:09.0,,Defensive rebound by C. Zeller,11,7
18,1,9:00.0,,C. Zeller misses 2-pt layup from 4 ft,11,7
19,1,8:57.0,,Offensive rebound by M. Bridges,11,7
20,1,8:48.0,,Turnover by M. Williams (lost ball; steal by D. Russell),11,7
21,1,8:42.0,D. Russell misses 2-pt layup from 2 ft,,11,7
22,1,8:39.0,,Defensive rebound by C. Zeller,11,7
23,1,8:32.0,,K. Walker makes 2-pt layup from 2 ft,11,9
24,1,8:21.0,T. Graham misses 2-pt layup from 3 ft (block by C. Zeller),,11,9
25,1,8:21.0,,Defensive rebound by Team,11,9
26,1,8:09.0,,N. Batum misses 3-pt jump shot from 26 ft,11,9
27,1,8:06.0,,Offensive rebound by M. Williams,11,9
28,1,8:05.0,,M. Williams misses 3-pt jump shot from 23 ft,11,9
29,1,8:05.0,,Offensive rebound by M. Bridges,11,9
30,1,8:03.0,,Personal foul by C. LeVert (drawn by N. Batum),11,9
31,1,7:50.0,,C. Zeller misses 3-pt jump shot from 25 ft,11,9
32,1,7:46.0,Defensive rebound by J. Harris,,11,9
33,1,7:30.0,C. LeVert misses 2-pt jump shot from 7 ft,,11,9
34,1,7:28.0,,Defensive rebound by M. Williams,11,9
35,1,7:24.0,,N. Batum makes 3-pt jump shot from 26 ft (assist by M. Williams),11,12
36,1,7:00.0,D. Russell makes 2-pt jump shot from 17 ft,,13,12
37,1,7:00.0,Shooting foul by M. Bridges (drawn by D. Russell),,13,12
38,1,7:00.0,,J. Lamb enters the game for M. Bridges,13,12
39,1,7:00.0,D. Russell makes free throw 1 of 1,,14,12
40,1,6:50.0,,Offensive foul by M. Williams (drawn by T. Graham),14,12
41,1,6:50.0,,Turnover by M. Williams (offensive foul),14,12
42,1,6:50.0,,Charlotte full timeout,14,12
43,1,6:38.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,16,12
44,1,6:19.0,,K. Walker misses 3-pt jump shot from 26 ft,16,12
45,1,6:17.0,Defensive rebound by J. Allen,,16,12
46,1,6:02.0,D. Russell misses 2-pt layup from 2 ft (block by M. Williams),,16,12
47,1,6:02.0,,Defensive rebound by Team,16,12
48,1,6:02.0,A. Crabbe enters the game for C. LeVert,,16,12
49,1,6:02.0,,M. Kidd-Gilchrist enters the game for C. Zeller,16,12
50,1,5:48.0,,N. Batum misses 3-pt jump shot from 25 ft,16,12
51,1,5:45.0,Defensive rebound by J. Allen,,16,12
52,1,5:43.0,,Violation by Team (kicked ball),16,12
53,1,5:30.0,T. Graham makes 2-pt jump shot from 10 ft (assist by D. Russell),,18,12
54,1,5:19.0,,K. Walker makes 2-pt jump shot from 18 ft,18,14
55,1,5:10.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Allen),,18,14
56,1,5:10.0,J. Allen makes free throw 1 of 2,,19,14
57,1,5:10.0,R. Kurucs enters the game for T. Graham,,19,14
58,1,5:10.0,S. Napier enters the game for D. Russell,,19,14
59,1,5:10.0,J. Allen makes free throw 2 of 2,,20,14
60,1,4:59.0,,K. Walker misses 2-pt jump shot from 15 ft,20,14
61,1,4:56.0,Defensive rebound by J. Allen,,20,14
62,1,4:46.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by R. Kurucs),,23,14
63,1,4:34.0,,Turnover by N. Batum (bad pass),23,14
64,1,4:24.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by S. Napier),,25,14
65,1,4:24.0,,Charlotte full timeout,25,14
66,1,4:24.0,D. Carroll enters the game for J. Allen,,25,14
67,1,4:24.0,E. Davis enters the game for J. Harris,,25,14
68,1,4:24.0,,B. Biyombo enters the game for K. Walker,25,14
69,1,4:24.0,,T. Parker enters the game for M. Williams,25,14
70,1,4:08.0,,Turnover by M. Kidd-Gilchrist (bad pass; steal by R. Kurucs),25,14
71,1,4:03.0,A. Crabbe misses 3-pt jump shot from 26 ft,,25,14
72,1,4:01.0,Offensive rebound by E. Davis,,25,14
73,1,3:51.0,Offensive foul by R. Kurucs (drawn by J. Lamb),,25,14
74,1,3:51.0,Turnover by R. Kurucs (offensive foul),,25,14
75,1,3:40.0,,Personal foul by A. Crabbe (drawn by J. Lamb),25,14
76,1,3:40.0,,M. Monk enters the game for N. Batum,25,14
77,1,3:33.0,,T. Parker misses 2-pt jump shot from 16 ft,25,14
78,1,3:31.0,Defensive rebound by A. Crabbe,,25,14
79,1,3:16.0,S. Napier misses 3-pt jump shot from 26 ft,,25,14
80,1,3:11.0,Offensive rebound by E. Davis,,25,14
81,1,3:10.0,E. Davis makes 2-pt layup from 1 ft,,27,14
82,1,2:54.0,,M. Kidd-Gilchrist makes 2-pt layup from 5 ft (assist by M. Monk),27,16
83,1,2:34.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by S. Napier),,30,16
84,1,2:20.0,,Personal foul by S. Napier (drawn by T. Parker),30,16
85,1,2:09.0,,J. Lamb makes 2-pt jump shot from 11 ft (assist by B. Biyombo),30,18
86,1,1:56.0,R. Kurucs makes 2-pt jump shot from 5 ft (assist by A. Crabbe),,32,18
87,1,1:44.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 15 ft (assist by T. Parker),32,20
88,1,1:25.0,A. Crabbe misses 3-pt jump shot from 26 ft,,32,20
89,1,1:22.0,,Defensive rebound by M. Monk,32,20
90,1,1:18.0,,M. Monk misses 2-pt jump shot from 19 ft,32,20
91,1,1:15.0,Defensive rebound by R. Kurucs,,32,20
92,1,0:52.0,S. Napier misses 2-pt layup from 3 ft,,32,20
93,1,0:50.0,Offensive rebound by D. Carroll,,32,20
94,1,0:49.0,D. Carroll misses 2-pt layup from 2 ft,,32,20
95,1,0:49.0,Offensive rebound by E. Davis,,32,20
96,1,0:47.0,E. Davis makes 2-pt dunk from 1 ft,,34,20
97,1,0:37.0,,T. Parker misses 2-pt jump shot from 10 ft,34,20
98,1,0:37.0,Defensive rebound by S. Napier,,34,20
99,1,0:31.0,D. Carroll misses 3-pt jump shot from 27 ft,,34,20
100,1,0:28.0,Offensive rebound by E. Davis,,34,20
101,1,0:14.0,S. Napier misses 2-pt jump shot from 11 ft,,34,20
102,1,0:11.0,,Defensive rebound by J. Lamb,34,20
103,1,0:01.0,,J. Lamb misses 3-pt jump shot from 26 ft,34,20
104,1,0:01.0,Defensive rebound by R. Kurucs,,34,20
