,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,D. Jones makes 2-pt dunk from 2 ft (assist by S. Curry),0,2
1,1,11:25.0,D. Ayton misses 2-pt hook shot from 7 ft,,0,2
2,1,11:24.0,,Defensive rebound by D. Green,0,2
3,1,11:17.0,,S. Curry misses 3-pt jump shot from 27 ft,0,2
4,1,11:15.0,,Offensive rebound by D. Jones,0,2
5,1,11:06.0,,Turnover by S. Curry (bad pass; steal by I. Canaan),0,2
6,1,10:49.0,I. Canaan makes 2-pt layup from 3 ft (assist by D. Ayton),,2,2
7,1,10:43.0,,D. Jones makes 2-pt dunk from 2 ft (assist by D. Green),2,4
8,1,10:23.0,T. Ariza misses 2-pt jump shot from 10 ft,,2,4
9,1,10:22.0,,Defensive rebound by K. Thompson,2,4
10,1,10:18.0,,K. Thompson misses 3-pt jump shot from 26 ft,2,4
11,1,10:16.0,Defensive rebound by D. Ayton,,2,4
12,1,10:06.0,D. Booker makes 2-pt jump shot from 19 ft,,4,4
13,1,9:48.0,,K. Thompson misses 3-pt jump shot from 27 ft,4,4
14,1,9:46.0,Defensive rebound by T. Ariza,,4,4
15,1,9:28.0,D. Booker makes 3-pt jump shot from 27 ft (assist by T. Ariza),,7,4
16,1,9:02.0,,S. Curry makes 2-pt layup from 5 ft (assist by K. Thompson),7,6
17,1,8:44.0,Turnover by D. Booker (lost ball; steal by S. Curry),,7,6
18,1,8:37.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),7,8
19,1,8:12.0,I. Canaan misses 3-pt jump shot from 27 ft,,7,8
20,1,8:10.0,,Defensive rebound by D. Jones,7,8
21,1,8:06.0,,Personal foul by D. Booker (drawn by K. Durant),7,8
22,1,7:57.0,,D. Jones makes 2-pt dunk from 1 ft (assist by S. Curry),7,10
23,1,7:40.0,D. Booker misses 3-pt jump shot from 25 ft (block by D. Jones),,7,10
24,1,7:38.0,,Defensive rebound by S. Curry,7,10
25,1,7:34.0,,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),7,12
26,1,7:34.0,Phoenix full timeout,,7,12
27,1,7:13.0,R. Anderson makes 2-pt jump shot from 20 ft,,9,12
28,1,7:00.0,,D. Green misses 3-pt jump shot from 26 ft,9,12
29,1,6:58.0,Defensive rebound by T. Ariza,,9,12
30,1,6:37.0,D. Ayton makes 2-pt dunk from 3 ft (assist by I. Canaan),,11,12
31,1,6:24.0,,S. Curry misses 3-pt jump shot from 25 ft,11,12
32,1,6:22.0,,Offensive rebound by D. Jones,11,12
33,1,6:22.0,,D. Jones makes 2-pt layup from 1 ft,11,14
34,1,6:22.0,,Shooting foul by D. Ayton (drawn by D. Jones),11,14
35,1,6:22.0,,D. Jones makes free throw 1 of 1,11,15
