,QUARTER,TIME_REMAINING,DENVER_ACTION,BROOKLYN_ACTION,DENVER_SCORE,BROOKLYN_SCORE
0,1,11:42.0,Turnover by J. Murray (bad pass; steal by T. Graham),,0,0
1,1,11:26.0,,J. Allen misses 2-pt layup from 3 ft (block by M. Plumlee),0,0
2,1,11:26.0,Defensive rebound by M. Plumlee,,0,0
3,1,11:17.0,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Murray),,3,0
4,1,11:05.0,,R. Kurucs misses 3-pt jump shot from 26 ft,3,0
5,1,11:03.0,Defensive rebound by N. Jokić,,3,0
6,1,10:51.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by N. Jokić),,5,0
7,1,10:39.0,,R. Kurucs misses 2-pt layup from 5 ft (block by M. Plumlee),5,0
8,1,10:35.0,Defensive rebound by N. Jokić,,5,0
9,1,10:31.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,8,0
10,1,10:16.0,,J. Harris misses 2-pt jump shot from 15 ft,8,0
11,1,10:13.0,Defensive rebound by N. Jokić,,8,0
12,1,10:09.0,J. Murray misses 3-pt jump shot from 27 ft,,8,0
13,1,10:06.0,,Defensive rebound by T. Graham,8,0
14,1,10:01.0,,D. Russell misses 3-pt jump shot from 23 ft,8,0
15,1,9:58.0,,Offensive rebound by J. Allen,8,0
16,1,9:58.0,,J. Allen makes 2-pt hook shot from 2 ft,8,2
17,1,9:58.0,,Shooting foul by W. Barton (drawn by J. Allen),8,2
18,1,9:58.0,,J. Allen makes free throw 1 of 1,8,3
19,1,9:51.0,Personal foul by T. Graham (drawn by N. Jokić),,8,3
20,1,9:40.0,Personal foul by D. Russell (drawn by M. Plumlee),,8,3
21,1,9:36.0,M. Beasley makes 2-pt layup from 5 ft (assist by W. Barton),,10,3
22,1,9:26.0,,Offensive foul by J. Allen (drawn by J. Murray),10,3
23,1,9:26.0,,Turnover by J. Allen (offensive foul),10,3
24,1,9:15.0,J. Murray makes 2-pt jump shot from 18 ft,,12,3
25,1,9:03.0,,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),12,5
26,1,8:51.0,M. Beasley misses 2-pt jump shot from 10 ft,,12,5
27,1,8:50.0,Offensive rebound by M. Plumlee,,12,5
28,1,8:47.0,M. Plumlee makes 2-pt layup from 2 ft,,14,5
29,1,8:34.0,,D. Russell misses 2-pt jump shot from 8 ft,14,5
30,1,8:32.0,Defensive rebound by N. Jokić,,14,5
31,1,8:26.0,J. Murray misses 2-pt layup from 3 ft,,14,5
32,1,8:26.0,Offensive rebound by M. Plumlee,,14,5
33,1,8:26.0,M. Plumlee makes 2-pt dunk at rim,,16,5
34,1,8:26.0,,Brooklyn full timeout,16,5
35,1,8:15.0,,Personal foul by M. Beasley (drawn by J. Harris),16,5
36,1,8:09.0,,Offensive foul by R. Kurucs (drawn by J. Murray),16,5
37,1,8:09.0,,Turnover by R. Kurucs (offensive foul),16,5
38,1,7:55.0,W. Barton misses 3-pt jump shot from 25 ft,,16,5
39,1,7:51.0,,Defensive rebound by T. Graham,16,5
40,1,7:31.0,,T. Graham makes 3-pt jump shot from 23 ft (assist by D. Russell),16,8
41,1,7:06.0,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),,18,8
42,1,6:55.0,,J. Allen makes 2-pt hook shot from 3 ft (assist by D. Russell),18,10
43,1,6:43.0,Personal foul by T. Graham (drawn by N. Jokić),,18,10
44,1,6:33.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by N. Jokić),,21,10
45,1,6:21.0,,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),21,12
46,1,6:11.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by W. Barton),,23,12
47,1,5:59.0,,D. Russell misses 2-pt jump shot from 12 ft,23,12
48,1,5:54.0,Defensive rebound by N. Jokić,,23,12
49,1,5:46.0,J. Murray misses 2-pt layup from 2 ft,,23,12
50,1,5:45.0,Offensive rebound by J. Murray,,23,12
51,1,5:45.0,J. Murray misses 2-pt layup at rim,,23,12
52,1,5:45.0,Offensive rebound by Team,,23,12
53,1,5:45.0,M. Morris enters the game for J. Murray,,23,12
54,1,5:45.0,,D. Carroll enters the game for T. Graham,23,12
55,1,5:45.0,,R. Hollis-Jefferson enters the game for R. Kurucs,23,12
56,1,5:39.0,M. Plumlee makes 2-pt hook shot from 7 ft,,25,12
57,1,5:30.0,,J. Harris misses 3-pt jump shot from 27 ft,25,12
58,1,5:30.0,Defensive rebound by M. Plumlee,,25,12
59,1,5:11.0,Turnover by M. Plumlee (bad pass),,25,12
60,1,5:11.0,Loose ball foul by M. Plumlee (drawn by R. Hollis-Jefferson),,25,12
61,1,5:11.0,T. Lyles enters the game for M. Plumlee,,25,12
62,1,5:02.0,,Shooting foul by M. Morris (drawn by R. Hollis-Jefferson),25,12
63,1,5:02.0,,R. Hollis-Jefferson misses free throw 1 of 2,25,12
64,1,5:02.0,,Offensive rebound by Team,25,12
65,1,5:02.0,,E. Davis enters the game for J. Allen,25,12
66,1,5:02.0,,S. Napier enters the game for D. Russell,25,12
67,1,5:02.0,,R. Hollis-Jefferson makes free throw 2 of 2,25,13
68,1,4:46.0,T. Lyles makes 2-pt jump shot from 13 ft (assist by W. Barton),,27,13
69,1,4:26.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Napier),27,16
70,1,4:13.0,T. Lyles makes 2-pt layup from 2 ft (assist by N. Jokić),,29,16
71,1,3:54.0,,S. Napier misses 2-pt jump shot from 7 ft,29,16
72,1,3:52.0,Defensive rebound by M. Beasley,,29,16
73,1,3:40.0,W. Barton misses 3-pt jump shot from 26 ft,,29,16
74,1,3:36.0,,Defensive rebound by E. Davis,29,16
