,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,B. Lopez misses 3-pt jump shot from 27 ft,0,0
1,1,11:37.0,Defensive rebound by S. Dinwiddie,,0,0
2,1,11:25.0,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,3,0
3,1,11:16.0,,B. Lopez makes 2-pt jump shot from 7 ft,3,2
4,1,11:16.0,,Shooting foul by S. Dinwiddie (drawn by B. Lopez),3,2
5,1,11:16.0,,B. Lopez makes free throw 1 of 1,3,3
6,1,11:03.0,J. Allen makes 2-pt hook shot from 2 ft (assist by S. Dinwiddie),,5,3
7,1,10:54.0,,B. Lopez misses 3-pt jump shot from 26 ft,5,3
8,1,10:51.0,Defensive rebound by J. Harris,,5,3
9,1,10:37.0,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,8,3
10,1,10:17.0,,B. Lopez misses 2-pt hook shot from 10 ft,8,3
11,1,10:14.0,Defensive rebound by R. Hollis-Jefferson,,8,3
12,1,10:08.0,Brooklyn full timeout,,8,3
13,1,10:03.0,Shooting foul by K. Middleton (drawn by R. Kurucs),,8,3
14,1,10:03.0,R. Kurucs makes free throw 1 of 2,,9,3
15,1,10:03.0,R. Kurucs makes free throw 2 of 2,,10,3
16,1,9:45.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),10,6
17,1,9:28.0,R. Kurucs misses 3-pt jump shot from 26 ft,,10,6
18,1,9:25.0,,Defensive rebound by M. Brogdon,10,6
19,1,9:19.0,,G. Antetokounmpo misses 2-pt dunk from 4 ft (block by J. Allen),10,6
20,1,9:15.0,Defensive rebound by S. Dinwiddie,,10,6
21,1,9:10.0,S. Dinwiddie makes 3-pt jump shot from 28 ft,,13,6
22,1,9:01.0,,Personal foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),13,6
23,1,9:01.0,J. Dudley enters the game for R. Hollis-Jefferson,,13,6
24,1,8:51.0,,Turnover by M. Brogdon (out of bounds lost ball),13,6
25,1,8:37.0,Turnover by R. Kurucs (traveling),,13,6
26,1,8:26.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),13,9
27,1,8:14.0,Turnover by R. Kurucs (traveling),,13,9
28,1,8:10.0,,Turnover by E. Bledsoe (bad pass),13,9
29,1,8:00.0,J. Harris misses 2-pt layup from 2 ft,,13,9
30,1,8:00.0,,Defensive rebound by G. Antetokounmpo,13,9
31,1,7:54.0,,G. Antetokounmpo makes 2-pt dunk at rim,13,11
32,1,7:40.0,Turnover by J. Dudley (bad pass; steal by G. Antetokounmpo),,13,11
33,1,7:35.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,13,13
34,1,7:35.0,Brooklyn full timeout,,13,13
35,1,7:35.0,,S. Brown enters the game for M. Brogdon,13,13
36,1,7:19.0,Personal foul by E. Bledsoe (drawn by S. Dinwiddie),,13,13
37,1,7:10.0,J. Harris makes 2-pt layup from 2 ft (assist by R. Kurucs),,15,13
38,1,7:00.0,,K. Middleton misses 3-pt jump shot from 27 ft,15,13
39,1,6:57.0,Defensive rebound by J. Allen,,15,13
40,1,6:47.0,Turnover by J. Dudley (bad pass; steal by E. Bledsoe),,15,13
41,1,6:44.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by J. Allen),15,13
42,1,6:44.0,,Offensive rebound by Team,15,13
43,1,6:35.0,,K. Middleton misses 2-pt jump shot from 7 ft,15,13
44,1,6:32.0,Defensive rebound by R. Kurucs,,15,13
45,1,6:28.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,15,13
46,1,6:26.0,,Defensive rebound by Team,15,13
47,1,6:12.0,,Personal foul by J. Allen (drawn by G. Antetokounmpo),15,13
48,1,6:04.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,15,13
49,1,6:00.0,Defensive rebound by J. Allen,,15,13
50,1,5:59.0,J. Dudley misses 3-pt jump shot from 28 ft,,15,13
51,1,5:57.0,,Defensive rebound by Team,15,13
52,1,5:57.0,,D. Wilson enters the game for G. Antetokounmpo,15,13
53,1,5:37.0,,S. Brown misses 3-pt jump shot from 26 ft,15,13
54,1,5:34.0,Defensive rebound by S. Dinwiddie,,15,13
55,1,5:28.0,Shooting foul by B. Lopez (drawn by J. Allen),,15,13
56,1,5:28.0,J. Allen misses free throw 1 of 2,,15,13
57,1,5:28.0,Offensive rebound by Team,,15,13
58,1,5:28.0,D. Carroll enters the game for R. Kurucs,,15,13
59,1,5:28.0,J. Allen makes free throw 2 of 2,,16,13
60,1,5:13.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by D. Wilson),16,16
61,1,4:50.0,Shooting foul by B. Lopez (drawn by S. Dinwiddie),,16,16
62,1,4:50.0,S. Dinwiddie misses free throw 1 of 2,,16,16
63,1,4:50.0,Offensive rebound by Team,,16,16
64,1,4:50.0,,G. Hill enters the game for E. Bledsoe,16,16
65,1,4:50.0,,T. Maker enters the game for B. Lopez,16,16
66,1,4:50.0,S. Dinwiddie makes free throw 2 of 2,,17,16
67,1,4:35.0,,K. Middleton makes 2-pt jump shot from 18 ft,17,18
68,1,4:15.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),,20,18
69,1,3:58.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by K. Middleton),20,21
70,1,3:39.0,S. Dinwiddie misses 3-pt jump shot from 31 ft,,20,21
71,1,3:33.0,,Defensive rebound by D. Wilson,20,21
72,1,3:18.0,,D. Wilson misses 2-pt hook shot from 2 ft,20,21
73,1,3:17.0,Defensive rebound by Team,,20,21
74,1,3:17.0,S. Napier enters the game for S. Dinwiddie,,20,21
75,1,3:17.0,T. Pinson enters the game for J. Harris,,20,21
76,1,3:05.0,Shooting foul by T. Maker (drawn by J. Allen),,20,21
77,1,3:05.0,J. Allen misses free throw 1 of 2,,20,21
78,1,3:05.0,Offensive rebound by Team,,20,21
79,1,3:05.0,,M. Brogdon enters the game for K. Middleton,20,21
80,1,3:05.0,J. Allen makes free throw 2 of 2,,21,21
