,QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
0,1,11:47.0,,D. Mitchell misses 2-pt jump shot from 6 ft (block by D. Ayton),0,0
1,1,11:44.0,Defensive rebound by D. Ayton,,0,0
2,1,11:35.0,D. Booker makes 3-pt jump shot from 23 ft,,3,0
3,1,11:13.0,,J. Ingles misses 3-pt jump shot from 27 ft,3,0
4,1,11:09.0,Defensive rebound by D. Melton,,3,0
5,1,10:54.0,D. Booker misses 2-pt jump shot from 9 ft,,3,0
6,1,10:50.0,,Defensive rebound by J. Ingles,3,0
7,1,10:43.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),3,2
8,1,10:30.0,,Violation by Team (kicked ball),3,2
9,1,10:24.0,D. Ayton misses 2-pt jump shot from 17 ft,,3,2
10,1,10:21.0,,Defensive rebound by D. Favors,3,2
11,1,10:14.0,,Shooting foul by D. Bender (drawn by R. Gobert),3,2
12,1,10:14.0,,R. Gobert makes free throw 1 of 2,3,3
13,1,10:14.0,,R. Gobert makes free throw 2 of 2,3,4
14,1,9:53.0,Turnover by D. Ayton (lost ball; steal by R. Rubio),,3,4
15,1,9:46.0,,D. Favors makes 2-pt hook shot from 5 ft (assist by R. Rubio),3,6
16,1,9:24.0,D. Booker makes 3-pt jump shot from 24 ft,,6,6
17,1,9:06.0,,Turnover by J. Ingles (bad pass; steal by D. Ayton),6,6
18,1,8:56.0,D. Booker makes 3-pt jump shot from 25 ft,,9,6
19,1,8:41.0,,Personal foul by D. Booker (drawn by D. Mitchell),9,6
20,1,8:34.0,,Turnover by J. Ingles (bad pass; steal by D. Ayton),9,6
21,1,8:29.0,D. Booker misses 3-pt jump shot from 25 ft,,9,6
22,1,8:26.0,,Defensive rebound by R. Gobert,9,6
23,1,8:14.0,,D. Favors makes 2-pt jump shot from 5 ft (assist by R. Rubio),9,8
24,1,7:54.0,D. Bender misses 2-pt jump shot from 19 ft,,9,8
25,1,7:51.0,,Defensive rebound by R. Rubio,9,8
26,1,7:42.0,,Turnover by D. Mitchell (lost ball; steal by M. Bridges),9,8
27,1,7:25.0,D. Ayton makes 2-pt jump shot from 5 ft,,11,8
28,1,7:23.0,,Utah full timeout,11,8
29,1,7:23.0,,J. Crowder enters the game for D. Favors,11,8
30,1,7:23.0,,R. O'Neale enters the game for J. Ingles,11,8
31,1,7:06.0,,J. Crowder misses 3-pt jump shot from 24 ft,11,8
32,1,7:04.0,Defensive rebound by D. Booker,,11,8
33,1,6:50.0,D. Ayton misses 2-pt jump shot from 16 ft,,11,8
34,1,6:47.0,,Defensive rebound by R. O'Neale,11,8
35,1,6:39.0,,D. Mitchell makes 2-pt layup from 4 ft,11,10
36,1,6:29.0,Shooting foul by R. Rubio (drawn by D. Bender),,11,10
37,1,6:29.0,D. Bender misses free throw 1 of 2,,11,10
38,1,6:29.0,Offensive rebound by Team,,11,10
39,1,6:29.0,D. Bender makes free throw 2 of 2,,12,10
40,1,6:17.0,,J. Crowder misses 2-pt layup from 3 ft,12,10
41,1,6:16.0,Defensive rebound by D. Ayton,,12,10
42,1,6:09.0,D. Booker makes 2-pt layup from 6 ft,,14,10
43,1,5:54.0,,Shooting foul by D. Melton (drawn by R. Rubio),14,10
44,1,5:54.0,,R. Rubio makes free throw 1 of 2,14,11
45,1,5:54.0,,R. Rubio makes free throw 2 of 2,14,12
46,1,5:38.0,Turnover by M. Bridges (palming),,14,12
47,1,5:27.0,,R. Rubio misses 2-pt jump shot from 16 ft,14,12
48,1,5:25.0,Defensive rebound by D. Ayton,,14,12
49,1,5:18.0,Turnover by D. Melton (bad pass; steal by J. Crowder),,14,12
50,1,5:13.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Crowder),14,14
51,1,5:12.0,Phoenix full timeout,,14,14
52,1,5:12.0,T. Daniels enters the game for D. Ayton,,14,14
53,1,5:12.0,R. Holmes enters the game for M. Bridges,,14,14
54,1,5:12.0,,K. Korver enters the game for R. Rubio,14,14
55,1,4:51.0,D. Booker misses 2-pt jump shot from 10 ft,,14,14
56,1,4:49.0,Offensive rebound by R. Holmes,,14,14
57,1,4:49.0,Turnover by R. Holmes (out of bounds lost ball),,14,14
58,1,4:41.0,,J. Crowder makes 2-pt layup from 3 ft,14,16
59,1,4:18.0,Turnover by T. Daniels (bad pass; steal by J. Crowder),,14,16
