,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:55.0,B. Hield misses 2-pt layup from 3 ft,,0,0
1,1,11:53.0,Offensive rebound by B. Hield,,0,0
2,1,11:52.0,D. Fox misses 3-pt jump shot from 26 ft,,0,0
3,1,11:48.0,,Defensive rebound by K. Towns,0,0
4,1,11:27.0,,K. Towns makes 2-pt jump shot from 11 ft (assist by A. Wiggins),0,2
5,1,11:05.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by H. Barnes),,2,2
6,1,10:47.0,,Personal foul by W. Cauley-Stein (drawn by K. Towns),2,2
7,1,10:32.0,,Turnover by T. Jones (bad pass; steal by H. Barnes),2,2
8,1,10:27.0,M. Bagley misses 2-pt layup from 2 ft,,2,2
9,1,10:25.0,,Defensive rebound by A. Wiggins,2,2
10,1,10:19.0,,A. Wiggins makes 2-pt layup from 1 ft,2,4
11,1,10:15.0,Shooting foul by D. Šarić (drawn by H. Barnes),,2,4
12,1,10:15.0,H. Barnes misses free throw 1 of 2,,2,4
13,1,10:15.0,Offensive rebound by Team,,2,4
14,1,10:15.0,H. Barnes misses free throw 2 of 2,,2,4
15,1,10:13.0,,Defensive rebound by K. Towns,2,4
16,1,10:06.0,,K. Towns misses 2-pt jump shot from 10 ft,2,4
17,1,10:03.0,Defensive rebound by D. Fox,,2,4
18,1,9:59.0,B. Hield misses 2-pt jump shot from 5 ft,,2,4
19,1,9:57.0,,Defensive rebound by Team,2,4
20,1,9:44.0,,K. Towns misses 2-pt jump shot from 21 ft,2,4
21,1,9:41.0,Defensive rebound by M. Bagley,,2,4
22,1,9:32.0,M. Bagley misses 2-pt layup from 1 ft,,2,4
23,1,9:30.0,,Defensive rebound by K. Towns,2,4
24,1,9:28.0,,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins),2,4
25,1,9:28.0,,A. Wiggins misses free throw 1 of 2,2,4
26,1,9:28.0,,Offensive rebound by Team,2,4
27,1,9:28.0,H. Giles enters the game for W. Cauley-Stein,,2,4
28,1,9:28.0,,A. Wiggins makes free throw 2 of 2,2,5
