,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,T. Bryant makes 2-pt jump shot from 6 ft (assist by B. Beal),0,2
1,1,11:28.0,Shooting foul by J. Green (drawn by K. Love),,0,2
2,1,11:28.0,K. Love makes free throw 1 of 2,,1,2
3,1,11:28.0,K. Love makes free throw 2 of 2,,2,2
4,1,11:08.0,,T. Satoranský misses 2-pt jump shot from 13 ft,2,2
5,1,11:05.0,Defensive rebound by K. Love,,2,2
6,1,10:52.0,C. Sexton misses 3-pt jump shot from 25 ft,,2,2
7,1,10:45.0,Offensive rebound by L. Nance,,2,2
8,1,10:45.0,L. Nance misses 2-pt dunk at rim,,2,2
9,1,10:44.0,,Defensive rebound by B. Beal,2,2
10,1,10:40.0,,Turnover by B. Beal (bad pass),2,2
11,1,10:30.0,K. Love misses 3-pt jump shot from 26 ft,,2,2
12,1,10:26.0,Offensive rebound by D. Nwaba,,2,2
13,1,10:26.0,D. Nwaba makes 2-pt layup at rim,,4,2
14,1,10:15.0,,T. Bryant makes 2-pt hook shot from 9 ft (assist by B. Beal),4,4
15,1,10:05.0,C. Sexton makes 3-pt jump shot from 25 ft,,7,4
16,1,9:49.0,,T. Bryant misses 2-pt jump shot from 17 ft,7,4
17,1,9:46.0,Defensive rebound by D. Adel,,7,4
18,1,9:39.0,D. Adel misses 2-pt jump shot from 4 ft,,7,4
19,1,9:39.0,Offensive rebound by Team,,7,4
20,1,9:32.0,K. Love misses 3-pt jump shot from 26 ft,,7,4
21,1,9:30.0,,Defensive rebound by Team,7,4
22,1,9:30.0,Loose ball foul by L. Nance (drawn by J. Green),,7,4
23,1,9:21.0,,T. Satoranský makes 2-pt layup from 2 ft,7,6
24,1,9:04.0,K. Love makes 2-pt layup from 2 ft,,9,6
25,1,8:50.0,,Shooting foul by K. Love (drawn by B. Beal),9,6
26,1,8:50.0,,B. Beal makes free throw 1 of 2,9,7
27,1,8:50.0,,B. Beal makes free throw 2 of 2,9,8
28,1,8:50.0,K. Love misses 3-pt jump shot from 23 ft,,9,8
29,1,8:33.0,,Defensive rebound by T. Bryant,9,8
30,1,8:31.0,,J. Green makes 2-pt jump shot from 8 ft (assist by B. Beal),9,10
31,1,8:31.0,,Shooting foul by D. Nwaba (drawn by J. Green),9,10
32,1,8:31.0,,J. Green makes free throw 1 of 1,9,11
33,1,8:24.0,Shooting foul by T. Satoranský (drawn by C. Sexton),,9,11
34,1,8:24.0,C. Sexton makes free throw 1 of 2,,10,11
35,1,8:24.0,C. Sexton makes free throw 2 of 2,,11,11
36,1,8:12.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by J. Green),11,14
37,1,7:56.0,D. Nwaba makes 3-pt jump shot from 26 ft (assist by K. Love),,14,14
38,1,7:39.0,,T. Ariza misses 3-pt jump shot from 26 ft,14,14
39,1,7:35.0,Defensive rebound by L. Nance,,14,14
40,1,7:28.0,D. Nwaba misses 3-pt jump shot from 23 ft,,14,14
41,1,7:24.0,Offensive rebound by D. Nwaba,,14,14
42,1,7:23.0,Turnover by D. Nwaba (lost ball; steal by T. Ariza),,14,14
43,1,7:17.0,,Turnover by B. Beal (out of bounds lost ball),14,14
44,1,7:04.0,Turnover by C. Sexton (lost ball; steal by B. Beal),,14,14
45,1,6:58.0,,T. Ariza misses 2-pt layup from 3 ft,14,14
46,1,6:57.0,,Offensive rebound by T. Bryant,14,14
47,1,6:55.0,,T. Bryant makes 2-pt layup from 2 ft,14,16
48,1,6:32.0,D. Nwaba makes 2-pt jump shot from 8 ft (assist by L. Nance),,16,16
49,1,6:16.0,,Shooting foul by L. Nance (drawn by B. Beal),16,16
50,1,6:16.0,,Washington full timeout,16,16
51,1,6:16.0,,C. Randle enters the game for T. Satoranský,16,16
52,1,6:16.0,,B. Beal makes free throw 1 of 2,16,17
53,1,6:16.0,,B. Beal makes free throw 2 of 2,16,18
