,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:42.0,K. Love makes 2-pt hook shot from 4 ft (assist by C. Osman),,2,0
1,1,11:23.0,,A. Gordon misses 2-pt layup from 6 ft (block by K. Love),2,0
2,1,11:19.0,Defensive rebound by A. Žižić,,2,0
3,1,11:14.0,C. Sexton misses 3-pt jump shot from 27 ft,,2,0
4,1,11:12.0,,Defensive rebound by N. Vučević,2,0
5,1,11:04.0,,N. Vučević misses 2-pt hook shot from 7 ft,2,0
6,1,11:01.0,Defensive rebound by K. Love,,2,0
7,1,10:54.0,B. Knight makes 3-pt jump shot from 27 ft,,5,0
8,1,10:35.0,,J. Isaac makes 2-pt layup from 5 ft (assist by D. Augustin),5,2
9,1,10:35.0,,Shooting foul by C. Sexton (drawn by J. Isaac),5,2
10,1,10:35.0,,J. Isaac makes free throw 1 of 1,5,3
11,1,10:18.0,C. Osman misses 3-pt jump shot from 27 ft,,5,3
12,1,10:14.0,,Defensive rebound by D. Augustin,5,3
13,1,10:04.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by J. Isaac),5,5
14,1,9:44.0,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),,7,5
15,1,9:27.0,,N. Vučević makes 2-pt layup from 3 ft (assist by E. Fournier),7,7
16,1,9:27.0,,Shooting foul by A. Žižić (drawn by N. Vučević),7,7
17,1,9:27.0,,N. Vučević makes free throw 1 of 1,7,8
18,1,9:11.0,Turnover by C. Sexton (bad pass),,7,8
19,1,9:00.0,,E. Fournier misses 2-pt layup from 3 ft,7,8
20,1,8:54.0,,Offensive rebound by N. Vučević,7,8
21,1,8:54.0,,N. Vučević makes 2-pt dunk from 1 ft,7,10
22,1,8:42.0,C. Sexton misses 2-pt jump shot from 5 ft,,7,10
23,1,8:38.0,,Defensive rebound by N. Vučević,7,10
24,1,8:28.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),7,13
25,1,8:17.0,B. Knight makes 2-pt jump shot from 6 ft,,9,13
26,1,7:51.0,,J. Isaac misses 3-pt jump shot from 23 ft,9,13
27,1,7:46.0,Defensive rebound by C. Osman,,9,13
28,1,7:44.0,C. Sexton makes 2-pt layup from 2 ft (assist by C. Osman),,11,13
29,1,7:30.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by D. Augustin),11,16
30,1,7:12.0,K. Love misses 3-pt jump shot from 26 ft,,11,16
31,1,7:10.0,,Defensive rebound by E. Fournier,11,16
32,1,7:05.0,,E. Fournier misses 2-pt layup from 6 ft,11,16
33,1,7:03.0,Defensive rebound by C. Osman,,11,16
34,1,6:59.0,Turnover by K. Love (out of bounds lost ball),,11,16
35,1,6:59.0,,Orlando full timeout,11,16
36,1,6:43.0,,N. Vučević makes 2-pt jump shot from 6 ft (assist by D. Augustin),11,18
37,1,6:22.0,C. Osman misses 3-pt jump shot from 28 ft,,11,18
38,1,6:20.0,,Defensive rebound by N. Vučević,11,18
39,1,6:10.0,,J. Isaac misses 3-pt jump shot from 24 ft,11,18
40,1,6:08.0,Defensive rebound by A. Žižić,,11,18
41,1,5:54.0,B. Knight misses 2-pt jump shot from 5 ft,,11,18
42,1,5:51.0,,Defensive rebound by A. Gordon,11,18
43,1,5:45.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),11,21
44,1,5:33.0,A. Žižić misses 2-pt jump shot from 17 ft,,11,21
45,1,5:31.0,,Defensive rebound by A. Gordon,11,21
46,1,5:14.0,,J. Isaac misses 2-pt jump shot from 14 ft,11,21
47,1,5:11.0,Defensive rebound by K. Love,,11,21
48,1,5:05.0,C. Sexton makes 2-pt jump shot from 8 ft,,13,21
49,1,4:47.0,,N. Vučević makes 2-pt hook shot from 6 ft,13,23
50,1,4:47.0,Cleveland full timeout,,13,23
51,1,4:47.0,J. Clarkson enters the game for B. Knight,,13,23
52,1,4:47.0,D. Nwaba enters the game for K. Love,,13,23
53,1,4:47.0,,W. Iwundu enters the game for A. Gordon,13,23
54,1,4:33.0,C. Osman makes 2-pt layup from 3 ft,,15,23
55,1,4:17.0,,Turnover by E. Fournier (bad pass),15,23
56,1,4:17.0,M. Chriss enters the game for A. Žižić,,15,23
57,1,4:00.0,J. Clarkson misses 2-pt jump shot from 10 ft,,15,23
58,1,3:58.0,Offensive rebound by J. Clarkson,,15,23
59,1,3:55.0,M. Chriss misses 3-pt jump shot from 24 ft,,15,23
60,1,3:53.0,,Defensive rebound by W. Iwundu,15,23
61,1,3:41.0,,D. Augustin makes 2-pt jump shot from 21 ft,15,25
