,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,K. Williams misses 3-pt jump shot from 23 ft,0,0
1,1,11:39.0,Defensive rebound by A. McKinnie,,0,0
2,1,11:28.0,D. Cousins misses 2-pt jump shot from 17 ft,,0,0
3,1,11:24.0,,Defensive rebound by C. Wood,0,0
4,1,11:16.0,,C. Wood misses 3-pt jump shot from 26 ft,0,0
5,1,11:13.0,Defensive rebound by S. Curry,,0,0
6,1,11:07.0,D. Cousins misses 2-pt layup from 1 ft,,0,0
7,1,11:05.0,,Defensive rebound by C. Wood,0,0
8,1,10:56.0,,C. Wood misses 2-pt layup from 2 ft,0,0
9,1,10:54.0,Defensive rebound by D. Green,,0,0
10,1,10:42.0,A. McKinnie misses 2-pt jump shot from 22 ft,,0,0
11,1,10:39.0,,Defensive rebound by C. Wood,0,0
12,1,10:24.0,,I. Clark misses 3-pt jump shot from 27 ft,0,0
13,1,10:21.0,Defensive rebound by D. Cousins,,0,0
14,1,10:15.0,Turnover by D. Green (lost ball; steal by J. Okafor),,0,0
15,1,10:10.0,,C. Wood makes 2-pt dunk at rim (assist by J. Okafor),0,2
16,1,9:49.0,S. Curry misses 2-pt jump shot from 18 ft,,0,2
17,1,9:46.0,,Defensive rebound by K. Williams,0,2
18,1,9:32.0,,E. Payton misses 2-pt hook shot from 9 ft,0,2
19,1,9:30.0,Defensive rebound by D. Cousins,,0,2
20,1,9:29.0,J. Evans misses 3-pt jump shot from 24 ft,,0,2
21,1,9:27.0,,Defensive rebound by Team,0,2
22,1,9:12.0,,J. Okafor makes 2-pt jump shot from 17 ft (assist by E. Payton),0,4
23,1,9:01.0,D. Green misses 2-pt layup from 2 ft,,0,4
24,1,8:59.0,,Defensive rebound by J. Okafor,0,4
25,1,8:54.0,,K. Williams misses 3-pt jump shot from 23 ft,0,4
26,1,8:52.0,,Offensive rebound by K. Williams,0,4
27,1,8:50.0,,J. Okafor misses 2-pt jump shot from 12 ft,0,4
28,1,8:46.0,Defensive rebound by D. Cousins,,0,4
29,1,8:42.0,Turnover by S. Curry (bad pass; steal by K. Williams),,0,4
30,1,8:37.0,,I. Clark misses 3-pt jump shot from 25 ft,0,4
31,1,8:31.0,Defensive rebound by D. Cousins,,0,4
32,1,8:28.0,Turnover by D. Cousins (out of bounds lost ball),,0,4
33,1,8:09.0,,J. Okafor misses 2-pt hook shot from 6 ft,0,4
34,1,8:07.0,Defensive rebound by D. Green,,0,4
35,1,8:01.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),,3,4
36,1,7:45.0,,I. Clark misses 2-pt jump shot from 7 ft,3,4
37,1,7:45.0,Defensive rebound by D. Green,,3,4
38,1,7:45.0,Personal foul by I. Clark (drawn by D. Green),,3,4
39,1,7:35.0,J. Evans makes 2-pt jump shot from 13 ft,,5,4
40,1,7:18.0,,C. Wood misses 2-pt jump shot from 18 ft,5,4
41,1,7:15.0,Defensive rebound by A. McKinnie,,5,4
42,1,7:05.0,D. Green misses 2-pt jump shot from 8 ft,,5,4
43,1,7:03.0,,Defensive rebound by J. Okafor,5,4
44,1,6:50.0,,I. Clark misses 2-pt jump shot from 20 ft,5,4
45,1,6:46.0,Defensive rebound by J. Evans,,5,4
46,1,6:36.0,S. Curry misses 3-pt jump shot from 24 ft,,5,4
47,1,6:32.0,,Defensive rebound by E. Payton,5,4
48,1,6:24.0,,E. Payton makes 2-pt layup from 2 ft,5,6
49,1,6:05.0,D. Cousins misses 2-pt hook shot from 7 ft,,5,6
50,1,6:03.0,,Defensive rebound by J. Okafor,5,6
51,1,5:56.0,,I. Clark misses 3-pt jump shot from 26 ft,5,6
52,1,5:52.0,Defensive rebound by D. Cousins,,5,6
53,1,5:47.0,D. Cousins makes 2-pt dunk at rim,,7,6
54,1,5:47.0,Shooting foul by I. Clark (drawn by D. Cousins),,7,6
55,1,5:47.0,,New Orleans full timeout,7,6
56,1,5:47.0,D. Cousins misses free throw 1 of 1,,7,6
57,1,5:43.0,,Defensive rebound by C. Wood,7,6
58,1,5:31.0,,K. Williams misses 3-pt jump shot from 24 ft,7,6
59,1,5:28.0,,Offensive rebound by C. Wood,7,6
60,1,5:26.0,,Turnover by I. Clark (lost ball; steal by J. Evans),7,6
61,1,5:21.0,Turnover by J. Evans (lost ball; steal by I. Clark),,7,6
62,1,5:13.0,,K. Williams misses 2-pt jump shot from 6 ft,7,6
63,1,5:09.0,Defensive rebound by D. Green,,7,6
64,1,4:58.0,D. Cousins misses 3-pt jump shot from 25 ft,,7,6
65,1,4:55.0,,Defensive rebound by E. Payton,7,6
66,1,4:35.0,,J. Okafor makes 2-pt jump shot from 12 ft,7,8
67,1,4:19.0,Offensive foul by D. Cousins (drawn by K. Williams),,7,8
68,1,4:19.0,Turnover by D. Cousins (offensive foul),,7,8
69,1,4:19.0,D. Lee enters the game for D. Cousins,,7,8
70,1,4:19.0,K. Looney enters the game for J. Evans,,7,8
71,1,4:19.0,,C. Diallo enters the game for C. Wood,7,8
72,1,3:59.0,,I. Clark misses 2-pt jump shot from 9 ft,7,8
73,1,3:53.0,Defensive rebound by A. McKinnie,,7,8
74,1,3:47.0,A. McKinnie makes 2-pt layup from 2 ft (assist by S. Curry),,9,8
75,1,3:34.0,,J. Okafor makes 2-pt jump shot from 9 ft (assist by I. Clark),9,10
76,1,3:21.0,Turnover by S. Curry (lost ball; steal by J. Okafor),,9,10
77,1,3:21.0,,S. Hill enters the game for K. Williams,9,10
78,1,3:16.0,Golden State full timeout,,9,10
79,1,3:16.0,S. Livingston enters the game for A. McKinnie,,9,10
80,1,3:16.0,,D. Bertāns enters the game for E. Payton,9,10
81,1,3:04.0,,S. Hill misses 3-pt jump shot from 28 ft,9,10
82,1,2:59.0,Defensive rebound by D. Lee,,9,10
83,1,2:43.0,S. Curry makes 2-pt jump shot from 13 ft (assist by K. Looney),,11,10
84,1,2:43.0,Q. Cook enters the game for S. Curry,,11,10
85,1,2:43.0,,C. Wood enters the game for J. Okafor,11,10
86,1,2:31.0,,I. Clark makes 2-pt jump shot from 12 ft (assist by S. Hill),11,12
87,1,2:31.0,,Shooting foul by Q. Cook (drawn by I. Clark),11,12
