,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:44.0,,T. Prince misses 2-pt jump shot from 21 ft,0,0
1,1,11:42.0,Defensive rebound by P. Siakam,,0,0
2,1,11:26.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Lowry),,2,0
3,1,11:07.0,,J. Collins makes 3-pt jump shot from 26 ft (assist by K. Huerter),2,3
4,1,10:43.0,F. VanVleet misses 3-pt jump shot from 25 ft,,2,3
5,1,10:42.0,,Defensive rebound by Team,2,3
6,1,10:32.0,,Offensive foul by T. Young (drawn by K. Lowry),2,3
7,1,10:32.0,,Turnover by T. Young (offensive foul),2,3
8,1,10:23.0,S. Ibaka misses 2-pt jump shot from 13 ft,,2,3
9,1,10:20.0,,Defensive rebound by K. Huerter,2,3
10,1,10:17.0,,Offensive foul by K. Huerter (drawn by P. Siakam),2,3
11,1,10:17.0,,Turnover by K. Huerter (offensive foul),2,3
12,1,10:04.0,F. VanVleet makes 2-pt jump shot from 19 ft (assist by S. Ibaka),,4,3
13,1,9:37.0,,K. Huerter misses 3-pt jump shot from 25 ft,4,3
14,1,9:35.0,Defensive rebound by D. Green,,4,3
15,1,9:23.0,P. Siakam misses 2-pt layup from 1 ft,,4,3
16,1,9:20.0,,Defensive rebound by J. Collins,4,3
17,1,9:15.0,,T. Young makes 2-pt layup from 2 ft,4,5
18,1,9:00.0,F. VanVleet misses 2-pt jump shot from 21 ft,,4,5
19,1,8:56.0,Offensive rebound by P. Siakam,,4,5
20,1,8:54.0,P. Siakam makes 2-pt layup from 2 ft,,6,5
21,1,8:39.0,,Turnover by T. Young (back court),6,5
22,1,8:31.0,F. VanVleet makes 3-pt jump shot from 26 ft (assist by K. Lowry),,9,5
23,1,8:08.0,,J. Collins makes 2-pt jump shot from 14 ft,9,7
24,1,8:00.0,Shooting foul by T. Young (drawn by S. Ibaka),,9,7
25,1,8:00.0,S. Ibaka makes free throw 1 of 2,,10,7
26,1,8:00.0,S. Ibaka makes free throw 2 of 2,,11,7
27,1,7:49.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),11,10
28,1,7:36.0,K. Lowry misses 3-pt jump shot from 26 ft,,11,10
29,1,7:33.0,,Defensive rebound by T. Young,11,10
30,1,7:23.0,,T. Young makes 2-pt jump shot from 15 ft (assist by K. Huerter),11,12
31,1,7:23.0,,Shooting foul by F. VanVleet (drawn by T. Young),11,12
32,1,7:23.0,,T. Young misses free throw 1 of 1,11,12
33,1,7:21.0,Defensive rebound by S. Ibaka,,11,12
34,1,7:09.0,K. Lowry misses 3-pt jump shot from 26 ft,,11,12
35,1,7:06.0,,Defensive rebound by J. Collins,11,12
36,1,6:49.0,,K. Huerter makes 2-pt jump shot from 12 ft,11,14
37,1,6:28.0,F. VanVleet makes 2-pt layup from 1 ft,,13,14
38,1,6:16.0,,T. Young misses 2-pt layup from 12 ft,13,14
39,1,6:11.0,,Offensive rebound by D. Dedmon,13,14
40,1,6:11.0,,D. Dedmon misses 2-pt layup from 1 ft,13,14
41,1,6:10.0,Defensive rebound by S. Ibaka,,13,14
42,1,6:06.0,P. Siakam misses 3-pt jump shot from 22 ft,,13,14
43,1,6:00.0,,Defensive rebound by T. Prince,13,14
44,1,5:56.0,,Atlanta full timeout,13,14
