,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:39.0,,K. Love misses 3-pt jump shot from 27 ft,0,0
1,1,11:37.0,Defensive rebound by Team,,0,0
2,1,11:20.0,J. Isaac misses 2-pt layup from 2 ft,,0,0
3,1,11:17.0,,Defensive rebound by L. Nance,0,0
4,1,11:08.0,,Turnover by C. Sexton (bad pass; steal by N. Vučević),0,0
5,1,10:59.0,D. Augustin misses 2-pt jump shot from 10 ft,,0,0
6,1,10:59.0,,Defensive rebound by Team,0,0
7,1,10:44.0,,C. Osman makes 2-pt jump shot from 13 ft (assist by L. Nance),0,2
8,1,10:26.0,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),,2,2
9,1,10:12.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by B. Knight),2,5
10,1,10:00.0,A. Gordon misses 3-pt jump shot from 26 ft,,2,5
11,1,9:57.0,,Defensive rebound by C. Sexton,2,5
12,1,9:52.0,,B. Knight misses 3-pt jump shot from 27 ft,2,5
13,1,9:52.0,Defensive rebound by N. Vučević,,2,5
14,1,9:46.0,Personal foul by C. Sexton (drawn by J. Isaac),,2,5
15,1,9:38.0,N. Vučević makes 2-pt jump shot from 22 ft (assist by E. Fournier),,4,5
16,1,9:28.0,,Personal foul by J. Isaac (drawn by K. Love),4,5
17,1,9:15.0,,K. Love makes 3-pt jump shot from 26 ft,4,8
18,1,9:00.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),,7,8
19,1,8:43.0,,L. Nance makes 2-pt dunk from 2 ft (assist by C. Osman),7,10
20,1,8:30.0,Shooting foul by C. Sexton (drawn by D. Augustin),,7,10
21,1,8:30.0,D. Augustin makes free throw 1 of 2,,8,10
22,1,8:30.0,D. Augustin makes free throw 2 of 2,,9,10
23,1,8:15.0,,C. Osman makes 2-pt jump shot from 14 ft,9,12
24,1,8:00.0,Turnover by D. Augustin (bad pass; steal by C. Sexton),,9,12
25,1,7:53.0,,L. Nance misses 3-pt jump shot from 26 ft,9,12
26,1,7:49.0,Defensive rebound by D. Augustin,,9,12
27,1,7:35.0,N. Vučević makes 2-pt hook shot from 7 ft,,11,12
28,1,7:19.0,,K. Love misses 2-pt jump shot from 6 ft,11,12
