,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by K. Middleton),0,2
1,1,11:20.0,R. Jackson misses 2-pt jump shot from 10 ft,,0,2
2,1,11:17.0,,Defensive rebound by G. Antetokounmpo,0,2
3,1,11:16.0,,Shooting foul by T. Maker (drawn by G. Antetokounmpo),0,2
4,1,11:16.0,,G. Antetokounmpo misses free throw 1 of 2,0,2
5,1,11:16.0,,Offensive rebound by Team,0,2
6,1,11:16.0,,G. Antetokounmpo misses free throw 2 of 2,0,2
7,1,11:12.0,,Offensive rebound by E. Bledsoe,0,2
8,1,11:08.0,,B. Lopez misses 3-pt jump shot from 23 ft,0,2
9,1,11:05.0,Defensive rebound by R. Jackson,,0,2
10,1,10:59.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,2,2
11,1,10:46.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,2,4
12,1,10:46.0,,Shooting foul by T. Maker (drawn by G. Antetokounmpo),2,4
13,1,10:46.0,,G. Antetokounmpo makes free throw 1 of 1,2,5
14,1,10:38.0,Turnover by W. Ellington (traveling),,2,5
15,1,10:23.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),2,8
16,1,10:09.0,W. Ellington misses 2-pt jump shot from 12 ft (block by S. Brown),,2,8
17,1,10:07.0,Offensive rebound by Team,,2,8
18,1,10:01.0,R. Jackson misses 3-pt jump shot from 25 ft,,2,8
19,1,9:59.0,,Defensive rebound by G. Antetokounmpo,2,8
20,1,9:55.0,,G. Antetokounmpo makes 2-pt layup from 4 ft,2,10
21,1,9:55.0,,Shooting foul by B. Brown (drawn by G. Antetokounmpo),2,10
22,1,9:55.0,,G. Antetokounmpo makes free throw 1 of 1,2,11
23,1,9:39.0,T. Maker misses 3-pt jump shot from 26 ft,,2,11
24,1,9:38.0,Offensive rebound by Team,,2,11
25,1,9:34.0,A. Drummond makes 2-pt hook shot from 10 ft (assist by R. Jackson),,4,11
26,1,9:25.0,,K. Middleton makes 2-pt jump shot from 17 ft,4,13
27,1,9:10.0,Turnover by B. Brown (lost ball; steal by S. Brown),,4,13
28,1,9:00.0,,B. Lopez misses 3-pt jump shot from 30 ft,4,13
29,1,9:00.0,Defensive rebound by Team,,4,13
30,1,8:42.0,W. Ellington misses 2-pt jump shot from 12 ft,,4,13
31,1,8:39.0,,Defensive rebound by G. Antetokounmpo,4,13
32,1,8:34.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,4,13
33,1,8:32.0,,Offensive rebound by G. Antetokounmpo,4,13
34,1,8:31.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,4,15
35,1,8:25.0,Detroit full timeout,,4,15
36,1,8:15.0,R. Jackson misses 2-pt layup from 3 ft,,4,15
37,1,8:15.0,Offensive rebound by A. Drummond,,4,15
38,1,8:15.0,Shooting foul by B. Lopez (drawn by A. Drummond),,4,15
39,1,8:15.0,A. Drummond misses free throw 1 of 2,,4,15
40,1,8:15.0,Offensive rebound by Team,,4,15
41,1,8:15.0,A. Drummond misses free throw 2 of 2,,4,15
42,1,8:11.0,,Defensive rebound by G. Antetokounmpo,4,15
43,1,8:01.0,,S. Brown makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),4,18
44,1,7:45.0,A. Drummond misses 2-pt layup from 1 ft (block by B. Lopez),,4,18
45,1,7:40.0,,Defensive rebound by B. Lopez,4,18
46,1,7:38.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),4,20
47,1,7:28.0,Personal foul by E. Bledsoe (drawn by R. Jackson),,4,20
48,1,7:28.0,,P. Connaughton enters the game for S. Brown,4,20
49,1,7:20.0,W. Ellington misses 2-pt jump shot from 16 ft,,4,20
50,1,7:16.0,,Defensive rebound by G. Antetokounmpo,4,20
51,1,7:10.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,4,20
52,1,7:07.0,Defensive rebound by A. Drummond,,4,20
53,1,7:02.0,W. Ellington makes 2-pt jump shot from 11 ft (assist by A. Drummond),,6,20
54,1,6:44.0,,P. Connaughton makes 2-pt layup from 2 ft (assist by K. Middleton),6,22
55,1,6:36.0,Shooting foul by E. Bledsoe (drawn by A. Drummond),,6,22
56,1,6:36.0,A. Drummond makes free throw 1 of 2,,7,22
57,1,6:36.0,L. Galloway enters the game for B. Brown,,7,22
58,1,6:36.0,G. Robinson enters the game for T. Maker,,7,22
59,1,6:36.0,,G. Hill enters the game for E. Bledsoe,7,22
60,1,6:36.0,A. Drummond makes free throw 2 of 2,,8,22
61,1,6:24.0,,P. Connaughton makes 2-pt layup from 2 ft (assist by K. Middleton),8,24
62,1,6:24.0,,Shooting foul by G. Robinson (drawn by P. Connaughton),8,24
63,1,6:24.0,,P. Connaughton makes free throw 1 of 1,8,25
64,1,6:09.0,L. Galloway misses 2-pt jump shot from 2 ft,,8,25
65,1,6:08.0,Offensive rebound by A. Drummond,,8,25
66,1,6:06.0,A. Drummond misses 2-pt layup from 2 ft,,8,25
67,1,6:06.0,,Defensive rebound by P. Connaughton,8,25
68,1,5:55.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,8,25
69,1,5:52.0,Defensive rebound by A. Drummond,,8,25
70,1,5:48.0,R. Jackson makes 2-pt layup at rim,,10,25
71,1,5:29.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,10,25
72,1,5:26.0,Defensive rebound by A. Drummond,,10,25
73,1,5:20.0,G. Robinson misses 2-pt layup from 3 ft,,10,25
74,1,5:18.0,,Defensive rebound by K. Middleton,10,25
75,1,5:13.0,,K. Middleton misses 3-pt jump shot from 27 ft,10,25
76,1,5:10.0,Defensive rebound by A. Drummond,,10,25
77,1,4:59.0,Offensive foul by A. Drummond (drawn by P. Connaughton),,10,25
78,1,4:59.0,Turnover by A. Drummond (offensive foul),,10,25
79,1,4:59.0,,E. İlyasova enters the game for G. Antetokounmpo,10,25
80,1,4:42.0,,K. Middleton misses 2-pt jump shot from 13 ft,10,25
81,1,4:41.0,Defensive rebound by A. Drummond,,10,25
82,1,4:41.0,Personal foul by E. İlyasova (drawn by A. Drummond),,10,25
83,1,4:24.0,R. Jackson makes 2-pt jump shot from 9 ft,,12,25
84,1,4:14.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. İlyasova),12,28
85,1,4:00.0,L. Galloway misses 2-pt jump shot from 11 ft,,12,28
86,1,3:57.0,,Defensive rebound by E. İlyasova,12,28
87,1,3:50.0,,G. Hill misses 3-pt jump shot from 27 ft,12,28
88,1,3:45.0,Defensive rebound by W. Ellington,,12,28
89,1,3:32.0,R. Jackson misses 2-pt jump shot from 17 ft,,12,28
90,1,3:29.0,,Defensive rebound by E. İlyasova,12,28
91,1,3:27.0,,Milwaukee full timeout,12,28
92,1,3:27.0,L. Kennard enters the game for W. Ellington,,12,28
93,1,3:27.0,I. Smith enters the game for R. Jackson,,12,28
94,1,3:27.0,,S. Brown enters the game for K. Middleton,12,28
95,1,3:17.0,,Turnover by P. Connaughton (bad pass; steal by A. Drummond),12,28
96,1,3:12.0,A. Drummond misses 2-pt layup from 2 ft,,12,28
97,1,3:09.0,Offensive rebound by G. Robinson,,12,28
98,1,3:08.0,G. Robinson makes 2-pt dunk from 1 ft,,14,28
