,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHARLOTTE_ACTION,LA CLIPPERS_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,,M. Williams misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,Defensive rebound by P. Beverley,,0,0
2,1,11:30.0,Shooting foul by K. Walker (drawn by T. Harris),,0,0
3,1,11:30.0,T. Harris makes free throw 1 of 2,,1,0
4,1,11:30.0,T. Harris misses free throw 2 of 2,,1,0
5,1,11:27.0,,Defensive rebound by B. Biyombo,1,0
6,1,11:09.0,,J. Lamb misses 2-pt jump shot from 4 ft,1,0
7,1,11:07.0,Defensive rebound by M. Gortat,,1,0
8,1,11:02.0,P. Beverley makes 2-pt layup from 2 ft,,3,0
9,1,10:49.0,,K. Walker misses 2-pt layup from 2 ft,3,0
10,1,10:47.0,Defensive rebound by M. Gortat,,3,0
11,1,10:43.0,T. Harris misses 2-pt layup from 1 ft,,3,0
12,1,10:38.0,,Defensive rebound by J. Lamb,3,0
13,1,10:34.0,,N. Batum misses 2-pt layup from 2 ft,3,0
14,1,10:29.0,Defensive rebound by M. Gortat,,3,0
15,1,10:26.0,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,,3,0
16,1,10:21.0,,Defensive rebound by M. Williams,3,0
17,1,10:13.0,,J. Lamb makes 2-pt layup from 1 ft,3,2
18,1,9:54.0,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft (block by M. Williams),,3,2
19,1,9:50.0,,Defensive rebound by B. Biyombo,3,2
20,1,9:36.0,,J. Lamb misses 2-pt jump shot from 5 ft,3,2
21,1,9:33.0,Defensive rebound by M. Gortat,,3,2
22,1,9:28.0,A. Bradley misses 2-pt jump shot from 18 ft,,3,2
23,1,9:26.0,,Defensive rebound by N. Batum,3,2
24,1,9:17.0,,K. Walker misses 2-pt jump shot from 7 ft,3,2
25,1,9:15.0,Defensive rebound by M. Gortat,,3,2
26,1,9:01.0,T. Harris misses 2-pt layup from 3 ft,,3,2
27,1,8:58.0,Offensive rebound by T. Harris,,3,2
28,1,8:58.0,T. Harris makes 2-pt layup at rim,,5,2
29,1,8:46.0,,J. Lamb makes 2-pt jump shot from 7 ft (assist by K. Walker),5,4
30,1,8:35.0,P. Beverley makes 2-pt layup from 1 ft,,7,4
31,1,8:27.0,,K. Walker makes 2-pt layup from 2 ft,7,6
32,1,8:10.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,7,6
