,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
0,1,11:42.0,K. Bazemore makes 2-pt layup from 4 ft,,2,0
1,1,11:21.0,,C. Capela misses 2-pt layup from 7 ft (block by D. Dedmon),2,0
2,1,11:21.0,,Offensive rebound by Team,2,0
3,1,11:15.0,,J. Harden makes 2-pt jump shot from 2 ft,2,2
4,1,10:54.0,Turnover by K. Bazemore (bad pass; steal by P. Tucker),,2,2
5,1,10:47.0,,K. Faried makes 2-pt hook shot from 7 ft (assist by J. Harden),2,4
6,1,10:36.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),,5,4
7,1,10:19.0,,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),5,6
8,1,10:05.0,T. Young misses 2-pt jump shot from 10 ft,,5,6
9,1,10:04.0,,Defensive rebound by Team,5,6
10,1,9:57.0,,J. Harden makes 2-pt jump shot from 4 ft,5,8
11,1,9:40.0,K. Bazemore misses 2-pt layup from 3 ft,,5,8
12,1,9:39.0,,Defensive rebound by P. Tucker,5,8
13,1,9:35.0,,Turnover by J. Harden (bad pass; steal by D. Dedmon),5,8
14,1,9:33.0,Shooting foul by P. Tucker (drawn by K. Bazemore),,5,8
15,1,9:33.0,K. Bazemore makes free throw 1 of 2,,6,8
16,1,9:33.0,K. Bazemore makes free throw 2 of 2,,7,8
17,1,9:20.0,,K. Faried makes 3-pt jump shot from 23 ft (assist by J. Harden),7,11
18,1,9:03.0,T. Young makes 3-pt jump shot from 27 ft (assist by D. Dedmon),,10,11
19,1,8:52.0,,Personal foul by D. Dedmon (drawn by C. Capela),10,11
20,1,8:41.0,,J. Harden misses 3-pt jump shot from 26 ft,10,11
21,1,8:38.0,Defensive rebound by J. Collins,,10,11
22,1,8:32.0,T. Young misses 2-pt layup from 4 ft (block by K. Faried),,10,11
23,1,8:28.0,,Defensive rebound by J. Harden,10,11
24,1,8:25.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Paul),10,14
25,1,8:12.0,Offensive foul by K. Bazemore (drawn by P. Tucker),,10,14
26,1,8:12.0,Turnover by K. Bazemore (offensive foul),,10,14
27,1,8:12.0,,E. Gordon enters the game for C. Capela,10,14
28,1,7:59.0,,P. Tucker misses 3-pt jump shot from 24 ft,10,14
29,1,7:56.0,Defensive rebound by K. Huerter,,10,14
30,1,7:47.0,Turnover by K. Bazemore (bad pass; steal by P. Tucker),,10,14
31,1,7:34.0,,J. Harden misses 2-pt layup from 5 ft,10,14
32,1,7:31.0,,Offensive rebound by K. Faried,10,14
33,1,7:26.0,,C. Paul makes 2-pt jump shot from 15 ft,10,16
34,1,7:05.0,Turnover by J. Collins (out of bounds lost ball),,10,16
35,1,6:57.0,,Shooting foul by T. Young (drawn by J. Harden),10,16
36,1,6:57.0,,Houston full timeout,10,16
37,1,6:57.0,Technical foul by K. Bazemore,,10,16
38,1,6:57.0,D. Bembry enters the game for K. Bazemore,,10,16
39,1,6:57.0,V. Carter enters the game for K. Huerter,,10,16
40,1,6:57.0,,A. Rivers enters the game for C. Paul,10,16
41,1,6:57.0,,J. Harden makes technical free throw,10,17
42,1,6:57.0,,J. Harden makes free throw 1 of 2,10,18
43,1,6:57.0,,J. Harden makes free throw 2 of 2,10,19
44,1,6:35.0,T. Young makes 3-pt jump shot from 31 ft (assist by D. Bembry),,13,19
45,1,6:15.0,,Shooting foul by D. Bembry (drawn by J. Harden),13,19
46,1,6:15.0,,J. Harden misses free throw 1 of 3,13,19
47,1,6:15.0,,Offensive rebound by Team,13,19
48,1,6:15.0,,J. Harden makes free throw 2 of 3,13,20
49,1,6:15.0,,J. Harden makes free throw 3 of 3,13,21
50,1,5:56.0,T. Young misses 2-pt layup from 7 ft,,13,21
51,1,5:56.0,,Defensive rebound by Team,13,21
52,1,5:38.0,,A. Rivers misses 3-pt jump shot from 26 ft,13,21
53,1,5:35.0,Defensive rebound by D. Bembry,,13,21
54,1,5:27.0,D. Dedmon misses 3-pt jump shot from 28 ft,,13,21
55,1,5:25.0,,Defensive rebound by E. Gordon,13,21
56,1,5:13.0,,Turnover by J. Harden (out of bounds lost ball),13,21
57,1,5:13.0,J. Adams enters the game for J. Collins,,13,21
58,1,5:13.0,O. Spellman enters the game for T. Young,,13,21
59,1,4:51.0,Turnover by V. Carter (bad pass; steal by P. Tucker),,13,21
60,1,4:45.0,,E. Gordon misses 3-pt jump shot from 28 ft,13,21
61,1,4:41.0,Defensive rebound by J. Adams,,13,21
62,1,4:29.0,V. Carter misses 2-pt jump shot from 9 ft,,13,21
63,1,4:28.0,Offensive rebound by O. Spellman,,13,21
64,1,4:28.0,O. Spellman misses 2-pt layup from 3 ft,,13,21
65,1,4:27.0,Offensive rebound by O. Spellman,,13,21
66,1,4:23.0,J. Adams makes 3-pt jump shot from 29 ft (assist by O. Spellman),,16,21
67,1,4:14.0,,Turnover by J. Harden (bad pass),16,21
68,1,4:14.0,,C. Capela enters the game for K. Faried,16,21
