,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,J. Holiday misses 2-pt layup from 2 ft,0,0
1,1,11:42.0,Defensive rebound by J. Okogie,,0,0
2,1,11:30.0,K. Towns makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,3,0
3,1,11:10.0,,A. Davis makes 2-pt dunk from 1 ft (assist by K. Williams),3,2
4,1,10:47.0,Personal foul by D. Miller (drawn by T. Gibson),,3,2
5,1,10:33.0,A. Wiggins makes 2-pt layup from 2 ft (assist by I. Canaan),,5,2
6,1,10:24.0,,D. Miller misses 3-pt jump shot from 26 ft,5,2
7,1,10:22.0,Defensive rebound by T. Gibson,,5,2
8,1,10:14.0,K. Towns makes 2-pt dunk from 1 ft (assist by I. Canaan),,7,2
9,1,10:07.0,,Turnover by J. Holiday (bad pass),7,2
10,1,9:59.0,A. Wiggins misses 3-pt jump shot from 26 ft,,7,2
11,1,9:56.0,,Defensive rebound by F. Jackson,7,2
12,1,9:41.0,,A. Davis makes 2-pt jump shot from 15 ft,7,4
13,1,9:20.0,K. Towns misses 2-pt jump shot from 9 ft,,7,4
14,1,9:19.0,,Defensive rebound by K. Williams,7,4
15,1,9:19.0,,Turnover by K. Williams (step out of bounds),7,4
16,1,9:06.0,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),,9,4
17,1,9:06.0,Shooting foul by A. Davis (drawn by T. Gibson),,9,4
18,1,9:06.0,T. Gibson makes free throw 1 of 1,,10,4
19,1,8:57.0,,A. Davis misses 2-pt jump shot from 19 ft,10,4
20,1,8:53.0,Defensive rebound by T. Gibson,,10,4
21,1,8:47.0,T. Gibson makes 2-pt jump shot from 19 ft (assist by A. Wiggins),,12,4
22,1,8:36.0,,J. Holiday misses 3-pt jump shot from 26 ft,12,4
23,1,8:33.0,Defensive rebound by A. Wiggins,,12,4
24,1,8:24.0,A. Wiggins makes 2-pt layup from 3 ft,,14,4
25,1,8:20.0,,New Orleans full timeout,14,4
26,1,8:12.0,,D. Miller misses 2-pt layup from 2 ft (block by K. Towns),14,4
27,1,8:12.0,,Offensive rebound by Team,14,4
28,1,8:01.0,,J. Holiday misses 2-pt jump shot from 8 ft (block by J. Okogie),14,4
29,1,7:59.0,Defensive rebound by K. Towns,,14,4
30,1,7:51.0,A. Wiggins misses 2-pt jump shot from 8 ft (block by K. Williams),,14,4
31,1,7:47.0,,Defensive rebound by F. Jackson,14,4
32,1,7:38.0,,D. Miller misses 3-pt jump shot from 26 ft,14,4
33,1,7:31.0,Defensive rebound by K. Towns,,14,4
