,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
0,1,11:51.0,Offensive foul by A. Bogut (drawn by B. Forbes),,0,0
1,1,11:51.0,Turnover by A. Bogut (offensive foul),,0,0
2,1,11:37.0,,D. DeRozan misses 2-pt jump shot from 13 ft (block by K. Thompson),0,0
3,1,11:34.0,Defensive rebound by D. Green,,0,0
4,1,11:31.0,K. Thompson misses 2-pt jump shot from 20 ft,,0,0
5,1,11:28.0,,Defensive rebound by L. Aldridge,0,0
6,1,11:17.0,,D. DeRozan makes 2-pt jump shot from 14 ft,0,2
7,1,11:00.0,K. Durant misses 2-pt layup from 2 ft (block by B. Forbes),,0,2
8,1,11:00.0,Offensive rebound by Team,,0,2
9,1,10:58.0,K. Thompson misses 2-pt jump shot from 18 ft,,0,2
10,1,10:55.0,,Defensive rebound by L. Aldridge,0,2
11,1,10:48.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. White),0,5
12,1,10:39.0,A. Bogut makes 2-pt dunk from 1 ft (assist by S. Curry),,2,5
13,1,10:25.0,,D. DeRozan misses 2-pt jump shot from 17 ft,2,5
14,1,10:22.0,Defensive rebound by K. Thompson,,2,5
15,1,10:11.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Thompson),,5,5
16,1,9:55.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. DeRozan),5,7
17,1,9:43.0,K. Thompson misses 2-pt jump shot from 15 ft,,5,7
18,1,9:40.0,,Defensive rebound by D. DeRozan,5,7
19,1,9:26.0,,L. Aldridge misses 2-pt jump shot from 13 ft,5,7
20,1,9:24.0,Defensive rebound by S. Curry,,5,7
21,1,9:11.0,K. Thompson misses 3-pt jump shot from 22 ft,,5,7
22,1,9:09.0,,Defensive rebound by D. White,5,7
23,1,8:58.0,,Turnover by D. White (lost ball; steal by A. Bogut),5,7
24,1,8:45.0,K. Thompson misses 3-pt jump shot from 25 ft,,5,7
25,1,8:41.0,,Defensive rebound by L. Aldridge,5,7
26,1,8:31.0,,J. Poeltl misses 2-pt layup from 2 ft,5,7
27,1,8:28.0,Defensive rebound by A. Bogut,,5,7
28,1,8:24.0,S. Curry misses 3-pt jump shot from 25 ft,,5,7
29,1,8:19.0,,Defensive rebound by B. Forbes,5,7
30,1,8:09.0,,B. Forbes misses 3-pt jump shot from 25 ft,5,7
31,1,8:05.0,Defensive rebound by A. Bogut,,5,7
32,1,8:02.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),,7,7
33,1,7:49.0,,Personal foul by S. Curry (drawn by B. Forbes),7,7
34,1,7:37.0,,D. White makes 2-pt jump shot from 18 ft,7,9
35,1,7:22.0,Turnover by D. Green (bad pass; steal by D. White),,7,9
36,1,7:18.0,,D. White misses 2-pt jump shot from 17 ft,7,9
37,1,7:11.0,Defensive rebound by K. Durant,,7,9
38,1,7:07.0,K. Durant misses 2-pt jump shot from 20 ft,,7,9
39,1,7:02.0,Offensive rebound by S. Curry,,7,9
40,1,7:01.0,S. Curry misses 2-pt jump shot from 13 ft,,7,9
41,1,6:59.0,,Defensive rebound by D. DeRozan,7,9
42,1,6:43.0,,D. White makes 3-pt jump shot from 27 ft (assist by L. Aldridge),7,12
