,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
0,1,11:42.0,L. James makes 2-pt jump shot from 20 ft,,2,0
1,1,11:14.0,,D. Dotson makes 2-pt layup at rim (assist by E. Mudiay),2,2
2,1,11:03.0,K. Kuzma misses 2-pt jump shot from 18 ft,,2,2
3,1,11:01.0,,Defensive rebound by D. Jordan,2,2
4,1,10:53.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),2,4
5,1,10:37.0,L. James misses 3-pt jump shot from 26 ft,,2,4
6,1,10:35.0,,Defensive rebound by D. Jordan,2,4
7,1,10:19.0,,E. Mudiay misses 2-pt jump shot from 20 ft,2,4
8,1,10:17.0,,Offensive rebound by D. Jordan,2,4
9,1,10:14.0,,E. Mudiay makes 3-pt jump shot from 23 ft (assist by D. Jordan),2,7
10,1,9:57.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,4,7
11,1,9:44.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by D. Jordan),4,9
12,1,9:29.0,R. Bullock misses 3-pt jump shot from 26 ft,,4,9
13,1,9:27.0,,Defensive rebound by D. Dotson,4,9
14,1,9:20.0,,D. Dotson makes 2-pt jump shot from 13 ft,4,11
15,1,9:19.0,LA Lakers full timeout,,4,11
16,1,9:03.0,J. McGee makes 2-pt layup from 1 ft (assist by L. James),,6,11
17,1,8:53.0,,M. Hezonja misses 2-pt layup from 1 ft,6,11
18,1,8:51.0,Defensive rebound by J. McGee,,6,11
19,1,8:47.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Rondo),,9,11
20,1,8:22.0,,D. Jordan misses 2-pt dunk from 2 ft,9,11
21,1,8:22.0,Defensive rebound by J. McGee,,9,11
22,1,8:11.0,R. Bullock misses 3-pt jump shot from 23 ft,,9,11
23,1,8:10.0,Offensive rebound by J. McGee,,9,11
24,1,8:10.0,J. McGee misses 2-pt layup at rim,,9,11
25,1,8:08.0,Offensive rebound by J. McGee,,9,11
26,1,8:08.0,J. McGee makes 2-pt layup at rim,,11,11
27,1,8:08.0,Shooting foul by K. Knox (drawn by J. McGee),,11,11
28,1,8:08.0,J. McGee misses free throw 1 of 1,,11,11
29,1,8:06.0,,Defensive rebound by D. Jordan,11,11
30,1,7:58.0,,E. Mudiay makes 2-pt jump shot from 10 ft (assist by D. Jordan),11,13
31,1,7:49.0,R. Bullock makes 2-pt layup from 1 ft (assist by R. Rondo),,13,13
