,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
45,1,6:46.0,,K. Durant makes free throw 2 of 2,8,22
46,1,6:32.0,Turnover by C. Hutchison (bad pass; steal by K. Looney),,8,22
47,1,6:27.0,,Shooting foul by W. Carter (drawn by D. Green),8,22
48,1,6:27.0,,D. Green makes free throw 1 of 2,8,23
49,1,6:27.0,R. Arcidiacono enters the game for C. Hutchison,,8,23
50,1,6:27.0,,D. Green makes free throw 2 of 2,8,24
51,1,6:12.0,Turnover by W. Carter (lost ball; steal by K. Thompson),,8,24
52,1,6:02.0,,K. Durant misses 2-pt jump shot from 15 ft,8,24
53,1,6:01.0,Defensive rebound by W. Carter,,8,24
54,1,5:43.0,K. Dunn misses 2-pt jump shot from 7 ft (block by D. Green),,8,24
55,1,5:41.0,,Defensive rebound by D. Green,8,24
56,1,5:31.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),8,26
57,1,5:06.0,L. Markkanen misses 3-pt jump shot from 23 ft,,8,26
58,1,5:04.0,,Defensive rebound by K. Thompson,8,26
59,1,4:56.0,,S. Curry misses 3-pt jump shot from 25 ft,8,26
60,1,4:54.0,Defensive rebound by L. Markkanen,,8,26
61,1,4:46.0,Z. LaVine misses 2-pt layup from 5 ft,,8,26
62,1,4:45.0,,Defensive rebound by K. Looney,8,26
63,1,4:38.0,,Personal foul by W. Carter (drawn by K. Durant),8,26
64,1,4:38.0,B. Portis enters the game for W. Carter,,8,26
65,1,4:38.0,,Q. Cook enters the game for D. Green,8,26
66,1,4:38.0,,A. Iguodala enters the game for K. Thompson,8,26
67,1,4:30.0,,K. Looney makes 2-pt jump shot from 8 ft (assist by S. Curry),8,28
68,1,4:17.0,Personal foul by A. Iguodala (drawn by B. Portis),,8,28
69,1,4:09.0,Personal foul by K. Looney (drawn by Z. LaVine),,8,28
70,1,4:04.0,B. Portis misses 2-pt jump shot from 16 ft,,8,28
71,1,4:03.0,,Defensive rebound by A. Iguodala,8,28
72,1,3:47.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by K. Looney),8,31
73,1,3:24.0,L. Markkanen makes 2-pt jump shot from 12 ft,,10,31
74,1,3:03.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by K. Looney),10,34
75,1,2:52.0,K. Dunn makes 3-pt jump shot from 27 ft,,13,34
76,1,2:35.0,,K. Durant makes 2-pt jump shot from 9 ft (assist by Q. Cook),13,36
77,1,2:14.0,Z. LaVine makes 2-pt layup from 2 ft,,15,36
78,1,2:07.0,,Shooting foul by R. Arcidiacono (drawn by S. Curry),15,36
79,1,2:07.0,,S. Curry makes free throw 1 of 2,15,37
80,1,2:07.0,,D. Green enters the game for K. Looney,15,37
81,1,2:07.0,,S. Curry makes free throw 2 of 2,15,38
82,1,1:52.0,Offensive foul by K. Dunn (drawn by S. Curry),,15,38
83,1,1:52.0,Turnover by K. Dunn (offensive foul),,15,38
84,1,1:52.0,A. Blakeney enters the game for Z. LaVine,,15,38
85,1,1:52.0,,J. Jerebko enters the game for S. Curry,15,38
86,1,1:43.0,,Personal foul by R. Arcidiacono (drawn by K. Durant),15,38
87,1,1:43.0,,K. Durant makes free throw 1 of 2,15,39
88,1,1:43.0,C. Hutchison enters the game for K. Dunn,,15,39
89,1,1:43.0,W. Selden enters the game for L. Markkanen,,15,39
90,1,1:43.0,,K. Durant makes free throw 2 of 2,15,40
91,1,1:30.0,R. Arcidiacono misses 2-pt hook shot from 9 ft,,15,40
92,1,1:29.0,,Defensive rebound by D. Green,15,40
93,1,1:06.0,,Q. Cook misses 3-pt jump shot from 27 ft,15,40
94,1,1:04.0,,Offensive rebound by Team,15,40
95,1,0:48.0,,Turnover by J. Jerebko (offensive foul),15,40
96,1,0:48.0,,Offensive foul by J. Jerebko (drawn by C. Hutchison),15,40
97,1,0:35.0,B. Portis makes 2-pt jump shot from 11 ft,,17,40
98,1,0:26.0,,Q. Cook misses 3-pt jump shot from 26 ft,17,40
99,1,0:24.0,Defensive rebound by W. Selden,,17,40
100,1,0:04.0,A. Blakeney misses 2-pt jump shot from 14 ft,,17,40
101,1,0:02.0,,Defensive rebound by Q. Cook,17,40
102,1,0:00.0,,J. Jerebko makes 3-pt jump shot from 56 ft (assist by Q. Cook),17,43
103,2,11:43.0,Shooting foul by A. Iguodala (drawn by R. Arcidiacono),,17,43
104,2,11:43.0,R. Arcidiacono makes free throw 1 of 2,,18,43
105,2,11:43.0,R. Arcidiacono makes free throw 2 of 2,,19,43
106,2,11:27.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),19,46
107,2,11:08.0,B. Portis makes 2-pt jump shot from 21 ft,,21,46
108,2,10:58.0,,J. Jerebko misses 3-pt jump shot from 23 ft,21,46
109,2,10:56.0,Defensive rebound by C. Hutchison,,21,46
110,2,10:47.0,B. Portis makes 3-pt jump shot from 28 ft (assist by A. Blakeney),,24,46
111,2,10:19.0,,K. Thompson misses 3-pt jump shot from 26 ft,24,46
112,2,10:17.0,Defensive rebound by C. Hutchison,,24,46
113,2,10:04.0,Shooting foul by S. Livingston (drawn by A. Blakeney),,24,46
114,2,10:04.0,A. Blakeney makes free throw 1 of 2,,25,46
115,2,10:04.0,,K. Looney enters the game for D. Green,25,46
116,2,10:04.0,,A. McKinnie enters the game for A. Iguodala,25,46
117,2,10:04.0,A. Blakeney misses free throw 2 of 2,,25,46
118,2,10:03.0,,Defensive rebound by J. Jerebko,25,46
119,2,9:59.0,,Turnover by A. McKinnie (bad pass; steal by B. Portis),25,46
120,2,9:50.0,B. Portis misses 2-pt layup from 4 ft,,25,46
121,2,9:49.0,Offensive rebound by C. Hutchison,,25,46
122,2,9:48.0,C. Hutchison makes 2-pt layup from 3 ft,,27,46
123,2,9:47.0,,Golden State full timeout,27,46
124,2,9:47.0,S. Harrison enters the game for R. Arcidiacono,,27,46
125,2,9:39.0,,Personal foul by W. Selden (drawn by K. Looney),27,46
126,2,9:32.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by S. Livingston),27,48
127,2,9:18.0,A. Blakeney misses 2-pt jump shot from 13 ft,,27,48
128,2,9:17.0,,Defensive rebound by J. Jerebko,27,48
129,2,9:12.0,,S. Livingston makes 2-pt layup from 1 ft,27,50
130,2,9:12.0,,Shooting foul by C. Hutchison (drawn by S. Livingston),27,50
131,2,9:12.0,Z. LaVine enters the game for A. Blakeney,,27,50
132,2,9:12.0,,S. Livingston makes free throw 1 of 1,27,51
133,2,8:50.0,S. Harrison makes 2-pt layup from 2 ft (assist by B. Portis),,29,51
134,2,8:38.0,,K. Thompson makes 3-pt jump shot from 26 ft,29,54
135,2,8:20.0,Shooting foul by K. Thompson (drawn by B. Portis),,29,54
136,2,8:20.0,B. Portis makes free throw 1 of 2,,30,54
137,2,8:20.0,L. Markkanen enters the game for C. Hutchison,,30,54
138,2,8:20.0,B. Portis makes free throw 2 of 2,,31,54
139,2,8:09.0,,J. Jerebko makes 2-pt jump shot from 22 ft (assist by K. Looney),31,56
140,2,8:00.0,Personal foul by J. Jerebko (drawn by Z. LaVine),,31,56
141,2,8:00.0,R. Lopez enters the game for B. Portis,,31,56
142,2,7:47.0,R. Lopez misses 2-pt hook shot from 6 ft,,31,56
143,2,7:46.0,,Defensive rebound by A. McKinnie,31,56
144,2,7:46.0,,S. Curry enters the game for J. Jerebko,31,56
145,2,7:32.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by S. Curry),31,59
146,2,7:13.0,W. Selden misses 3-pt jump shot from 27 ft,,31,59
147,2,7:11.0,,Defensive rebound by S. Livingston,31,59
148,2,6:57.0,,Turnover by A. McKinnie (lost ball; steal by W. Selden),31,59
149,2,6:52.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by S. Harrison),,33,59
150,2,6:40.0,,K. Thompson misses 2-pt jump shot from 20 ft,33,59
151,2,6:39.0,Defensive rebound by S. Harrison,,33,59
152,2,6:24.0,Turnover by S. Harrison (bad pass),,33,59
153,2,6:24.0,K. Dunn enters the game for W. Selden,,33,59
154,2,6:14.0,,K. Thompson makes 2-pt jump shot from 10 ft (assist by K. Looney),33,61
155,2,5:58.0,Shooting foul by K. Looney (drawn by Z. LaVine),,33,61
156,2,5:58.0,Z. LaVine makes free throw 1 of 2,,34,61
157,2,5:58.0,,K. Durant enters the game for S. Livingston,34,61
158,2,5:58.0,,A. Iguodala enters the game for K. Thompson,34,61
159,2,5:58.0,Z. LaVine makes free throw 2 of 2,,35,61
160,2,5:42.0,,K. Looney misses 2-pt jump shot from 20 ft,35,61
161,2,5:41.0,Defensive rebound by L. Markkanen,,35,61
162,2,5:28.0,Turnover by Z. LaVine (out of bounds lost ball),,35,61
163,2,5:21.0,,Shooting foul by R. Lopez (drawn by A. McKinnie),35,61
164,2,5:21.0,,A. McKinnie makes free throw 1 of 2,35,62
165,2,5:21.0,,A. McKinnie makes free throw 2 of 2,35,63
166,2,5:08.0,L. Markkanen makes 2-pt jump shot from 18 ft (assist by K. Dunn),,37,63
167,2,4:55.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),37,66
168,2,4:47.0,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Dunn),,39,66
169,2,4:47.0,Shooting foul by A. McKinnie (drawn by Z. LaVine),,39,66
170,2,4:47.0,Z. LaVine makes free throw 1 of 1,,40,66
171,2,4:30.0,,Turnover by S. Curry (bad pass; steal by K. Dunn),40,66
172,2,4:18.0,L. Markkanen misses 3-pt jump shot from 27 ft,,40,66
173,2,4:16.0,,Defensive rebound by K. Looney,40,66
174,2,4:10.0,,S. Curry misses 3-pt jump shot from 26 ft,40,66
