,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:38.0,J. Embiid makes 2-pt hook shot from 6 ft,,2,0
1,1,11:21.0,,D. Russell misses 2-pt jump shot from 23 ft,2,0
2,1,11:19.0,Defensive rebound by D. Šarić,,2,0
3,1,11:07.0,Shooting foul by J. Harris (drawn by J. Embiid),,2,0
4,1,11:07.0,J. Embiid misses free throw 1 of 2,,2,0
5,1,11:07.0,Offensive rebound by Team,,2,0
6,1,11:07.0,J. Embiid makes free throw 2 of 2,,3,0
7,1,10:45.0,,Shooting foul by R. Covington (drawn by C. LeVert),3,0
8,1,10:45.0,,C. LeVert makes free throw 1 of 2,3,1
9,1,10:45.0,,C. LeVert makes free throw 2 of 2,3,2
10,1,10:30.0,Shooting foul by J. Dudley (drawn by R. Covington),,3,2
11,1,10:30.0,R. Covington misses free throw 1 of 3,,3,2
12,1,10:30.0,Offensive rebound by Team,,3,2
13,1,10:30.0,R. Covington makes free throw 2 of 3,,4,2
14,1,10:30.0,R. Covington makes free throw 3 of 3,,5,2
15,1,10:09.0,,J. Dudley makes 2-pt jump shot from 5 ft (assist by D. Russell),5,4
16,1,9:56.0,M. Fultz misses 2-pt jump shot from 19 ft,,5,4
17,1,9:53.0,,Defensive rebound by C. LeVert,5,4
18,1,9:48.0,,D. Russell makes 2-pt jump shot from 4 ft,5,6
19,1,9:35.0,Shooting foul by J. Allen (drawn by J. Embiid),,5,6
20,1,9:35.0,J. Embiid makes free throw 1 of 2,,6,6
21,1,9:35.0,J. Embiid makes free throw 2 of 2,,7,6
22,1,9:22.0,,C. LeVert misses 2-pt layup from 3 ft,7,6
23,1,9:20.0,Defensive rebound by J. Embiid,,7,6
24,1,9:12.0,D. Šarić misses 3-pt jump shot from 25 ft,,7,6
25,1,9:08.0,Offensive rebound by M. Fultz,,7,6
26,1,9:06.0,Turnover by R. Covington (bad pass; steal by J. Dudley),,7,6
27,1,9:00.0,,C. LeVert misses 2-pt layup from 2 ft,7,6
28,1,9:00.0,,Offensive rebound by J. Allen,7,6
29,1,9:00.0,,Shooting foul by D. Šarić (drawn by J. Allen),7,6
30,1,9:00.0,,J. Allen makes free throw 1 of 2,7,7
31,1,9:00.0,,J. Allen misses free throw 2 of 2,7,7
32,1,8:57.0,,Offensive rebound by J. Harris,7,7
33,1,8:55.0,,Turnover by D. Russell (bad pass; steal by B. Simmons),7,7
34,1,8:51.0,Turnover by B. Simmons (lost ball; steal by C. LeVert),,7,7
35,1,8:47.0,,D. Russell misses 3-pt jump shot from 26 ft,7,7
36,1,8:43.0,Defensive rebound by J. Embiid,,7,7
37,1,8:37.0,Shooting foul by J. Harris (drawn by B. Simmons),,7,7
38,1,8:37.0,Offensive rebound by Team,,7,7
39,1,8:37.0,B. Simmons misses free throw 1 of 2,,7,7
40,1,8:37.0,,A. Crabbe enters the game for J. Harris,7,7
41,1,8:37.0,B. Simmons makes free throw 2 of 2,,8,7
42,1,8:30.0,,J. Dudley misses 3-pt jump shot from 24 ft,8,7
43,1,8:27.0,Defensive rebound by B. Simmons,,8,7
44,1,8:21.0,Turnover by B. Simmons (bad pass; steal by C. LeVert),,8,7
45,1,8:05.0,,D. Russell misses 2-pt layup from 2 ft,8,7
46,1,8:03.0,,Offensive rebound by D. Russell,8,7
47,1,8:00.0,,J. Allen misses 2-pt layup from 3 ft,8,7
48,1,7:57.0,,J. Allen misses 2-pt layup from 1 ft,8,7
49,1,7:57.0,,Offensive rebound by J. Allen,8,7
50,1,7:57.0,,Offensive rebound by J. Allen,8,7
51,1,7:55.0,,A. Crabbe misses 3-pt jump shot from 26 ft,8,7
52,1,7:52.0,Defensive rebound by B. Simmons,,8,7
53,1,7:46.0,Offensive foul by D. Šarić (drawn by J. Dudley),,8,7
54,1,7:46.0,Turnover by D. Šarić (offensive foul),,8,7
55,1,7:28.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by D. Russell),8,10
56,1,7:12.0,R. Covington makes 2-pt layup from 3 ft (assist by J. Embiid),,10,10
57,1,6:57.0,,C. LeVert misses 2-pt layup from 1 ft,10,10
58,1,6:54.0,Defensive rebound by R. Covington,,10,10
59,1,6:44.0,B. Simmons misses 2-pt hook shot from 8 ft,,10,10
60,1,6:42.0,Offensive rebound by M. Fultz,,10,10
61,1,6:42.0,M. Fultz makes 2-pt layup at rim,,12,10
62,1,6:42.0,,Brooklyn full timeout,12,10
63,1,6:42.0,A. Johnson enters the game for J. Embiid,,12,10
64,1,6:42.0,M. Muscala enters the game for M. Fultz,,12,10
65,1,6:42.0,J. Redick enters the game for D. Šarić,,12,10
66,1,6:25.0,,A. Crabbe misses 3-pt jump shot from 25 ft,12,10
67,1,6:24.0,Defensive rebound by B. Simmons,,12,10
68,1,6:17.0,Offensive foul by A. Johnson (drawn by D. Russell),,12,10
69,1,6:17.0,Turnover by A. Johnson (offensive foul),,12,10
70,1,6:02.0,,Turnover by C. LeVert (bad pass; steal by R. Covington),12,10
71,1,5:57.0,R. Covington misses 2-pt layup from 4 ft (block by J. Allen),,12,10
72,1,5:54.0,Offensive rebound by B. Simmons,,12,10
73,1,5:53.0,B. Simmons makes 2-pt layup from 3 ft,,14,10
74,1,5:40.0,,A. Crabbe misses 2-pt jump shot from 20 ft,14,10
75,1,5:37.0,Defensive rebound by B. Simmons,,14,10
