,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
0,1,11:44.0,,W. Carter misses 2-pt jump shot from 5 ft (block by L. Aldridge),0,0
1,1,11:41.0,Defensive rebound by D. Cunningham,,0,0
2,1,11:31.0,B. Forbes misses 2-pt jump shot from 21 ft,,0,0
3,1,11:27.0,,Defensive rebound by W. Carter,0,0
4,1,11:22.0,,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),0,2
5,1,11:04.0,D. DeRozan misses 2-pt jump shot from 21 ft,,0,2
6,1,11:01.0,,Defensive rebound by Z. LaVine,0,2
7,1,10:57.0,,Turnover by Z. LaVine (bad pass),0,2
8,1,10:39.0,D. DeRozan misses 3-pt jump shot from 24 ft,,0,2
9,1,10:36.0,,Defensive rebound by W. Carter,0,2
10,1,10:31.0,,J. Parker misses 2-pt jump shot from 18 ft,0,2
11,1,10:28.0,Defensive rebound by L. Aldridge,,0,2
12,1,10:18.0,D. Cunningham makes 2-pt jump shot from 5 ft (assist by D. DeRozan),,2,2
13,1,9:54.0,,J. Parker makes 2-pt jump shot from 14 ft,2,4
14,1,9:28.0,B. Forbes misses 2-pt jump shot from 7 ft,,2,4
15,1,9:24.0,,Defensive rebound by J. Parker,2,4
16,1,9:20.0,,W. Carter misses 2-pt jump shot from 18 ft,2,4
17,1,9:16.0,Defensive rebound by D. DeRozan,,2,4
18,1,9:12.0,Shooting foul by W. Carter (drawn by L. Aldridge),,2,4
19,1,9:12.0,L. Aldridge misses free throw 1 of 2,,2,4
20,1,9:12.0,Offensive rebound by Team,,2,4
21,1,9:12.0,L. Aldridge makes free throw 2 of 2,,3,4
22,1,9:02.0,,Z. LaVine makes 2-pt jump shot from 19 ft,3,6
23,1,8:37.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,6,6
24,1,8:22.0,,Z. LaVine makes 2-pt jump shot from 12 ft,6,8
25,1,8:04.0,L. Aldridge makes 2-pt jump shot from 22 ft (assist by B. Forbes),,8,8
26,1,7:45.0,,W. Carter misses 2-pt jump shot from 8 ft,8,8
27,1,7:42.0,Defensive rebound by D. Cunningham,,8,8
28,1,7:37.0,L. Aldridge misses 2-pt jump shot from 21 ft,,8,8
29,1,7:33.0,,Defensive rebound by J. Parker,8,8
30,1,7:30.0,,Personal foul by B. Forbes (drawn by R. Arcidiacono),8,8
31,1,7:30.0,D. White enters the game for R. Gay,,8,8
32,1,7:27.0,,Turnover by Z. LaVine (bad pass; steal by D. White),8,8
33,1,7:21.0,D. DeRozan makes 2-pt jump shot from 2 ft,,10,8
34,1,7:13.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by Z. LaVine),10,11
35,1,7:01.0,Offensive foul by L. Aldridge (drawn by J. Holiday),,10,11
36,1,7:01.0,Turnover by L. Aldridge (offensive foul),,10,11
37,1,6:40.0,,Z. LaVine misses 2-pt jump shot from 16 ft,10,11
38,1,6:37.0,,Offensive rebound by J. Parker,10,11
39,1,6:30.0,,J. Parker makes 2-pt jump shot from 16 ft (assist by R. Arcidiacono),10,13
40,1,6:08.0,D. White misses 3-pt jump shot from 23 ft,,10,13
41,1,6:03.0,Offensive rebound by L. Aldridge,,10,13
42,1,6:03.0,L. Aldridge makes 2-pt dunk at rim,,12,13
43,1,5:58.0,,J. Holiday misses 3-pt jump shot from 26 ft,12,13
44,1,5:54.0,Defensive rebound by D. Cunningham,,12,13
45,1,5:42.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,15,13
46,1,5:40.0,,Chicago full timeout,15,13
47,1,5:40.0,P. Mills enters the game for B. Forbes,,15,13
48,1,5:27.0,,R. Arcidiacono makes 2-pt layup from 3 ft,15,15
49,1,5:15.0,D. DeRozan makes 2-pt jump shot from 14 ft,,17,15
50,1,5:01.0,,Shooting foul by D. White (drawn by Z. LaVine),17,15
51,1,5:01.0,,Z. LaVine makes free throw 1 of 2,17,16
52,1,5:01.0,M. Belinelli enters the game for L. Aldridge,,17,16
53,1,5:01.0,J. Poeltl enters the game for D. Cunningham,,17,16
54,1,5:01.0,,C. Hutchison enters the game for W. Carter,17,16
55,1,5:01.0,,R. Lopez enters the game for J. Parker,17,16
56,1,5:01.0,,Z. LaVine makes free throw 2 of 2,17,17
57,1,4:51.0,D. White makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,20,17
58,1,4:43.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft,20,20
59,1,4:27.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),,22,20
60,1,4:17.0,,J. Holiday misses 2-pt layup from 7 ft,22,20
