,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
0,1,11:39.0,,A. Horford makes 2-pt jump shot from 14 ft (assist by M. Smart),0,2
1,1,11:13.0,K. Towns misses 2-pt jump shot from 16 ft,,0,2
2,1,11:12.0,,Defensive rebound by M. Morris,0,2
3,1,11:05.0,,T. Rozier makes 2-pt layup from 1 ft (assist by M. Smart),0,4
4,1,10:56.0,Minnesota full timeout,,0,4
5,1,10:40.0,K. Towns makes 2-pt jump shot from 13 ft,,2,4
6,1,10:16.0,,Shooting foul by A. Wiggins (drawn by M. Morris),2,4
7,1,10:16.0,,M. Morris misses free throw 1 of 2,2,4
8,1,10:16.0,,Offensive rebound by Team,2,4
9,1,10:16.0,,M. Morris makes free throw 2 of 2,2,5
10,1,10:01.0,K. Towns misses 3-pt jump shot from 27 ft,,2,5
11,1,9:56.0,,Defensive rebound by T. Rozier,2,5
12,1,9:48.0,,Turnover by A. Horford (off goaltending),2,5
13,1,9:37.0,J. Okogie misses 2-pt layup from 3 ft,,2,5
14,1,9:34.0,,Defensive rebound by A. Horford,2,5
15,1,9:28.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),2,7
16,1,9:04.0,T. Jones makes 2-pt jump shot from 9 ft (assist by K. Towns),,4,7
17,1,8:51.0,,J. Tatum misses 2-pt jump shot from 13 ft,4,7
18,1,8:50.0,Defensive rebound by K. Towns,,4,7
19,1,8:28.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Okogie),,7,7
20,1,8:10.0,,M. Morris misses 3-pt jump shot from 25 ft,7,7
21,1,8:07.0,Defensive rebound by J. Okogie,,7,7
22,1,8:05.0,Personal foul by M. Morris (drawn by J. Okogie),,7,7
23,1,7:54.0,Turnover by T. Jones (lost ball; steal by T. Rozier),,7,7
24,1,7:49.0,,J. Tatum makes 2-pt layup from 1 ft (assist by T. Rozier),7,9
25,1,7:35.0,Turnover by T. Gibson (traveling),,7,9
26,1,7:28.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by M. Morris),7,12
27,1,7:05.0,T. Jones misses 3-pt jump shot from 26 ft,,7,12
28,1,7:03.0,,Defensive rebound by J. Tatum,7,12
29,1,7:00.0,,T. Rozier makes 2-pt dunk from 1 ft (assist by J. Tatum),7,14
30,1,6:36.0,A. Wiggins misses 2-pt jump shot from 14 ft (block by J. Tatum),,7,14
31,1,6:34.0,,Defensive rebound by M. Smart,7,14
