,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
0,1,11:37.0,V. Oladipo misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by N. Vonleh,0,0
2,1,11:13.0,,T. Hardaway makes 3-pt jump shot from 30 ft (assist by D. Dotson),0,3
3,1,10:58.0,B. Bogdanović misses 2-pt layup from 2 ft (block by N. Vonleh),,0,3
4,1,10:56.0,,Defensive rebound by F. Ntilikina,0,3
5,1,10:52.0,,Shooting foul by V. Oladipo (drawn by N. Vonleh),0,3
6,1,10:52.0,,N. Vonleh makes free throw 1 of 2,0,4
7,1,10:52.0,,N. Vonleh makes free throw 2 of 2,0,5
8,1,10:37.0,Personal foul by T. Hardaway (drawn by M. Turner),,0,5
9,1,10:24.0,V. Oladipo makes 2-pt jump shot from 18 ft,,2,5
10,1,10:03.0,,T. Hardaway misses 2-pt layup from 1 ft (block by T. Young),2,5
11,1,10:01.0,Defensive rebound by V. Oladipo,,2,5
12,1,9:55.0,T. Young misses 3-pt jump shot from 22 ft,,2,5
13,1,9:53.0,,Defensive rebound by M. Robinson,2,5
14,1,9:45.0,,M. Robinson misses 2-pt layup from 1 ft,2,5
15,1,9:43.0,Defensive rebound by M. Turner,,2,5
16,1,9:41.0,,Violation by Team (kicked ball),2,5
17,1,9:21.0,M. Turner misses 2-pt jump shot from 6 ft,,2,5
18,1,9:19.0,,Defensive rebound by N. Vonleh,2,5
19,1,9:16.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,2,5
20,1,9:14.0,Defensive rebound by M. Turner,,2,5
21,1,9:04.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),,5,5
22,1,8:45.0,,Turnover by F. Ntilikina (bad pass; steal by T. Young),5,5
23,1,8:42.0,Offensive foul by D. Collison (drawn by T. Hardaway),,5,5
24,1,8:42.0,Turnover by D. Collison (offensive foul),,5,5
25,1,8:28.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by T. Hardaway),5,8
26,1,8:06.0,D. Collison makes 2-pt layup from 1 ft,,7,8
27,1,7:55.0,,Turnover by T. Hardaway (bad pass; steal by D. Collison),7,8
28,1,7:51.0,B. Bogdanović makes 2-pt dunk at rim (assist by D. Collison),,9,8
29,1,7:38.0,,D. Dotson misses 3-pt jump shot from 24 ft,9,8
30,1,7:36.0,,Offensive rebound by N. Vonleh,9,8
31,1,7:32.0,,T. Hardaway makes 3-pt jump shot from 27 ft (assist by N. Vonleh),9,11
32,1,7:12.0,Personal foul by F. Ntilikina (drawn by T. Young),,9,11
33,1,7:05.0,Turnover by M. Turner (traveling),,9,11
34,1,6:57.0,,Turnover by N. Vonleh (traveling),9,11
35,1,6:57.0,,New York full timeout,9,11
36,1,6:35.0,M. Turner makes 2-pt hook shot from 5 ft,,11,11
37,1,6:18.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by F. Ntilikina),11,13
38,1,5:59.0,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),,13,13
39,1,5:42.0,,Offensive foul by N. Vonleh (drawn by V. Oladipo),13,13
40,1,5:42.0,,Turnover by N. Vonleh (offensive foul),13,13
41,1,5:32.0,M. Turner makes 2-pt dunk at rim (assist by D. Collison),,15,13
42,1,5:22.0,,Turnover by F. Ntilikina (traveling),15,13
43,1,5:02.0,M. Turner misses 2-pt layup from 1 ft (block by N. Vonleh),,15,13
44,1,5:01.0,,Defensive rebound by Team,15,13
45,1,5:01.0,D. Sabonis enters the game for T. Young,,15,13
46,1,5:01.0,,M. Hezonja enters the game for M. Robinson,15,13
47,1,4:43.0,,D. Dotson misses 2-pt jump shot from 23 ft,15,13
48,1,4:41.0,Defensive rebound by D. Sabonis,,15,13
49,1,4:30.0,D. Collison misses 2-pt jump shot from 22 ft,,15,13
50,1,4:29.0,Offensive rebound by D. Sabonis,,15,13
51,1,4:28.0,D. Sabonis makes 2-pt layup from 1 ft,,17,13
52,1,4:22.0,,Personal foul by V. Oladipo (drawn by N. Vonleh),17,13
53,1,4:22.0,T. Evans enters the game for B. Bogdanović,,17,13
54,1,4:22.0,C. Joseph enters the game for V. Oladipo,,17,13
55,1,4:22.0,,E. Freedom enters the game for D. Dotson,17,13
56,1,4:22.0,,A. Trier enters the game for N. Vonleh,17,13
57,1,4:09.0,,E. Freedom misses 2-pt hook shot from 10 ft,17,13
58,1,4:07.0,Defensive rebound by D. Sabonis,,17,13
59,1,3:57.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,19,13
60,1,3:50.0,,New York full timeout,19,13
61,1,3:40.0,,F. Ntilikina makes 2-pt layup from 1 ft,19,15
62,1,3:18.0,M. Turner misses 2-pt hook shot from 2 ft,,19,15
63,1,3:16.0,Offensive rebound by D. Sabonis,,19,15
64,1,3:10.0,D. Sabonis makes 2-pt layup from 1 ft,,21,15
65,1,2:59.0,,T. Hardaway misses 2-pt jump shot from 10 ft,21,15
66,1,2:58.0,Defensive rebound by Team,,21,15
67,1,2:58.0,B. Bogdanović enters the game for D. Collison,,21,15
68,1,2:58.0,D. McDermott enters the game for M. Turner,,21,15
69,1,2:43.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,23,15
70,1,2:33.0,,E. Freedom makes 2-pt layup from 1 ft (assist by F. Ntilikina),23,17
71,1,2:16.0,D. Sabonis makes 2-pt layup from 1 ft,,25,17
72,1,2:16.0,Shooting foul by E. Freedom (drawn by D. Sabonis),,25,17
73,1,2:16.0,D. Sabonis makes free throw 1 of 1,,26,17
74,1,2:02.0,,Turnover by M. Hezonja (bad pass; steal by T. Evans),26,17
75,1,1:54.0,Personal foul by F. Ntilikina (drawn by D. Sabonis),,26,17
76,1,1:54.0,,T. Burke enters the game for T. Hardaway,26,17
77,1,1:54.0,,L. Thomas enters the game for F. Ntilikina,26,17
78,1,1:43.0,Turnover by D. Sabonis (lost ball; steal by L. Thomas),,26,17
79,1,1:31.0,,L. Thomas makes 2-pt layup from 3 ft (assist by E. Freedom),26,19
80,1,1:31.0,,Shooting foul by D. Sabonis (drawn by L. Thomas),26,19
81,1,1:31.0,,L. Thomas makes free throw 1 of 1,26,20
82,1,1:22.0,D. McDermott misses 3-pt jump shot from 24 ft,,26,20
83,1,1:20.0,,Defensive rebound by E. Freedom,26,20
84,1,1:04.0,,A. Trier makes 2-pt jump shot from 18 ft,26,22
85,1,0:52.0,D. Sabonis makes 2-pt hook shot from 3 ft,,28,22
86,1,0:43.0,,Personal foul by D. Sabonis (drawn by E. Freedom),28,22
87,1,0:43.0,,E. Freedom makes free throw 1 of 2,28,23
88,1,0:43.0,,E. Freedom misses free throw 2 of 2,28,23
89,1,0:41.0,Defensive rebound by D. Sabonis,,28,23
90,1,0:33.0,C. Joseph misses 2-pt layup from 2 ft,,28,23
91,1,0:31.0,,Defensive rebound by M. Hezonja,28,23
92,1,0:27.0,,M. Hezonja makes 2-pt layup from 3 ft,28,25
93,1,0:05.0,T. Evans misses 3-pt jump shot from 25 ft,,28,25
94,1,0:03.0,,Defensive rebound by M. Hezonja,28,25
95,1,0:00.0,,M. Hezonja misses 3-pt jump shot from 39 ft,28,25
96,1,0:00.0,,Offensive rebound by Team,28,25
97,2,11:41.0,,M. Hezonja misses 2-pt jump shot from 22 ft,28,25
98,2,11:39.0,Defensive rebound by C. Joseph,,28,25
99,2,11:24.0,T. Evans misses 3-pt jump shot from 25 ft,,28,25
100,2,11:23.0,Offensive rebound by D. Sabonis,,28,25
101,2,11:20.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,31,25
102,2,11:07.0,,Shooting foul by D. McDermott (drawn by M. Hezonja),31,25
103,2,11:07.0,,M. Hezonja makes free throw 1 of 2,31,26
104,2,11:07.0,,M. Hezonja misses free throw 2 of 2,31,26
105,2,11:05.0,Defensive rebound by T. Evans,,31,26
106,2,10:52.0,Turnover by T. Evans (traveling),,31,26
107,2,10:38.0,,E. Freedom misses 2-pt layup from 2 ft (block by D. Sabonis),31,26
108,2,10:36.0,Defensive rebound by D. Sabonis,,31,26
109,2,10:24.0,C. Joseph misses 2-pt layup from 4 ft,,31,26
110,2,10:22.0,,Defensive rebound by M. Hezonja,31,26
111,2,10:12.0,,A. Trier makes 3-pt jump shot from 26 ft (assist by T. Burke),31,29
112,2,9:55.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,33,29
113,2,9:55.0,Shooting foul by E. Freedom (drawn by D. Sabonis),,33,29
114,2,9:55.0,D. Sabonis misses free throw 1 of 1,,33,29
115,2,9:54.0,,Defensive rebound by M. Hezonja,33,29
116,2,9:42.0,,T. Burke misses 2-pt jump shot from 15 ft,33,29
117,2,9:41.0,,Offensive rebound by Team,33,29
118,2,9:41.0,Loose ball foul by D. Sabonis (drawn by E. Freedom),,33,29
119,2,9:41.0,M. Turner enters the game for D. Sabonis,,33,29
120,2,9:32.0,,Personal foul by M. Turner (drawn by E. Freedom),33,29
121,2,9:25.0,,T. Burke makes 2-pt jump shot from 6 ft,33,31
122,2,9:14.0,Shooting foul by M. Hezonja (drawn by B. Bogdanović),,33,31
123,2,9:14.0,B. Bogdanović makes free throw 1 of 2,,34,31
124,2,9:14.0,B. Bogdanović misses free throw 2 of 2,,34,31
125,2,9:12.0,,Defensive rebound by M. Hezonja,34,31
126,2,8:54.0,,A. Trier makes 3-pt jump shot from 26 ft,34,34
127,2,8:38.0,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by M. Turner),,36,34
128,2,8:30.0,,T. Burke misses 2-pt layup from 3 ft (block by M. Turner),36,34
129,2,8:29.0,,Offensive rebound by Team,36,34
130,2,8:29.0,T. Young enters the game for B. Bogdanović,,36,34
131,2,8:11.0,,M. Hezonja misses 3-pt jump shot from 24 ft,36,34
132,2,8:09.0,Defensive rebound by T. Young,,36,34
133,2,7:54.0,T. Young misses 2-pt layup from 2 ft,,36,34
134,2,7:52.0,,Defensive rebound by E. Freedom,36,34
135,2,7:35.0,,Shooting foul by C. Joseph (drawn by T. Burke),36,34
136,2,7:35.0,,T. Burke makes free throw 1 of 2,36,35
137,2,7:35.0,V. Oladipo enters the game for D. McDermott,,36,35
138,2,7:35.0,,T. Hardaway enters the game for M. Hezonja,36,35
139,2,7:35.0,,T. Burke makes free throw 2 of 2,36,36
140,2,7:26.0,Personal foul by T. Burke (drawn by M. Turner),,36,36
141,2,7:26.0,,F. Ntilikina enters the game for T. Burke,36,36
142,2,7:26.0,,N. Vonleh enters the game for L. Thomas,36,36
143,2,7:15.0,C. Joseph makes 2-pt jump shot from 10 ft,,38,36
144,2,6:51.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,38,36
145,2,6:49.0,Defensive rebound by T. Evans,,38,36
146,2,6:42.0,Shooting foul by A. Trier (drawn by T. Evans),,38,36
147,2,6:42.0,,New York full timeout,38,36
148,2,6:42.0,,M. Robinson enters the game for E. Freedom,38,36
149,2,6:42.0,T. Evans misses free throw 1 of 2,,38,36
150,2,6:42.0,Offensive rebound by Team,,38,36
151,2,6:42.0,T. Evans makes free throw 2 of 2,,39,36
152,2,6:26.0,,M. Robinson misses 2-pt dunk from 3 ft (block by V. Oladipo),39,36
153,2,6:24.0,Defensive rebound by V. Oladipo,,39,36
154,2,6:16.0,M. Turner makes 2-pt layup from 1 ft (assist by C. Joseph),,41,36
155,2,6:05.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),41,39
156,2,5:47.0,V. Oladipo misses 3-pt jump shot from 26 ft,,41,39
157,2,5:45.0,,Defensive rebound by M. Robinson,41,39
158,2,5:38.0,,Shooting foul by T. Young (drawn by T. Hardaway),41,39
159,2,5:38.0,,T. Hardaway makes free throw 1 of 2,41,40
160,2,5:38.0,D. Collison enters the game for T. Evans,,41,40
161,2,5:38.0,,T. Hardaway makes free throw 2 of 2,41,41
162,2,5:22.0,Shooting foul by T. Hardaway (drawn by T. Young),,41,41
163,2,5:22.0,T. Young misses free throw 1 of 2,,41,41
164,2,5:22.0,Offensive rebound by Team,,41,41
165,2,5:22.0,,D. Dotson enters the game for A. Trier,41,41
166,2,5:22.0,T. Young makes free throw 2 of 2,,42,41
167,2,4:59.0,,T. Hardaway misses 3-pt jump shot from 24 ft,42,41
168,2,4:57.0,Defensive rebound by V. Oladipo,,42,41
169,2,4:51.0,C. Joseph misses 3-pt jump shot from 22 ft,,42,41
170,2,4:49.0,Offensive rebound by T. Young,,42,41
171,2,4:47.0,T. Young makes 2-pt layup from 1 ft,,44,41
172,2,4:33.0,,D. Dotson misses 3-pt jump shot from 28 ft,44,41
173,2,4:31.0,Defensive rebound by T. Young,,44,41
174,2,4:12.0,Shooting foul by M. Robinson (drawn by T. Young),,44,41
