,QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
0,1,11:38.0,,B. Bogdanović makes 2-pt jump shot from 5 ft,0,2
1,1,11:38.0,,Shooting foul by D. Booker (drawn by B. Bogdanović),0,2
2,1,11:38.0,,B. Bogdanović makes free throw 1 of 1,0,3
3,1,11:21.0,Turnover by M. Bridges (bad pass; steal by V. Oladipo),,0,3
4,1,11:16.0,,V. Oladipo misses 2-pt layup at rim,0,3
5,1,11:14.0,Defensive rebound by M. Bridges,,0,3
6,1,11:08.0,D. Ayton misses 2-pt jump shot from 3 ft,,0,3
7,1,11:07.0,Offensive rebound by D. Melton,,0,3
8,1,11:07.0,D. Melton misses 2-pt layup from 2 ft,,0,3
9,1,11:06.0,,Defensive rebound by T. Young,0,3
10,1,10:58.0,,M. Turner misses 3-pt jump shot from 26 ft,0,3
11,1,10:55.0,Defensive rebound by D. Melton,,0,3
12,1,10:44.0,T. Warren misses 2-pt jump shot from 6 ft,,0,3
13,1,10:39.0,Offensive rebound by D. Ayton,,0,3
14,1,10:39.0,D. Ayton makes 2-pt layup at rim,,2,3
15,1,10:16.0,,D. Collison misses 2-pt jump shot from 19 ft (block by D. Ayton),2,3
16,1,10:13.0,Defensive rebound by M. Bridges,,2,3
17,1,10:07.0,D. Melton misses 2-pt jump shot from 14 ft,,2,3
18,1,10:07.0,Offensive rebound by Team,,2,3
19,1,10:01.0,D. Booker misses 3-pt jump shot from 26 ft,,2,3
20,1,9:58.0,,Defensive rebound by B. Bogdanović,2,3
21,1,9:44.0,,Turnover by V. Oladipo (bad pass; steal by M. Bridges),2,3
22,1,9:39.0,Turnover by M. Bridges (bad pass),,2,3
23,1,9:27.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),2,5
24,1,9:14.0,Personal foul by T. Young (drawn by T. Warren),,2,5
25,1,9:08.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by D. Booker),,4,5
26,1,8:50.0,,M. Turner misses 2-pt jump shot from 19 ft,4,5
27,1,8:49.0,Defensive rebound by D. Melton,,4,5
28,1,8:42.0,Turnover by D. Melton (bad pass; steal by M. Turner),,4,5
29,1,8:39.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),4,7
30,1,8:17.0,T. Warren misses 2-pt jump shot from 11 ft,,4,7
31,1,8:14.0,,Defensive rebound by V. Oladipo,4,7
32,1,8:08.0,,Turnover by D. Collison (bad pass),4,7
33,1,8:02.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Melton),,6,7
34,1,7:46.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),6,10
35,1,7:31.0,Turnover by T. Warren (bad pass; steal by T. Young),,6,10
36,1,7:25.0,,T. Young makes 2-pt layup at rim (assist by B. Bogdanović),6,12
37,1,7:25.0,Phoenix full timeout,,6,12
38,1,7:11.0,T. Warren makes 3-pt jump shot from 23 ft (assist by D. Booker),,9,12
39,1,6:49.0,,Shooting foul by M. Bridges (drawn by D. Collison),9,12
40,1,6:49.0,,D. Collison makes free throw 1 of 2,9,13
41,1,6:49.0,,D. Collison makes free throw 2 of 2,9,14
42,1,6:28.0,D. Ayton makes 2-pt jump shot from 10 ft (assist by D. Booker),,11,14
43,1,6:20.0,,V. Oladipo makes 3-pt jump shot from 27 ft,11,17
44,1,6:03.0,Turnover by D. Melton (bad pass; steal by M. Turner),,11,17
45,1,6:03.0,J. Jackson enters the game for M. Bridges,,11,17
46,1,5:52.0,,M. Turner makes 2-pt layup from 6 ft (assist by B. Bogdanović),11,19
47,1,5:40.0,D. Melton misses 3-pt jump shot from 25 ft,,11,19
48,1,5:37.0,,Defensive rebound by B. Bogdanović,11,19
49,1,5:31.0,,V. Oladipo misses 2-pt layup from 5 ft (block by D. Melton),11,19
50,1,5:30.0,,Offensive rebound by T. Young,11,19
51,1,5:28.0,,T. Young makes 2-pt layup from 1 ft,11,21
52,1,5:11.0,D. Ayton misses 2-pt jump shot from 12 ft (block by T. Young),,11,21
53,1,5:11.0,Offensive rebound by Team,,11,21
54,1,5:10.0,Personal foul by D. Collison (drawn by D. Melton),,11,21
55,1,5:04.0,D. Booker makes 2-pt jump shot from 19 ft,,13,21
56,1,4:43.0,,D. Collison misses 2-pt jump shot from 18 ft,13,21
57,1,4:40.0,Defensive rebound by J. Jackson,,13,21
58,1,4:35.0,D. Ayton misses 2-pt layup from 1 ft,,13,21
59,1,4:34.0,Offensive rebound by D. Ayton,,13,21
60,1,4:34.0,D. Ayton misses 2-pt layup at rim,,13,21
61,1,4:34.0,,Defensive rebound by M. Turner,13,21
62,1,4:29.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by D. Collison),13,23
63,1,4:29.0,,Shooting foul by D. Melton (drawn by V. Oladipo),13,23
64,1,4:29.0,E. Okobo enters the game for D. Melton,,13,23
65,1,4:29.0,,V. Oladipo makes free throw 1 of 1,13,24
66,1,4:23.0,Personal foul by V. Oladipo (drawn by D. Booker),,13,24
67,1,4:09.0,Turnover by J. Jackson (bad pass; steal by D. Collison),,13,24
68,1,4:05.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,13,24
69,1,4:01.0,Defensive rebound by D. Ayton,,13,24
70,1,3:59.0,Offensive foul by J. Jackson (drawn by V. Oladipo),,13,24
71,1,3:59.0,Turnover by J. Jackson (offensive foul),,13,24
72,1,3:59.0,K. Oubre enters the game for D. Booker,,13,24
73,1,3:59.0,,D. Sabonis enters the game for T. Young,13,24
74,1,3:41.0,,Turnover by D. Collison (bad pass; steal by E. Okobo),13,24
75,1,3:38.0,J. Jackson makes 2-pt dunk from 1 ft (assist by E. Okobo),,15,24
76,1,3:29.0,,Indiana full timeout,15,24
77,1,3:29.0,,C. Joseph enters the game for B. Bogdanović,15,24
78,1,3:14.0,,Violation by Team (kicked ball),15,24
79,1,3:02.0,Turnover by J. Jackson (bad pass; steal by D. Collison),,15,24
80,1,2:58.0,,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. Collison),15,27
81,1,2:38.0,T. Warren makes 2-pt jump shot from 16 ft,,17,27
82,1,2:24.0,,D. Sabonis misses 2-pt layup from 1 ft,17,27
83,1,2:21.0,Defensive rebound by T. Warren,,17,27
84,1,2:18.0,K. Oubre misses 3-pt jump shot from 26 ft,,17,27
85,1,2:16.0,,Defensive rebound by D. Collison,17,27
86,1,2:10.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by M. Turner),17,30
87,1,1:54.0,Offensive foul by D. Ayton (drawn by M. Turner),,17,30
88,1,1:54.0,Turnover by D. Ayton (offensive foul),,17,30
89,1,1:54.0,R. Holmes enters the game for D. Ayton,,17,30
90,1,1:54.0,,T. Evans enters the game for D. Collison,17,30
91,1,1:54.0,,T. Leaf enters the game for V. Oladipo,17,30
92,1,1:54.0,,D. McDermott enters the game for M. Turner,17,30
93,1,1:44.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),17,32
94,1,1:30.0,T. Warren misses 2-pt layup from 3 ft,,17,32
95,1,1:27.0,,Defensive rebound by C. Joseph,17,32
96,1,1:21.0,,T. Leaf misses 2-pt layup from 1 ft,17,32
97,1,1:21.0,Defensive rebound by T. Warren,,17,32
98,1,1:09.0,K. Oubre misses 2-pt layup from 2 ft,,17,32
99,1,1:06.0,,Defensive rebound by T. Evans,17,32
100,1,1:04.0,,Shooting foul by E. Okobo (drawn by T. Evans),17,32
101,1,1:04.0,,T. Evans makes free throw 1 of 2,17,33
102,1,1:04.0,,T. Evans makes free throw 2 of 2,17,34
103,1,0:51.0,K. Oubre makes 2-pt layup from 3 ft (assist by J. Jackson),,19,34
104,1,0:42.0,,T. Evans makes 2-pt layup from 1 ft,19,36
105,1,0:33.0,E. Okobo misses 3-pt jump shot from 30 ft,,19,36
106,1,0:30.0,,Defensive rebound by D. Sabonis,19,36
107,1,0:12.0,,C. Joseph misses 3-pt jump shot from 23 ft,19,36
108,1,0:09.0,Defensive rebound by J. Jackson,,19,36
109,1,0:04.0,Turnover by J. Jackson (out of bounds lost ball),,19,36
110,1,0:00.0,,C. Joseph makes 2-pt jump shot from 17 ft,19,38
111,2,11:46.0,Shooting foul by D. McDermott (drawn by J. Jackson),,19,38
112,2,11:46.0,J. Jackson makes free throw 1 of 2,,20,38
113,2,11:46.0,J. Jackson misses free throw 2 of 2,,20,38
114,2,11:44.0,,Defensive rebound by T. Evans,20,38
115,2,11:34.0,,D. McDermott misses 2-pt jump shot from 19 ft,20,38
116,2,11:31.0,Defensive rebound by K. Oubre,,20,38
117,2,11:24.0,Shooting foul by T. Leaf (drawn by K. Oubre),,20,38
118,2,11:24.0,K. Oubre misses free throw 1 of 2,,20,38
119,2,11:24.0,Offensive rebound by Team,,20,38
120,2,11:24.0,K. Oubre misses free throw 2 of 2,,20,38
121,2,11:22.0,,Defensive rebound by C. Joseph,20,38
122,2,11:13.0,,Turnover by T. Evans (lost ball),20,38
123,2,11:12.0,,Loose ball foul by T. Evans (drawn by J. Jackson),20,38
124,2,11:04.0,Personal foul by T. Evans (drawn by K. Oubre),,20,38
125,2,10:51.0,Shooting foul by D. Sabonis (drawn by E. Okobo),,20,38
126,2,10:51.0,E. Okobo makes free throw 1 of 2,,21,38
