,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,Def 3 sec tech foul by Team,,0,0
1,1,11:43.0,E. Fournier makes technical free throw,,1,0
2,1,11:32.0,A. Gordon makes 2-pt hook shot from 10 ft,,3,0
3,1,11:16.0,,K. Walker misses 2-pt jump shot from 19 ft,3,0
4,1,11:13.0,Defensive rebound by J. Isaac,,3,0
5,1,11:03.0,N. Vučević makes 2-pt layup from 3 ft (assist by J. Grant),,5,0
6,1,10:44.0,,Turnover by K. Walker (back court),5,0
7,1,10:37.0,J. Isaac makes 2-pt layup from 2 ft,,7,0
8,1,10:19.0,,K. Walker misses 3-pt jump shot from 27 ft,7,0
9,1,10:16.0,,Offensive rebound by N. Batum,7,0
10,1,10:12.0,,M. Williams makes 2-pt jump shot from 6 ft (assist by N. Batum),7,2
11,1,9:56.0,A. Gordon misses 2-pt layup from 2 ft,,7,2
12,1,9:51.0,Offensive rebound by A. Gordon,,7,2
13,1,9:51.0,A. Gordon makes 2-pt layup at rim,,9,2
14,1,9:43.0,,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),9,4
15,1,9:33.0,A. Gordon misses 2-pt jump shot from 11 ft,,9,4
16,1,9:28.0,Offensive rebound by J. Isaac,,9,4
17,1,9:26.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by J. Grant),,12,4
18,1,9:08.0,,N. Batum misses 2-pt layup from 2 ft,12,4
19,1,9:06.0,Defensive rebound by N. Vučević,,12,4
20,1,8:55.0,J. Isaac makes 2-pt jump shot from 17 ft (assist by E. Fournier),,14,4
21,1,8:45.0,,Personal foul by J. Grant (drawn by K. Walker),14,4
22,1,8:39.0,,J. Lamb makes 2-pt dunk from 1 ft (assist by K. Walker),14,6
23,1,8:39.0,,Shooting foul by E. Fournier (drawn by J. Lamb),14,6
24,1,8:39.0,,J. Lamb makes free throw 1 of 1,14,7
25,1,8:22.0,N. Vučević misses 2-pt hook shot from 8 ft,,14,7
26,1,8:20.0,,Defensive rebound by N. Batum,14,7
27,1,8:16.0,,Turnover by K. Walker (bad pass),14,7
28,1,8:02.0,A. Gordon misses 2-pt layup from 2 ft,,14,7
29,1,7:56.0,Offensive rebound by A. Gordon,,14,7
30,1,7:56.0,A. Gordon makes 2-pt layup at rim,,16,7
31,1,7:45.0,,Shooting foul by J. Isaac (drawn by K. Walker),16,7
32,1,7:45.0,,K. Walker makes free throw 1 of 2,16,8
33,1,7:45.0,,K. Walker makes free throw 2 of 2,16,9
34,1,7:36.0,Personal foul by N. Batum (drawn by A. Gordon),,16,9
35,1,7:27.0,Turnover by E. Fournier (bad pass),,16,9
36,1,7:13.0,,C. Zeller makes 2-pt layup from 2 ft (assist by M. Williams),16,11
37,1,7:01.0,Personal foul by K. Walker (drawn by E. Fournier),,16,11
38,1,6:55.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by J. Isaac),,18,11
39,1,6:43.0,,K. Walker makes 3-pt jump shot from 25 ft,18,14
40,1,6:30.0,J. Grant misses 3-pt jump shot from 25 ft,,18,14
41,1,6:27.0,,Defensive rebound by J. Lamb,18,14
42,1,6:23.0,,J. Lamb makes 2-pt layup from 2 ft,18,16
43,1,6:15.0,Orlando full timeout,,18,16
44,1,6:15.0,,M. Kidd-Gilchrist enters the game for M. Williams,18,16
45,1,6:02.0,J. Isaac misses 3-pt jump shot from 24 ft,,18,16
46,1,5:58.0,Offensive rebound by N. Vučević,,18,16
47,1,5:58.0,N. Vučević misses 2-pt layup at rim,,18,16
48,1,5:58.0,,Defensive rebound by N. Batum,18,16
49,1,5:57.0,Violation by Team (kicked ball),,18,16
50,1,5:57.0,W. Iwundu enters the game for A. Gordon,,18,16
51,1,5:48.0,,K. Walker misses 2-pt layup from 2 ft (block by N. Vučević),18,16
52,1,5:48.0,,Offensive rebound by Team,18,16
53,1,5:41.0,,K. Walker makes 2-pt jump shot from 9 ft (assist by J. Lamb),18,18
54,1,5:26.0,E. Fournier misses 2-pt jump shot from 8 ft,,18,18
55,1,5:23.0,,Defensive rebound by N. Batum,18,18
56,1,5:22.0,,Turnover by C. Zeller (bad pass; steal by J. Grant),18,18
57,1,5:19.0,J. Isaac misses 2-pt dunk from 1 ft,,18,18
58,1,5:19.0,,Defensive rebound by Team,18,18
59,1,5:10.0,,J. Lamb makes 2-pt jump shot from 8 ft (assist by K. Walker),18,20
60,1,4:58.0,N. Vučević misses 3-pt jump shot from 25 ft,,18,20
61,1,4:58.0,,Defensive rebound by C. Zeller,18,20
62,1,4:41.0,,Shooting foul by N. Vučević (drawn by C. Zeller),18,20
63,1,4:41.0,,C. Zeller makes free throw 1 of 2,18,21
64,1,4:41.0,I. Briscoe enters the game for J. Grant,,18,21
65,1,4:41.0,,M. Monk enters the game for N. Batum,18,21
66,1,4:41.0,,C. Zeller makes free throw 2 of 2,18,22
67,1,4:31.0,N. Vučević misses 2-pt hook shot from 9 ft,,18,22
68,1,4:28.0,,Defensive rebound by J. Lamb,18,22
69,1,4:25.0,,J. Lamb makes 2-pt jump shot from 8 ft,18,24
70,1,4:03.0,J. Isaac misses 3-pt jump shot from 22 ft,,18,24
71,1,3:55.0,Offensive rebound by W. Iwundu,,18,24
72,1,3:55.0,W. Iwundu makes 2-pt layup at rim,,20,24
73,1,3:45.0,,K. Walker makes 2-pt jump shot from 15 ft (assist by C. Zeller),20,26
74,1,3:28.0,E. Fournier misses 3-pt jump shot from 26 ft,,20,26
75,1,3:23.0,,Defensive rebound by C. Zeller,20,26
76,1,3:14.0,,C. Zeller misses 3-pt jump shot from 27 ft,20,26
77,1,3:11.0,Defensive rebound by N. Vučević,,20,26
78,1,3:02.0,Turnover by I. Briscoe (bad pass; steal by J. Lamb),,20,26
79,1,2:55.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by J. Lamb),20,29
80,1,2:52.0,Orlando full timeout,,20,29
81,1,2:52.0,M. Bamba enters the game for E. Fournier,,20,29
82,1,2:52.0,A. Gordon enters the game for J. Isaac,,20,29
83,1,2:52.0,T. Ross enters the game for N. Vučević,,20,29
84,1,2:52.0,,N. Batum enters the game for J. Lamb,20,29
85,1,2:52.0,,W. Hernangómez enters the game for K. Walker,20,29
86,1,2:52.0,,T. Parker enters the game for C. Zeller,20,29
87,1,2:46.0,Shooting foul by W. Hernangómez (drawn by M. Bamba),,20,29
88,1,2:46.0,M. Bamba misses free throw 1 of 2,,20,29
89,1,2:46.0,Offensive rebound by Team,,20,29
90,1,2:46.0,M. Bamba makes free throw 2 of 2,,21,29
91,1,2:29.0,,M. Monk misses 2-pt layup from 1 ft,21,29
92,1,2:27.0,Defensive rebound by M. Bamba,,21,29
93,1,2:16.0,A. Gordon misses 2-pt layup from 2 ft,,21,29
94,1,2:13.0,,Defensive rebound by T. Parker,21,29
95,1,1:55.0,,M. Monk misses 2-pt layup from 3 ft (block by M. Bamba),21,29
96,1,1:55.0,,Offensive rebound by Team,21,29
97,1,1:53.0,,W. Hernangómez misses 2-pt jump shot from 18 ft,21,29
98,1,1:47.0,Defensive rebound by T. Ross,,21,29
99,1,1:36.0,A. Gordon misses 2-pt jump shot from 8 ft,,21,29
100,1,1:33.0,,Defensive rebound by W. Hernangómez,21,29
101,1,1:26.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,21,29
102,1,1:26.0,,Offensive rebound by W. Hernangómez,21,29
103,1,1:26.0,,Shooting foul by W. Iwundu (drawn by W. Hernangómez),21,29
104,1,1:26.0,,W. Hernangómez makes free throw 1 of 2,21,30
105,1,1:26.0,,W. Hernangómez makes free throw 2 of 2,21,31
106,1,1:17.0,T. Ross misses 2-pt jump shot from 18 ft,,21,31
107,1,1:13.0,,Defensive rebound by T. Parker,21,31
108,1,0:58.0,,M. Monk makes 3-pt jump shot from 27 ft (assist by T. Parker),21,34
109,1,0:51.0,T. Ross makes 2-pt jump shot from 19 ft (assist by I. Briscoe),,23,34
110,1,0:38.0,,M. Monk makes 2-pt dunk from 2 ft (assist by W. Hernangómez),23,36
111,1,0:16.0,A. Gordon misses 3-pt jump shot from 25 ft,,23,36
112,1,0:13.0,,Defensive rebound by T. Parker,23,36
