,QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
0,1,11:38.0,,Turnover by D. Bembry (bad pass; steal by J. Tatum),0,0
1,1,11:37.0,J. Tatum makes 2-pt layup at rim,,2,0
2,1,11:37.0,Shooting foul by K. Huerter (drawn by J. Tatum),,2,0
3,1,11:37.0,J. Tatum makes free throw 1 of 1,,3,0
4,1,11:26.0,,T. Young misses 3-pt jump shot from 32 ft,3,0
5,1,11:22.0,,Offensive rebound by J. Collins,3,0
6,1,11:22.0,,J. Collins makes 2-pt dunk at rim,3,2
7,1,11:11.0,Turnover by K. Irving (lost ball; steal by K. Huerter),,3,2
8,1,10:56.0,,D. Dedmon makes 3-pt jump shot from 22 ft (assist by K. Huerter),3,5
9,1,10:39.0,K. Irving misses 2-pt layup from 7 ft,,3,5
10,1,10:35.0,,Defensive rebound by J. Collins,3,5
11,1,10:23.0,,D. Bembry makes 2-pt layup from 2 ft (assist by T. Young),3,7
12,1,10:08.0,M. Morris misses 2-pt jump shot from 22 ft,,3,7
13,1,10:05.0,,Defensive rebound by J. Collins,3,7
14,1,10:00.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Bembry),3,9
15,1,10:00.0,,Shooting foul by M. Smart (drawn by J. Collins),3,9
16,1,10:00.0,,J. Collins makes free throw 1 of 1,3,10
17,1,9:44.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),,6,10
18,1,9:26.0,,T. Young misses 3-pt jump shot from 26 ft,6,10
19,1,9:24.0,Defensive rebound by A. Horford,,6,10
20,1,9:21.0,K. Irving misses 2-pt layup from 2 ft,,6,10
21,1,9:17.0,,Defensive rebound by T. Young,6,10
22,1,9:07.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),6,13
23,1,8:50.0,A. Horford makes 2-pt jump shot from 17 ft (assist by M. Smart),,8,13
24,1,8:40.0,,K. Huerter makes 3-pt jump shot from 30 ft (assist by J. Collins),8,16
25,1,8:24.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),,11,16
26,1,8:08.0,,D. Bembry makes 2-pt layup from 1 ft,11,18
27,1,7:47.0,A. Horford misses 2-pt jump shot from 11 ft,,11,18
28,1,7:43.0,,Defensive rebound by K. Huerter,11,18
29,1,7:36.0,,T. Young makes 2-pt layup from 4 ft (assist by K. Huerter),11,20
30,1,7:34.0,Boston full timeout,,11,20
31,1,7:15.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by M. Smart),,13,20
32,1,7:00.0,,D. Dedmon misses 3-pt jump shot from 26 ft,13,20
33,1,6:57.0,Defensive rebound by M. Morris,,13,20
34,1,6:50.0,Turnover by K. Irving (bad pass),,13,20
35,1,6:50.0,,A. Len enters the game for D. Dedmon,13,20
36,1,6:39.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),13,22
37,1,6:24.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,16,22
38,1,6:11.0,,T. Young misses 3-pt jump shot from 28 ft,16,22
39,1,6:07.0,Defensive rebound by A. Horford,,16,22
40,1,6:03.0,M. Smart misses 3-pt jump shot from 25 ft,,16,22
41,1,5:59.0,,Defensive rebound by J. Collins,16,22
42,1,5:48.0,,K. Huerter misses 3-pt jump shot from 28 ft,16,22
43,1,5:45.0,Defensive rebound by M. Morris,,16,22
44,1,5:38.0,M. Morris misses 2-pt layup from 1 ft (block by A. Len),,16,22
45,1,5:34.0,,Defensive rebound by J. Collins,16,22
46,1,5:34.0,,Turnover by J. Collins (step out of bounds),16,22
47,1,5:34.0,,J. Lin enters the game for K. Huerter,16,22
48,1,5:34.0,,T. Prince enters the game for T. Young,16,22
49,1,5:25.0,M. Morris misses 2-pt layup from 2 ft,,16,22
50,1,5:20.0,,Defensive rebound by J. Collins,16,22
51,1,5:12.0,,J. Collins misses 3-pt jump shot from 25 ft,16,22
52,1,5:09.0,Defensive rebound by M. Morris,,16,22
53,1,5:09.0,Turnover by M. Morris (out of bounds lost ball),,16,22
54,1,5:09.0,J. Brown enters the game for J. Tatum,,16,22
55,1,5:09.0,,O. Spellman enters the game for J. Collins,16,22
56,1,4:58.0,,T. Prince misses 3-pt jump shot from 24 ft,16,22
57,1,4:57.0,Defensive rebound by Team,,16,22
58,1,4:57.0,,Loose ball foul by O. Spellman (drawn by M. Morris),16,22
59,1,4:48.0,Personal foul by D. Bembry (drawn by K. Irving),,16,22
60,1,4:41.0,K. Irving misses 2-pt layup from 1 ft,,16,22
61,1,4:39.0,Offensive rebound by M. Morris,,16,22
62,1,4:37.0,M. Morris misses 2-pt jump shot from 2 ft (block by O. Spellman),,16,22
63,1,4:35.0,,Defensive rebound by T. Prince,16,22
64,1,4:31.0,,D. Bembry makes 2-pt layup from 1 ft (assist by A. Len),16,24
65,1,4:19.0,M. Morris misses 3-pt jump shot from 26 ft,,16,24
66,1,4:17.0,,Defensive rebound by J. Lin,16,24
67,1,4:11.0,,Turnover by A. Len (traveling),16,24
68,1,4:11.0,A. Baynes enters the game for M. Morris,,16,24
69,1,4:11.0,T. Rozier enters the game for M. Smart,,16,24
70,1,4:11.0,,K. Huerter enters the game for D. Bembry,16,24
71,1,3:56.0,A. Horford misses 2-pt jump shot from 20 ft,,16,24
72,1,3:54.0,,Defensive rebound by T. Prince,16,24
73,1,3:49.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by J. Lin),16,27
74,1,3:29.0,Turnover by A. Baynes (lost ball; steal by J. Lin),,16,27
75,1,3:24.0,,J. Lin misses 3-pt jump shot from 22 ft,16,27
76,1,3:19.0,Defensive rebound by J. Brown,,16,27
77,1,3:11.0,J. Brown misses 3-pt jump shot from 26 ft,,16,27
78,1,3:07.0,,Defensive rebound by O. Spellman,16,27
79,1,3:05.0,,Personal foul by K. Irving (drawn by J. Lin),16,27
80,1,3:05.0,S. Ojeleye enters the game for A. Horford,,16,27
81,1,2:58.0,,K. Huerter makes 2-pt jump shot from 18 ft,16,29
82,1,2:44.0,K. Irving makes 2-pt jump shot from 8 ft,,18,29
83,1,2:31.0,,T. Prince misses 3-pt jump shot from 25 ft,18,29
84,1,2:29.0,,Offensive rebound by A. Len,18,29
85,1,2:28.0,,A. Len misses 2-pt layup from 3 ft,18,29
86,1,2:26.0,,Offensive rebound by K. Huerter,18,29
87,1,2:25.0,,K. Huerter makes 2-pt layup from 2 ft,18,31
88,1,2:11.0,T. Rozier makes 2-pt jump shot from 12 ft,,20,31
89,1,1:53.0,,Shooting foul by A. Baynes (drawn by T. Prince),20,31
90,1,1:53.0,,Atlanta full timeout,20,31
91,1,1:53.0,,D. Bembry enters the game for K. Huerter,20,31
92,1,1:53.0,,V. Carter enters the game for A. Len,20,31
93,1,1:53.0,,T. Young enters the game for J. Lin,20,31
94,1,1:53.0,,T. Prince makes free throw 1 of 2,20,32
