,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),0,3
1,1,11:27.0,N. Jokić misses 2-pt jump shot from 10 ft,,0,3
2,1,11:26.0,Offensive rebound by G. Harris,,0,3
3,1,11:18.0,G. Harris misses 2-pt jump shot from 20 ft,,0,3
4,1,11:16.0,Offensive rebound by N. Jokić,,0,3
5,1,11:16.0,Shooting foul by K. Durant (drawn by W. Barton),,0,3
6,1,11:16.0,Offensive rebound by Team,,0,3
7,1,11:16.0,W. Barton misses free throw 1 of 2,,0,3
8,1,11:16.0,W. Barton misses free throw 2 of 2,,0,3
9,1,11:14.0,Offensive rebound by P. Millsap,,0,3
10,1,11:12.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,3
11,1,11:12.0,Shooting foul by D. Green (drawn by P. Millsap),,3,3
12,1,11:12.0,P. Millsap makes free throw 1 of 1,,4,3
13,1,11:02.0,,K. Thompson misses 3-pt jump shot from 26 ft,4,3
14,1,11:00.0,Defensive rebound by W. Barton,,4,3
15,1,10:53.0,W. Barton makes 2-pt jump shot from 7 ft,,6,3
16,1,10:40.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by K. Durant),6,5
17,1,10:30.0,G. Harris misses 2-pt jump shot from 11 ft (block by D. Cousins),,6,5
18,1,10:28.0,Offensive rebound by G. Harris,,6,5
19,1,10:26.0,J. Murray misses 2-pt jump shot from 18 ft (block by K. Durant),,6,5
20,1,10:24.0,,Defensive rebound by D. Green,6,5
21,1,10:22.0,,Turnover by D. Green (lost ball; steal by J. Murray),6,5
22,1,10:15.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),,8,5
23,1,10:15.0,Shooting foul by D. Cousins (drawn by N. Jokić),,8,5
24,1,10:15.0,N. Jokić makes free throw 1 of 1,,9,5
25,1,10:05.0,,D. Cousins misses 3-pt jump shot from 27 ft,9,5
26,1,10:00.0,Defensive rebound by P. Millsap,,9,5
27,1,9:52.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by N. Jokić),,12,5
28,1,9:37.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),12,7
29,1,9:19.0,P. Millsap misses 3-pt jump shot from 27 ft,,12,7
30,1,9:17.0,,Defensive rebound by Team,12,7
31,1,9:17.0,Loose ball foul by N. Jokić (drawn by K. Durant),,12,7
32,1,9:05.0,,K. Durant misses 2-pt jump shot from 12 ft,12,7
33,1,9:04.0,,Offensive rebound by D. Cousins,12,7
34,1,8:59.0,,D. Cousins misses 2-pt layup from 1 ft,12,7
35,1,8:58.0,Defensive rebound by P. Millsap,,12,7
36,1,8:45.0,P. Millsap makes 2-pt hook shot from 7 ft,,14,7
37,1,8:32.0,,Turnover by S. Curry (bad pass),14,7
