,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BROOKLYN_ACTION,NEW ORLEANS_SCORE,BROOKLYN_SCORE
0,1,11:43.0,J. Holiday misses 2-pt jump shot from 8 ft,,0,0
1,1,11:40.0,,Defensive rebound by R. Kurucs,0,0
2,1,11:31.0,,Turnover by J. Dudley (bad pass; steal by E. Moore),0,0
3,1,11:20.0,J. Randle makes 2-pt layup from 2 ft,,2,0
4,1,10:56.0,,J. Harris makes 2-pt layup from 6 ft,2,2
5,1,10:47.0,Personal foul by J. Harris (drawn by J. Holiday),,2,2
6,1,10:29.0,J. Holiday misses 2-pt hook shot from 7 ft,,2,2
7,1,10:26.0,,Defensive rebound by J. Dudley,2,2
8,1,10:21.0,,J. Dudley makes 3-pt jump shot from 24 ft (assist by D. Russell),2,5
9,1,10:10.0,E. Payton makes 2-pt layup from 5 ft,,4,5
10,1,10:10.0,Shooting foul by D. Russell (drawn by E. Payton),,4,5
11,1,10:10.0,E. Payton makes free throw 1 of 1,,5,5
12,1,10:00.0,,J. Allen misses 2-pt dunk from 1 ft,5,5
13,1,9:58.0,,Offensive rebound by D. Russell,5,5
14,1,9:55.0,,Turnover by J. Harris (bad pass; steal by E. Moore),5,5
15,1,9:47.0,J. Randle makes 2-pt hook shot from 7 ft,,7,5
16,1,9:34.0,,D. Russell makes 2-pt jump shot from 12 ft,7,7
17,1,9:26.0,E. Moore makes 3-pt jump shot from 25 ft (assist by J. Holiday),,10,7
18,1,9:12.0,,Shooting foul by J. Randle (drawn by J. Allen),10,7
19,1,9:12.0,,J. Allen makes free throw 1 of 2,10,8
20,1,9:12.0,,J. Allen makes free throw 2 of 2,10,9
21,1,9:03.0,J. Randle misses 3-pt jump shot from 25 ft,,10,9
22,1,9:01.0,,Defensive rebound by J. Allen,10,9
23,1,8:55.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),10,12
24,1,8:35.0,A. Davis makes 2-pt jump shot from 10 ft,,12,12
25,1,8:10.0,,J. Harris misses 2-pt layup from 3 ft (block by A. Davis),12,12
26,1,8:09.0,,Offensive rebound by J. Allen,12,12
27,1,8:09.0,,J. Allen makes 2-pt dunk from 1 ft,12,14
28,1,7:57.0,A. Davis makes 2-pt jump shot from 20 ft (assist by E. Moore),,14,14
29,1,7:45.0,,J. Dudley makes 2-pt layup from 2 ft,14,16
30,1,7:26.0,J. Randle makes 2-pt layup at rim,,16,16
31,1,7:19.0,,Personal foul by A. Davis (drawn by J. Allen),16,16
32,1,7:11.0,,J. Harris makes 2-pt layup from 2 ft,16,18
33,1,6:50.0,E. Payton makes 3-pt jump shot from 26 ft (assist by A. Davis),,19,18
34,1,6:49.0,,Brooklyn full timeout,19,18
35,1,6:26.0,,R. Kurucs misses 2-pt layup from 1 ft,19,18
36,1,6:24.0,Defensive rebound by A. Davis,,19,18
37,1,6:19.0,J. Randle misses 2-pt layup from 2 ft,,19,18
38,1,6:15.0,Offensive rebound by A. Davis,,19,18
39,1,6:15.0,A. Davis makes 2-pt dunk at rim,,21,18
40,1,6:10.0,,Personal foul by J. Holiday (drawn by D. Russell),21,18
41,1,6:10.0,,S. Dinwiddie enters the game for R. Kurucs,21,18
42,1,6:10.0,,S. Napier enters the game for D. Russell,21,18
43,1,5:54.0,,J. Harris misses 2-pt jump shot from 11 ft,21,18
44,1,5:50.0,Defensive rebound by A. Davis,,21,18
45,1,5:44.0,Turnover by E. Payton (bad pass; steal by J. Dudley),,21,18
46,1,5:21.0,,S. Dinwiddie misses 2-pt layup from 1 ft,21,18
47,1,5:18.0,Defensive rebound by A. Davis,,21,18
48,1,5:15.0,J. Holiday misses 3-pt jump shot from 23 ft,,21,18
49,1,5:11.0,,Defensive rebound by J. Allen,21,18
50,1,5:06.0,,Shooting foul by A. Davis (drawn by J. Allen),21,18
51,1,5:06.0,,J. Allen makes free throw 1 of 2,21,19
52,1,5:06.0,T. Frazier enters the game for E. Payton,,21,19
53,1,5:06.0,S. Hill enters the game for J. Randle,,21,19
54,1,5:06.0,,D. Carroll enters the game for J. Dudley,21,19
55,1,5:06.0,,J. Allen makes free throw 2 of 2,21,20
56,1,4:48.0,A. Davis misses 2-pt layup from 1 ft (block by J. Allen),,21,20
57,1,4:46.0,,Defensive rebound by D. Carroll,21,20
58,1,4:38.0,,S. Dinwiddie makes 2-pt layup from 1 ft (assist by S. Napier),21,22
59,1,4:22.0,E. Moore misses 2-pt jump shot from 14 ft,,21,22
60,1,4:19.0,,Defensive rebound by J. Allen,21,22
61,1,4:11.0,,Turnover by J. Harris (bad pass),21,22
62,1,4:11.0,D. Miller enters the game for E. Moore,,21,22
63,1,3:54.0,A. Davis misses 2-pt layup from 3 ft,,21,22
64,1,3:54.0,,Defensive rebound by Team,21,22
65,1,3:54.0,,E. Davis enters the game for J. Allen,21,22
66,1,3:41.0,,J. Harris misses 3-pt jump shot from 26 ft,21,22
67,1,3:36.0,Defensive rebound by A. Davis,,21,22
68,1,3:34.0,Turnover by T. Frazier (lost ball; steal by J. Harris),,21,22
69,1,3:29.0,,S. Dinwiddie makes 3-pt jump shot from 24 ft,21,25
70,1,3:23.0,Personal foul by S. Dinwiddie (drawn by A. Davis),,21,25
71,1,3:23.0,J. Randle enters the game for A. Davis,,21,25
72,1,3:23.0,,D. Russell enters the game for J. Harris,21,25
73,1,3:10.0,Turnover by J. Randle (bad pass; steal by D. Russell),,21,25
74,1,3:03.0,,Turnover by D. Russell (bad pass; steal by D. Miller),21,25
75,1,3:01.0,Shooting foul by E. Davis (drawn by J. Randle),,21,25
76,1,3:01.0,J. Randle makes free throw 1 of 2,,22,25
77,1,3:01.0,J. Randle makes free throw 2 of 2,,23,25
78,1,2:53.0,,S. Napier misses 3-pt jump shot from 23 ft,23,25
79,1,2:47.0,,Offensive rebound by D. Russell,23,25
80,1,2:38.0,,S. Napier makes 2-pt jump shot from 19 ft,23,27
81,1,2:25.0,J. Holiday makes 2-pt jump shot from 15 ft (assist by J. Randle),,25,27
82,1,2:13.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),25,30
83,1,1:56.0,J. Holiday makes 2-pt layup from 10 ft,,27,30
